date,timestamp,open,high,low,close,volume
2015-07-20,1437350400,33.6,33.6,33.5,33.5,440870
2015-07-21,1437436800,34.5,34.5,32.0,33.0,398480
2015-07-22,1437523200,33.0,33.1,31.9,33.1,527560
2015-07-23,1437609600,32.8,33.5,32.7,33.2,526500
2015-07-24,1437696000,33.1,33.3,32.4,33.2,432500
2015-07-27,1437955200,32.0,33.2,32.0,32.8,493270
2015-07-28,1438041600,32.0,32.5,31.9,32.1,468920
2015-07-29,1438128000,31.3,32.1,31.3,31.5,409000
2015-07-30,1438214400,31.5,31.5,31.1,31.2,468360
2015-07-31,1438300800,31.2,31.7,30.7,31.2,502040
2015-08-03,1438560000,30.4,30.5,29.9,30.1,376060
2015-08-04,1438646400,29.4,29.8,28.8,29.4,625130
2015-08-05,1438732800,29.0,29.2,28.9,29.2,184520
2015-08-06,1438819200,29.3,29.6,29.0,29.6,238060
2015-08-07,1438905600,29.3,29.5,29.0,29.1,230200
2015-08-10,1439164800,29.0,29.1,28.6,28.7,179920
2015-08-11,1439251200,28.5,28.8,27.8,27.8,175940
2015-08-12,1439337600,28.0,28.1,27.8,28.1,187300
2015-08-13,1439424000,28.3,28.3,27.9,28.3,188100
2015-08-14,1439510400,28.5,28.5,28.0,28.0,177850
2015-08-17,1439769600,27.7,28.2,27.7,27.9,142780
2015-08-18,1439856000,27.9,28.0,27.5,27.6,156920
2015-08-19,1439942400,27.5,27.5,25.7,25.7,103280
2015-08-20,1440028800,26.2,26.3,25.5,26.1,162710
2015-08-21,1440115200,26.3,26.3,25.0,25.8,255500
2015-08-24,1440374400,25.5,25.6,24.0,25.0,328390
2015-08-25,1440460800,25.0,25.5,24.0,25.5,220390
2015-08-26,1440547200,25.2,27.0,25.2,27.0,269500
2015-08-27,1440633600,26.8,27.9,26.8,27.9,248970
2015-08-28,1440720000,27.9,28.0,27.5,27.8,259420
2015-08-31,1440979200,27.5,28.3,27.3,27.7,172980
2015-09-01,1441065600,27.5,27.7,27.4,27.6,190670
2015-09-03,1441238400,27.5,28.0,27.5,27.6,187190
2015-09-04,1441324800,27.5,27.8,27.5,27.6,202660
2015-09-07,1441584000,27.4,28.0,27.4,28.0,197040
2015-09-08,1441670400,27.9,28.1,27.8,28.1,202550
2015-09-09,1441756800,28.0,28.4,28.0,28.4,197100
2015-09-10,1441843200,28.2,29.0,28.2,28.5,186700
2015-09-11,1441929600,28.3,28.8,28.1,28.1,198610
2015-09-14,1442188800,27.3,28.1,27.3,28.0,206040
2015-09-15,1442275200,27.7,29.9,27.7,29.9,272490
2015-09-16,1442361600,30.8,30.8,29.3,29.3,216990
2015-09-17,1442448000,29.0,29.5,28.8,28.8,215450
2015-09-18,1442534400,28.6,29.0,28.6,28.6,205800
2015-09-21,1442793600,28.3,29.0,28.3,28.7,217210
2015-09-22,1442880000,28.4,28.9,28.3,28.3,225620
2015-09-23,1442966400,28.0,28.3,28.0,28.0,211520
2015-09-24,1443052800,27.7,28.3,27.7,27.9,223420
2015-09-25,1443139200,27.7,28.3,27.7,28.3,221240
2015-09-28,1443398400,28.1,28.5,28.1,28.4,214210
2015-09-29,1443484800,28.2,28.5,28.1,28.4,217460
2015-09-30,1443571200,27.6,28.5,27.6,28.4,213850
2015-10-01,1443657600,28.2,28.6,28.2,28.6,203260
2015-10-02,1443744000,28.3,28.8,28.3,28.7,196170
2015-10-05,1444003200,28.5,28.8,28.5,28.7,190660
2015-10-06,1444089600,28.7,29.1,28.5,29.0,307350
2015-10-07,1444176000,29.0,29.1,28.7,28.7,245620
2015-10-08,1444262400,28.6,28.8,28.5,28.5,183690
2015-10-09,1444348800,28.5,28.8,28.5,28.8,261820
2015-10-12,1444608000,28.6,28.9,28.5,28.6,220190
2015-10-13,1444694400,28.6,28.7,28.3,28.3,211900
2015-10-14,1444780800,28.3,28.5,28.2,28.2,215710
2015-10-15,1444867200,28.2,28.4,28.1,28.2,223790
2015-10-16,1444953600,28.2,28.5,26.7,28.3,205350
2015-10-19,1445212800,28.2,28.5,28.2,28.3,206780
2015-10-20,1445299200,28.3,28.5,28.1,28.1,209690
2015-10-21,1445385600,28.1,28.2,28.0,28.0,212100
2015-10-22,1445472000,27.8,28.4,27.8,28.1,205090
2015-10-23,1445558400,28.0,28.2,28.0,28.1,199580
2015-10-26,1445817600,28.1,28.3,28.0,28.1,202030
2015-10-27,1445904000,28.2,28.4,28.1,28.4,174500
2015-10-28,1445990400,28.4,28.5,28.1,28.1,192910
2015-10-29,1446076800,28.1,28.3,28.1,28.2,198760
2015-10-30,1446163200,28.2,30.1,28.1,30.1,218730
2015-11-02,1446422400,29.9,31.1,29.7,31.1,255790
2015-11-03,1446508800,31.0,31.7,30.6,31.3,218110
2015-11-04,1446595200,31.2,31.5,31.0,31.3,200820
2015-11-05,1446681600,31.1,31.5,31.1,31.3,207850
2015-11-06,1446768000,31.3,31.7,30.9,31.0,313400
2015-11-09,1447027200,31.0,31.5,30.9,30.9,266500
2015-11-10,1447113600,30.9,31.2,30.5,30.5,271820
2015-11-11,1447200000,30.3,30.8,30.3,30.6,302500
2015-11-12,1447286400,30.6,30.8,30.3,30.4,252600
2015-11-13,1447372800,30.3,30.8,30.3,30.6,300590
2015-11-16,1447632000,30.6,30.9,30.4,30.5,334360
2015-11-17,1447718400,30.5,31.0,30.5,30.7,401620
2015-11-18,1447804800,30.7,31.0,30.5,30.5,404680
2015-11-19,1447891200,30.5,30.8,30.2,30.5,395830
