date,timestamp,open,high,low,close,volume
2015-01-05,1420416000,6.68,6.884,6.68,6.884,8730
2015-01-06,1420502400,6.833,6.884,6.63,6.833,3720
2015-01-07,1420588800,6.783,6.783,6.577,6.73,16270
2015-01-08,1420675200,6.783,6.783,6.63,6.73,5120
2015-01-09,1420761600,6.63,6.783,6.63,6.73,4670
2015-01-12,1421020800,6.68,6.73,6.68,6.73,3020
2015-01-13,1421107200,6.68,6.68,6.577,6.68,15410
2015-01-14,1421193600,6.63,6.73,6.63,6.68,730
2015-01-15,1421280000,6.63,6.783,6.577,6.783,1850
2015-01-16,1421366400,6.63,6.783,6.63,6.63,4170
2015-01-19,1421625600,6.783,6.833,6.68,6.68,7600
2015-01-20,1421712000,6.73,6.73,6.73,6.73,10
2015-01-21,1421798400,6.68,6.783,6.68,6.73,9930
2015-01-22,1421884800,6.63,6.73,6.63,6.73,20
2015-01-23,1421971200,7.191,7.191,6.68,6.985,9660
2015-01-26,1422230400,6.68,6.882,6.68,6.882,40
2015-01-27,1422316800,6.63,6.833,6.63,6.833,6010
2015-01-28,1422403200,6.577,6.577,6.577,6.577,980
2015-01-29,1422489600,6.577,6.577,6.577,6.577,930
2015-01-30,1422576000,7.036,7.036,6.985,7.036,87050
2015-02-02,1422835200,7.139,7.139,7.088,7.088,20
2015-02-03,1422921600,6.884,7.036,6.884,7.036,5880
2015-02-04,1423008000,6.884,6.884,6.884,6.884,8420
2015-02-05,1423094400,6.884,6.936,6.884,6.936,10900
2015-02-06,1423180800,6.884,6.936,6.783,6.936,4580
2015-02-09,1423440000,6.985,7.394,6.936,6.985,2810
2015-02-10,1423526400,7.139,7.139,6.936,6.936,1210
2015-02-11,1423612800,6.884,7.139,6.73,6.884,21390
2015-02-12,1423699200,7.036,7.036,6.783,7.036,3500
2015-02-13,1423785600,7.036,7.036,7.036,7.036,0
2015-02-24,1424736000,7.394,7.394,7.394,7.394,20
2015-02-25,1424822400,6.936,6.985,6.884,6.985,2700
2015-02-26,1424908800,7.139,7.394,6.884,7.343,16370
2015-02-27,1424995200,6.936,7.191,6.936,7.191,300
2015-03-02,1425254400,6.971,7.41,6.971,7.41,7300
2015-03-03,1425340800,7.354,7.41,7.191,7.41,2330
2015-03-04,1425427200,7.41,7.41,7.191,7.41,150
2015-03-05,1425513600,7.3,7.3,7.244,7.244,1300
2015-03-06,1425600000,7.3,7.3,7.244,7.244,3940
2015-03-09,1425859200,7.354,7.354,7.354,7.354,20
2015-03-10,1425945600,7.354,7.354,7.3,7.3,1550
2015-03-11,1426032000,7.244,7.354,7.134,7.354,6590
2015-03-12,1426118400,7.354,7.354,7.191,7.244,150
2015-03-13,1426204800,7.191,7.354,7.191,7.244,990
2015-03-16,1426464000,7.244,7.244,7.244,7.244,9210
2015-03-17,1426550400,7.3,7.354,7.244,7.354,1770
2015-03-18,1426636800,7.244,7.41,7.244,7.41,20
2015-03-19,1426723200,7.244,7.354,7.244,7.354,150
2015-03-20,1426809600,7.354,7.354,7.354,7.354,2070
2015-03-23,1427068800,7.739,7.849,7.244,7.683,4210
2015-03-24,1427155200,7.904,7.904,7.41,7.629,3510
2015-03-25,1427241600,7.794,7.794,7.464,7.683,410
2015-03-26,1427328000,7.629,7.629,7.244,7.244,2520
2015-03-27,1427414400,7.683,7.683,6.916,6.916,3010
2015-03-30,1427673600,7.354,7.354,7.354,7.354,8680
2015-03-31,1427760000,7.41,7.41,7.41,7.41,10
2015-04-01,1427846400,7.794,7.794,7.794,7.794,110
2015-04-02,1427932800,7.739,7.739,7.739,7.739,400
2015-04-03,1428019200,7.519,7.739,7.244,7.739,2550
2015-04-06,1428278400,7.739,7.739,7.739,7.739,0
2015-04-07,1428364800,7.739,7.739,7.739,7.739,0
2015-04-08,1428451200,7.244,7.739,7.244,7.739,20
2015-04-09,1428537600,7.683,7.683,7.683,7.683,30
2015-04-10,1428624000,7.244,7.244,7.191,7.191,18180
2015-04-13,1428883200,7.191,7.191,7.191,7.191,0
2015-04-14,1428969600,7.134,7.134,6.916,7.08,16950
2015-04-15,1429056000,7.08,7.08,7.08,7.08,380
2015-04-16,1429142400,6.75,6.75,6.75,6.75,10
2015-04-17,1429228800,6.587,7.08,6.587,7.08,4450
2015-04-20,1429488000,7.08,7.08,7.08,7.08,20
2015-04-21,1429574400,6.971,6.971,6.587,6.587,61050
2015-04-22,1429660800,6.587,6.587,6.531,6.531,3100
2015-04-23,1429747200,6.587,6.587,6.587,6.587,40
2015-04-24,1429833600,6.422,6.916,6.422,6.916,4010
2015-04-27,1430092800,6.478,6.478,6.478,6.478,17000
2015-05-04,1430697600,6.587,6.587,6.313,6.478,7060
2015-05-05,1430784000,6.258,6.367,6.038,6.367,30230
2015-05-06,1430870400,6.367,6.367,6.367,6.367,0
2015-05-07,1430956800,6.038,6.313,6.038,6.313,410
2015-05-08,1431043200,6.75,6.75,5.873,6.202,6060
2015-05-11,1431302400,6.531,6.531,6.202,6.258,1020
2015-05-12,1431388800,5.983,6.258,5.983,6.258,12530
2015-05-13,1431475200,5.927,6.148,5.873,6.148,19510
2015-05-14,1431561600,6.422,6.422,6.422,6.422,10
2015-05-15,1431648000,6.531,6.587,6.531,6.587,60
2015-05-18,1431907200,6.367,6.971,6.367,6.971,60
2015-05-19,1431993600,6.531,7.08,6.531,7.08,40
2015-05-20,1432080000,6.587,6.587,6.587,6.587,20
2015-05-21,1432166400,6.148,6.422,6.148,6.422,80
2015-05-22,1432252800,6.038,6.75,5.983,5.983,2720
2015-05-25,1432512000,6.148,6.148,5.598,6.038,18890
2015-05-26,1432598400,5.927,6.038,5.927,5.927,20820
2015-05-27,1432684800,5.653,6.258,5.653,6.258,40
2015-05-28,1432771200,5.927,6.148,5.927,6.148,20060
2015-05-29,1432857600,6.148,6.148,6.148,6.148,0
2015-06-01,1433116800,6.038,6.148,5.817,6.148,110670
2015-06-02,1433203200,5.873,6.038,5.873,5.983,30020
2015-06-03,1433289600,6.038,6.038,5.873,5.873,5450
2015-06-04,1433376000,5.927,6.038,5.927,6.038,25570
2015-06-05,1433462400,5.983,6.148,5.927,6.148,11560
2015-06-08,1433721600,5.927,6.038,5.927,6.038,7240
2015-06-09,1433808000,5.927,5.927,5.927,5.927,9640
2015-06-10,1433894400,5.927,5.927,5.927,5.927,0
2015-06-11,1433980800,6.148,6.148,5.927,6.038,5380
2015-06-12,1434067200,6.093,6.093,6.093,6.093,10
2015-06-15,1434326400,6.258,6.258,6.148,6.148,3100
2015-06-16,1434412800,5.927,6.258,5.927,6.258,30
2015-06-17,1434499200,6.148,6.148,6.148,6.148,100
2015-06-18,1434585600,6.038,6.038,5.763,6.038,560
2015-06-19,1434672000,6.202,6.202,5.927,6.093,1410
2015-06-22,1434931200,5.708,6.202,5.708,6.202,14950
2015-06-23,1435017600,6.313,6.587,6.313,6.587,3100
2015-06-24,1435104000,6.916,7.025,6.916,7.025,1100
2015-06-25,1435190400,7.3,7.3,6.587,7.025,380
2015-06-26,1435276800,7.025,7.025,7.025,7.025,0
2015-06-29,1435536000,7.41,7.41,7.41,7.41,20
2015-06-30,1435622400,7.41,7.41,7.41,7.41,0
2015-07-01,1435708800,7.41,7.41,7.41,7.41,0
2015-07-02,1435795200,6.916,6.916,6.916,6.916,20
2015-07-03,1435881600,6.478,6.916,6.478,6.916,2340
2015-07-06,1436140800,6.478,6.478,6.478,6.478,330
2015-07-07,1436227200,6.038,6.587,6.038,6.587,2060
2015-07-08,1436313600,6.148,6.587,6.148,6.587,10610
2015-07-09,1436400000,6.75,6.75,6.148,6.313,850
2015-07-10,1436486400,5.873,6.038,5.873,5.927,18640
2015-07-13,1436745600,6.313,6.313,5.598,5.927,11010
2015-07-14,1436832000,6.313,6.313,6.038,6.038,140
2015-07-15,1436918400,5.983,6.202,5.983,6.202,50
2015-07-16,1437004800,6.038,6.148,5.817,6.093,4810
2015-07-17,1437091200,6.148,6.148,6.148,6.148,210
2015-07-20,1437350400,6.202,6.202,6.202,6.202,300
2015-07-21,1437436800,6.478,6.478,6.258,6.258,10500
2015-07-22,1437523200,6.367,6.641,6.367,6.641,163930
2015-07-23,1437609600,7.025,7.08,6.641,7.08,154300
2015-07-24,1437696000,6.861,7.191,6.805,7.025,31310
2015-07-27,1437955200,6.861,7.08,6.75,6.971,44960
2015-07-28,1438041600,6.75,6.805,6.531,6.805,52230
2015-07-29,1438128000,6.805,6.805,6.641,6.641,14150
2015-07-30,1438214400,6.75,7.025,6.641,6.861,35490
2015-07-31,1438300800,6.861,7.025,6.861,6.971,45760
2015-08-03,1438560000,6.971,6.971,6.805,6.916,43800
2015-08-04,1438646400,6.861,6.971,6.861,6.971,21170
2015-08-05,1438732800,7.3,7.3,6.916,7.3,56150
2015-08-06,1438819200,7.191,7.191,6.916,6.916,21020
2015-08-07,1438905600,6.971,7.08,6.916,6.971,21450
2015-08-10,1439164800,7.244,7.244,6.971,7.025,9050
2015-08-11,1439251200,7.025,7.025,6.971,7.025,23050
2015-08-12,1439337600,7.025,7.191,6.971,7.191,12580
2015-08-13,1439424000,7.025,7.025,6.861,6.861,16540
2015-08-14,1439510400,6.861,7.025,6.861,6.861,4390
2015-08-17,1439769600,6.916,7.025,6.805,6.861,17220
