date,timestamp,open,high,low,close,volume
2015-01-05,1420416000,6.905,6.905,6.851,6.851,338650
2015-01-06,1420502400,6.851,7.115,6.851,7.061,2865710
2015-01-07,1420588800,7.115,7.272,7.061,7.115,2235000
2015-01-08,1420675200,7.115,7.272,7.115,7.168,853040
2015-01-09,1420761600,7.168,7.59,7.168,7.537,6690100
2015-01-12,1421020800,7.643,7.747,7.484,7.484,6457090
2015-01-13,1421107200,7.43,7.695,7.43,7.643,4780930
2015-01-14,1421193600,7.59,7.695,7.43,7.537,3092460
2015-01-15,1421280000,7.537,7.695,7.484,7.537,4482110
2015-01-16,1421366400,7.484,7.537,7.379,7.379,2857070
2015-01-19,1421625600,7.537,7.59,7.325,7.379,2836560
2015-01-20,1421712000,7.379,7.537,7.379,7.43,2257840
2015-01-21,1421798400,7.484,7.484,7.325,7.325,1816290
2015-01-22,1421884800,7.325,7.643,7.272,7.59,6014660
2015-01-23,1421971200,7.695,7.853,7.643,7.695,7613160
2015-01-26,1422230400,7.695,7.799,7.643,7.695,1644100
2015-01-27,1422316800,7.643,7.747,7.43,7.537,5627480
2015-01-28,1422403200,7.484,7.958,7.43,7.853,8560780
2015-01-29,1422489600,7.853,7.905,7.643,7.799,5333100
2015-01-30,1422576000,7.695,7.747,7.43,7.484,3655070
2015-02-02,1422835200,7.484,7.537,7.379,7.379,2831770
2015-02-03,1422921600,7.379,7.43,7.01,7.01,4790370
2015-02-04,1423008000,7.01,7.168,6.905,7.115,3785470
2015-02-05,1423094400,7.115,7.221,7.115,7.168,1044340
2015-02-06,1423180800,7.168,7.272,7.115,7.272,1218610
2015-02-09,1423440000,7.272,7.379,7.221,7.325,2101760
2015-02-10,1423526400,7.379,7.484,7.325,7.379,1683640
2015-02-11,1423612800,7.379,7.43,7.379,7.43,815550
2015-02-12,1423699200,7.43,7.43,7.325,7.379,1168750
2015-02-13,1423785600,7.43,7.484,7.325,7.325,1071360
2015-02-24,1424736000,7.379,7.537,7.379,7.484,1363550
2015-02-25,1424822400,7.59,7.643,7.43,7.43,2674400
2015-02-26,1424908800,7.484,7.537,7.43,7.537,1405810
2015-02-27,1424995200,7.537,7.537,7.379,7.43,883710
2015-03-02,1425254400,7.379,7.484,7.325,7.379,1396710
2015-03-03,1425340800,7.379,7.484,7.379,7.43,1280240
2015-03-04,1425427200,7.43,7.43,7.325,7.43,1161150
2015-03-05,1425513600,7.379,7.43,7.325,7.325,1523640
2015-03-06,1425600000,7.379,7.43,7.325,7.379,1162530
2015-03-09,1425859200,7.379,7.43,7.325,7.325,1529560
2015-03-10,1425945600,7.325,7.379,7.325,7.325,837490
2015-03-11,1426032000,7.325,7.379,7.272,7.325,824160
2015-03-12,1426118400,7.325,7.379,7.272,7.325,1310200
2015-03-13,1426204800,7.325,7.43,7.325,7.325,710190
2015-03-16,1426464000,7.325,7.325,7.272,7.272,966100
2015-03-17,1426550400,7.272,7.325,7.221,7.272,961980
