date,timestamp,open,high,low,close,volume
2016-01-04,1451865600,8.642,8.815,8.469,8.729,515300
2016-01-05,1451952000,8.729,8.815,8.556,8.642,314860
2016-01-06,1452038400,8.642,8.642,8.383,8.556,245100
2016-01-07,1452124800,8.556,8.556,8.383,8.469,261320
2016-01-08,1452211200,8.556,8.556,8.383,8.469,194760
2016-01-11,1452470400,8.469,8.469,8.296,8.383,203060
2016-01-12,1452556800,8.469,8.556,8.21,8.21,300840
2016-01-13,1452643200,8.21,8.729,8.124,8.729,681880
2016-01-14,1452729600,8.815,9.333,8.815,9.333,952300
2016-01-15,1452816000,9.247,9.938,9.247,9.333,1013130
2016-01-18,1453075200,9.074,9.074,8.729,8.729,375860
2016-01-19,1453161600,8.729,9.074,8.642,8.901,535970
2016-01-20,1453248000,8.815,8.988,8.642,8.642,520230
2016-01-21,1453334400,8.469,8.469,8.037,8.037,487270
2016-01-22,1453420800,7.864,8.037,7.519,7.519,419940
2016-01-25,1453680000,7.605,8.037,7.605,8.037,280400
2016-01-26,1453766400,8.21,8.296,8.037,8.21,252380
2016-01-27,1453852800,8.21,8.729,8.124,8.729,602720
2016-01-28,1453939200,8.729,8.815,8.642,8.729,573180
2016-01-29,1454025600,8.815,8.901,8.642,8.815,546720
2016-02-01,1454284800,8.901,8.901,8.642,8.729,347030
2016-02-02,1454371200,8.729,8.729,8.469,8.642,327760
2016-02-03,1454457600,8.729,8.729,8.556,8.729,359240
2016-02-04,1454544000,8.815,8.901,8.642,8.642,206430
2016-02-05,1454630400,8.729,8.729,8.556,8.642,71910
2016-02-15,1455494400,8.642,8.729,8.469,8.642,203260
2016-02-16,1455580800,8.729,8.815,8.556,8.729,253950
2016-02-17,1455667200,8.729,9.333,8.729,9.333,568670
2016-02-18,1455753600,9.42,9.68,9.42,9.506,618500
2016-02-19,1455840000,9.506,9.593,9.247,9.333,419000
2016-02-22,1456099200,9.333,9.938,9.161,9.938,591170
2016-02-23,1456185600,10.025,10.198,9.938,10.112,975660
2016-02-24,1456272000,10.112,10.112,9.68,9.68,802470
2016-02-25,1456358400,9.68,9.852,9.68,9.68,701420
2016-02-26,1456444800,9.765,9.765,9.333,9.333,643250
2016-02-29,1456704000,9.42,9.765,9.074,9.68,938850
2016-03-01,1456790400,9.765,9.852,9.506,9.68,671520
2016-03-02,1456876800,9.68,9.852,9.593,9.593,333910
2016-03-03,1456963200,9.68,9.68,9.074,9.247,944440
2016-03-04,1457049600,9.333,9.333,8.988,9.161,488590
2016-03-07,1457308800,9.247,9.247,8.729,8.729,530180
2016-03-08,1457395200,8.815,9.333,8.729,9.333,749910
2016-03-09,1457481600,9.333,9.506,9.161,9.247,438130
2016-03-10,1457568000,9.161,9.333,9.074,9.247,234560
2016-03-11,1457654400,9.247,9.247,9.074,9.247,410680
2016-03-14,1457913600,9.247,9.247,9.074,9.247,469260
2016-03-15,1458000000,9.247,9.247,8.988,9.074,442780
2016-03-16,1458086400,9.161,9.161,8.988,8.988,432830
2016-03-17,1458172800,9.074,9.161,8.988,9.161,559260
2016-03-18,1458259200,9.161,9.42,9.074,9.074,583160
2016-03-21,1458518400,9.074,9.247,8.988,9.247,618870
2016-03-22,1458604800,9.247,9.247,9.074,9.161,827220
2016-03-23,1458691200,9.074,9.247,9.074,9.247,932460
2016-03-24,1458777600,9.247,9.506,9.247,9.42,1363130
2016-03-25,1458864000,9.333,9.42,9.161,9.247,977170
2016-03-28,1459123200,9.161,9.247,9.074,9.074,1201050
2016-03-29,1459209600,9.074,9.247,8.988,9.247,1217070
2016-03-30,1459296000,9.333,9.593,9.161,9.593,1683680
2016-03-31,1459382400,9.68,9.68,9.333,9.42,1119400
2016-04-01,1459468800,9.333,9.506,9.333,9.42,1253050
2016-04-04,1459728000,9.333,9.593,9.333,9.593,1141060
2016-04-05,1459814400,9.68,9.938,9.68,9.938,1549000
2016-04-06,1459900800,9.938,10.025,9.765,9.852,1389910
2016-04-07,1459987200,9.765,10.198,9.68,10.198,1804150
2016-04-08,1460073600,10.284,10.457,10.198,10.198,1614030
2016-04-11,1460332800,10.198,10.284,10.112,10.284,1294170
2016-04-12,1460419200,10.198,10.37,10.112,10.198,1508520
2016-04-13,1460505600,10.198,10.284,10.025,10.284,1610950
2016-04-14,1460592000,10.198,10.717,10.198,10.717,1772570
2016-04-15,1460678400,10.802,10.889,10.543,10.717,1665290
2016-04-19,1461024000,10.717,10.802,10.198,10.198,1411780
2016-04-20,1461110400,10.112,10.198,10.025,10.112,1088960
2016-04-21,1461196800,10.025,10.284,10.025,10.198,1358810
