date,timestamp,open,high,low,close,volume
2016-01-04,1451865600,8.96,9.736,8.96,9.736,8400
2016-01-05,1451952000,9.846,9.846,9.846,9.846,2000
2016-01-06,1452038400,9.402,9.402,9.402,9.402,500
2016-01-07,1452124800,8.85,9.292,8.573,8.85,6200
2016-01-08,1452211200,8.85,9.237,8.85,9.181,23100
2016-01-11,1452470400,8.905,9.072,8.905,9.072,1100
2016-01-12,1452556800,9.015,9.237,8.905,9.126,17600
2016-01-13,1452643200,9.181,9.181,9.126,9.181,16900
2016-01-14,1452729600,9.015,9.126,9.015,9.126,12500
2016-01-15,1452816000,9.015,9.126,9.015,9.126,2100
2016-01-18,1453075200,9.072,9.072,8.96,9.072,54500
2016-01-19,1453161600,8.96,8.96,8.96,8.96,11085
2016-01-20,1453248000,8.96,9.072,8.96,9.072,50900
2016-01-21,1453334400,9.015,9.015,8.905,8.96,41000
2016-01-22,1453420800,9.015,9.126,8.738,9.126,2600
2016-01-25,1453680000,8.905,9.015,8.85,9.015,6800
2016-01-26,1453766400,9.292,9.292,8.573,9.237,4810
2016-01-27,1453852800,8.85,9.126,8.85,9.126,22300
2016-01-28,1453939200,9.292,9.292,8.96,8.96,11750
2016-01-29,1454025600,8.96,8.96,8.905,8.905,11000
2016-02-01,1454284800,8.85,8.905,8.794,8.905,3800
2016-02-02,1454371200,8.905,8.905,8.905,8.905,0
2016-02-03,1454457600,8.905,8.905,8.905,8.905,0
2016-02-04,1454544000,8.96,9.015,8.905,9.015,500
2016-02-05,1454630400,8.85,9.126,8.85,9.015,1525
2016-02-15,1455494400,8.85,9.237,8.85,9.126,715
2016-02-16,1455580800,9.126,9.846,8.96,9.015,10624
2016-02-17,1455667200,9.126,9.126,8.96,9.015,67760
2016-02-18,1455753600,9.072,9.072,8.85,8.96,6300
2016-02-19,1455840000,8.85,9.072,8.85,9.015,8710
2016-02-22,1456099200,9.015,9.126,8.85,8.96,40500
2016-02-23,1456185600,8.85,8.905,8.85,8.85,3663
2016-02-24,1456272000,8.85,8.96,8.738,8.96,4070
2016-02-25,1456358400,8.905,8.96,8.905,8.905,10800
2016-02-26,1456444800,8.85,8.85,8.85,8.85,2660
2016-02-29,1456704000,8.85,9.072,8.794,8.96,3300
2016-03-01,1456790400,8.85,9.015,8.794,9.015,4500
2016-03-02,1456876800,8.905,8.96,8.905,8.905,8200
2016-03-03,1456963200,8.85,8.85,8.628,8.85,4480
2016-03-04,1457049600,8.85,8.85,8.85,8.85,200
2016-03-07,1457308800,8.85,8.96,8.628,8.96,13820
2016-03-08,1457395200,8.794,8.85,8.794,8.85,1420
2016-03-09,1457481600,8.85,8.85,8.684,8.85,10704
2016-03-10,1457568000,8.684,8.794,8.684,8.794,1200
2016-03-11,1457654400,8.794,9.402,8.794,9.181,200200
2016-03-14,1457913600,9.181,9.957,9.181,9.569,371839
2016-03-15,1458000000,9.68,9.68,9.292,9.402,38700
2016-03-16,1458086400,9.292,9.402,9.126,9.237,32760
2016-03-17,1458172800,9.237,9.237,9.015,9.072,52100
2016-03-18,1458259200,9.126,9.126,8.794,8.905,87840
2016-03-21,1458518400,8.905,8.905,8.738,8.738,12900
2016-03-22,1458604800,8.352,8.96,8.352,8.738,133370
2016-03-23,1458691200,8.96,9.126,8.794,8.96,34798
2016-03-24,1458777600,8.96,9.015,8.684,8.738,65100
2016-03-25,1458864000,8.684,8.85,8.684,8.794,28700
2016-03-28,1459123200,8.794,8.85,8.738,8.85,16200
2016-03-29,1459209600,8.85,8.85,8.573,8.628,24070
2016-03-30,1459296000,8.573,8.738,8.573,8.738,7002
