date,timestamp,open,high,low,close,volume
2016-01-04,1451865600,15.177,15.177,14.98,14.98,6900
2016-01-05,1451952000,14.98,14.98,14.784,14.98,7200
2016-01-06,1452038400,14.98,15.177,14.98,14.98,3700
2016-01-07,1452124800,14.98,15.138,14.98,14.98,2800
2016-01-08,1452211200,14.98,14.98,14.98,14.98,2100
2016-01-11,1452470400,14.98,15.019,14.98,14.98,2900
2016-01-12,1452556800,14.98,14.98,14.98,14.98,2500
2016-01-13,1452643200,14.98,14.98,14.98,14.98,2200
2016-01-14,1452729600,14.98,14.98,14.98,14.98,0
2016-01-15,1452816000,14.98,14.98,14.98,14.98,1000
2016-01-18,1453075200,14.98,14.98,14.98,14.98,0
2016-01-19,1453161600,14.98,14.98,14.98,14.98,700
2016-01-20,1453248000,14.98,14.98,14.98,14.98,800
2016-01-21,1453334400,14.98,14.98,14.98,14.98,3500
2016-01-22,1453420800,14.98,14.98,14.702,14.745,1200
2016-01-25,1453680000,14.033,14.784,13.995,14.784,2500
2016-01-26,1453766400,14.702,14.702,14.545,14.545,3500
2016-01-27,1453852800,14.545,14.587,14.545,14.587,2000
2016-01-28,1453939200,14.587,14.587,14.509,14.509,900
2016-01-29,1454025600,14.509,14.509,14.509,14.509,4700
2016-02-01,1454284800,14.509,14.509,14.429,14.429,1200
2016-02-02,1454371200,14.388,14.388,14.388,14.388,100
2016-02-03,1454457600,14.388,14.388,14.388,14.388,0
2016-02-04,1454544000,14.388,14.388,14.388,14.388,0
2016-02-05,1454630400,14.23,14.23,14.192,14.192,1000
2016-02-15,1455494400,14.23,14.23,14.23,14.23,100
2016-02-16,1455580800,14.23,14.388,14.23,14.388,2300
2016-02-17,1455667200,14.388,14.388,14.388,14.388,0
2016-02-18,1455753600,14.388,14.388,14.192,14.192,8600
2016-02-19,1455840000,14.192,14.23,14.192,14.192,6000
2016-02-22,1456099200,14.192,14.192,14.114,14.114,1600
2016-02-23,1456185600,14.071,14.071,13.995,14.033,2100
2016-02-24,1456272000,14.033,14.033,14.033,14.033,400
2016-02-25,1456358400,14.192,14.192,14.192,14.192,900
2016-02-26,1456444800,14.391,14.391,14.391,14.391,100
2016-02-29,1456704000,14.391,14.391,14.031,14.031,2130
2016-03-01,1456790400,14.351,14.351,14.351,14.351,100
2016-03-02,1456876800,14.391,14.391,14.113,14.113,1000
2016-03-03,1456963200,14.192,14.192,14.192,14.192,930
2016-03-04,1457049600,14.272,14.272,14.272,14.272,200
2016-03-07,1457308800,14.192,14.272,14.192,14.272,4100
2016-03-08,1457395200,14.312,14.391,14.312,14.391,300
2016-03-09,1457481600,14.471,14.471,14.471,14.471,700
2016-03-10,1457568000,14.471,14.471,14.471,14.471,0
2016-03-11,1457654400,14.391,14.391,14.23,14.23,6000
2016-03-14,1457913600,14.23,14.23,14.192,14.192,3500
2016-03-15,1458000000,14.351,14.351,14.192,14.192,2900
2016-03-16,1458086400,14.272,14.272,14.192,14.192,2300
2016-03-17,1458172800,14.192,14.192,14.192,14.192,1000
2016-03-18,1458259200,14.272,14.272,14.272,14.272,500
2016-03-21,1458518400,14.192,14.272,14.192,14.192,3100
2016-03-22,1458604800,14.192,14.192,14.192,14.192,500
2016-03-23,1458691200,14.192,14.391,14.192,14.312,2400
2016-03-24,1458777600,14.594,15.071,14.432,15.071,4200
2016-03-25,1458864000,15.191,15.191,15.151,15.151,1600
2016-03-28,1459123200,15.191,15.191,15.191,15.191,400
2016-03-29,1459209600,15.191,15.191,15.191,15.191,0
2016-03-30,1459296000,15.191,15.353,15.191,15.191,12100
2016-03-31,1459382400,15.31,15.91,15.31,15.551,8900
2016-04-01,1459468800,15.67,16.19,15.59,16.19,2800
2016-04-04,1459728000,16.549,16.549,16.39,16.39,1400
2016-04-05,1459814400,17.149,17.228,16.831,17.228,8500
2016-04-06,1459900800,17.228,17.228,16.831,17.031,2600
2016-04-07,1459987200,16.949,16.949,16.39,16.39,2000
2016-04-08,1460073600,16.59,16.79,16.59,16.709,4400
2016-04-11,1460332800,16.79,17.549,16.79,17.43,12700
2016-04-12,1460419200,17.549,17.59,17.43,17.47,6400
2016-04-13,1460505600,17.39,17.43,17.39,17.43,1740
2016-04-14,1460592000,17.39,17.39,17.39,17.39,1900
2016-04-15,1460678400,17.191,17.191,16.991,16.991,1410
2016-04-19,1461024000,16.79,16.79,16.79,16.79,1120
2016-04-20,1461110400,16.59,16.991,16.59,16.991,2000
2016-04-21,1461196800,16.79,16.831,16.79,16.79,500
2016-04-22,1461283200,16.79,16.831,16.79,16.79,13800
2016-04-25,1461542400,16.79,17.59,16.79,17.59,32900
2016-04-26,1461628800,17.59,19.348,17.59,19.348,60000
2016-04-27,1461715200,19.469,21.267,19.389,21.267,79900
2016-04-28,1461801600,21.307,21.307,20.389,20.389,9200
2016-04-29,1461888000,20.389,20.389,19.792,19.792,16700
2016-05-04,1462320000,19.629,20.787,19.629,20.787,17700
2016-05-05,1462406400,20.629,20.828,20.629,20.787,5200
2016-05-06,1462492800,20.588,20.588,20.389,20.389,3100
2016-05-09,1462752000,20.389,20.389,19.989,19.989,1800
2016-05-10,1462838400,19.989,20.389,19.989,20.389,4600
2016-05-11,1462924800,20.389,20.588,20.189,20.588,3100
2016-05-12,1463011200,20.588,20.588,20.189,20.189,1000
2016-05-13,1463097600,20.189,20.189,19.989,20.189,5500
2016-05-16,1463356800,20.389,20.389,20.189,20.189,1000
2016-05-17,1463443200,20.787,20.787,20.588,20.588,4200
2016-05-18,1463529600,20.787,21.187,20.787,21.187,5300
2016-05-19,1463616000,20.189,21.147,20.189,21.147,200
2016-05-20,1463702400,21.147,21.147,21.147,21.147,0
2016-05-23,1463961600,20.229,20.588,20.229,20.588,800
2016-05-24,1464048000,20.588,20.828,20.588,20.787,800
2016-05-25,1464134400,20.985,21.187,20.985,20.985,11700
2016-05-26,1464220800,21.273,23.067,21.192,23.067,21520
2016-05-27,1464307200,23.842,24.859,23.842,24.45,12810
2016-05-30,1464566400,24.45,24.45,23.637,24.208,2300
2016-05-31,1464652800,23.637,24.859,23.23,24.45,26220
2016-06-01,1464739200,24.044,24.412,24.044,24.086,1000
2016-06-02,1464825600,23.842,23.842,23.842,23.842,3000
2016-06-03,1464912000,24.45,24.655,24.45,24.45,8100
2016-06-06,1465171200,24.249,24.249,24.044,24.044,3000
2016-06-07,1465257600,24.412,24.412,23.637,24.044,2200
2016-06-08,1465344000,24.003,24.003,23.637,24.003,3200
2016-06-09,1465430400,23.024,24.044,23.024,24.044,14400
2016-06-10,1465516800,24.249,24.45,24.044,24.044,5500
2016-06-13,1465776000,24.249,24.249,24.044,24.044,7500
2016-06-14,1465862400,24.249,24.249,24.044,24.208,1900
2016-06-15,1465948800,24.127,24.127,24.044,24.086,6000
2016-06-16,1466035200,24.086,24.249,24.044,24.127,13300
2016-06-17,1466121600,24.044,24.044,24.044,24.044,6700
2016-06-20,1466380800,24.044,25.269,24.044,24.859,15600
2016-06-21,1466467200,24.859,26.49,24.655,26.082,49325
2016-06-22,1466553600,26.49,28.12,26.49,28.12,36480
2016-06-23,1466640000,28.161,28.487,25.714,25.714,9300
2016-06-24,1466726400,27.303,28.282,26.53,27.633,19775
2016-06-27,1466985600,27.385,27.633,26.49,27.303,7210
2016-06-28,1467072000,26.53,26.53,26.082,26.408,11500
2016-06-29,1467158400,26.49,26.49,26.122,26.448,11600
2016-06-30,1467244800,26.328,26.408,26.163,26.367,5040
2016-07-01,1467331200,26.367,28.73,26.367,28.12,52671
2016-07-04,1467590400,27.303,28.323,27.303,28.12,29700
2016-07-05,1467676800,28.12,28.527,28.12,28.323,160500
2016-07-06,1467763200,30.52,30.928,28.487,29.38,18060
2016-07-07,1467849600,29.38,29.38,28.079,28.079,17600
2016-07-08,1467936000,28.487,28.487,27.673,28.487,3400
2016-07-11,1468195200,27.752,28.487,26.044,26.207,26000
2016-07-12,1468281600,26.044,27.591,24.418,27.591,2400
