date,timestamp,open,high,low,close,volume
2016-01-04,1451865600,1.6,1.6,1.5,1.5,2300
2016-01-05,1451952000,1.4,1.6,1.4,1.4,9800
2016-01-06,1452038400,1.3,1.5,1.3,1.5,13230
2016-01-07,1452124800,1.5,1.6,1.5,1.6,960
2016-01-08,1452211200,1.7,1.7,1.5,1.5,1620
2016-01-11,1452470400,1.5,1.5,1.5,1.5,250
2016-01-12,1452556800,1.5,1.5,1.4,1.4,910
2016-01-13,1452643200,1.3,1.3,1.3,1.3,5820
2016-01-14,1452729600,1.2,1.3,1.2,1.3,7780
2016-01-15,1452816000,1.2,1.2,1.2,1.2,50
2016-01-18,1453075200,1.1,1.1,1.1,1.1,12940
2016-01-19,1453161600,1.1,1.2,1.1,1.2,310
2016-01-20,1453248000,1.3,1.3,1.3,1.3,10
2016-01-21,1453334400,1.2,1.2,1.2,1.2,700
2016-01-22,1453420800,1.2,1.3,1.1,1.3,1050
2016-01-25,1453680000,1.3,1.4,1.3,1.4,970
2016-01-26,1453766400,1.3,1.4,1.3,1.4,80
2016-01-27,1453852800,1.3,1.3,1.3,1.3,120
2016-01-28,1453939200,1.2,1.3,1.2,1.3,2570
2016-01-29,1454025600,1.2,1.3,1.2,1.3,20160
2016-02-01,1454284800,1.2,1.2,1.2,1.2,930
2016-02-02,1454371200,1.2,1.2,1.2,1.2,1900
2016-02-03,1454457600,1.1,1.2,1.1,1.2,12700
2016-02-04,1454544000,1.2,1.2,1.1,1.1,250
2016-02-05,1454630400,1.2,1.2,1.2,1.2,5490
2016-02-15,1455494400,1.2,1.3,1.2,1.3,2020
2016-02-16,1455580800,1.4,1.4,1.4,1.4,20
2016-02-17,1455667200,1.3,1.3,1.3,1.3,2000
2016-02-18,1455753600,1.2,1.2,1.2,1.2,6070
2016-02-19,1455840000,1.2,1.2,1.2,1.2,220
2016-02-22,1456099200,1.2,1.3,1.2,1.3,2390
2016-02-23,1456185600,1.2,1.3,1.2,1.3,80
