date,timestamp,open,high,low,close,volume
2017-01-03,1483401600,7.22,7.22,7.22,7.22,15980
2017-01-04,1483488000,6.72,6.72,6.72,6.72,37750
2017-01-05,1483574400,6.25,6.25,6.25,6.25,46580
2017-01-06,1483660800,5.82,5.82,5.82,5.82,56830
2017-01-09,1483920000,5.42,5.42,5.42,5.42,269780
2017-01-10,1484006400,5.05,5.05,5.05,5.05,247960
2017-01-11,1484092800,4.7,4.7,4.7,4.7,2778410
2017-01-12,1484179200,4.8,5.0,4.48,4.52,923070
2017-01-13,1484265600,4.23,4.63,4.23,4.6,362090
2017-01-16,1484524800,4.29,4.6,4.28,4.34,1682380
2017-01-17,1484611200,4.34,4.6,4.25,4.55,645010
2017-01-18,1484697600,4.51,4.57,4.38,4.51,884810
2017-01-19,1484784000,4.45,4.51,4.38,4.51,730340
2017-01-20,1484870400,4.51,4.7,4.43,4.55,916940
2017-01-23,1485129600,4.55,4.56,4.5,4.55,480840
2017-01-24,1485216000,4.55,4.56,4.55,4.55,224290
2017-01-25,1485302400,4.59,4.62,4.55,4.56,842110
2017-02-02,1485993600,4.56,4.57,4.55,4.56,218860
2017-02-03,1486080000,4.56,4.87,4.55,4.87,1392550
2017-02-06,1486339200,5.2,5.21,5.2,5.21,649230
2017-02-07,1486425600,5.52,5.54,5.15,5.15,1419150
2017-02-08,1486512000,5.15,5.17,5.05,5.08,496460
2017-02-09,1486598400,5.11,5.3,5.07,5.07,487390
2017-02-10,1486684800,5.06,5.42,5.02,5.42,1346330
2017-02-13,1486944000,5.52,5.53,5.45,5.49,410130
2017-02-14,1487030400,5.49,5.6,5.4,5.52,847970
2017-02-15,1487116800,5.52,5.6,5.47,5.6,807200
2017-02-16,1487203200,5.59,5.8,5.55,5.73,881500
2017-02-17,1487289600,5.74,5.76,5.68,5.74,792570
2017-02-20,1487548800,5.75,5.78,5.69,5.73,657690
2017-02-21,1487635200,5.73,5.73,5.59,5.59,550030
2017-02-22,1487721600,5.59,5.69,5.31,5.69,997790
2017-02-23,1487808000,5.69,5.74,5.48,5.67,1437630
2017-02-24,1487894400,5.65,5.67,5.49,5.63,494440
2017-02-27,1488153600,5.58,5.58,5.39,5.51,674420
2017-02-28,1488240000,5.44,5.8,5.13,5.64,2051410
2017-03-01,1488326400,5.6,5.6,5.33,5.41,576380
2017-03-02,1488412800,5.41,5.46,5.3,5.34,958320
2017-03-03,1488499200,5.32,5.35,5.29,5.34,606270
2017-03-06,1488758400,5.34,5.39,5.29,5.3,335200
2017-03-07,1488844800,5.32,5.4,5.2,5.39,1292600
2017-03-08,1488931200,5.32,5.39,5.22,5.25,621930
2017-03-09,1489017600,5.25,5.39,5.25,5.25,219430
2017-03-10,1489104000,5.25,5.37,5.25,5.25,372150
2017-03-13,1489363200,5.25,5.31,5.24,5.31,344560
2017-03-14,1489449600,5.33,5.41,5.32,5.37,251010
2017-03-15,1489536000,5.38,5.54,5.38,5.49,382390
2017-03-16,1489622400,5.5,5.7,5.49,5.63,476500
2017-03-17,1489708800,5.63,5.64,5.57,5.57,629230
2017-03-20,1489968000,5.51,5.57,5.49,5.53,225200
2017-03-21,1490054400,5.53,5.6,5.49,5.6,401650
2017-03-22,1490140800,5.55,5.61,5.4,5.45,923670
2017-03-23,1490227200,5.4,5.46,5.2,5.22,754870
2017-03-24,1490313600,5.23,5.29,5.2,5.22,488630
2017-03-27,1490572800,5.23,5.23,5.19,5.22,451410
2017-03-28,1490659200,5.22,5.23,5.11,5.14,390580
2017-03-29,1490745600,5.14,5.14,5.0,5.03,486680
2017-03-30,1490832000,5.03,5.04,5.0,5.03,301700
2017-03-31,1490918400,5.03,5.06,5.0,5.05,513870
2017-04-03,1491177600,5.06,5.4,5.0,5.4,1312940
2017-04-04,1491264000,5.4,5.41,5.32,5.35,785820
2017-04-05,1491350400,5.34,5.38,5.15,5.22,875170
2017-04-07,1491523200,5.21,5.45,5.16,5.23,959590
2017-04-10,1491782400,5.26,5.48,5.24,5.45,778990
2017-04-11,1491868800,5.5,5.83,5.5,5.83,1087970
2017-04-12,1491955200,5.88,6.23,5.81,6.07,1084010
2017-04-13,1492041600,6.13,6.49,6.06,6.48,1201110
2017-04-14,1492128000,6.45,6.93,6.29,6.56,1811320
2017-04-17,1492387200,6.65,7.01,6.65,7.01,1769690
2017-04-18,1492473600,7.1,7.35,6.8,6.95,2014470
2017-04-19,1492560000,6.94,6.94,6.68,6.76,808710
2017-04-20,1492646400,6.76,7.2,6.63,7.05,985110
2017-04-21,1492732800,7.1,7.1,6.76,6.77,703760
2017-04-24,1492992000,6.77,6.8,6.51,6.52,795650
2017-04-25,1493078400,6.53,6.79,6.46,6.67,969960
2017-04-26,1493164800,6.67,7.0,6.63,6.86,903040
2017-04-27,1493251200,6.8,6.91,6.8,6.85,400340
2017-04-28,1493337600,6.87,6.89,6.83,6.89,343810
2017-05-03,1493769600,6.92,7.25,6.89,7.25,794670
2017-05-04,1493856000,7.25,7.5,7.2,7.5,880940
2017-05-05,1493942400,7.48,8.02,7.4,7.73,843250
2017-05-08,1494201600,7.8,8.029,7.63,7.7,1746660
2017-05-09,1494288000,7.7,7.7,7.61,7.65,535950
2017-05-10,1494374400,7.65,7.8,7.61,7.66,686310
2017-05-11,1494460800,7.7,8.189,7.61,8.189,3149780
2017-05-12,1494547200,8.33,8.76,8.33,8.76,1577360
2017-05-15,1494806400,9.1,9.37,8.83,9.37,1903560
2017-05-16,1494892800,9.8,10.0,9.3,9.37,2436270
2017-05-17,1494979200,9.37,9.75,9.28,9.54,1312200
2017-05-18,1495065600,9.37,9.7,9.25,9.55,1914250
2017-05-19,1495152000,9.57,9.6,9.13,9.13,1769490
2017-05-22,1495411200,9.15,9.76,9.1,9.76,1697040
2017-05-23,1495497600,9.92,10.25,9.65,9.65,1159350
2017-05-24,1495584000,9.63,10.3,9.58,10.3,2596230
2017-05-25,1495670400,10.0,10.3,9.58,9.65,4081310
2017-05-26,1495756800,9.64,9.85,9.45,9.65,2006720
2017-05-29,1496016000,9.58,9.6,9.2,9.25,1902560
2017-05-30,1496102400,9.23,9.3,8.65,8.65,2578720
2017-05-31,1496188800,8.63,9.25,8.6,8.88,836600
2017-06-01,1496275200,8.88,9.4,8.83,9.13,792420
2017-06-02,1496361600,9.2,9.7,9.07,9.57,1287430
2017-06-05,1496620800,9.57,10.0,9.48,9.92,1517450
2017-06-06,1496707200,9.92,9.95,9.7,9.77,1655630
2017-06-07,1496793600,9.75,9.85,9.55,9.69,1537190
2017-06-08,1496880000,9.68,9.78,9.37,9.55,1884200
2017-06-09,1496966400,9.55,9.6,9.36,9.37,1790500
2017-06-12,1497225600,9.34,9.8,9.25,9.46,604710
2017-06-13,1497312000,9.46,9.7,9.43,9.6,645760
2017-06-14,1497398400,9.59,9.85,9.52,9.72,829820
2017-06-15,1497484800,9.72,9.8,9.71,9.72,553530
2017-06-16,1497571200,9.73,9.74,9.7,9.73,435860
2017-06-19,1497830400,9.73,9.99,9.6,9.94,1753310
2017-06-20,1497916800,9.91,10.0,9.55,10.0,2360310
2017-06-21,1498003200,10.0,10.0,9.43,9.43,1810460
2017-06-22,1498089600,9.41,9.45,8.85,9.05,2561220
2017-06-23,1498176000,9.03,9.06,8.5,8.75,2486980
2017-06-26,1498435200,8.6,8.75,8.17,8.18,1611090
2017-06-27,1498521600,7.95,8.189,7.65,7.65,1905280
2017-06-28,1498608000,7.61,7.9,7.39,7.42,2103070
2017-06-29,1498694400,7.44,7.79,7.41,7.42,2200220
2017-06-30,1498780800,7.42,7.58,7.1,7.13,2186610
2017-07-03,1499040000,7.15,7.23,6.69,6.69,2499990
