date,timestamp,open,high,low,close,volume
2017-01-03,1483401600,6.169,6.56,6.169,6.482,973888
2017-01-04,1483488000,6.482,6.56,6.326,6.404,492478
2017-01-05,1483574400,6.404,6.482,6.326,6.404,595407
2017-01-06,1483660800,6.404,6.56,6.326,6.56,559445
2017-01-09,1483920000,6.56,6.638,6.326,6.326,571800
2017-01-10,1484006400,6.326,6.404,6.247,6.247,440033
2017-01-11,1484092800,6.247,6.482,6.247,6.404,317540
2017-01-12,1484179200,6.404,6.482,6.326,6.404,236330
2017-01-13,1484265600,6.404,6.482,6.326,6.404,339018
2017-01-16,1484524800,6.326,6.404,6.247,6.326,397100
2017-01-17,1484611200,6.247,6.404,6.169,6.326,367260
2017-01-18,1484697600,6.404,6.56,6.404,6.56,539000
2017-01-19,1484784000,6.638,6.716,6.56,6.638,576490
2017-01-20,1484870400,6.638,6.638,6.404,6.482,366100
2017-01-23,1485129600,6.482,6.482,6.247,6.404,359130
2017-01-24,1485216000,6.404,6.482,6.247,6.404,334100
2017-01-25,1485302400,6.404,6.56,6.326,6.482,293100
2017-02-02,1485993600,6.482,6.56,6.326,6.56,200800
2017-02-03,1486080000,6.482,6.716,6.482,6.638,511300
2017-02-06,1486339200,6.638,6.716,6.482,6.638,701200
2017-02-07,1486425600,6.56,6.638,6.482,6.56,349400
2017-02-08,1486512000,6.56,6.95,6.56,6.95,860679
2017-02-09,1486598400,7.497,7.497,6.872,6.95,824638
2017-02-10,1486684800,6.95,7.263,6.872,7.185,621025
2017-02-13,1486944000,7.107,7.185,7.029,7.107,345810
2017-02-14,1487030400,7.029,7.107,6.95,7.029,751600
2017-02-15,1487116800,7.029,7.107,6.95,7.107,486297
2017-02-16,1487203200,7.029,7.263,7.029,7.185,551921
2017-02-17,1487289600,7.107,7.107,6.95,6.95,282600
2017-02-20,1487548800,6.95,7.107,6.872,7.107,480908
2017-02-21,1487635200,7.107,7.497,7.029,7.497,585693
2017-02-22,1487721600,7.497,7.497,7.341,7.419,336604
2017-02-23,1487808000,7.419,7.575,7.341,7.575,346250
2017-02-24,1487894400,7.575,7.732,7.419,7.654,464611
2017-02-27,1488153600,7.654,7.654,7.419,7.575,292643
2017-02-28,1488240000,7.497,7.654,7.497,7.575,248287
2017-03-01,1488326400,7.575,7.575,7.341,7.419,319348
2017-03-02,1488412800,7.419,7.654,7.419,7.654,414643
2017-03-03,1488499200,7.654,7.654,7.419,7.654,457882
2017-03-06,1488758400,7.654,7.732,7.497,7.654,347800
2017-03-07,1488844800,7.654,7.81,7.497,7.81,347700
2017-03-08,1488931200,7.81,8.2,7.81,8.2,1085116
2017-03-09,1489017600,8.2,8.591,7.966,8.591,586450
2017-03-10,1489104000,8.591,8.591,8.278,8.513,454132
2017-03-13,1489363200,8.357,8.357,7.966,8.2,681465
2017-03-14,1489449600,8.122,8.747,7.966,8.747,542902
2017-03-15,1489536000,8.747,8.982,7.966,8.825,697350
2017-03-16,1489622400,8.591,8.669,8.357,8.435,374910
2017-03-17,1489708800,8.513,8.513,8.2,8.513,363030
2017-03-20,1489968000,8.513,8.591,8.278,8.435,369474
2017-03-21,1490054400,8.2,8.513,8.2,8.2,423575
2017-03-22,1490140800,8.2,8.591,8.044,8.591,749632
2017-03-23,1490227200,8.513,8.513,8.122,8.2,674046
2017-03-24,1490313600,8.044,8.278,8.044,8.044,339340
2017-03-27,1490572800,8.122,8.278,7.966,8.2,476300
2017-03-28,1490659200,8.2,8.2,7.966,8.122,426236
2017-03-29,1490745600,8.122,8.2,7.888,7.888,393321
2017-03-30,1490832000,8.122,8.2,7.888,8.122,270160
2017-03-31,1490918400,8.122,8.122,7.732,7.81,890560
2017-04-03,1491177600,7.81,7.81,7.419,7.419,460841
2017-04-04,1491264000,7.419,8.044,7.419,7.888,776380
2017-04-05,1491350400,7.81,7.966,7.732,7.966,320210
2017-04-07,1491523200,7.966,7.966,7.81,7.966,254419
2017-04-10,1491782400,7.966,8.122,7.81,7.966,645600
2017-04-11,1491868800,7.888,8.122,7.81,7.888,653440
2017-04-12,1491955200,7.888,7.966,7.654,7.732,333800
2017-04-13,1492041600,7.732,7.81,7.575,7.732,299100
2017-04-14,1492128000,7.732,7.732,7.419,7.654,198339
2017-04-17,1492387200,7.419,7.732,7.419,7.419,217630
2017-04-18,1492473600,7.497,7.575,7.263,7.497,87465
2017-04-19,1492560000,7.497,7.497,6.794,6.794,1239200
2017-04-20,1492646400,6.794,6.794,6.247,6.56,483425
2017-04-21,1492732800,6.482,6.794,6.482,6.716,106602
2017-04-24,1492992000,6.638,6.716,6.404,6.482,212100
2017-04-25,1493078400,6.482,6.638,6.091,6.091,457725
2017-04-26,1493164800,6.247,6.404,5.935,6.404,291902
