date,timestamp,open,high,low,close,volume
2017-01-03,1483401600,20.086,20.086,20.086,20.086,0
2017-01-04,1483488000,20.883,20.883,20.883,20.883,10
2017-01-05,1483574400,20.883,20.883,20.883,20.883,0
2017-01-06,1483660800,20.883,20.883,20.883,20.883,0
2017-01-09,1483920000,20.812,20.812,20.812,20.812,10
2017-01-10,1484006400,19.796,19.796,19.796,19.796,3500
2017-01-11,1484092800,19.796,19.796,19.796,19.796,0
2017-01-12,1484179200,19.796,19.796,19.796,19.796,0
2017-01-13,1484265600,19.796,19.796,19.796,19.796,0
2017-01-16,1484524800,19.796,19.796,19.796,19.796,0
2017-01-17,1484611200,19.796,19.796,19.796,19.796,0
2017-01-18,1484697600,19.796,19.796,19.796,19.796,0
2017-01-19,1484784000,19.796,19.796,19.796,19.796,0
2017-01-20,1484870400,19.143,19.143,19.143,19.143,10
2017-01-23,1485129600,17.838,17.838,17.838,17.838,5940
2017-01-24,1485216000,17.766,17.766,17.548,17.548,8500
2017-01-25,1485302400,17.403,17.403,17.403,17.403,4810
2017-02-02,1485993600,17.04,17.04,17.04,17.04,640
2017-02-03,1486080000,18.055,18.055,18.055,18.055,10
2017-02-06,1486339200,17.766,17.766,17.766,17.766,90
2017-02-07,1486425600,17.403,17.403,17.403,17.403,260
2017-02-08,1486512000,17.403,17.403,17.331,17.331,350
2017-02-09,1486598400,18.491,18.491,17.693,18.128,3320
2017-02-10,1486684800,17.258,17.258,17.258,17.258,20
2017-02-13,1486944000,17.258,18.454,17.258,18.454,12950
2017-02-14,1487030400,19.216,19.724,18.853,19.724,5310
2017-02-15,1487116800,19.724,21.029,19.724,21.029,540
2017-02-16,1487203200,21.173,21.173,21.173,21.173,20
2017-02-17,1487289600,21.029,21.247,21.029,21.247,600
2017-02-20,1487548800,21.029,21.247,20.303,20.303,250
2017-02-21,1487635200,20.194,20.194,20.194,20.194,20
2017-02-22,1487721600,20.303,20.303,18.818,20.303,720
2017-02-23,1487808000,20.521,20.521,19.578,19.942,50
2017-02-24,1487894400,18.563,19.578,18.563,19.578,510
2017-02-27,1488153600,18.236,19.578,18.236,19.578,1380
2017-02-28,1488240000,18.236,19.506,18.236,19.434,1050
2017-03-01,1488326400,20.16,20.16,18.128,18.128,20
2017-03-02,1488412800,17.548,19.071,17.403,19.071,5590
2017-03-03,1488499200,17.765,20.303,17.766,20.303,30
2017-03-06,1488758400,19.578,19.578,19.578,19.578,110
2017-03-07,1488844800,19.942,19.942,19.942,19.942,10
2017-03-08,1488931200,19.506,20.231,19.506,20.231,940
2017-03-09,1489017600,18.818,18.818,18.818,18.818,1290
2017-03-10,1489104000,19.434,19.506,19.434,19.506,80
2017-03-13,1489363200,20.303,20.303,20.303,20.303,10
2017-03-14,1489449600,19.868,19.942,19.868,19.942,560
2017-03-15,1489536000,19.942,19.942,19.216,19.942,2430
2017-03-16,1489622400,18.636,19.868,18.563,19.868,1750
2017-03-17,1489708800,20.231,20.231,18.563,18.563,20
2017-03-20,1489968000,19.578,19.578,19.578,19.578,2580
2017-03-21,1490054400,19.942,19.942,19.868,19.868,30
2017-03-22,1490140800,19.651,19.796,19.651,19.796,1600
2017-03-23,1490227200,19.724,20.267,19.724,20.013,40
2017-03-24,1490313600,18.672,19.506,18.672,19.506,20
2017-03-27,1490572800,19.905,19.905,19.905,19.905,10
2017-03-28,1490659200,19.905,19.905,19.905,19.905,0
2017-03-29,1490745600,18.563,18.563,18.563,18.563,3700
2017-03-30,1490832000,18.128,19.796,18.128,19.578,460
2017-03-31,1490918400,19.216,19.216,19.216,19.216,130
2017-04-03,1491177600,19.216,19.578,19.216,19.578,2020
2017-04-04,1491264000,19.289,19.506,19.289,19.506,2010
2017-04-05,1491350400,20.303,20.303,20.303,20.303,10
2017-04-07,1491523200,20.303,20.303,20.303,20.303,0
2017-04-10,1491782400,20.303,20.303,20.303,20.303,0
2017-04-11,1491868800,20.303,20.303,20.303,20.303,0
2017-04-12,1491955200,19.868,19.942,18.889,18.889,30
2017-04-13,1492041600,18.852,18.889,17.584,17.584,7590
2017-04-14,1492128000,17.403,18.781,17.403,18.491,22820
2017-04-17,1492387200,19.687,19.76,18.236,18.236,1110
2017-04-18,1492473600,19.434,19.506,18.128,18.128,1210
2017-04-19,1492560000,19.143,19.397,19.143,19.397,13860
2017-04-20,1492646400,20.303,20.303,18.419,18.419,30
2017-04-21,1492732800,18.491,18.563,18.491,18.563,4320
2017-04-24,1492992000,18.563,19.578,18.563,19.578,2020
2017-04-25,1493078400,19.542,19.578,19.542,19.578,2600
2017-04-26,1493164800,19.506,19.578,19.506,19.578,45310
2017-04-27,1493251200,19.578,20.303,19.506,19.578,10640
2017-04-28,1493337600,20.231,20.303,19.578,20.303,1240
2017-05-03,1493769600,20.303,21.682,19.615,21.029,6540
2017-05-04,1493856000,20.303,21.029,20.303,20.303,28720
2017-05-05,1493942400,20.303,21.717,20.303,21.717,203380
2017-05-08,1494201600,21.754,23.204,21.029,23.204,89130
2017-05-09,1494288000,24.655,24.8,24.655,24.8,111450
2017-05-10,1494374400,25.307,26.502,24.655,26.502,96290
2017-05-11,1494460800,26.502,28.28,26.502,28.28,105410
2017-05-12,1494547200,28.28,28.86,26.468,28.86,292530
2017-05-15,1494806400,26.866,26.903,26.866,26.866,230
2017-05-16,1494892800,25.017,25.089,25.017,25.017,9760
2017-05-17,1494979200,23.566,23.566,23.277,23.277,9830
2017-05-18,1495065600,23.93,23.93,21.682,21.754,15520
2017-05-19,1495152000,23.277,23.277,21.029,23.277,800
2017-05-22,1495411200,24.655,24.655,24.655,24.655,10
2017-05-23,1495497600,25.379,25.379,25.379,25.379,2200
2017-05-24,1495584000,23.639,23.856,23.603,23.603,1380
2017-05-25,1495670400,22.479,22.479,21.972,21.972,4030
2017-05-26,1495756800,20.738,21.972,20.449,21.972,11940
2017-05-29,1496016000,21.754,21.754,21.754,21.754,60
2017-05-30,1496102400,21.9,21.972,21.754,21.754,8650
2017-05-31,1496188800,21.355,21.754,21.355,21.682,440
2017-06-01,1496275200,21.029,21.754,21.029,21.754,1410
2017-06-02,1496361600,21.754,21.9,21.754,21.754,360
2017-06-05,1496620800,20.667,21.826,20.485,21.826,110
2017-06-06,1496707200,21.754,21.826,20.521,21.826,890
2017-06-07,1496793600,20.667,21.972,20.521,21.972,320
2017-06-08,1496880000,21.972,21.972,21.972,21.972,310
2017-06-09,1496966400,22.914,23.494,21.754,21.754,6800
2017-06-12,1497225600,21.754,21.754,21.754,21.754,5000
2017-06-13,1497312000,21.754,21.754,21.754,21.754,0
2017-06-14,1497398400,21.754,21.754,21.754,21.754,0
2017-06-15,1497484800,20.376,21.754,20.376,21.754,2770
2017-06-16,1497571200,21.754,21.754,21.754,21.754,4500
2017-06-19,1497830400,20.667,21.682,20.667,21.682,1610
2017-06-20,1497916800,21.754,21.972,20.449,21.754,2980
2017-06-21,1498003200,23.023,23.023,21.717,21.754,160
2017-06-22,1498089600,22.443,22.479,20.667,20.667,820
2017-06-23,1498176000,20.34,21.754,20.303,21.754,2960
2017-06-26,1498435200,23.153,23.23,23.153,23.23,1300
2017-06-27,1498521600,23.075,23.23,22.92,23.23,4400
2017-06-28,1498608000,22.181,23.23,22.142,23.23,19410
2017-06-29,1498694400,22.92,23.541,22.92,23.308,110480
2017-06-30,1498780800,23.308,23.541,23.308,23.541,150
2017-07-03,1499040000,23.347,23.463,23.347,23.463,19510
2017-07-04,1499126400,23.463,25.094,23.308,25.094,14680
2017-07-05,1499212800,23.385,24.861,23.347,23.347,530
2017-07-06,1499299200,22.92,23.541,22.92,23.541,260
2017-07-07,1499385600,22.686,23.541,22.531,22.531,1910
2017-07-10,1499644800,23.23,23.23,23.23,23.23,10
2017-07-11,1499731200,23.502,23.541,23.502,23.541,20
2017-07-12,1499817600,24.473,24.551,23.541,23.541,810
2017-07-13,1499904000,23.541,23.541,23.541,23.541,100
2017-07-14,1499990400,23.308,23.541,22.142,23.541,52520
2017-07-17,1500249600,23.463,23.463,23.463,23.463,5000
2017-07-18,1500336000,23.463,23.541,23.308,23.463,3640
2017-07-19,1500422400,23.424,23.463,23.424,23.463,250
2017-07-20,1500508800,22.181,23.463,22.181,23.463,110
2017-07-21,1500595200,23.463,23.463,23.463,23.463,0
2017-07-24,1500854400,23.541,23.541,23.541,23.541,10
2017-07-25,1500940800,23.502,23.541,23.502,23.541,13110
2017-07-26,1501027200,23.463,23.541,22.221,22.221,10310
2017-07-27,1501113600,23.308,23.308,23.308,23.308,10
2017-07-28,1501200000,21.754,21.754,21.754,21.754,4500
2017-07-31,1501459200,21.055,22.881,21.055,22.375,140
2017-08-01,1501545600,22.881,22.881,21.21,21.21,710
2017-08-02,1501632000,21.365,21.754,21.365,21.365,3060
2017-08-03,1501718400,22.064,22.142,20.433,20.433,5000
2017-08-04,1501804800,21.715,21.832,20.744,20.822,6160
2017-08-07,1502064000,21.754,22.259,21.172,21.172,3520
2017-08-08,1502150400,22.104,22.647,21.754,21.754,30510
2017-08-09,1502236800,22.531,22.531,21.404,21.404,30
2017-08-10,1502323200,22.531,22.881,20.627,20.627,4180
2017-08-11,1502409600,21.754,21.754,20.549,20.549,20
2017-08-14,1502668800,21.754,21.754,21.754,21.754,1010
2017-08-15,1502755200,20.355,22.531,20.238,20.588,1230
2017-08-16,1502841600,21.754,21.754,20.744,20.744,1160
2017-08-17,1502928000,21.754,21.754,21.754,21.754,10
2017-08-18,1503014400,21.754,22.375,21.754,22.375,220
2017-08-21,1503273600,22.142,23.153,22.142,23.153,210
2017-08-22,1503360000,23.23,23.23,21.754,22.531,2830
2017-08-23,1503446400,23.153,23.153,23.153,23.153,10
2017-08-24,1503532800,22.142,23.153,22.142,23.153,3020
2017-08-25,1503619200,23.153,23.153,23.153,23.153,0
2017-08-28,1503878400,21.676,23.113,21.676,23.113,40
2017-08-29,1503964800,21.793,22.531,21.754,21.754,2040
2017-08-30,1504051200,21.754,21.754,21.754,21.754,490
2017-08-31,1504137600,21.676,22.492,21.676,22.492,1010
2017-09-01,1504224000,22.531,23.191,22.531,23.191,2910
2017-09-05,1504569600,23.191,23.191,23.191,23.191,0
2017-09-06,1504656000,21.754,22.841,21.754,22.803,58730
2017-09-07,1504742400,22.492,22.492,22.298,22.298,70
2017-09-08,1504828800,22.142,23.153,22.142,23.153,1000
2017-09-11,1505088000,23.153,23.153,23.153,23.153,0
2017-09-12,1505174400,23.153,23.153,23.153,23.153,0
2017-09-13,1505260800,22.492,22.531,22.492,22.531,1000
2017-09-14,1505347200,21.015,22.414,21.015,22.414,4750
2017-09-15,1505433600,23.23,23.23,22.531,22.531,360
2017-09-18,1505692800,22.686,23.269,22.686,23.269,30
2017-09-19,1505779200,21.754,22.803,21.754,22.803,530
2017-09-20,1505865600,21.365,21.365,21.365,21.365,500
2017-09-21,1505952000,22.259,22.725,22.259,22.725,410
2017-09-22,1506038400,22.881,22.881,21.172,22.803,2220
2017-09-25,1506297600,22.841,23.541,21.365,23.308,4970
2017-09-26,1506384000,21.676,23.191,21.676,23.191,510
2017-09-27,1506470400,21.754,23.035,21.754,23.035,330
2017-09-28,1506556800,21.598,22.725,21.598,22.531,30
2017-09-29,1506643200,22.531,22.531,22.531,22.531,0
2017-10-02,1506902400,23.075,23.075,22.803,22.803,50
2017-10-03,1506988800,22.803,22.803,22.803,22.803,0
2017-10-04,1507075200,22.453,22.725,22.453,22.725,1150
2017-10-05,1507161600,22.841,23.23,21.444,21.444,4550
2017-10-06,1507248000,22.336,22.841,20.084,20.278,11930
2017-10-09,1507507200,20.395,21.676,20.2,20.744,26510
2017-10-10,1507593600,22.104,22.104,20.744,22.104,2690
2017-10-11,1507680000,21.015,23.113,20.977,23.113,1030
2017-10-12,1507766400,21.521,21.754,21.521,21.521,61040
2017-10-13,1507852800,20.705,20.705,20.045,20.355,10060
2017-10-16,1508112000,20.355,20.822,20.355,20.822,1160
2017-10-17,1508198400,20.395,20.395,20.395,20.395,10
2017-10-18,1508284800,19.424,21.754,19.424,21.754,2020
2017-10-19,1508371200,20.395,23.269,20.395,23.269,10150
2017-10-20,1508457600,23.269,23.269,21.91,23.269,5450
2017-10-23,1508716800,24.046,24.046,24.046,24.046,5010
2017-10-24,1508803200,24.007,24.084,23.696,23.696,5920
2017-10-25,1508889600,24.861,25.094,24.861,25.094,160
2017-10-26,1508976000,24.084,25.094,24.084,25.094,1400
2017-10-27,1509062400,23.347,25.173,23.347,25.173,2590
2017-10-30,1509321600,26.416,26.416,26.416,26.416,400
2017-10-31,1509408000,26.416,26.416,26.416,26.416,0
2017-11-01,1509494400,24.629,24.629,24.629,24.629,10
2017-11-02,1509580800,23.308,24.861,22.92,22.92,580
2017-11-03,1509667200,24.084,24.084,24.084,24.084,610
2017-11-06,1509926400,22.453,22.453,22.453,22.453,110
2017-11-07,1510012800,24.007,24.007,24.007,24.007,10
2017-11-08,1510099200,24.007,24.007,24.007,24.007,0
2017-11-09,1510185600,22.336,24.084,22.336,24.084,7340
