date,timestamp,open,high,low,close,volume
2017-11-03,1509667200,21.106,24.41,21.03,21.03,26400
2017-11-06,1509926400,19.528,20.654,19.528,19.679,20190
2017-11-07,1510012800,20.28,20.654,20.28,20.654,4200
2017-11-08,1510099200,20.129,20.581,20.129,20.581,4000
2017-11-09,1510185600,20.581,20.654,19.528,20.654,22770
2017-11-10,1510272000,20.28,20.28,19.98,19.98,7720
2017-11-13,1510531200,19.98,19.98,19.528,19.528,74000
2017-11-14,1510617600,19.528,19.528,19.453,19.528,26500
2017-11-15,1510704000,19.378,19.528,19.378,19.528,31500
2017-11-16,1510790400,19.528,20.28,19.528,20.28,3000
2017-11-17,1510876800,19.528,19.528,19.378,19.528,25000
2017-11-20,1511136000,19.528,19.528,19.453,19.453,9500
2017-11-21,1511222400,19.528,19.528,19.378,19.528,15100
2017-11-22,1511308800,19.303,19.904,19.303,19.679,4200
2017-11-23,1511395200,19.528,19.528,19.303,19.528,16220
2017-11-24,1511481600,19.378,20.955,19.378,20.28,68270
2017-11-27,1511740800,20.28,20.805,19.904,19.904,71310
2017-11-28,1511827200,20.205,21.781,20.205,20.28,7660
2017-11-29,1511913600,20.28,20.28,20.053,20.053,24000
2017-11-30,1512000000,20.129,20.28,19.679,20.205,18000
2017-12-01,1512086400,19.98,20.88,19.98,20.88,47510
2017-12-04,1512345600,20.654,20.654,20.654,20.654,110
2017-12-05,1512432000,21.181,21.181,19.98,19.98,5420
2017-12-06,1512518400,19.604,19.604,19.604,19.604,200
2017-12-07,1512604800,20.28,20.28,20.28,20.28,410
2017-12-08,1512691200,20.28,20.28,20.28,20.28,10000
2017-12-11,1512950400,20.654,20.654,19.303,19.528,1500
2017-12-12,1513036800,19.378,19.753,19.378,19.753,5500
2017-12-13,1513123200,17.501,19.829,17.425,18.777,68700
2017-12-14,1513209600,19.528,20.354,19.528,19.528,14400
2017-12-15,1513296000,17.725,20.28,17.725,19.829,221400
2017-12-18,1513555200,19.829,19.904,19.829,19.829,45900
2017-12-19,1513641600,19.829,19.829,19.829,19.829,0
2017-12-20,1513728000,19.152,19.152,19.152,19.152,1000
2017-12-21,1513814400,19.152,19.528,18.777,18.777,8200
2017-12-22,1513900800,19.152,19.528,19.077,19.528,1100
2017-12-25,1514160000,18.927,18.927,18.777,18.777,3400
2017-12-26,1514246400,18.853,19.077,18.477,18.477,6600
2017-12-27,1514332800,18.702,18.702,18.702,18.702,1700
2017-12-28,1514419200,18.702,18.702,18.702,18.702,1000
2017-12-29,1514505600,18.402,19.904,18.402,19.904,26300
