date,timestamp,open,high,low,close,volume
2017-01-03,1483401600,3.954,4.275,3.954,4.275,520
2017-01-04,1483488000,4.267,4.337,4.267,4.337,22320
2017-01-05,1483574400,4.275,4.275,4.275,4.275,6010
2017-01-06,1483660800,4.21,4.21,4.21,4.21,10000
2017-01-09,1483920000,4.337,4.337,4.337,4.337,10
2017-01-10,1484006400,4.21,4.402,4.096,4.113,7480
2017-01-11,1484092800,4.12,4.275,4.12,4.275,34480
2017-01-12,1484179200,4.275,4.275,4.275,4.275,0
2017-01-13,1484265600,4.275,4.275,4.275,4.275,0
2017-01-16,1484524800,4.402,4.402,4.145,4.145,1250
2017-01-17,1484611200,4.307,4.307,4.275,4.275,21900
2017-01-18,1484697600,4.402,4.466,4.337,4.337,62370
2017-01-19,1484784000,4.466,4.466,4.145,4.434,17660
2017-01-20,1484870400,4.145,4.145,4.145,4.145,5480
2017-01-23,1485129600,4.145,4.402,3.859,4.402,30620
2017-01-24,1485216000,4.402,4.466,4.402,4.466,350
2017-01-25,1485302400,4.483,4.483,4.402,4.402,460
2017-02-02,1485993600,4.402,4.402,4.402,4.402,0
2017-02-03,1486080000,4.657,4.657,4.657,4.657,10
2017-02-06,1486339200,4.332,4.466,4.332,4.466,1100
2017-02-07,1486425600,4.466,4.466,4.223,4.466,1090
2017-02-08,1486512000,4.261,4.759,4.261,4.434,37350
2017-02-09,1486598400,4.466,4.466,4.337,4.337,1630
2017-02-10,1486684800,4.623,4.623,4.623,4.623,10
2017-02-13,1486944000,4.307,4.623,4.307,4.623,15100
2017-02-14,1487030400,4.623,4.721,4.528,4.623,8710
2017-02-15,1487116800,4.623,4.623,4.623,4.623,5000
2017-02-16,1487203200,4.402,4.943,4.402,4.943,1230
2017-02-17,1487289600,4.599,4.599,4.599,4.599,10
2017-02-20,1487548800,4.382,4.528,4.376,4.528,1200
2017-02-21,1487635200,4.389,4.689,4.389,4.657,8870
2017-02-22,1487721600,4.657,4.657,4.657,4.657,0
2017-02-23,1487808000,4.689,4.689,4.389,4.528,8710
2017-02-24,1487894400,4.528,4.528,4.528,4.528,0
2017-02-27,1488153600,4.466,4.466,4.466,4.466,15300
2017-02-28,1488240000,4.466,4.466,4.466,4.466,1560
2017-03-01,1488326400,4.466,4.657,4.466,4.478,19000
2017-03-02,1488412800,4.497,4.497,4.471,4.478,13100
2017-03-03,1488499200,4.471,4.478,4.471,4.478,6900
2017-03-06,1488758400,4.528,4.528,4.528,4.528,20550
2017-03-07,1488844800,4.536,4.84,4.536,4.84,53870
2017-03-08,1488931200,4.847,5.039,4.657,4.911,21910
2017-03-09,1489017600,4.657,4.911,4.657,4.783,3040
2017-03-10,1489104000,4.907,4.911,4.783,4.847,13450
2017-03-13,1489363200,5.026,5.026,4.783,4.783,1100
2017-03-14,1489449600,4.976,5.039,4.976,4.976,24500
2017-03-15,1489536000,4.976,5.039,4.847,5.039,48490
2017-03-16,1489622400,5.033,5.071,5.033,5.071,64120
2017-03-17,1489708800,5.166,5.166,4.732,4.847,1510
2017-03-20,1489968000,4.976,4.976,4.88,4.88,5240
2017-03-21,1490054400,4.976,5.033,4.976,5.007,13720
2017-03-22,1490140800,5.071,5.071,4.976,5.007,11300
2017-03-23,1490227200,4.918,5.039,4.918,5.039,20170
2017-03-24,1490313600,5.039,5.039,4.943,4.943,21810
2017-03-27,1490572800,4.918,5.033,4.918,5.033,4810
2017-03-28,1490659200,4.924,5.007,4.866,5.007,4800
2017-03-29,1490745600,4.918,5.007,4.911,5.007,57450
2017-03-30,1490832000,4.995,5.007,4.976,5.007,37600
2017-03-31,1490918400,4.976,5.007,4.957,5.007,10100
2017-04-03,1491177600,5.0,5.007,5.0,5.007,22130
2017-04-04,1491264000,4.847,5.0,4.847,5.0,3810
2017-04-05,1491350400,4.976,4.976,4.943,4.943,10950
