date,timestamp,open,high,low,close,volume
2017-01-03,1483401600,14.921,15.129,14.921,15.129,40
2017-01-04,1483488000,14.175,14.839,14.093,14.382,4890
2017-01-05,1483574400,14.839,14.839,13.388,13.678,16480
2017-01-06,1483660800,14.093,14.59,14.093,14.59,140
2017-01-09,1483920000,14.093,14.921,13.595,14.921,30460
2017-01-10,1484006400,14.175,15.336,14.175,15.17,5020
2017-01-11,1484092800,14.921,15.999,14.921,15.957,14810
2017-01-12,1484179200,15.75,16.248,15.17,15.212,15320
2017-01-13,1484265600,15.502,15.502,15.17,15.17,2690
2017-01-16,1484524800,15.087,15.668,15.087,15.668,2040
2017-01-17,1484611200,15.087,15.584,14.839,15.005,5340
2017-01-18,1484697600,15.253,15.253,14.839,15.17,520
2017-01-19,1484784000,14.839,15.253,14.839,15.253,110
2017-01-20,1484870400,14.756,15.17,14.673,15.17,3240
2017-01-23,1485129600,15.17,15.17,15.17,15.17,0
2017-01-24,1485216000,14.673,15.17,14.507,15.17,6280
2017-01-25,1485302400,14.839,15.17,14.59,15.17,210
2017-02-02,1485993600,14.507,14.921,14.134,14.673,11670
2017-02-03,1486080000,14.673,14.673,13.844,14.093,4510
2017-02-06,1486339200,14.093,14.341,14.093,14.341,1060
2017-02-07,1486425600,14.093,14.839,14.093,14.839,50
2017-02-08,1486512000,15.045,15.045,14.839,14.921,510
2017-02-09,1486598400,15.005,15.005,14.382,14.424,9960
2017-02-10,1486684800,14.921,14.921,14.756,14.839,620
2017-02-13,1486944000,14.839,15.294,14.424,15.294,21550
2017-02-14,1487030400,15.336,15.336,14.921,15.294,600
2017-02-15,1487116800,15.336,15.336,14.921,15.294,730
2017-02-16,1487203200,14.507,15.129,14.507,15.129,1300
2017-02-17,1487289600,14.466,15.668,14.466,15.668,3180
2017-02-20,1487548800,16.289,16.289,14.59,15.584,6970
2017-02-21,1487635200,14.631,15.584,14.548,15.336,3120
2017-02-22,1487721600,15.294,15.294,15.294,15.294,80
2017-02-23,1487808000,15.294,15.626,14.631,15.336,6270
2017-02-24,1487894400,15.336,16.372,14.839,15.626,24750
2017-02-27,1488153600,15.709,15.709,15.584,15.709,3440
2017-02-28,1488240000,15.709,16.372,15.709,16.331,26510
2017-03-01,1488326400,15.833,16.123,15.709,15.999,30980
2017-03-02,1488412800,15.957,15.957,15.378,15.917,1710
2017-03-03,1488499200,15.917,16.082,15.626,16.082,8100
2017-03-06,1488758400,15.75,15.833,15.544,15.833,10180
2017-03-07,1488844800,16.204,16.667,16.157,16.528,3420
2017-03-08,1488931200,16.296,16.296,15.648,15.741,9410
2017-03-09,1489017600,16.204,16.204,15.741,16.018,50
2017-03-10,1489104000,15.37,15.37,15.046,15.093,5090
2017-03-13,1489363200,15.602,15.602,14.722,15.093,90
2017-03-14,1489449600,15.324,15.324,14.815,15.324,1660
2017-03-15,1489536000,15.602,15.602,15.093,15.324,420
2017-03-16,1489622400,14.444,15.37,14.444,14.676,1070
2017-03-17,1489708800,15.185,15.231,13.843,15.231,5090
2017-03-20,1489968000,14.352,15.324,14.352,15.324,23890
2017-03-21,1490054400,15.278,15.278,14.907,15.185,940
2017-03-22,1490140800,15.093,15.093,14.722,14.722,3640
2017-03-23,1490227200,14.722,15.093,14.491,14.861,2140
2017-03-24,1490313600,14.444,14.815,14.352,14.722,2040
2017-03-27,1490572800,14.352,14.815,14.352,14.815,8970
2017-03-28,1490659200,14.815,14.815,14.398,14.815,3290
2017-03-29,1490745600,14.398,14.769,13.843,13.843,16620
2017-03-30,1490832000,14.583,14.63,13.704,14.583,5610
2017-03-31,1490918400,14.769,14.769,13.889,14.537,310
2017-04-03,1491177600,14.537,14.676,14.537,14.676,320
2017-04-04,1491264000,14.491,14.63,13.889,14.63,6110
2017-04-05,1491350400,14.63,14.63,14.213,14.537,2210
2017-04-07,1491523200,14.769,14.769,14.769,14.769,10
2017-04-10,1491782400,14.769,14.769,14.398,14.444,1040
2017-04-11,1491868800,14.537,14.63,14.537,14.63,290
2017-04-12,1491955200,14.676,14.722,14.074,14.583,1110
2017-04-13,1492041600,14.769,14.769,14.12,14.769,1900
2017-04-14,1492128000,14.352,14.352,14.352,14.352,30
2017-04-17,1492387200,14.722,14.722,14.167,14.676,530
2017-04-18,1492473600,13.889,14.63,13.75,14.537,940
2017-04-19,1492560000,13.889,14.537,13.704,14.537,8370
2017-04-20,1492646400,14.583,14.583,13.75,14.491,1960
2017-04-21,1492732800,13.889,14.398,13.889,14.398,1750
2017-04-24,1492992000,13.75,14.676,13.75,14.676,2320
2017-04-25,1493078400,14.676,15.231,14.676,15.093,2410
2017-04-26,1493164800,15.093,15.231,15.093,15.231,4930
2017-04-27,1493251200,15.046,15.093,15.046,15.093,190
2017-04-28,1493337600,14.352,15.139,14.352,15.139,10310
2017-05-03,1493769600,14.815,15.093,14.815,15.093,5120
2017-05-04,1493856000,15.093,15.324,15.093,15.324,7290
2017-05-05,1493942400,14.907,15.139,14.907,15.139,230
2017-05-08,1494201600,15.278,15.278,14.861,15.185,6330
2017-05-09,1494288000,14.861,15.185,14.815,15.185,1920
2017-05-10,1494374400,15.278,15.324,14.444,15.324,3840
2017-05-11,1494460800,15.0,15.0,15.0,15.0,70
2017-05-12,1494547200,14.815,15.278,14.815,15.231,1140
2017-05-15,1494806400,15.231,15.231,15.231,15.231,60
2017-05-16,1494892800,14.537,15.185,14.491,15.093,530
2017-05-17,1494979200,15.093,15.093,14.259,15.046,490
2017-05-18,1495065600,14.815,14.815,14.769,14.769,110
2017-05-19,1495152000,14.722,14.722,14.722,14.722,640
2017-05-22,1495411200,15.185,15.185,14.583,15.093,120
2017-05-23,1495497600,15.0,15.0,15.0,15.0,30
2017-05-24,1495584000,15.231,15.231,14.583,15.185,220
2017-05-25,1495670400,15.139,15.139,15.093,15.093,340
2017-05-26,1495756800,14.583,15.0,14.583,15.0,520
2017-05-29,1496016000,14.63,15.324,14.63,15.0,3180
2017-05-30,1496102400,15.185,15.231,15.0,15.139,740
2017-05-31,1496188800,15.231,15.231,14.722,15.139,170
2017-06-01,1496275200,15.231,15.231,14.815,14.815,1060
2017-06-02,1496361600,15.231,15.231,14.63,15.093,3000
2017-06-05,1496620800,15.231,15.463,15.093,15.231,170
2017-06-06,1496707200,15.185,15.231,15.185,15.231,1640
2017-06-07,1496793600,15.231,15.231,14.815,15.185,520
2017-06-08,1496880000,14.815,15.185,14.815,14.815,940
2017-06-09,1496966400,15.046,15.093,15.0,15.0,880
2017-06-12,1497225600,15.0,15.37,15.0,15.185,330
2017-06-13,1497312000,15.093,15.278,15.093,15.093,1290
2017-06-14,1497398400,15.093,15.093,15.093,15.093,0
2017-06-15,1497484800,14.907,15.278,14.815,15.278,49020
2017-06-16,1497571200,15.185,15.185,14.676,15.185,1670
2017-06-19,1497830400,15.185,15.324,15.093,15.231,1480
