date,timestamp,open,high,low,close,volume
2017-01-03,1483401600,16.294,16.76,16.294,16.76,600
2017-01-04,1483488000,16.76,16.76,16.76,16.76,0
2017-01-05,1483574400,16.76,16.76,16.76,16.76,1000
2017-01-06,1483660800,16.76,17.225,16.76,17.225,3400
2017-01-09,1483920000,15.549,17.132,15.549,17.132,200
2017-01-10,1484006400,17.132,17.132,17.132,17.132,0
2017-01-11,1484092800,17.132,17.132,17.132,17.132,0
2017-01-12,1484179200,15.456,16.853,15.456,16.853,300
2017-01-13,1484265600,16.76,16.76,16.76,16.76,1600
2017-01-16,1484524800,16.76,16.76,16.76,16.76,0
2017-01-17,1484611200,16.76,16.946,16.76,16.946,986
2017-01-18,1484697600,16.946,16.946,16.946,16.946,0
2017-01-19,1484784000,16.946,16.946,16.946,16.946,0
2017-01-20,1484870400,16.853,16.853,16.853,16.853,400
2017-01-23,1485129600,16.853,16.853,16.853,16.853,44
2017-01-24,1485216000,16.853,16.853,16.853,16.853,0
2017-01-25,1485302400,16.946,16.946,16.946,16.946,100
2017-02-02,1485993600,16.76,17.132,16.76,17.132,300
2017-02-03,1486080000,17.132,17.132,17.132,17.132,40
2017-02-06,1486339200,17.04,18.808,17.04,18.808,800
2017-02-07,1486425600,17.598,17.598,17.598,17.598,200
2017-02-08,1486512000,15.922,17.598,15.922,17.598,200
2017-02-09,1486598400,17.504,17.504,17.504,17.504,1000
2017-02-10,1486684800,17.504,17.504,17.504,17.504,550
2017-02-13,1486944000,17.598,17.598,17.598,17.598,700
2017-02-14,1487030400,17.598,17.598,17.598,17.598,4
2017-02-15,1487116800,17.691,17.691,15.922,17.598,2400
2017-02-16,1487203200,17.598,17.598,17.598,17.598,0
2017-02-17,1487289600,17.598,17.598,15.922,17.319,1100
2017-02-20,1487548800,17.504,17.504,15.736,17.319,1000
2017-02-21,1487635200,17.319,17.319,17.319,17.319,100
2017-02-22,1487721600,17.319,17.412,17.319,17.412,400
2017-02-23,1487808000,17.319,17.598,17.319,17.504,900
2017-02-24,1487894400,16.387,17.319,16.294,17.319,1547
2017-02-27,1488153600,16.015,16.853,15.736,16.853,2100
2017-02-28,1488240000,15.456,16.76,15.456,16.76,600
2017-03-01,1488326400,15.456,16.574,15.177,16.574,3790
2017-03-02,1488412800,16.76,17.225,16.76,17.225,300
2017-03-03,1488499200,17.504,17.504,17.504,17.504,140
2017-03-06,1488758400,17.504,17.504,17.504,17.504,200
2017-03-07,1488844800,16.294,16.294,16.294,16.294,500
2017-03-08,1488931200,17.319,17.319,17.319,17.319,206
2017-03-09,1489017600,17.225,17.225,17.225,17.225,1000
2017-03-10,1489104000,17.225,17.225,17.225,17.225,0
2017-03-13,1489363200,17.225,17.225,17.225,17.225,0
2017-03-14,1489449600,17.132,17.412,17.132,17.412,200
2017-03-15,1489536000,17.225,18.901,17.225,18.901,200
2017-03-16,1489622400,17.504,18.342,17.504,18.342,200
2017-03-17,1489708800,17.691,17.691,17.132,17.132,350
2017-03-20,1489968000,17.132,17.132,17.132,17.132,0
2017-03-21,1490054400,17.04,17.04,17.04,17.04,400
2017-03-22,1490140800,17.132,17.132,17.132,17.132,200
2017-03-23,1490227200,18.157,18.157,17.132,17.132,208
2017-03-24,1490313600,15.643,17.132,15.643,17.132,800
2017-03-27,1490572800,16.574,16.946,15.456,16.946,2300
2017-03-28,1490659200,17.225,17.225,17.04,17.04,5400
2017-03-29,1490745600,17.132,17.132,17.132,17.132,100
2017-03-30,1490832000,17.04,17.04,17.04,17.04,200
2017-03-31,1490918400,15.643,16.853,15.549,16.853,1879
2017-04-03,1491177600,16.946,16.946,16.946,16.946,200
2017-04-04,1491264000,16.946,16.946,16.946,16.946,200
2017-04-05,1491350400,16.946,16.946,16.946,16.946,0
2017-04-07,1491523200,16.946,16.946,16.946,16.946,41
2017-04-10,1491782400,16.853,16.853,16.853,16.853,110
2017-04-11,1491868800,16.574,16.574,16.574,16.574,600
