date,timestamp,open,high,low,close,volume
2017-12-08,1512691200,19.034,19.034,15.172,17.196,392800
2017-12-11,1512950400,17.839,17.839,16.551,16.551,79854
2017-12-12,1513036800,16.643,16.643,16.551,16.551,300
2017-12-13,1513123200,14.253,15.631,14.161,14.345,110800
2017-12-14,1513209600,13.885,14.896,13.885,14.896,9554
2017-12-15,1513296000,14.345,15.172,14.345,14.437,21210
2017-12-18,1513555200,14.621,14.713,14.253,14.529,50900
2017-12-19,1513641600,14.345,14.529,14.253,14.529,31800
2017-12-20,1513728000,14.437,14.529,14.437,14.529,16100
2017-12-21,1513814400,14.713,14.713,14.437,14.437,4100
2017-12-22,1513900800,14.437,14.437,14.345,14.345,500
2017-12-25,1514160000,14.253,14.345,14.253,14.253,8400
2017-12-26,1514246400,14.253,14.253,13.793,13.976,46200
2017-12-27,1514332800,14.253,14.253,13.701,13.885,22700
2017-12-28,1514419200,13.793,14.253,13.793,14.068,6100
2017-12-29,1514505600,15.908,16.0,14.161,16.0,90000
