date,timestamp,open,high,low,close,volume
2018-01-02,1514851200,3.475,3.565,3.386,3.386,300
2018-01-03,1514937600,3.386,3.386,3.386,3.386,100
2018-01-04,1515024000,3.475,3.475,2.941,2.941,1400
2018-01-05,1515110400,3.654,3.654,3.475,3.475,8700
2018-01-08,1515369600,3.565,3.565,3.565,3.565,100
2018-01-09,1515456000,3.475,3.654,3.475,3.565,500
2018-01-10,1515542400,3.386,3.386,3.297,3.297,1200
2018-01-11,1515628800,3.208,3.208,2.941,2.941,1200
2018-01-12,1515715200,3.119,3.208,3.119,3.208,4100
2018-01-15,1515974400,3.208,3.565,3.208,3.565,1600
2018-01-16,1516060800,3.565,3.565,3.565,3.565,200
2018-01-17,1516147200,3.565,3.654,3.565,3.654,16600
2018-01-18,1516233600,3.475,3.565,3.475,3.475,1300
2018-01-19,1516320000,3.386,3.475,3.386,3.475,800
2018-01-22,1516579200,3.475,3.654,3.475,3.475,3300
2018-01-23,1516665600,3.832,4.099,3.742,4.099,400
2018-01-24,1516752000,3.921,3.921,3.921,3.921,2600
2018-01-25,1516838400,3.921,4.01,3.921,3.921,16200
2018-01-26,1516924800,4.01,4.099,4.01,4.099,1000
2018-01-29,1517184000,4.099,4.099,4.099,4.099,0
2018-01-30,1517270400,4.099,4.099,4.099,4.099,0
2018-01-31,1517356800,4.634,4.634,4.634,4.634,100
2018-02-01,1517443200,5.257,5.257,5.257,5.257,100
2018-02-02,1517529600,5.168,5.168,5.168,5.168,100
2018-02-05,1517788800,5.168,5.168,5.168,5.168,0
2018-02-06,1517875200,5.168,5.168,5.168,5.168,0
2018-02-07,1517961600,5.168,5.168,5.168,5.168,0
2018-02-08,1518048000,4.456,4.456,4.456,4.456,100
2018-02-09,1518134400,4.456,4.456,4.456,4.456,0
2018-02-12,1518393600,4.456,4.456,4.456,4.456,0
2018-02-13,1518480000,4.456,4.456,4.456,4.456,0
2018-02-21,1519171200,5.08,5.08,5.08,5.08,900
2018-02-22,1519257600,4.366,4.366,4.366,4.366,5400
2018-02-23,1519344000,4.366,4.366,4.366,4.366,0
2018-02-26,1519603200,3.921,3.921,3.921,3.921,500
2018-02-27,1519689600,3.921,3.921,3.921,3.921,0
2018-02-28,1519776000,3.921,3.921,3.921,3.921,0
2018-03-01,1519862400,3.921,3.921,3.921,3.921,0
2018-03-02,1519948800,4.01,4.01,4.01,4.01,3000
2018-03-05,1520208000,4.01,4.01,4.01,4.01,4600
2018-03-06,1520294400,4.01,4.01,4.01,4.01,0
2018-03-07,1520380800,3.832,3.832,3.742,3.742,3000
2018-03-08,1520467200,4.366,4.366,4.366,4.366,100
2018-03-09,1520553600,4.366,4.366,4.366,4.366,0
2018-03-12,1520812800,4.366,4.366,4.366,4.366,0
2018-03-13,1520899200,4.188,4.188,4.188,4.188,1000
2018-03-14,1520985600,4.188,4.188,4.188,4.188,0
2018-03-15,1521072000,4.188,4.188,4.188,4.188,0
2018-03-16,1521158400,3.654,4.01,3.565,3.565,5700
