date,timestamp,open,high,low,close,volume
2018-01-02,1514851200,10.878,11.213,10.627,10.711,837682
2018-01-03,1514937600,10.711,10.878,10.209,10.376,1248703
2018-01-04,1515024000,10.46,10.627,10.209,10.292,670215
2018-01-05,1515110400,10.292,10.376,9.958,10.209,1246731
2018-01-08,1515369600,10.209,10.209,9.707,9.707,703767
2018-01-09,1515456000,9.79,10.376,9.623,10.125,753432
2018-01-10,1515542400,10.292,10.878,10.041,10.292,1335996
2018-01-11,1515628800,10.46,10.627,9.958,10.125,633560
2018-01-12,1515715200,10.125,10.711,9.958,10.376,1636910
2018-01-15,1515974400,10.376,10.46,10.125,10.209,304470
2018-01-16,1516060800,10.376,10.376,10.125,10.209,361667
2018-01-17,1516147200,10.209,10.292,9.79,9.79,1791260
2018-01-18,1516233600,9.79,9.958,9.623,9.623,735855
2018-01-19,1516320000,9.79,10.292,9.623,9.958,864049
2018-01-22,1516579200,10.125,10.46,9.79,9.958,824981
2018-01-23,1516665600,10.041,10.292,9.874,10.041,924200
2018-01-24,1516752000,9.958,10.125,9.874,9.958,629380
2018-01-25,1516838400,9.874,10.041,9.707,9.79,541366
2018-01-26,1516924800,9.79,9.874,9.539,9.623,579944
2018-01-29,1517184000,9.623,9.707,9.121,9.121,726370
2018-01-30,1517270400,9.205,9.372,9.037,9.121,288600
2018-01-31,1517356800,9.121,9.288,9.037,9.037,213070
2018-02-01,1517443200,9.205,9.205,8.703,8.786,503909
2018-02-02,1517529600,8.954,8.954,8.117,8.535,374960
2018-02-05,1517788800,8.368,8.535,7.447,7.447,613680
2018-02-06,1517875200,7.447,7.447,6.778,6.945,982800
2018-02-07,1517961600,7.113,7.866,7.113,7.866,1002756
2018-02-08,1518048000,8.2,8.703,7.615,7.615,453810
2018-02-09,1518134400,7.531,7.698,6.945,7.447,406422
2018-02-12,1518393600,7.698,7.866,7.447,7.531,202730
2018-02-13,1518480000,7.782,7.782,7.28,7.447,283895
2018-02-21,1519171200,7.531,8.535,7.531,8.535,1194108
2018-02-22,1519257600,8.619,9.037,8.284,8.368,680830
2018-02-23,1519344000,8.368,8.535,8.368,8.368,217107
2018-02-26,1519603200,8.368,8.954,7.949,8.451,1574466
2018-02-27,1519689600,8.451,8.535,8.032,8.368,347499
2018-02-28,1519776000,8.368,8.368,7.949,8.032,286350
2018-03-01,1519862400,7.866,8.284,7.866,8.2,820360
2018-03-02,1519948800,8.2,8.2,7.949,7.949,457341
2018-03-05,1520208000,8.117,8.117,7.615,7.698,565610
2018-03-06,1520294400,7.866,7.866,7.364,7.531,768215
2018-03-07,1520380800,7.531,8.619,7.531,8.619,2128002
2018-03-08,1520467200,8.619,8.786,8.032,8.032,594972
2018-03-09,1520553600,8.284,8.284,7.866,7.949,464292
2018-03-12,1520812800,7.949,8.368,7.698,7.782,1623389
2018-03-13,1520899200,7.949,7.949,7.698,7.949,259212
2018-03-14,1520985600,7.949,8.032,7.782,7.949,218440
2018-03-15,1521072000,7.949,7.949,7.782,7.866,252092
2018-03-16,1521158400,7.949,7.949,7.698,7.782,361175
2018-03-19,1521417600,7.782,7.949,7.782,7.782,251600
2018-03-20,1521504000,7.866,7.866,7.615,7.615,144800
2018-03-21,1521590400,7.866,7.949,7.615,7.782,361724
2018-03-22,1521676800,7.866,7.866,7.698,7.698,271286
2018-03-23,1521763200,7.698,7.698,7.28,7.615,665602
2018-03-26,1522022400,7.698,7.698,7.364,7.447,183324
2018-03-27,1522108800,7.615,7.949,7.531,7.531,396092
2018-03-28,1522195200,7.615,7.615,7.447,7.531,138777
2018-03-29,1522281600,7.615,7.615,7.447,7.531,186890
2018-03-30,1522368000,7.531,7.615,7.364,7.447,348622
