date,timestamp,open,high,low,close,volume
2018-01-02,1514851200,12.1,12.6,11.9,12.6,4910
2018-01-03,1514937600,12.9,13.2,12.5,12.6,1200
2018-01-04,1515024000,12.6,12.8,12.0,12.5,2532
2018-01-05,1515110400,12.5,12.9,12.1,12.4,4300
2018-01-08,1515369600,12.9,13.2,12.4,12.4,4300
2018-01-09,1515456000,12.8,12.8,12.4,12.4,2630
2018-01-10,1515542400,12.4,12.6,12.2,12.4,6800
2018-01-11,1515628800,12.9,12.9,12.5,12.5,4430
2018-01-12,1515715200,12.5,12.5,12.3,12.5,7350
2018-01-15,1515974400,12.4,12.4,12.3,12.4,6761
2018-01-16,1516060800,12.3,12.4,12.3,12.4,2000
2018-01-17,1516147200,12.4,13.0,12.0,12.8,3068
2018-01-18,1516233600,12.8,12.8,12.8,12.8,65
2018-01-19,1516320000,12.3,12.6,12.3,12.6,1700
2018-01-22,1516579200,12.4,12.8,12.2,12.6,2975
2018-01-23,1516665600,12.6,13.2,12.6,13.2,1280
2018-01-24,1516752000,13.0,13.0,12.5,12.5,11420
2018-01-25,1516838400,12.5,12.8,12.2,12.5,25170
2018-01-26,1516924800,12.3,12.5,12.2,12.5,7693
2018-01-29,1517184000,12.2,12.5,12.0,12.5,18320
2018-01-30,1517270400,12.4,12.4,12.4,12.4,1100
2018-01-31,1517356800,12.4,12.4,12.2,12.4,1000
2018-02-01,1517443200,11.2,12.6,11.2,12.6,400
2018-02-02,1517529600,11.7,12.5,11.7,12.5,1344
2018-02-05,1517788800,12.6,12.8,12.5,12.5,850
2018-02-06,1517875200,12.7,12.8,12.3,12.4,3050
2018-02-07,1517961600,12.6,12.7,12.3,12.3,3700
2018-02-08,1518048000,12.6,12.6,12.0,12.2,8420
2018-02-09,1518134400,12.6,12.6,12.0,12.2,7790
2018-02-12,1518393600,12.5,12.5,12.0,12.2,3460
2018-02-13,1518480000,12.7,12.7,12.5,12.5,703
2018-02-21,1519171200,12.5,12.9,12.5,12.7,2000
2018-02-22,1519257600,12.7,12.8,12.0,12.7,8300
2018-02-23,1519344000,12.5,12.6,12.0,12.6,10056
2018-02-26,1519603200,12.3,12.3,11.5,12.3,20600
2018-02-27,1519689600,12.0,13.3,11.5,13.2,25160
2018-02-28,1519776000,12.0,14.1,12.0,13.9,29395
2018-03-01,1519862400,13.7,14.0,13.5,13.5,8900
2018-03-02,1519948800,13.4,13.4,12.5,13.4,2000
2018-03-05,1520208000,13.3,14.3,13.1,14.0,57710
2018-03-06,1520294400,14.3,14.5,14.0,14.5,28400
2018-03-07,1520380800,14.7,14.7,14.4,14.5,24450
2018-03-08,1520467200,14.5,14.5,14.1,14.2,16630
2018-03-09,1520553600,14.2,14.8,14.2,14.4,12420
2018-03-12,1520812800,14.8,14.8,14.2,14.4,5100
2018-03-13,1520899200,14.2,14.4,14.2,14.3,4600
2018-03-14,1520985600,14.2,14.2,14.0,14.0,3820
2018-03-15,1521072000,14.6,14.6,14.0,14.4,3600
2018-03-16,1521158400,14.0,14.4,13.8,14.0,8240
2018-03-19,1521417600,14.4,14.4,13.8,13.9,3285
2018-03-20,1521504000,14.4,14.8,13.8,14.2,2180
2018-03-21,1521590400,14.5,14.5,13.8,14.1,2210
2018-03-22,1521676800,14.0,14.4,13.8,14.1,1500
2018-03-23,1521763200,14.1,14.5,14.0,14.1,3300
