date,timestamp,open,high,low,close,volume
2018-04-19,1524096000,20.243,20.243,20.243,20.243,6700
2018-04-20,1524182400,23.265,23.265,19.052,19.235,2100
2018-04-23,1524441600,19.235,19.235,19.235,19.235,100
2018-04-24,1524528000,18.502,18.594,18.227,18.319,1200
2018-04-26,1524700800,18.411,18.411,18.411,18.411,0
2018-04-27,1524787200,16.945,16.945,16.945,16.945,100
2018-05-02,1525219200,15.571,15.571,15.571,15.571,100
2018-05-03,1525305600,13.281,13.281,13.281,13.281,800
2018-05-04,1525392000,11.358,11.358,11.358,11.358,600
2018-05-07,1525651200,10.167,10.167,10.167,10.167,400
2018-05-08,1525737600,10.167,10.167,10.167,10.167,0
2018-05-09,1525824000,10.167,10.167,10.167,10.167,0
2018-05-10,1525910400,10.167,10.167,10.167,10.167,0
2018-05-11,1525996800,10.167,10.167,10.167,10.167,0
2018-05-14,1526256000,10.167,10.167,10.167,10.167,0
2018-05-15,1526342400,10.167,10.167,10.167,10.167,0
2018-05-16,1526428800,10.167,10.167,10.167,10.167,0
2018-05-17,1526515200,10.167,10.167,10.167,10.167,0
2018-05-18,1526601600,10.167,10.167,10.167,10.167,0
2018-05-21,1526860800,10.258,10.258,10.258,10.258,100
2018-05-22,1526947200,10.258,10.258,10.258,10.258,0
2018-05-23,1527033600,10.992,10.992,10.992,10.992,600
2018-05-24,1527120000,9.526,9.526,9.526,9.526,100
2018-05-25,1527206400,10.9,10.9,10.9,10.9,2000
2018-05-28,1527465600,12.365,12.365,12.365,12.365,100
2018-05-29,1527552000,13.647,13.647,13.647,13.647,100
2018-05-30,1527638400,13.647,13.647,13.647,13.647,0
2018-05-31,1527724800,13.739,13.739,13.739,13.739,500
2018-06-01,1527811200,13.647,13.739,13.647,13.739,1600
2018-06-04,1528070400,13.739,13.739,13.739,13.739,0
2018-06-05,1528156800,13.739,13.739,13.739,13.739,0
2018-06-06,1528243200,15.754,15.754,11.724,11.724,10000
2018-06-07,1528329600,13.647,13.647,11.449,11.449,1100
2018-06-08,1528416000,13.373,13.373,11.449,11.449,4600
2018-06-11,1528675200,11.541,11.907,11.541,11.907,1500
2018-06-12,1528761600,13.556,13.556,11.816,12.182,2100
2018-06-13,1528848000,13.831,13.831,13.831,13.831,100
2018-06-14,1528934400,11.816,11.816,11.816,11.816,1000
2018-06-15,1529020800,10.075,10.075,10.075,10.075,1000
2018-06-18,1529280000,10.075,10.075,10.075,10.075,0
2018-06-19,1529366400,10.075,10.075,10.075,10.075,0
2018-06-20,1529452800,10.075,10.075,10.075,10.075,0
2018-06-21,1529539200,11.541,11.541,11.541,11.541,1400
2018-06-22,1529625600,11.541,11.541,11.541,11.541,0
2018-06-25,1529884800,12.824,12.824,12.824,12.824,1000
2018-06-26,1529971200,12.824,12.824,12.824,12.824,1000
2018-06-27,1530057600,12.824,12.824,12.824,12.824,0
2018-06-28,1530144000,13.281,13.281,13.281,13.281,100
2018-06-29,1530230400,13.281,13.281,13.281,13.281,0
2018-07-02,1530489600,13.281,13.281,13.281,13.281,0
2018-07-03,1530576000,13.281,13.281,13.281,13.281,0
2018-07-04,1530662400,15.205,15.205,15.205,15.205,100
2018-07-05,1530748800,15.205,15.205,15.205,15.205,0
2018-07-06,1530835200,15.205,15.205,15.205,15.205,0
2018-07-09,1531094400,17.403,17.403,13.281,13.281,200
2018-07-10,1531180800,15.388,15.388,15.388,15.388,0
2018-07-11,1531267200,15.388,15.388,15.388,15.388,0
2018-07-12,1531353600,15.388,15.388,15.388,15.388,0
2018-07-13,1531440000,15.388,15.388,15.388,15.388,0
2018-07-16,1531699200,15.388,15.388,15.388,15.388,0
2018-07-17,1531785600,15.388,15.388,15.388,15.388,0
2018-07-18,1531872000,15.388,15.388,15.388,15.388,0
2018-07-19,1531958400,17.043,17.53,17.043,17.53,200
2018-07-20,1532044800,17.336,17.336,17.336,17.336,0
2018-07-23,1532304000,17.336,17.336,17.336,17.336,0
2018-07-24,1532390400,17.336,17.336,17.336,17.336,0
2018-07-25,1532476800,17.336,17.336,17.336,17.336,0
2018-07-26,1532563200,17.336,17.336,17.336,17.336,0
2018-07-27,1532649600,17.336,17.336,17.336,17.336,0
2018-07-30,1532908800,17.336,17.336,17.336,17.336,0
2018-07-31,1532995200,17.336,17.336,17.336,17.336,0
2018-08-01,1533081600,17.336,17.336,17.336,17.336,0
2018-08-02,1533168000,17.336,17.336,17.336,17.336,0
2018-08-03,1533254400,17.336,17.336,17.336,17.336,0
2018-08-06,1533513600,17.336,17.336,17.336,17.336,0
2018-08-07,1533600000,17.336,17.336,17.336,17.336,0
2018-08-08,1533686400,19.868,19.868,19.868,19.868,100
2018-08-09,1533772800,22.79,22.79,22.79,22.79,100
2018-08-10,1533859200,22.79,22.79,22.79,22.79,0
2018-08-13,1534118400,22.79,22.79,22.79,22.79,0
2018-08-14,1534204800,22.79,22.79,22.79,22.79,0
2018-08-15,1534291200,19.381,19.381,19.381,19.381,100
2018-08-16,1534377600,16.557,16.557,16.557,16.557,100
2018-08-17,1534464000,16.557,16.557,16.557,16.557,0
2018-08-20,1534723200,16.264,16.264,16.264,16.264,100
2018-08-21,1534809600,16.459,16.459,16.459,16.459,100
2018-08-22,1534896000,16.459,16.459,16.459,16.459,0
2018-08-23,1534982400,15.583,15.583,14.122,14.122,1300
2018-08-24,1535068800,14.317,14.317,14.317,14.317,0
2018-08-27,1535328000,14.317,14.317,14.317,14.317,0
2018-08-28,1535414400,12.174,12.174,12.174,12.174,100
2018-08-29,1535500800,11.2,11.2,11.2,11.2,900
2018-08-30,1535587200,9.544,9.544,9.544,9.544,100
2018-08-31,1535673600,9.544,9.544,9.544,9.544,0
2018-09-04,1536019200,10.908,10.908,10.908,10.908,100
2018-09-05,1536105600,12.466,12.466,12.466,12.466,100
2018-09-06,1536192000,14.317,14.317,14.317,14.317,300
2018-09-07,1536278400,15.485,15.485,15.485,15.485,100
2018-09-10,1536537600,16.459,16.459,16.459,16.459,100
2018-09-11,1536624000,16.459,16.459,16.459,16.459,0
2018-09-12,1536710400,16.459,16.459,16.459,16.459,0
2018-09-13,1536796800,14.024,14.024,14.024,14.024,100
2018-09-14,1536883200,15.388,15.388,15.388,15.388,100
2018-09-17,1537142400,13.148,13.148,13.148,13.148,100
2018-09-18,1537228800,13.148,13.148,13.148,13.148,0
2018-09-19,1537315200,14.511,14.511,13.635,13.635,300
2018-09-20,1537401600,15.485,15.485,15.485,15.485,100
2018-09-21,1537488000,13.245,13.245,13.245,13.245,600
2018-09-24,1537747200,13.245,13.245,12.661,12.661,1000
2018-09-25,1537833600,12.758,12.758,12.758,12.758,0
2018-09-26,1537920000,12.758,12.758,12.758,12.758,0
2018-09-27,1538006400,12.758,12.758,12.758,12.758,0
2018-09-28,1538092800,12.758,12.758,12.758,12.758,0
2018-10-01,1538352000,12.661,12.758,12.661,12.758,1200
2018-10-02,1538438400,12.661,12.661,12.661,12.661,3000
2018-10-03,1538524800,12.661,12.661,12.661,12.661,0
2018-10-04,1538611200,12.661,12.661,12.661,12.661,0
2018-10-05,1538697600,12.661,12.661,12.661,12.661,0
2018-10-08,1538956800,12.661,12.661,12.661,12.661,0
2018-10-09,1539043200,12.661,12.661,12.661,12.661,1900
2018-10-10,1539129600,12.661,12.661,12.661,12.661,0
2018-10-11,1539216000,12.661,12.661,12.661,12.661,0
2018-10-12,1539302400,12.661,12.661,12.661,12.661,0
2018-10-15,1539561600,12.661,12.661,12.661,12.661,2500
2018-10-16,1539648000,12.661,12.661,12.661,12.661,0
2018-10-17,1539734400,12.661,12.661,12.661,12.661,1000
2018-10-18,1539820800,12.661,12.661,12.661,12.661,0
2018-10-19,1539907200,12.661,12.661,12.661,12.661,0
2018-10-22,1540166400,12.661,12.661,12.661,12.661,0
2018-10-23,1540252800,12.661,12.661,12.661,12.661,0
2018-10-24,1540339200,12.661,12.661,12.661,12.661,0
2018-10-25,1540425600,12.661,12.661,12.661,12.661,0
2018-10-26,1540512000,12.661,12.661,12.661,12.661,0
2018-10-29,1540771200,12.661,12.661,12.661,12.661,0
2018-10-30,1540857600,12.661,12.661,12.661,12.661,0
2018-10-31,1540944000,12.661,12.661,12.661,12.661,0
2018-11-01,1541030400,12.661,12.661,12.661,12.661,0
2018-11-02,1541116800,12.661,12.661,12.661,12.661,0
2018-11-05,1541376000,12.661,12.661,12.661,12.661,0
2018-11-06,1541462400,12.661,12.661,12.661,12.661,300
2018-11-07,1541548800,12.661,12.661,12.661,12.661,0
2018-11-08,1541635200,12.661,12.661,12.661,12.661,0
2018-11-09,1541721600,12.661,12.661,12.661,12.661,0
2018-11-12,1541980800,12.661,12.661,12.661,12.661,0
2018-11-13,1542067200,12.661,12.661,12.661,12.661,0
2018-11-14,1542153600,12.661,12.661,12.661,12.661,0
2018-11-15,1542240000,12.661,12.661,12.661,12.661,0
2018-11-16,1542326400,12.661,12.661,12.661,12.661,0
2018-11-19,1542585600,12.661,12.661,12.661,12.661,0
2018-11-20,1542672000,12.661,12.661,12.661,12.661,0
2018-11-21,1542758400,12.661,12.661,12.661,12.661,0
2018-11-22,1542844800,12.661,12.661,12.661,12.661,0
2018-11-23,1542931200,12.661,12.661,12.661,12.661,0
2018-11-26,1543190400,12.661,12.661,12.661,12.661,0
2018-11-27,1543276800,12.661,12.661,12.661,12.661,0
2018-11-28,1543363200,12.661,12.661,12.661,12.661,0
2018-11-29,1543449600,12.661,12.661,12.661,12.661,0
2018-11-30,1543536000,12.661,12.661,12.661,12.661,0
2018-12-03,1543795200,12.661,12.661,12.661,12.661,0
2018-12-04,1543881600,12.661,12.661,12.661,12.661,0
2018-12-05,1543968000,12.661,12.661,12.661,12.661,0
2018-12-06,1544054400,12.661,12.661,12.661,12.661,0
2018-12-07,1544140800,12.661,12.661,12.661,12.661,100
2018-12-10,1544400000,12.661,12.758,12.661,12.661,3600
2018-12-11,1544486400,12.661,12.661,12.661,12.661,300
2018-12-12,1544572800,12.758,12.856,12.661,12.661,900
2018-12-13,1544659200,12.661,12.661,12.661,12.661,0
2018-12-14,1544745600,12.661,12.661,12.661,12.661,0
2018-12-17,1545004800,12.661,12.661,12.661,12.661,0
2018-12-18,1545091200,12.661,12.661,12.661,12.661,0
2018-12-19,1545177600,12.661,12.661,12.661,12.661,0
2018-12-20,1545264000,10.81,10.81,10.81,10.81,200
2018-12-21,1545350400,9.739,12.369,9.252,12.369,2500
2018-12-24,1545609600,8.863,10.81,8.668,10.81,6600
2018-12-25,1545696000,8.765,8.765,8.765,8.765,0
2018-12-26,1545782400,8.765,8.765,8.765,8.765,0
2018-12-27,1545868800,10.031,10.031,9.252,9.252,1000
2018-12-28,1545955200,8.278,11.2,8.278,11.103,4600
