date,timestamp,open,high,low,close,volume
2018-03-06,1520294400,16.972,17.748,16.293,17.263,14922100
2018-03-07,1520380800,17.651,17.651,16.003,16.293,7174392
2018-03-08,1520467200,16.681,16.972,16.196,16.681,6824944
2018-03-09,1520553600,16.584,17.069,16.584,16.972,5309486
2018-03-12,1520812800,17.166,17.166,16.681,16.778,4343745
2018-03-13,1520899200,16.778,16.875,16.584,16.681,4454169
2018-03-14,1520985600,16.681,16.778,16.39,16.487,4455422
2018-03-15,1521072000,16.584,16.584,16.099,16.196,3704865
2018-03-16,1521158400,16.196,16.681,16.196,16.584,3923430
2018-03-19,1521417600,16.681,16.778,16.293,16.487,2652660
2018-03-20,1521504000,16.487,16.487,16.196,16.196,2469883
2018-03-21,1521590400,16.487,16.487,16.196,16.196,1929052
2018-03-22,1521676800,16.293,16.293,15.518,15.809,3131060
2018-03-23,1521763200,15.518,15.712,15.13,15.615,3356387
2018-03-26,1522022400,15.518,15.518,15.13,15.227,1932826
2018-03-27,1522108800,15.227,15.324,15.13,15.13,1055477
2018-03-28,1522195200,15.13,15.227,15.033,15.13,1694196
2018-03-29,1522281600,15.227,16.099,15.13,15.712,2103906
2018-03-30,1522368000,15.809,16.196,15.712,16.099,2354364
2018-04-02,1522627200,16.099,16.293,15.906,16.099,2577643
2018-04-03,1522713600,16.099,16.099,15.518,15.712,2257070
2018-04-04,1522800000,16.003,16.39,15.712,15.906,2402101
2018-04-05,1522886400,16.003,16.099,15.615,15.712,1725227
2018-04-06,1522972800,15.712,15.809,15.421,15.615,1731257
2018-04-09,1523232000,15.615,15.615,15.227,15.518,1733995
2018-04-10,1523318400,15.421,15.615,15.227,15.421,1485078
2018-04-11,1523404800,15.421,15.518,14.839,15.13,2053300
2018-04-12,1523491200,15.13,15.227,15.033,15.227,977010
2018-04-13,1523577600,15.13,15.227,14.839,15.13,1503780
2018-04-16,1523836800,15.227,15.421,14.839,15.033,1698800
2018-04-17,1523923200,15.033,15.13,14.839,15.13,742496
2018-04-18,1524009600,15.13,15.13,14.548,14.645,1683810
2018-04-19,1524096000,14.742,14.742,14.063,14.16,2236680
2018-04-20,1524182400,14.063,14.257,13.772,14.16,1461117
2018-04-23,1524441600,14.257,14.354,12.996,13.772,859630
2018-04-24,1524528000,13.772,13.869,13.287,13.384,1109190
2018-04-26,1524700800,13.966,14.063,13.093,13.19,2116175
2018-04-27,1524787200,13.384,13.384,12.996,13.19,1100812
2018-05-02,1525219200,13.19,13.772,12.996,13.093,1171176
2018-05-03,1525305600,13.19,13.19,12.511,12.899,1736969
2018-05-04,1525392000,12.802,13.093,12.802,12.996,976440
2018-05-07,1525651200,13.384,14.645,13.19,13.966,1944203
2018-05-08,1525737600,14.16,14.16,13.772,13.966,1537398
2018-05-09,1525824000,13.966,14.451,13.772,13.772,1083060
2018-05-10,1525910400,13.772,13.869,13.287,13.287,1152051
2018-05-11,1525996800,13.384,13.675,13.287,13.578,819030
2018-05-14,1526256000,13.578,13.772,13.384,13.675,623290
2018-05-15,1526342400,13.384,14.16,13.384,13.966,1895181
2018-05-16,1526428800,14.063,14.16,13.869,14.063,693830
2018-05-17,1526515200,14.063,14.16,13.869,14.063,1184478
2018-05-18,1526601600,14.063,14.548,13.966,14.354,1976452
2018-05-21,1526860800,14.354,14.548,13.966,14.16,3160750
2018-05-22,1526947200,13.966,14.063,13.19,13.578,1429020
2018-05-23,1527033600,13.384,13.966,13.287,13.772,1919170
2018-05-24,1527120000,13.772,13.966,13.481,13.772,388138
2018-05-25,1527206400,13.578,13.966,13.481,13.772,2197911
2018-05-28,1527465600,13.578,13.675,12.802,12.996,2170653
2018-05-29,1527552000,12.899,13.578,12.899,13.481,728556
2018-05-30,1527638400,13.384,13.481,13.093,13.287,475750
2018-05-31,1527724800,13.287,13.675,13.19,13.578,1830351
2018-06-01,1527811200,13.481,13.675,13.481,13.675,957870
2018-06-04,1528070400,13.675,13.772,13.481,13.772,745251
2018-06-05,1528156800,13.772,13.966,13.578,13.772,2905010
2018-06-06,1528243200,13.772,13.869,13.675,13.675,1186745
2018-06-07,1528329600,13.772,13.869,13.578,13.578,973810
2018-06-08,1528416000,13.578,13.675,13.19,13.481,2020050
2018-06-11,1528675200,13.384,13.481,13.19,13.481,512900
2018-06-12,1528761600,13.287,13.287,13.093,13.19,517513
2018-06-13,1528848000,13.19,13.384,13.093,13.287,790800
2018-06-14,1528934400,13.19,13.384,13.19,13.19,729128
2018-06-15,1529020800,13.19,13.384,13.093,13.384,830840
