date,timestamp,open,high,low,close,volume
2018-01-02,1514851200,19.7,19.8,19.6,19.7,71600
2018-01-03,1514937600,19.6,19.8,18.0,18.3,137600
2018-01-04,1515024000,19.6,19.6,19.2,19.3,150300
2018-01-05,1515110400,19.5,19.5,19.0,19.2,173400
2018-01-08,1515369600,19.3,19.3,18.3,19.1,128000
2018-01-09,1515456000,19.0,19.1,18.9,19.0,117600
2018-01-10,1515542400,19.0,19.1,18.9,18.9,129100
2018-01-11,1515628800,19.0,19.3,18.5,19.0,96400
2018-01-12,1515715200,18.9,19.0,18.4,18.9,71300
2018-01-15,1515974400,18.9,19.0,18.7,18.7,64200
2018-01-16,1516060800,19.0,19.1,18.5,18.9,101300
2018-01-17,1516147200,19.0,19.1,18.5,18.9,142600
2018-01-18,1516233600,19.1,19.1,18.4,19.0,165700
2018-01-19,1516320000,18.9,19.1,18.5,18.9,141700
2018-01-22,1516579200,18.9,18.9,18.4,18.9,75500
2018-01-23,1516665600,18.9,18.9,18.4,18.9,116800
2018-01-24,1516752000,18.6,18.8,18.0,18.7,84000
2018-01-25,1516838400,18.9,18.9,18.0,18.0,134600
2018-01-26,1516924800,17.6,18.8,16.8,18.8,85400
2018-01-29,1517184000,17.0,18.8,16.6,18.7,246200
2018-01-30,1517270400,18.6,18.8,18.6,18.8,174200
2018-01-31,1517356800,18.8,18.8,18.8,18.8,178000
2018-02-01,1517443200,18.5,18.5,18.5,18.5,111
2018-02-02,1517529600,18.6,19.3,18.6,19.0,236200
2018-02-05,1517788800,19.0,19.0,19.0,19.0,0
2018-02-06,1517875200,19.0,19.0,19.0,19.0,0
2018-02-07,1517961600,18.6,18.6,18.4,18.4,20400
2018-02-08,1518048000,18.6,18.6,18.6,18.6,17100
2018-02-09,1518134400,18.5,18.6,18.5,18.6,46204
2018-02-12,1518393600,18.6,18.6,18.5,18.6,37100
2018-02-13,1518480000,18.5,18.5,18.5,18.5,29200
2018-02-21,1519171200,18.5,18.5,18.5,18.5,68900
2018-02-22,1519257600,18.6,18.9,18.6,18.7,49700
2018-02-23,1519344000,18.8,18.8,18.8,18.8,49300
2018-02-26,1519603200,18.8,18.8,18.8,18.8,0
2018-02-27,1519689600,18.9,18.9,18.8,18.8,27300
2018-02-28,1519776000,18.0,18.0,18.0,18.0,200
2018-03-01,1519862400,18.0,19.0,18.0,19.0,70100
2018-03-02,1519948800,17.6,18.6,17.6,18.6,105300
2018-03-05,1520208000,18.6,18.6,16.5,16.5,33700
2018-03-06,1520294400,18.5,18.5,18.5,18.5,1
2018-03-07,1520380800,18.5,18.5,18.5,18.5,0
2018-03-08,1520467200,19.0,19.0,19.0,19.0,30000
2018-03-09,1520553600,17.0,18.6,17.0,18.6,60800
2018-03-12,1520812800,18.5,18.5,17.0,18.5,35000
2018-03-13,1520899200,18.4,18.4,17.1,17.1,29200
2018-03-14,1520985600,18.2,18.2,17.1,17.1,34400
2018-03-15,1521072000,18.2,18.2,17.0,17.0,28000
2018-03-16,1521158400,18.0,18.0,18.0,18.0,0
2018-03-19,1521417600,17.0,18.5,15.8,18.4,132800
2018-03-20,1521504000,18.1,18.3,18.1,18.2,41300
2018-03-21,1521590400,18.4,18.4,17.1,17.5,78500
2018-03-22,1521676800,18.1,18.1,17.0,17.0,39400
2018-03-23,1521763200,17.0,18.1,17.0,17.0,103100
2018-03-26,1522022400,18.2,18.2,18.2,18.2,44600
