date,timestamp,open,high,low,close,volume
2018-01-02,1514851200,34.5,35.5,34.0,35.5,16600
2018-01-03,1514937600,35.5,35.5,35.0,35.5,19600
2018-01-04,1515024000,38.0,38.0,35.5,36.0,24625
2018-01-05,1515110400,36.0,36.5,35.0,35.4,12429
2018-01-08,1515369600,35.0,35.0,35.0,35.0,6400
2018-01-09,1515456000,34.5,34.5,34.0,34.0,5376
2018-01-10,1515542400,34.5,34.5,33.6,34.0,28400
2018-01-11,1515628800,34.9,35.0,34.5,34.9,21555
2018-01-12,1515715200,35.0,35.0,34.9,35.0,344509
2018-01-15,1515974400,35.0,35.5,34.9,34.9,49541
2018-01-16,1516060800,34.9,35.0,34.9,34.9,73208
2018-01-17,1516147200,34.9,35.0,34.9,34.9,65894
2018-01-18,1516233600,34.9,35.0,34.9,34.9,52474
2018-01-19,1516320000,34.9,35.0,34.9,34.9,6579
2018-01-22,1516579200,34.9,35.0,34.9,34.9,16115
2018-01-23,1516665600,34.9,34.9,34.9,34.9,1140
2018-01-24,1516752000,34.9,35.0,34.9,34.9,52100
2018-01-25,1516838400,34.9,35.0,34.9,34.9,10600
2018-01-26,1516924800,34.9,34.9,34.9,34.9,6900
2018-01-29,1517184000,34.9,34.9,34.9,34.9,8414
2018-01-30,1517270400,34.9,34.9,34.9,34.9,28251
2018-01-31,1517356800,34.9,35.0,34.9,34.9,34742
2018-02-01,1517443200,34.9,34.9,34.9,34.9,10200
2018-02-02,1517529600,34.9,34.9,34.9,34.9,42986
2018-02-05,1517788800,34.9,34.9,34.9,34.9,4700
2018-02-06,1517875200,34.9,34.9,34.9,34.9,34609
2018-02-07,1517961600,34.9,34.9,34.9,34.9,32648
2018-02-08,1518048000,34.9,34.9,34.9,34.9,4600
2018-02-09,1518134400,34.9,34.9,34.9,34.9,113086
2018-02-12,1518393600,34.9,34.9,34.9,34.9,0
2018-02-13,1518480000,34.9,34.9,34.9,34.9,500
2018-02-21,1519171200,31.6,35.0,31.6,35.0,2400
2018-02-22,1519257600,35.0,35.0,35.0,35.0,0
2018-02-23,1519344000,35.0,35.0,35.0,35.0,0
2018-02-26,1519603200,35.0,35.0,35.0,35.0,49
2018-02-27,1519689600,35.0,35.0,35.0,35.0,0
2018-02-28,1519776000,35.0,35.0,35.0,35.0,0
2018-03-01,1519862400,35.0,35.0,35.0,35.0,0
2018-03-02,1519948800,35.0,35.0,35.0,35.0,100
2018-03-05,1520208000,35.0,35.0,35.0,35.0,0
2018-03-06,1520294400,35.0,35.0,35.0,35.0,0
2018-03-07,1520380800,34.0,34.0,34.0,34.0,5727
2018-03-08,1520467200,34.0,34.0,34.0,34.0,3
2018-03-09,1520553600,34.5,34.5,34.5,34.5,100
2018-03-12,1520812800,35.0,35.5,35.0,35.5,500
2018-03-13,1520899200,35.5,35.5,35.5,35.5,23
2018-03-14,1520985600,34.9,34.9,34.9,34.9,12087
2018-03-15,1521072000,34.9,34.9,34.9,34.9,17
2018-03-16,1521158400,34.9,34.9,34.9,34.9,21523
2018-03-19,1521417600,34.9,34.9,34.9,34.9,0
2018-03-20,1521504000,34.9,34.9,34.9,34.9,300
2018-03-21,1521590400,31.5,34.9,31.5,34.9,1087
2018-03-22,1521676800,34.9,34.9,34.9,34.9,8000
2018-03-23,1521763200,34.9,34.9,34.9,34.9,0
2018-03-26,1522022400,34.9,34.9,34.9,34.9,757
2018-03-27,1522108800,34.9,34.9,34.9,34.9,1495
2018-03-28,1522195200,34.9,34.9,34.9,34.9,1145
2018-03-29,1522281600,34.9,34.9,34.9,34.9,0
2018-03-30,1522368000,34.9,34.9,34.9,34.9,3100
2018-04-02,1522627200,34.9,34.9,34.9,34.9,0
2018-04-03,1522713600,34.9,34.9,34.9,34.9,1675
2018-04-04,1522800000,34.9,34.9,34.9,34.9,1190
2018-04-05,1522886400,34.9,34.9,34.9,34.9,1437
2018-04-06,1522972800,34.9,34.9,34.9,34.9,0
2018-04-09,1523232000,34.9,34.9,34.9,34.9,6300
2018-04-10,1523318400,34.9,34.9,34.9,34.9,0
2018-04-11,1523404800,34.9,34.9,34.9,34.9,7700
2018-04-12,1523491200,34.9,34.9,34.9,34.9,0
2018-04-13,1523577600,34.9,34.9,34.9,34.9,0
2018-04-16,1523836800,31.5,31.5,31.5,31.5,300
2018-04-17,1523923200,31.5,31.5,31.5,31.5,0
2018-04-18,1524009600,31.5,31.5,31.5,31.5,0
2018-04-19,1524096000,31.5,31.5,31.5,31.5,0
2018-04-20,1524182400,31.5,31.5,31.5,31.5,0
2018-04-23,1524441600,31.5,31.5,31.5,31.5,0
2018-04-24,1524528000,31.5,31.5,31.5,31.5,0
2018-04-26,1524700800,31.5,31.5,31.5,31.5,0
2018-04-27,1524787200,31.5,31.5,31.5,31.5,0
2018-05-02,1525219200,31.5,31.5,31.5,31.5,0
2018-05-03,1525305600,34.6,34.6,34.6,34.6,23800
2018-05-04,1525392000,34.6,34.6,34.6,34.6,0
2018-05-07,1525651200,34.6,34.6,34.6,34.6,5000
2018-05-08,1525737600,34.6,34.6,34.6,34.6,4800
2018-05-09,1525824000,34.6,34.6,34.6,34.6,0
2018-05-10,1525910400,34.6,34.6,34.6,34.6,0
2018-05-11,1525996800,34.6,34.6,34.6,34.6,0
2018-05-14,1526256000,34.6,34.6,34.6,34.6,0
2018-05-15,1526342400,34.6,34.6,34.6,34.6,0
2018-05-16,1526428800,34.6,34.6,34.6,34.6,0
2018-05-17,1526515200,34.6,34.6,34.6,34.6,0
2018-05-18,1526601600,34.6,34.6,34.6,34.6,0
2018-05-21,1526860800,34.6,34.6,34.6,34.6,0
2018-05-22,1526947200,34.6,34.6,34.6,34.6,0
2018-05-23,1527033600,34.9,34.9,34.9,34.9,202
2018-05-24,1527120000,34.9,34.9,34.9,34.9,0
2018-05-25,1527206400,34.9,34.9,34.9,34.9,0
2018-05-28,1527465600,34.9,34.9,34.9,34.9,600
2018-05-29,1527552000,34.9,34.9,34.9,34.9,0
2018-05-30,1527638400,34.9,34.9,34.9,34.9,0
2018-05-31,1527724800,34.9,34.9,34.9,34.9,0
