date,timestamp,open,high,low,close,volume
2018-01-02,1514851200,9.644,9.891,9.644,9.726,324000
2018-01-03,1514937600,9.726,9.808,9.644,9.726,365600
2018-01-04,1515024000,9.644,9.891,9.644,9.808,666700
2018-01-05,1515110400,9.726,9.891,9.726,9.808,811400
2018-01-08,1515369600,9.808,9.891,9.726,9.808,585210
2018-01-09,1515456000,9.726,9.891,9.644,9.726,352300
2018-01-10,1515542400,9.644,9.644,9.314,9.479,328300
2018-01-11,1515628800,9.396,9.561,9.314,9.479,722133
2018-01-12,1515715200,9.479,9.726,9.479,9.726,601400
2018-01-15,1515974400,9.644,9.808,9.644,9.726,861900
2018-01-16,1516060800,9.726,9.808,9.726,9.726,618300
2018-01-17,1516147200,9.726,9.726,9.644,9.726,776157
2018-01-18,1516233600,9.644,9.726,9.561,9.726,733500
2018-01-19,1516320000,9.726,10.138,9.726,10.055,926500
2018-01-22,1516579200,10.055,10.55,10.055,10.303,968720
2018-01-23,1516665600,10.221,10.468,10.138,10.138,594257
2018-01-24,1516752000,10.055,10.138,9.808,10.138,668500
2018-01-25,1516838400,10.138,10.221,9.808,9.974,433230
2018-01-26,1516924800,9.974,10.055,9.808,9.974,395600
2018-01-29,1517184000,9.891,9.891,9.644,9.891,248122
2018-01-30,1517270400,9.891,10.055,9.644,9.808,481400
2018-01-31,1517356800,9.808,9.891,9.644,9.808,282550
2018-02-01,1517443200,9.726,9.891,9.561,9.891,320700
2018-02-02,1517529600,9.808,9.974,9.726,9.974,622200
2018-02-05,1517788800,9.974,9.974,9.726,9.726,315500
2018-02-06,1517875200,9.644,9.644,8.82,9.396,270650
2018-02-07,1517961600,9.396,9.644,9.232,9.479,360000
2018-02-08,1518048000,9.396,9.561,9.314,9.479,686500
2018-02-09,1518134400,9.396,9.396,8.573,8.984,494240
2018-02-12,1518393600,8.984,9.149,8.902,9.067,256700
2018-02-13,1518480000,9.149,9.232,8.984,9.067,303800
2018-02-21,1519171200,9.067,9.232,8.984,9.067,534910
2018-02-22,1519257600,8.984,9.067,8.984,8.984,383600
2018-02-23,1519344000,8.16,9.067,8.16,9.067,527100
2018-02-26,1519603200,9.067,9.149,8.984,8.984,503800
2018-02-27,1519689600,8.984,9.067,8.984,8.984,831800
2018-02-28,1519776000,8.984,8.984,8.902,8.902,664400
2018-03-01,1519862400,8.902,9.067,8.82,8.984,641100
2018-03-02,1519948800,8.984,9.396,8.902,9.396,776200
2018-03-05,1520208000,9.396,9.891,9.396,9.726,664510
2018-03-06,1520294400,9.726,10.055,9.726,9.891,617400
2018-03-07,1520380800,9.808,9.891,9.479,9.561,319000
2018-03-08,1520467200,9.561,9.726,9.561,9.644,246900
2018-03-09,1520553600,9.561,9.726,9.561,9.561,375100
2018-03-12,1520812800,9.561,9.561,9.314,9.396,471710
2018-03-13,1520899200,9.314,9.396,9.314,9.314,311000
2018-03-14,1520985600,9.232,9.314,9.067,9.314,1000100
2018-03-15,1521072000,9.314,9.479,9.149,9.232,474200
2018-03-16,1521158400,9.232,9.479,9.232,9.396,593800
2018-03-19,1521417600,9.396,9.726,9.314,9.644,508700
2018-03-20,1521504000,9.561,9.974,9.479,9.808,1037310
2018-03-21,1521590400,9.808,9.808,9.479,9.644,819100
2018-03-22,1521676800,9.561,9.644,9.149,9.396,292000
2018-03-23,1521763200,9.314,9.314,8.737,8.902,339600
2018-03-26,1522022400,9.314,9.726,8.077,9.726,572000
2018-03-27,1522108800,9.644,10.633,9.644,10.468,730100
2018-03-28,1522195200,10.468,11.045,10.468,10.88,565405
2018-03-29,1522281600,10.797,11.127,10.385,11.127,269800
