date,timestamp,open,high,low,close,volume
2019-01-02,1546387200,11.703,11.693,11.416,11.544,1103106
2019-01-03,1546473600,10.398,11.36,10.267,11.11,1956382
2019-01-04,1546560000,11.07,11.413,11.052,11.189,2771983
2019-01-07,1546819200,11.426,11.402,11.244,11.347,1305819
2019-01-08,1546905600,12.414,12.378,11.235,11.268,846226
2019-01-09,1546992000,11.307,11.567,11.328,11.465,2196358
2019-01-10,1547078400,11.465,11.472,11.394,11.426,1378687
2019-01-11,1547164800,11.465,11.474,11.355,11.426,1250077
2019-01-14,1547424000,11.386,11.4,11.321,11.347,937155
2019-01-15,1547510400,11.149,11.555,10.523,11.505,901146
2019-01-16,1547596800,11.505,11.5,11.304,11.386,509354
2019-01-17,1547683200,11.426,11.48,11.362,11.426,737519
2019-01-18,1547769600,11.465,11.428,11.192,11.307,1412966
2019-01-21,1548028800,11.347,11.932,11.415,11.663,2079830
2019-01-22,1548115200,11.742,11.65,11.376,11.505,1845725
2019-01-23,1548201600,11.465,11.566,11.447,11.505,1160094
2019-01-24,1548288000,11.544,11.644,11.446,11.544,1743450
2019-01-25,1548374400,11.782,11.732,11.456,11.544,836534
2019-01-28,1548633600,11.544,11.547,11.035,11.426,997088
2019-01-29,1548720000,11.386,11.569,11.409,11.465,1091518
2019-01-30,1548806400,12.256,12.256,11.465,11.584,1565464
2019-01-31,1548892800,11.703,11.712,11.515,11.624,1674668
2019-02-01,1548979200,11.624,11.73,11.611,11.663,781100
2019-02-11,1549843200,11.782,12.333,11.815,11.94,1713857
2019-02-12,1549929600,11.94,12.127,11.969,12.058,2059630
2019-02-13,1550016000,12.098,12.145,11.986,12.058,2093177
2019-02-14,1550102400,12.058,11.984,11.827,11.9,1357835
2019-02-15,1550188800,11.9,12.05,11.891,11.94,2176902
2019-02-18,1550448000,11.94,12.059,11.941,12.019,1908779
2019-02-19,1550534400,12.058,12.011,11.892,11.979,2754758
2019-02-20,1550620800,11.979,12.088,11.969,12.019,1693486
2019-02-21,1550707200,12.019,12.027,11.792,11.9,2970459
2019-02-22,1550793600,11.94,12.196,11.879,12.058,3974330
2019-02-25,1551052800,12.138,12.392,12.036,12.256,3874034
2019-02-26,1551139200,12.177,12.332,12.095,12.177,2277127
2019-02-27,1551225600,12.177,12.182,12.024,12.098,1544839
2019-02-28,1551312000,12.177,11.985,11.557,11.742,3793504
2019-03-01,1551398400,11.782,11.95,11.712,11.861,1478830
2019-03-04,1551657600,11.861,12.169,11.929,12.019,3120806
2019-03-05,1551744000,12.019,12.097,11.86,11.979,2465893
2019-03-06,1551830400,11.94,12.076,11.917,11.979,1178516
