date,timestamp,open,high,low,close,volume
2019-01-02,1546387200,9.615,9.615,9.615,9.615,0
2019-01-03,1546473600,9.615,9.615,9.615,9.615,0
2019-01-04,1546560000,9.615,9.615,9.615,9.615,0
2019-01-07,1546819200,9.615,9.615,9.615,9.615,0
2019-01-08,1546905600,9.615,9.615,9.615,9.615,0
2019-01-09,1546992000,9.615,9.615,9.615,9.615,0
2019-01-10,1547078400,9.615,9.615,9.615,9.615,0
2019-01-11,1547164800,9.615,9.615,9.615,9.615,0
2019-01-14,1547424000,9.615,9.615,9.615,9.615,0
2019-01-15,1547510400,9.615,9.615,9.615,9.615,0
2019-01-16,1547596800,9.615,9.615,9.615,9.615,0
2019-01-17,1547683200,9.615,9.615,9.615,9.615,0
2019-01-18,1547769600,9.615,9.615,9.615,9.615,0
2019-01-21,1548028800,9.615,9.615,9.615,9.615,0
2019-01-22,1548115200,9.615,9.615,9.615,9.615,0
2019-01-23,1548201600,9.615,9.615,9.615,9.615,0
2019-01-24,1548288000,9.615,9.615,9.615,9.615,0
2019-01-25,1548374400,9.615,9.615,9.615,9.615,0
2019-01-28,1548633600,9.615,9.615,9.615,9.615,0
2019-01-29,1548720000,9.615,9.615,9.615,9.615,0
2019-01-30,1548806400,8.188,8.188,8.188,8.188,500
2019-01-31,1548892800,8.188,8.188,8.188,8.188,0
2019-02-01,1548979200,8.188,8.188,8.188,8.188,0
2019-02-11,1549843200,8.188,8.188,8.188,8.188,0
2019-02-12,1549929600,8.188,8.188,8.188,8.188,0
2019-02-13,1550016000,8.188,8.188,8.188,8.188,0
2019-02-14,1550102400,8.188,8.188,8.188,8.188,0
2019-02-15,1550188800,8.188,8.188,8.188,8.188,0
2019-02-18,1550448000,8.188,8.188,8.188,8.188,0
2019-02-19,1550534400,8.188,8.188,8.188,8.188,0
2019-02-20,1550620800,8.188,8.188,8.188,8.188,0
2019-02-21,1550707200,8.188,8.188,8.188,8.188,0
2019-02-22,1550793600,8.188,8.188,8.188,8.188,1000
2019-02-25,1551052800,8.188,8.188,8.188,8.188,0
2019-02-26,1551139200,8.568,8.759,8.568,8.759,2500
2019-02-27,1551225600,8.663,8.663,8.663,8.663,200
2019-02-28,1551312000,8.663,8.663,8.663,8.663,0
2019-03-01,1551398400,8.663,8.663,8.663,8.663,0
2019-03-04,1551657600,8.663,8.663,8.663,8.663,0
2019-03-05,1551744000,8.663,8.663,8.663,8.663,0
2019-03-06,1551830400,8.663,8.663,8.663,8.663,0
2019-03-07,1551916800,8.663,8.663,8.663,8.663,0
2019-03-08,1552003200,8.663,8.663,8.663,8.663,0
2019-03-11,1552262400,8.568,8.568,8.568,8.568,500
2019-03-12,1552348800,8.568,8.568,8.568,8.568,0
2019-03-13,1552435200,8.568,8.568,8.568,8.568,0
2019-03-14,1552521600,8.568,8.568,8.568,8.568,0
2019-03-15,1552608000,8.568,8.568,8.568,8.568,0
2019-03-18,1552867200,8.568,8.568,8.568,8.568,1000
2019-03-19,1552953600,8.568,8.568,8.568,8.568,0
2019-03-20,1553040000,8.568,8.568,8.568,8.568,0
2019-03-21,1553126400,8.568,8.568,8.568,8.568,0
2019-03-22,1553212800,8.568,8.568,8.568,8.568,0
2019-03-25,1553472000,8.568,8.568,8.568,8.568,0
2019-03-26,1553558400,8.568,8.568,8.568,8.568,0
2019-03-27,1553644800,8.568,8.568,8.568,8.568,0
2019-03-28,1553731200,8.568,8.568,8.568,8.568,0
2019-03-29,1553817600,8.568,8.568,8.568,8.568,0
2019-04-01,1554076800,8.568,8.568,8.568,8.568,0
2019-04-02,1554163200,8.568,8.568,8.568,8.568,0
2019-04-03,1554249600,8.568,8.568,8.568,8.568,0
2019-04-04,1554336000,8.568,8.568,8.568,8.568,0
2019-04-05,1554422400,8.568,8.568,8.568,8.568,0
2019-04-08,1554681600,8.568,8.568,8.568,8.568,0
2019-04-09,1554768000,7.33,7.33,7.33,7.33,500
2019-04-10,1554854400,8.377,8.377,8.377,8.377,500
2019-04-11,1554940800,8.568,8.568,8.568,8.568,500
2019-04-12,1555027200,8.568,8.568,7.521,7.521,700
2019-04-16,1555372800,8.283,8.283,8.283,8.283,0
2019-04-17,1555459200,8.283,8.283,8.283,8.283,0
2019-04-18,1555545600,9.52,9.52,9.52,9.52,500
2019-04-19,1555632000,9.52,10.948,9.52,9.806,5800
2019-04-22,1555891200,12.186,12.186,9.235,12.091,1600
2019-04-23,1555977600,13.233,13.424,13.233,13.233,300
2019-04-24,1556064000,14.851,15.232,14.28,14.28,4700
2019-04-25,1556150400,13.804,13.804,13.804,13.804,500
2019-04-26,1556236800,11.805,11.805,11.805,11.805,100
2019-05-02,1556755200,10.091,10.091,10.091,10.091,5200
