date,timestamp,open,high,low,close,volume
2019-01-02,1546387200,13.728,13.817,13.241,13.241,580840
2019-01-03,1546473600,13.596,13.596,13.065,13.109,1106600
2019-01-04,1546560000,12.933,13.506,12.933,13.419,646620
2019-01-07,1546819200,13.684,13.684,13.33,13.419,402340
2019-01-08,1546905600,13.596,13.772,13.419,13.596,1239630
2019-01-09,1546992000,13.462,13.684,13.462,13.551,285720
2019-01-10,1547078400,13.506,13.684,13.506,13.506,464960
2019-01-11,1547164800,13.551,13.728,13.506,13.728,1212870
2019-01-14,1547424000,13.817,14.213,13.728,14.125,1996580
2019-01-15,1547510400,14.125,14.478,14.08,14.434,1913730
2019-01-16,1547596800,14.434,14.566,14.169,14.169,1910950
2019-01-17,1547683200,14.169,14.213,13.86,13.86,851710
2019-01-18,1547769600,13.817,14.213,13.817,14.08,698010
2019-01-21,1548028800,14.08,14.301,13.948,14.301,706590
2019-01-22,1548115200,14.301,14.301,14.125,14.213,631460
2019-01-23,1548201600,14.125,14.301,14.037,14.125,1003670
2019-01-24,1548288000,14.258,14.258,13.993,13.993,332870
2019-01-25,1548374400,13.993,14.037,13.772,13.817,761260
2019-01-28,1548633600,13.817,14.125,13.817,13.948,305960
2019-01-29,1548720000,13.948,14.213,13.86,14.169,467750
2019-01-30,1548806400,14.169,14.169,14.037,14.169,395990
2019-01-31,1548892800,14.258,14.301,13.817,13.817,741520
2019-02-01,1548979200,13.993,13.993,13.772,13.904,312360
2019-02-11,1549843200,14.037,14.213,13.948,14.169,342800
2019-02-12,1549929600,14.258,14.875,14.258,14.787,2117750
2019-02-13,1550016000,14.831,15.14,14.787,14.787,1788150
2019-02-14,1550102400,14.742,15.007,14.655,14.742,685130
2019-02-15,1550188800,14.698,14.963,14.61,14.698,1007190
2019-02-18,1550448000,14.787,14.919,14.655,14.742,902630
2019-02-19,1550534400,14.742,15.184,14.698,14.742,1574260
2019-02-20,1550620800,14.742,14.919,14.698,14.787,593860
2019-02-21,1550707200,14.742,14.875,14.522,14.566,1034660
2019-02-22,1550793600,14.566,14.698,14.434,14.522,939920
2019-02-25,1551052800,14.522,14.61,14.345,14.345,1471100
2019-02-26,1551139200,14.258,14.566,14.258,14.434,855500
2019-02-27,1551225600,14.522,14.787,14.522,14.566,1413820
2019-02-28,1551312000,15.118,15.163,14.707,14.753,1264580
2019-03-01,1551398400,14.753,15.073,14.753,15.027,691940
2019-03-04,1551657600,15.346,15.757,15.346,15.666,2352560
