date,timestamp,open,high,low,close,volume
2019-01-02,1546387200,15.426,15.925,15.426,15.925,359700
2019-01-03,1546473600,15.925,16.174,15.248,15.248,494820
2019-01-04,1546560000,14.215,14.464,14.215,14.215,356920
2019-01-07,1546819200,14.215,14.322,14.037,14.322,175560
2019-01-08,1546905600,14.322,14.322,14.179,14.286,71340
2019-01-09,1546992000,14.251,14.322,14.179,14.322,95960
2019-01-10,1547078400,14.322,14.322,14.144,14.251,116970
2019-01-11,1547164800,14.251,14.286,14.179,14.286,91830
2019-01-14,1547424000,14.286,14.322,14.215,14.322,79970
2019-01-15,1547510400,14.322,14.322,14.251,14.251,92630
2019-01-16,1547596800,14.251,14.322,14.251,14.286,113690
2019-01-17,1547683200,14.251,14.393,14.251,14.322,108310
2019-01-18,1547769600,14.322,14.322,14.251,14.251,87600
2019-01-21,1548028800,14.251,14.322,14.251,14.322,81960
2019-01-22,1548115200,14.322,14.322,14.215,14.251,91060
2019-01-23,1548201600,14.286,14.322,14.251,14.251,74450
2019-01-24,1548288000,14.251,14.286,14.251,14.286,97190
2019-01-25,1548374400,14.286,14.357,14.251,14.251,96640
2019-01-28,1548633600,14.251,14.322,14.215,14.251,101100
2019-01-29,1548720000,14.251,14.322,14.215,14.251,113240
2019-01-30,1548806400,14.251,14.251,14.215,14.251,91390
2019-01-31,1548892800,14.251,14.393,14.251,14.393,88830
2019-02-01,1548979200,14.429,14.464,14.357,14.429,97110
2019-02-11,1549843200,14.429,14.607,14.429,14.536,79750
2019-02-12,1549929600,14.5,14.607,14.5,14.536,108880
2019-02-13,1550016000,14.536,14.536,14.429,14.464,128020
2019-02-14,1550102400,14.5,14.536,14.464,14.5,77760
2019-02-15,1550188800,14.5,14.571,14.429,14.536,85070
2019-02-18,1550448000,14.536,14.536,14.464,14.5,80850
2019-02-19,1550534400,14.5,15.106,14.5,14.963,560270
2019-02-20,1550620800,14.963,15.498,14.927,15.319,520800
2019-02-21,1550707200,15.319,15.426,15.106,15.106,211220
2019-02-22,1550793600,15.106,15.177,15.034,15.141,129320
2019-02-25,1551052800,15.141,15.141,14.963,15.034,155420
2019-02-26,1551139200,15.034,15.141,14.927,14.963,118450
2019-02-27,1551225600,14.963,14.999,14.927,14.963,108070
2019-02-28,1551312000,14.963,15.106,14.963,15.07,180790
2019-03-01,1551398400,15.07,15.212,15.034,15.177,130720
2019-03-04,1551657600,15.212,16.21,15.212,16.21,527870
2019-03-05,1551744000,16.246,16.673,16.21,16.317,617940
2019-03-06,1551830400,16.317,16.495,15.711,15.961,386870
2019-03-07,1551916800,15.925,15.961,15.533,15.711,294770
2019-03-08,1552003200,15.711,15.925,15.604,15.818,179310
2019-03-11,1552262400,15.818,16.103,15.783,16.103,168410
2019-03-12,1552348800,16.139,16.21,15.996,15.996,154680
2019-03-13,1552435200,16.068,16.103,15.925,15.996,103150
2019-03-14,1552521600,16.032,16.032,15.925,16.032,96810
2019-03-15,1552608000,16.032,17.136,16.032,17.136,862500
2019-03-18,1552867200,17.806,17.806,17.1,17.508,339100
2019-03-19,1552953600,17.471,17.508,17.174,17.174,156010
2019-03-20,1553040000,17.174,17.174,16.877,17.025,200360
2019-03-21,1553126400,17.025,17.769,17.025,17.583,436240
2019-03-22,1553212800,17.62,18.029,17.508,18.029,372430
2019-03-25,1553472000,17.992,17.992,17.546,17.546,281320
2019-03-26,1553558400,17.546,17.546,17.248,17.36,127770
2019-03-27,1553644800,17.36,17.88,17.36,17.806,232990
2019-03-28,1553731200,17.769,17.992,17.769,17.955,131910
2019-03-29,1553817600,17.955,18.029,17.917,17.992,147180
2019-04-01,1554076800,17.88,17.917,17.806,17.843,92920
2019-04-02,1554163200,17.806,17.88,17.806,17.806,134620
2019-04-03,1554249600,17.806,17.955,17.806,17.955,165300
2019-04-04,1554336000,17.955,18.326,17.955,18.215,242710
2019-04-05,1554422400,18.215,18.549,18.215,18.549,417930
2019-04-08,1554681600,18.549,18.624,18.215,18.215,136510
2019-04-09,1554768000,18.215,18.215,17.843,18.029,149350
2019-04-10,1554854400,17.992,18.066,17.843,17.843,191540
2019-04-11,1554940800,17.843,18.14,17.843,18.066,215970
2019-04-12,1555027200,18.066,18.14,18.066,18.103,129560
2019-04-16,1555372800,18.066,18.066,17.917,17.992,143780
2019-04-17,1555459200,17.992,18.066,17.732,17.806,526480
2019-04-18,1555545600,17.806,17.843,17.769,17.806,145820
2019-04-19,1555632000,17.806,17.992,17.806,17.917,153970
2019-04-22,1555891200,17.917,17.917,17.806,17.917,129470
2019-04-23,1555977600,17.88,17.917,17.843,17.917,103600
2019-04-24,1556064000,17.917,19.144,17.917,19.144,860770
2019-04-25,1556150400,19.181,19.702,19.181,19.33,540210
2019-04-26,1556236800,19.33,19.516,18.587,18.735,291370
2019-05-02,1556755200,18.735,19.367,18.735,19.367,406090
2019-05-03,1556841600,19.367,20.259,19.367,19.962,601720
2019-05-06,1557100800,19.925,19.925,19.404,19.59,225880
2019-05-07,1557187200,19.553,19.962,19.293,19.627,303400
2019-05-08,1557273600,19.479,19.702,19.442,19.627,203580
2019-05-09,1557360000,19.627,20.445,19.627,20.073,304800
2019-05-10,1557446400,20.073,20.222,19.739,20.036,178600
2019-05-13,1557705600,20.036,20.185,19.888,20.148,173710
2019-05-14,1557792000,20.111,20.148,19.627,19.925,190100
2019-05-15,1557878400,19.925,20.854,19.925,20.408,410250
2019-05-16,1557964800,20.371,20.445,20.185,20.297,129010
2019-05-17,1558051200,20.297,20.334,19.85,19.85,174890
2019-05-20,1558310400,19.813,19.85,18.698,19.33,353170
2019-05-21,1558396800,19.33,19.442,19.07,19.442,177160
2019-05-22,1558483200,19.367,19.553,19.293,19.442,163220
2019-05-23,1558569600,19.367,19.442,19.107,19.293,137080
2019-05-24,1558656000,19.293,19.367,19.107,19.367,184760
2019-05-27,1558915200,19.33,19.404,19.256,19.404,105280
2019-05-28,1559001600,19.367,20.111,19.367,20.073,303980
2019-05-29,1559088000,20.073,20.222,19.962,20.185,189700
2019-05-30,1559174400,20.148,20.259,19.999,20.259,190440
2019-05-31,1559260800,20.222,20.297,19.59,19.962,169190
2019-06-03,1559520000,19.925,20.148,19.776,20.073,204240
2019-06-04,1559606400,20.073,20.482,19.999,20.482,200400
2019-06-05,1559692800,20.482,20.631,20.408,20.482,175390
2019-06-06,1559779200,20.445,20.482,20.185,20.297,119240
2019-06-07,1559865600,20.297,20.334,18.884,18.884,457640
2019-06-10,1560124800,18.847,18.847,17.583,18.587,467890
2019-06-11,1560211200,18.587,18.735,18.512,18.661,160880
2019-06-12,1560297600,18.661,18.698,18.475,18.549,150510
2019-06-13,1560384000,18.549,18.698,18.475,18.698,129930
2019-06-14,1560470400,18.698,19.144,18.698,19.07,340850
2019-06-17,1560729600,19.07,19.479,19.07,19.442,690960
2019-06-18,1560816000,19.404,19.479,19.293,19.367,567030
2019-06-19,1560902400,19.367,19.479,19.33,19.479,342020
2019-06-20,1560988800,19.442,19.776,19.367,19.739,363260
2019-06-21,1561075200,19.702,19.813,19.665,19.776,223240
2019-06-24,1561334400,19.776,19.888,19.776,19.85,158680
2019-06-25,1561420800,19.739,19.776,19.516,19.553,118790
2019-06-26,1561507200,19.553,19.627,19.404,19.553,132640
2019-06-27,1561593600,19.553,19.627,19.516,19.516,147310
2019-06-28,1561680000,19.516,19.59,19.479,19.59,135410
2019-07-01,1561939200,19.553,19.627,19.479,19.627,200220
2019-07-02,1562025600,19.627,20.073,19.59,20.036,288320
2019-07-03,1562112000,20.036,20.185,20.036,20.073,165440
2019-07-04,1562198400,20.073,20.148,19.925,19.999,148390
2019-07-05,1562284800,19.999,20.073,19.925,19.999,175410
2019-07-08,1562544000,19.999,20.408,19.925,20.408,281080
2019-07-09,1562630400,20.408,20.631,20.297,20.334,353580
2019-07-10,1562716800,20.334,20.334,19.962,20.148,130350
2019-07-11,1562803200,20.148,20.222,19.925,20.111,147340
2019-07-12,1562889600,20.111,20.259,20.111,20.185,620560
2019-07-15,1563148800,20.185,20.743,20.148,20.631,476900
2019-07-16,1563235200,20.631,20.668,20.482,20.557,143390
2019-07-17,1563321600,20.557,20.594,20.408,20.445,144920
2019-07-18,1563408000,20.445,20.594,20.445,20.52,193080
2019-07-19,1563494400,20.52,20.705,20.52,20.705,221680
2019-07-22,1563753600,20.705,21.189,20.705,21.114,383180
2019-07-23,1563840000,21.114,21.189,20.891,21.114,184020
2019-07-24,1563926400,21.114,21.821,21.114,21.672,704890
2019-07-25,1564012800,21.709,22.23,20.185,20.185,1474960
2019-07-26,1564099200,19.553,19.999,19.553,19.553,535100
2019-07-29,1564358400,19.516,19.553,18.81,19.033,342470
2019-07-30,1564444800,19.033,19.107,18.401,18.884,317120
2019-07-31,1564531200,18.884,19.293,18.847,19.218,439810
2019-08-01,1564617600,19.218,19.702,19.218,19.627,483510
2019-08-02,1564704000,19.627,19.813,19.479,19.479,200560
2019-08-05,1564963200,19.479,19.516,19.256,19.404,236110
2019-08-06,1565049600,19.404,19.553,19.256,19.553,262370
2019-08-07,1565136000,19.553,20.148,19.553,20.111,377180
2019-08-08,1565222400,20.111,20.334,20.073,20.222,321200
2019-08-09,1565308800,20.222,20.297,20.148,20.185,139900
2019-08-12,1565568000,20.185,20.222,20.073,20.111,161660
2019-08-13,1565654400,20.111,20.148,19.999,20.148,154690
2019-08-14,1565740800,20.148,20.222,20.073,20.222,194120
2019-08-15,1565827200,20.222,20.297,20.185,20.297,133330
2019-08-16,1565913600,20.297,20.631,20.297,20.594,374670
2019-08-19,1566172800,20.631,20.928,20.594,20.817,358020
2019-08-20,1566259200,20.817,20.928,20.743,20.817,182110
2019-08-21,1566345600,20.854,21.3,20.854,21.189,626920
2019-08-22,1566432000,21.189,21.635,19.739,20.073,1130000
2019-08-23,1566518400,20.111,20.482,18.698,19.702,1025120
2019-08-26,1566777600,19.702,19.702,18.326,19.07,1269220
2019-08-27,1566864000,19.07,19.07,17.769,18.215,643980
2019-08-28,1566950400,18.14,18.14,16.951,17.248,409380
2019-08-29,1567036800,17.248,17.508,16.059,16.059,1067580
2019-08-30,1567123200,15.873,15.947,14.943,14.943,874810
2019-09-03,1567468800,14.869,15.538,14.683,15.538,346840
2019-09-04,1567555200,15.538,15.836,15.427,15.761,278440
2019-09-05,1567641600,15.761,15.761,15.501,15.538,103470
2019-09-06,1567728000,15.538,15.538,14.943,15.055,114100
2019-09-09,1567987200,15.055,15.278,14.869,15.241,130410
2019-09-10,1568073600,15.278,15.315,14.72,15.092,192580
2019-09-11,1568160000,15.129,15.129,14.981,15.055,48190
2019-09-12,1568246400,15.055,15.092,14.906,14.943,231260
2019-09-13,1568332800,14.943,15.018,14.869,14.943,97320
2019-09-16,1568592000,14.943,14.943,14.832,14.906,61150
2019-09-17,1568678400,14.943,15.092,14.943,15.092,215600
2019-09-18,1568764800,15.092,15.167,15.055,15.129,104470
2019-09-19,1568851200,15.129,15.167,15.092,15.129,201690
2019-09-20,1568937600,15.129,15.167,15.018,15.055,176780
2019-09-23,1569196800,15.092,15.092,14.014,14.014,206220
2019-09-24,1569283200,13.048,13.382,13.048,13.196,584560
2019-09-25,1569369600,13.196,13.233,12.304,13.233,354350
2019-09-26,1569456000,13.271,13.308,13.159,13.271,264840
2019-09-27,1569542400,13.271,13.308,13.122,13.196,123430
2019-09-30,1569801600,13.196,13.233,13.048,13.196,114820
2019-10-01,1569888000,13.196,13.233,13.122,13.196,54410
2019-10-02,1569974400,13.233,13.233,13.085,13.196,58210
2019-10-03,1570060800,13.196,13.419,13.159,13.382,199470
2019-10-04,1570147200,13.382,13.568,13.382,13.568,163050
2019-10-07,1570406400,13.605,13.642,13.568,13.605,98450
2019-10-08,1570492800,13.605,13.605,13.308,13.605,75060
2019-10-09,1570579200,13.605,13.642,13.568,13.605,54240
2019-10-10,1570665600,13.642,13.642,13.382,13.457,119810
2019-10-11,1570752000,13.457,13.568,13.457,13.568,102750
2019-10-14,1571011200,13.605,13.605,13.457,13.531,89790
2019-10-15,1571097600,13.568,13.568,13.457,13.494,106670
2019-10-16,1571184000,13.531,13.531,13.308,13.382,96550
2019-10-17,1571270400,13.382,13.605,13.308,13.605,172340
2019-10-18,1571356800,13.605,13.642,13.494,13.494,62460
2019-10-21,1571616000,13.531,13.531,13.345,13.382,82120
2019-10-22,1571702400,13.382,13.382,13.271,13.382,61210
2019-10-23,1571788800,13.419,13.494,13.382,13.494,88760
2019-10-24,1571875200,13.494,13.568,13.457,13.494,157140
2019-10-25,1571961600,13.531,13.865,13.531,13.791,518630
2019-10-28,1572220800,13.828,13.94,13.717,13.828,368660
2019-10-29,1572307200,13.828,14.051,13.828,13.865,236150
2019-10-30,1572393600,13.865,13.94,13.717,13.828,217760
2019-10-31,1572480000,13.828,13.903,13.642,13.717,95660
2019-11-01,1572566400,13.717,13.791,13.605,13.642,166890
2019-11-04,1572825600,13.642,13.717,13.159,13.531,237740
2019-11-05,1572912000,13.531,13.568,13.457,13.531,145160
2019-11-06,1572998400,13.568,13.605,13.531,13.605,145970
2019-11-07,1573084800,13.642,13.642,13.494,13.605,118910
2019-11-08,1573171200,13.642,13.754,13.605,13.754,255950
2019-11-11,1573430400,13.754,13.791,13.642,13.68,194700
2019-11-12,1573516800,13.68,13.68,13.568,13.642,201970
2019-11-13,1573603200,13.642,13.68,13.531,13.568,239790
2019-11-14,1573689600,13.605,13.605,13.457,13.568,275480
2019-11-15,1573776000,13.568,13.568,13.457,13.531,175430
2019-11-18,1574035200,13.531,13.531,13.159,13.271,383800
2019-11-19,1574121600,13.159,13.233,12.639,12.899,467500
2019-11-20,1574208000,12.899,13.159,12.862,13.159,294220
2019-11-21,1574294400,13.159,13.271,13.122,13.122,183720
2019-11-22,1574380800,13.122,13.159,12.825,12.825,207030
2019-11-25,1574640000,12.825,12.899,12.713,12.825,163870
2019-11-26,1574726400,12.825,12.862,12.676,12.825,182010
2019-11-27,1574812800,12.825,13.196,12.787,13.196,327770
2019-11-28,1574899200,13.196,13.68,13.196,13.531,651960
2019-11-29,1574985600,13.531,13.642,13.419,13.419,357900
2019-12-02,1575244800,13.419,13.457,13.048,13.233,170490
2019-12-03,1575331200,13.196,13.233,12.862,13.085,214170
2019-12-04,1575417600,13.085,13.122,12.973,13.048,133740
2019-12-05,1575504000,13.048,13.159,13.048,13.159,228870
2019-12-06,1575590400,13.159,13.159,13.085,13.122,126150
2019-12-09,1575849600,13.122,13.122,12.787,12.899,176870
2019-12-10,1575936000,12.899,12.899,12.639,12.825,197870
2019-12-11,1576022400,12.787,12.936,12.676,12.936,194530
2019-12-12,1576108800,12.936,12.936,12.825,12.825,143580
2019-12-13,1576195200,12.825,12.899,12.787,12.862,134820
2019-12-16,1576454400,12.862,12.862,12.676,12.787,144420
2019-12-17,1576540800,12.787,12.936,12.75,12.936,237370
2019-12-18,1576627200,12.936,12.936,12.676,12.825,154980
2019-12-19,1576713600,12.825,13.308,12.713,13.308,305110
2019-12-20,1576800000,13.271,13.977,13.159,13.754,949630
2019-12-23,1577059200,13.717,13.903,13.159,13.159,689810
2019-12-24,1577145600,13.085,13.159,12.936,13.159,153390
2019-12-25,1577232000,13.122,14.051,13.122,14.051,1215650
2019-12-26,1577318400,13.903,14.349,13.085,13.308,1685450
2019-12-27,1577404800,13.308,13.419,12.378,12.713,1212860
2019-12-30,1577664000,11.858,12.267,11.858,11.858,497660
2019-12-31,1577750400,11.04,11.152,11.04,11.04,412080
