date,timestamp,open,high,low,close,volume
2019-01-02,1546387200,4.93,4.93,4.735,4.817,21750
2019-01-03,1546473600,4.767,4.829,4.691,4.704,55570
2019-01-04,1546560000,4.673,4.704,4.591,4.616,64060
2019-01-07,1546819200,4.823,4.823,4.673,4.685,67260
2019-01-08,1546905600,4.704,4.748,4.679,4.748,47820
2019-01-09,1546992000,4.76,4.76,4.685,4.716,44890
2019-01-10,1547078400,4.735,4.804,4.735,4.804,40300
2019-01-11,1547164800,4.804,4.804,4.716,4.742,39770
2019-01-14,1547424000,4.742,4.76,4.71,4.76,56000
2019-01-15,1547510400,4.71,4.829,4.71,4.829,178430
2019-01-16,1547596800,4.886,4.886,4.773,4.829,105590
2019-01-17,1547683200,4.861,4.861,4.829,4.861,155770
2019-01-18,1547769600,4.861,4.867,4.854,4.861,85090
2019-01-21,1548028800,4.886,5.055,4.886,5.036,345490
2019-01-22,1548115200,5.03,5.03,4.955,4.967,114640
2019-01-23,1548201600,5.017,5.017,4.955,5.017,217250
2019-01-24,1548288000,5.049,5.055,4.961,5.017,116870
2019-01-25,1548374400,5.011,5.024,5.005,5.017,142470
2019-01-28,1548633600,5.017,5.017,4.992,4.992,49640
2019-01-29,1548720000,4.992,4.992,4.892,4.955,143870
2019-01-30,1548806400,4.905,4.923,4.867,4.892,110800
2019-01-31,1548892800,4.917,4.955,4.892,4.955,49220
2019-02-01,1548979200,4.886,4.955,4.886,4.955,57670
2019-02-11,1549843200,4.892,5.017,4.892,5.011,89270
2019-02-12,1549929600,4.917,5.017,4.917,5.017,53310
2019-02-13,1550016000,5.017,5.074,4.992,5.043,125440
2019-02-14,1550102400,5.049,5.174,5.049,5.112,215400
2019-02-15,1550188800,5.143,5.143,4.961,5.13,73060
2019-02-18,1550448000,5.13,5.174,5.049,5.174,187830
2019-02-19,1550534400,5.143,5.174,5.112,5.168,370730
2019-02-20,1550620800,5.162,5.187,5.112,5.143,213570
2019-02-21,1550707200,5.143,5.4,5.143,5.381,481450
2019-02-22,1550793600,5.381,5.645,5.381,5.613,386130
2019-02-25,1551052800,5.645,5.833,5.645,5.795,466050
2019-02-26,1551139200,5.827,5.833,5.651,5.77,391440
2019-02-27,1551225600,5.707,5.958,5.707,5.94,577730
2019-02-28,1551312000,5.94,6.172,5.896,6.034,1064140
2019-03-01,1551398400,6.034,6.266,6.034,6.259,588160
2019-03-04,1551657600,6.272,6.523,6.272,6.492,866610
2019-03-05,1551744000,6.492,6.617,6.272,6.523,1114800
2019-03-06,1551830400,6.523,6.586,6.366,6.397,442040
2019-03-07,1551916800,6.397,6.397,6.209,6.209,746250
2019-03-08,1552003200,6.209,6.429,6.096,6.397,748140
2019-03-11,1552262400,6.46,6.46,6.147,6.272,353940
2019-03-12,1552348800,6.335,6.335,6.209,6.272,322060
2019-03-13,1552435200,6.259,6.272,6.178,6.178,192120
2019-03-14,1552521600,6.266,6.266,6.153,6.209,326350
2019-03-15,1552608000,6.153,6.554,6.153,6.523,1091440
2019-03-18,1552867200,6.523,6.899,6.46,6.837,1658930
2019-03-19,1552953600,7.025,7.244,6.868,7.15,1488460
2019-03-20,1553040000,7.182,7.621,7.087,7.464,996290
2019-03-21,1553126400,7.464,7.464,7.213,7.276,699860
2019-03-22,1553212800,7.276,7.526,7.244,7.401,897880
2019-03-25,1553472000,7.119,7.495,7.119,7.307,747670
2019-03-26,1553558400,7.213,7.464,7.15,7.276,364930
2019-03-27,1553644800,7.213,7.338,7.087,7.213,669360
2019-03-28,1553731200,7.15,7.15,6.711,6.711,1733610
2019-03-29,1553817600,6.774,7.15,6.774,7.15,914000
2019-04-01,1554076800,7.087,7.15,6.962,7.025,452930
2019-04-02,1554163200,7.025,7.37,6.962,7.025,549480
2019-04-03,1554249600,6.962,7.15,6.962,7.15,316750
2019-04-04,1554336000,7.213,7.495,7.182,7.401,1137700
2019-04-05,1554422400,7.401,7.495,7.213,7.276,743940
2019-04-08,1554681600,7.276,7.307,7.087,7.087,656430
2019-04-09,1554768000,7.056,7.15,6.837,7.025,1369520
2019-04-10,1554854400,6.931,6.993,6.774,6.774,765940
2019-04-11,1554940800,6.774,7.15,6.774,7.087,497150
2019-04-12,1555027200,7.087,7.087,6.993,7.056,196440
2019-04-16,1555372800,6.899,6.899,6.774,6.774,605410
2019-04-17,1555459200,6.837,6.868,6.586,6.586,763660
2019-04-18,1555545600,6.586,6.586,6.46,6.523,262780
2019-04-19,1555632000,6.46,6.586,6.366,6.492,200710
2019-04-22,1555891200,6.492,6.492,6.366,6.397,134500
2019-04-23,1555977600,6.303,6.586,6.303,6.366,152560
2019-04-24,1556064000,6.523,6.617,6.429,6.617,226110
2019-04-25,1556150400,6.648,6.711,6.523,6.586,114530
2019-04-26,1556236800,6.586,6.617,6.523,6.586,130100
2019-05-02,1556755200,6.586,6.648,6.586,6.617,83240
2019-05-03,1556841600,6.523,6.68,6.523,6.617,212440
2019-05-06,1557100800,6.523,6.586,6.335,6.397,210630
2019-05-07,1557187200,6.46,6.46,6.266,6.272,253770
2019-05-08,1557273600,6.147,6.209,6.021,6.147,252870
2019-05-09,1557360000,6.147,6.335,6.147,6.266,173780
2019-05-10,1557446400,6.266,6.366,6.209,6.266,61930
2019-05-13,1557705600,6.272,6.492,6.266,6.366,164070
2019-05-14,1557792000,6.366,6.366,6.241,6.335,150960
2019-05-15,1557878400,6.335,6.46,6.335,6.429,135860
