date,timestamp,open,high,low,close,volume
2019-01-02,1546387200,13.331,13.331,13.238,13.238,35890
2019-01-03,1546473600,13.238,13.238,12.926,13.051,83180
2019-01-04,1546560000,13.082,13.082,12.957,13.051,41060
2019-01-07,1546819200,13.207,13.331,13.144,13.175,16140
2019-01-08,1546905600,13.02,13.144,12.988,13.082,9580
2019-01-09,1546992000,13.144,13.175,13.082,13.113,26680
2019-01-10,1547078400,13.082,13.144,12.957,12.957,22260
2019-01-11,1547164800,12.957,13.144,12.957,13.082,25010
2019-01-14,1547424000,13.144,13.144,13.02,13.02,21720
2019-01-15,1547510400,13.082,13.082,12.957,12.957,11410
2019-01-16,1547596800,12.957,13.082,12.957,13.051,27070
2019-01-17,1547683200,13.082,13.082,12.988,12.988,13580
2019-01-18,1547769600,13.02,13.02,12.864,13.02,17410
2019-01-21,1548028800,13.02,13.02,12.708,12.833,75130
2019-01-22,1548115200,12.864,12.864,12.646,12.708,36960
2019-01-23,1548201600,12.708,12.708,12.646,12.708,22440
2019-01-24,1548288000,12.708,13.02,12.646,12.833,26270
2019-01-25,1548374400,12.77,12.833,12.677,12.77,23860
2019-01-28,1548633600,12.802,12.957,12.677,12.926,35030
2019-01-29,1548720000,12.895,12.926,12.677,12.926,37750
2019-01-30,1548806400,12.957,12.957,12.708,12.708,15260
2019-01-31,1548892800,12.677,13.082,12.677,12.77,7050
2019-02-01,1548979200,12.957,12.957,12.708,12.833,11220
2019-02-11,1549843200,12.895,12.895,12.77,12.833,11600
2019-02-12,1549929600,12.77,12.864,12.646,12.864,57770
2019-02-13,1550016000,12.926,13.269,12.926,13.269,96540
2019-02-14,1550102400,13.269,13.393,13.144,13.362,69810
2019-02-15,1550188800,13.362,13.456,13.362,13.362,27490
2019-02-18,1550448000,13.331,13.456,13.331,13.456,29380
2019-02-19,1550534400,13.456,13.518,13.331,13.331,17740
2019-02-20,1550620800,13.425,13.425,13.082,13.144,17210
