date,timestamp,open,high,low,close,volume
2019-01-02,1546387200,37.614,37.614,37.614,37.614,0
2019-01-03,1546473600,37.614,37.614,37.614,37.614,0
2019-01-04,1546560000,37.614,37.614,37.614,37.614,0
2019-01-07,1546819200,37.614,37.614,37.614,37.614,0
2019-01-08,1546905600,37.614,37.614,37.614,37.614,0
2019-01-09,1546992000,37.614,37.614,37.614,37.614,0
2019-01-10,1547078400,36.109,36.109,36.109,36.109,100
2019-01-11,1547164800,36.109,36.109,36.109,36.109,0
2019-01-14,1547424000,36.109,36.109,36.109,36.109,0
2019-01-15,1547510400,36.485,36.485,36.485,36.485,200
2019-01-16,1547596800,36.485,36.485,36.485,36.485,0
2019-01-17,1547683200,36.485,36.485,36.485,36.485,0
2019-01-18,1547769600,36.485,36.485,36.485,36.485,0
2019-01-21,1548028800,36.485,36.485,36.485,36.485,0
2019-01-22,1548115200,36.485,36.485,36.485,36.485,0
2019-01-23,1548201600,36.485,36.485,36.485,36.485,0
2019-01-24,1548288000,36.485,36.485,36.485,36.485,0
2019-01-25,1548374400,36.41,36.41,36.41,36.41,100
2019-01-28,1548633600,39.118,39.118,39.118,39.118,300
2019-01-29,1548720000,39.118,39.118,39.118,39.118,0
2019-01-30,1548806400,39.118,39.118,39.118,39.118,0
2019-01-31,1548892800,36.862,36.862,36.862,36.862,100
2019-02-01,1548979200,36.862,36.862,36.862,36.862,0
2019-02-11,1549843200,36.862,36.862,36.862,36.862,0
2019-02-12,1549929600,36.862,36.862,36.862,36.862,0
2019-02-13,1550016000,39.871,39.871,39.871,39.871,100
2019-02-14,1550102400,39.871,39.871,39.871,39.871,0
2019-02-15,1550188800,39.871,39.871,39.871,39.871,0
2019-02-18,1550448000,35.959,35.953,35.878,35.884,1300
2019-02-19,1550534400,36.109,36.109,36.109,36.109,300
2019-02-20,1550620800,37.463,37.463,37.463,37.463,100
2019-02-21,1550707200,37.463,37.463,37.463,37.463,0
2019-02-22,1550793600,39.043,39.043,39.043,39.043,100
2019-02-25,1551052800,39.419,39.419,39.419,39.419,100
2019-02-26,1551139200,39.419,39.419,39.419,39.419,0
2019-02-27,1551225600,39.419,39.419,39.419,39.419,0
2019-02-28,1551312000,39.419,39.419,39.419,39.419,0
2019-03-01,1551398400,39.419,39.419,39.419,39.419,0
2019-03-04,1551657600,39.419,39.419,39.419,39.419,0
2019-03-05,1551744000,39.419,39.419,39.419,39.419,0
2019-03-06,1551830400,39.419,39.419,39.419,39.419,0
2019-03-07,1551916800,39.796,39.796,39.796,39.796,100
2019-03-08,1552003200,36.862,40.56,38.591,38.742,1300
2019-03-11,1552262400,38.742,38.742,38.742,38.742,0
2019-03-12,1552348800,38.366,38.366,38.366,38.366,200
2019-03-13,1552435200,34.68,39.015,36.621,36.786,1600
2019-03-14,1552521600,34.755,35.969,35.357,35.357,900
2019-03-15,1552608000,34.755,36.637,35.632,35.658,400
2019-03-18,1552867200,34.906,35.224,34.774,34.906,2200
2019-03-19,1552953600,35.733,35.733,35.733,35.733,1000
2019-03-20,1553040000,35.733,35.462,34.715,34.981,1600
2019-03-21,1553126400,34.68,37.51,35.951,36.185,400
2019-03-22,1553212800,34.981,34.981,34.981,34.981,200
2019-03-25,1553472000,35.357,35.307,35.231,35.282,300
2019-03-26,1553558400,34.68,35.335,34.733,35.207,3100
2019-03-27,1553644800,35.357,36.724,36.034,36.034,600
2019-03-28,1553731200,36.034,36.034,36.034,36.034,0
2019-03-29,1553817600,34.68,35.827,35.141,35.357,800
2019-04-01,1554076800,35.357,35.357,35.357,35.357,0
2019-04-02,1554163200,36.109,39.025,37.539,37.539,1600
2019-04-03,1554249600,35.357,35.508,35.432,35.432,300
2019-04-04,1554336000,38.291,38.291,38.291,38.291,100
2019-04-05,1554422400,38.291,38.291,38.291,38.291,0
2019-04-08,1554681600,38.893,38.893,38.893,38.893,100
2019-04-09,1554768000,38.893,38.893,38.893,38.893,0
2019-04-10,1554854400,35.432,38.94,35.963,38.366,2900
2019-04-11,1554940800,37.614,37.614,37.614,37.614,700
2019-04-12,1555027200,37.614,37.614,37.614,37.614,0
2019-04-16,1555372800,37.614,37.614,37.614,37.614,0
2019-04-17,1555459200,36.636,36.636,36.636,36.636,900
2019-04-18,1555545600,37.614,37.614,37.614,37.614,400
2019-04-19,1555632000,37.614,37.614,37.614,37.614,6000
2019-04-22,1555891200,37.614,37.614,37.614,37.614,500
2019-04-23,1555977600,37.99,37.99,37.99,37.99,300
2019-04-24,1556064000,37.915,38.028,37.952,37.99,200
2019-04-25,1556150400,37.99,44.606,40.957,41.375,8500
2019-04-26,1556236800,41.375,41.375,41.375,41.375,200
2019-05-02,1556755200,41.375,41.375,41.375,41.375,0
2019-05-03,1556841600,37.614,40.11,38.568,39.118,1400
2019-05-06,1557100800,39.118,39.118,39.118,39.118,0
2019-05-07,1557187200,39.118,39.118,39.118,39.118,0
2019-05-08,1557273600,39.118,39.118,39.118,39.118,0
2019-05-09,1557360000,39.118,39.118,39.118,39.118,500
2019-05-10,1557446400,39.118,39.118,39.118,39.118,0
2019-05-13,1557705600,39.118,39.118,39.118,39.118,20
2019-05-14,1557792000,38.366,38.366,38.366,38.366,1000
2019-05-15,1557878400,40.473,40.473,40.473,40.473,180
2019-05-16,1557964800,38.366,38.366,38.366,38.366,1000
2019-05-17,1558051200,38.366,38.216,38.066,38.216,600
2019-05-20,1558310400,38.216,43.073,40.516,40.548,600
2019-05-21,1558396800,38.366,39.885,39.118,39.118,2100
2019-05-22,1558483200,39.118,39.118,39.118,39.118,0
2019-05-23,1558569600,38.742,39.082,38.703,38.742,8200
2019-05-24,1558656000,38.742,38.742,38.742,38.742,1000
2019-05-27,1558915200,38.366,38.366,38.366,38.366,2506
2019-05-28,1559001600,38.366,38.424,38.349,38.366,2200
2019-05-29,1559088000,38.366,38.329,38.253,38.291,1300
2019-05-30,1559174400,38.291,38.291,38.291,38.291,103
2019-05-31,1559260800,38.216,38.216,38.216,38.216,600
2019-06-03,1559520000,39.796,39.796,39.796,39.796,400
2019-06-04,1559606400,38.968,38.968,38.968,38.968,400
2019-06-05,1559692800,38.366,38.366,38.366,38.366,2901
2019-06-06,1559779200,38.366,38.366,38.366,38.366,1200
