date,timestamp,open,high,low,close,volume
2019-01-02,1546387200,6.677,6.677,6.677,6.677,0
2019-01-03,1546473600,6.677,6.677,6.677,6.677,0
2019-01-04,1546560000,6.677,6.677,6.677,6.677,0
2019-01-07,1546819200,6.677,6.677,6.677,6.677,0
2019-01-08,1546905600,6.611,6.652,6.586,6.611,8600
2019-01-09,1546992000,6.677,6.677,6.677,6.677,7700
2019-01-10,1547078400,6.677,7.022,6.754,6.942,1000
2019-01-11,1547164800,6.942,6.942,6.942,6.942,0
2019-01-14,1547424000,6.743,6.743,6.743,6.743,2000
2019-01-15,1547510400,6.743,6.743,6.743,6.743,0
2019-01-16,1547596800,6.743,6.743,6.743,6.743,0
2019-01-17,1547683200,6.743,6.743,6.743,6.743,0
2019-01-18,1547769600,6.347,6.347,6.347,6.347,100
2019-01-21,1548028800,6.942,6.942,6.942,6.942,500
2019-01-22,1548115200,6.743,6.743,6.743,6.743,200
2019-01-23,1548201600,6.942,7.269,6.923,6.942,8500
2019-01-24,1548288000,6.942,6.942,6.942,6.942,6000
2019-01-25,1548374400,6.677,6.677,6.677,6.677,100
2019-01-28,1548633600,6.942,6.942,6.942,6.942,1600
2019-01-29,1548720000,6.743,7.136,6.932,6.942,2100
2019-01-30,1548806400,6.942,6.942,6.942,6.942,0
2019-01-31,1548892800,6.942,6.942,6.942,6.942,0
2019-02-01,1548979200,6.942,6.942,6.942,6.942,0
2019-02-11,1549843200,6.942,6.942,6.942,6.942,0
2019-02-12,1549929600,7.338,7.338,7.338,7.338,1200
2019-02-13,1550016000,7.338,7.465,7.398,7.405,5100
2019-02-14,1550102400,7.405,7.405,7.405,7.405,0
2019-02-15,1550188800,7.405,7.347,7.216,7.272,4900
2019-02-18,1550448000,7.272,7.272,7.272,7.272,0
2019-02-19,1550534400,7.272,7.272,7.272,7.272,0
2019-02-20,1550620800,7.272,7.272,7.272,7.272,100
2019-02-21,1550707200,7.735,7.497,7.048,7.272,200
2019-02-22,1550793600,6.942,7.074,6.942,7.008,2600
2019-02-25,1551052800,7.008,7.008,7.008,7.008,1500
2019-02-26,1551139200,7.008,7.008,7.008,7.008,10900
2019-02-27,1551225600,7.669,7.605,7.015,7.074,1000
2019-02-28,1551312000,7.074,7.378,7.176,7.272,2100
2019-03-01,1551398400,7.272,7.272,7.272,7.272,0
2019-03-04,1551657600,7.471,7.405,7.339,7.405,5000
2019-03-05,1551744000,7.405,7.384,7.252,7.338,1600
2019-03-06,1551830400,7.338,7.452,7.385,7.405,1700
2019-03-07,1551916800,7.405,7.405,7.405,7.405,2700
2019-03-08,1552003200,7.934,7.934,7.934,7.934,140
2019-03-11,1552262400,7.801,8.51,8.098,8.198,5800
2019-03-12,1552348800,8.066,8.231,8.098,8.198,400
2019-03-13,1552435200,8.462,8.462,8.462,8.462,200
2019-03-14,1552521600,8.462,8.462,8.462,8.462,0
2019-03-15,1552608000,8.198,8.198,8.198,8.198,500
2019-03-18,1552867200,8.198,8.198,8.198,8.198,0
2019-03-19,1552953600,8.198,8.198,8.198,8.198,0
2019-03-20,1553040000,7.405,7.608,7.41,7.603,3840
2019-03-21,1553126400,7.272,7.272,7.272,7.272,2500
2019-03-22,1553212800,7.272,7.272,7.272,7.272,0
2019-03-25,1553472000,7.338,7.338,7.338,7.338,1000
2019-03-26,1553558400,7.338,7.505,7.372,7.471,18500
2019-03-27,1553644800,7.471,7.471,7.471,7.471,7300
2019-03-28,1553731200,7.471,7.471,7.471,7.471,0
2019-03-29,1553817600,7.471,7.471,7.471,7.471,2500
2019-04-01,1554076800,7.471,7.471,7.471,7.471,0
2019-04-02,1554163200,7.471,7.471,7.471,7.471,3300
2019-04-03,1554249600,7.471,7.471,7.471,7.471,7300
2019-04-04,1554336000,7.471,7.471,7.471,7.471,1800
2019-04-05,1554422400,7.471,7.471,7.471,7.471,8700
2019-04-08,1554681600,7.471,7.471,7.471,7.471,200
2019-04-09,1554768000,8.132,8.132,8.132,8.132,100
2019-04-10,1554854400,7.801,7.734,7.537,7.603,1500
2019-04-11,1554940800,7.603,7.603,7.603,7.603,0
2019-04-12,1555027200,7.603,7.603,7.603,7.603,0
2019-04-16,1555372800,7.603,7.603,7.603,7.603,1000
2019-04-17,1555459200,8.0,7.897,7.505,7.603,400
2019-04-18,1555545600,7.537,7.537,7.537,7.537,210
2019-04-19,1555632000,7.827,7.827,7.247,7.247,2800
2019-04-22,1555891200,7.247,7.247,6.812,6.812,7300
2019-04-23,1555977600,7.464,7.464,7.247,7.247,3100
2019-04-24,1556064000,7.102,7.102,7.102,7.102,800
2019-04-25,1556150400,7.102,7.102,7.102,7.102,0
2019-04-26,1556236800,7.247,7.247,7.247,7.247,2000
2019-05-02,1556755200,7.247,7.247,7.247,7.247,0
2019-05-03,1556841600,7.247,7.247,7.247,7.247,0
2019-05-06,1557100800,7.247,7.247,7.247,7.247,0
2019-05-07,1557187200,7.247,7.247,7.247,7.247,0
2019-05-08,1557273600,7.247,7.247,7.247,7.247,0
2019-05-09,1557360000,7.247,7.247,7.247,7.247,0
2019-05-10,1557446400,7.247,7.247,7.247,7.247,0
2019-05-13,1557705600,7.247,7.247,7.247,7.247,0
2019-05-14,1557792000,7.247,7.247,7.247,7.247,0
2019-05-15,1557878400,7.247,7.247,7.247,7.247,0
2019-05-16,1557964800,6.884,6.884,6.884,6.884,300
2019-05-17,1558051200,6.884,6.884,6.884,6.884,0
