date,timestamp,open,high,low,close,volume
2020-01-02,1577923200,18.513,18.513,18.513,18.513,0
2020-01-03,1578009600,19.077,19.077,19.077,19.077,500
2020-01-06,1578268800,19.077,19.077,19.077,19.077,1710
2020-01-07,1578355200,18.21,18.21,18.21,18.21,1100
2020-01-08,1578441600,18.21,18.21,18.21,18.21,100
2020-01-09,1578528000,18.21,18.21,18.21,18.21,0
2020-01-10,1578614400,18.21,18.21,18.21,18.21,0
2020-01-13,1578873600,18.21,18.21,18.21,18.21,0
2020-01-14,1578960000,18.21,18.21,18.21,18.21,0
2020-01-15,1579046400,18.21,18.21,18.21,18.21,0
2020-01-16,1579132800,18.21,18.21,18.21,18.21,1
2020-01-17,1579219200,18.21,18.21,18.21,18.21,0
2020-01-20,1579478400,18.21,18.21,18.21,18.21,0
2020-01-21,1579564800,19.077,19.077,19.077,19.077,1700
2020-01-22,1579651200,17.603,17.603,17.603,17.603,320
2020-01-30,1580342400,17.603,17.603,17.603,17.603,49
2020-01-31,1580428800,17.603,19.51,16.996,17.461,33342
2020-02-03,1580688000,16.475,17.342,16.475,17.263,1240
2020-02-04,1580774400,17.342,17.429,17.299,17.341,14344
2020-02-05,1580860800,17.776,17.819,17.776,17.796,5620
2020-02-06,1580947200,17.993,17.993,17.863,17.942,9253
2020-02-07,1581033600,17.993,18.426,17.949,18.184,21200
2020-02-10,1581292800,18.166,19.424,17.776,17.843,63500
2020-02-11,1581379200,18.21,18.21,18.21,18.21,1100
2020-02-12,1581465600,18.643,19.38,18.643,19.091,6304
2020-02-13,1581552000,18.86,19.467,18.86,19.269,2800
2020-02-14,1581638400,19.51,19.51,19.077,19.11,2600
2020-02-17,1581897600,20.031,20.031,19.727,19.761,916
2020-02-18,1581984000,19.597,19.597,19.597,19.597,200
2020-02-19,1582070400,19.9,19.9,19.9,19.9,100
2020-02-20,1582156800,19.9,22.762,19.597,20.317,64005
2020-02-21,1582243200,20.334,20.551,19.944,20.419,47710
2020-02-24,1582502400,20.377,20.377,20.377,20.377,47070
2020-02-25,1582588800,20.377,20.377,20.377,20.377,2316
2020-02-26,1582675200,20.377,20.681,20.377,20.599,67010
2020-02-27,1582761600,20.941,21.635,20.594,20.99,3740
2020-02-28,1582848000,21.591,21.591,21.591,21.591,101
2020-03-02,1583107200,21.591,21.591,20.377,20.418,6000
2020-03-03,1583193600,19.51,19.727,19.51,19.619,225
2020-03-04,1583280000,19.944,19.944,19.944,19.944,2130
2020-03-05,1583366400,21.678,21.678,20.811,21.245,214
2020-03-06,1583452800,20.898,20.898,20.031,20.122,13500
2020-03-09,1583712000,20.377,20.377,20.247,20.266,900
2020-03-10,1583798400,20.204,20.204,20.204,20.204,100
2020-03-11,1583884800,20.204,20.204,20.117,20.174,1600
2020-03-12,1583971200,19.727,19.727,19.033,19.216,16730
2020-03-13,1584057600,19.077,19.163,18.643,19.033,12018
2020-03-16,1584316800,19.033,19.033,18.86,18.864,4000
2020-03-17,1584403200,18.817,19.51,18.817,19.256,9000
2020-03-18,1584489600,19.12,19.12,19.077,19.084,1710
2020-03-19,1584576000,18.253,18.253,18.253,18.253,100
2020-03-20,1584662400,18.253,18.253,18.253,18.253,0
2020-03-23,1584921600,16.042,19.293,16.042,17.92,300
2020-03-24,1585008000,16.128,19.51,16.085,18.337,21401
2020-03-25,1585094400,18.643,18.643,16.952,18.603,4200
2020-03-26,1585180800,18.6,18.6,18.6,18.6,0
2020-03-27,1585267200,17.342,17.819,17.342,17.769,6101
2020-03-30,1585526400,17.776,17.776,17.776,17.776,1000
2020-03-31,1585612800,17.776,18.21,17.776,17.916,3100
2020-04-01,1585699200,17.472,17.472,17.342,17.42,12050
2020-04-03,1585872000,17.429,17.993,17.342,17.68,18000
2020-04-06,1586131200,19.077,19.077,18.426,18.7,10200
2020-04-07,1586217600,18.426,18.426,18.21,18.353,8400
2020-04-08,1586304000,18.426,18.426,18.426,18.426,6500
2020-04-09,1586390400,18.426,18.426,18.426,18.426,1
2020-04-10,1586476800,18.426,18.426,18.426,18.426,0
