date,timestamp,open,high,low,close,volume
2020-01-02,1577923200,9.682,9.682,9.598,9.676,1300
2020-01-03,1578009600,9.261,9.682,9.261,9.291,17000
2020-01-06,1578268800,9.767,10.272,9.767,10.019,200
2020-01-07,1578355200,9.682,9.682,9.514,9.554,9210
2020-01-08,1578441600,9.514,9.514,9.346,9.4,12600
2020-01-09,1578528000,9.43,9.43,9.177,9.388,600
2020-01-10,1578614400,9.346,9.43,9.346,9.349,7700
2020-01-13,1578873600,9.43,9.43,9.346,9.346,11200
2020-01-14,1578960000,9.346,9.346,9.346,9.346,8400
2020-01-15,1579046400,9.346,9.346,9.346,9.346,10000
2020-01-16,1579132800,9.346,9.43,9.346,9.348,7200
2020-01-17,1579219200,9.346,9.682,9.346,9.347,49200
2020-01-20,1579478400,9.261,9.346,9.261,9.34,13500
2020-01-21,1579564800,9.261,9.346,9.261,9.326,2600
2020-01-22,1579651200,9.346,9.598,9.346,9.371,1010
2020-01-30,1580342400,9.514,9.514,9.514,9.514,1000
2020-01-31,1580428800,9.261,9.43,9.261,9.272,6000
2020-02-03,1580688000,9.261,9.261,8.84,8.94,7600
2020-02-04,1580774400,8.756,8.925,8.756,8.909,11800
2020-02-05,1580860800,8.925,8.925,8.925,8.925,0
2020-02-06,1580947200,9.43,9.682,9.346,9.45,11900
2020-02-07,1581033600,9.43,9.43,9.43,9.43,60
2020-02-10,1581292800,9.261,9.261,9.009,9.09,8400
2020-02-11,1581379200,9.093,9.093,9.093,9.093,2500
2020-02-12,1581465600,9.261,9.261,8.925,8.943,5110
2020-02-13,1581552000,9.261,9.261,9.261,9.261,900
2020-02-14,1581638400,9.261,9.261,9.261,9.261,500
2020-02-17,1581897600,9.261,9.261,9.261,9.261,0
2020-02-18,1581984000,9.261,9.514,9.261,9.504,5100
2020-02-19,1582070400,9.514,9.514,9.514,9.514,0
2020-02-20,1582156800,9.43,9.43,9.177,9.425,5100
2020-02-21,1582243200,9.43,9.43,9.43,9.43,4600
2020-02-24,1582502400,9.43,9.43,9.093,9.261,2019
2020-02-25,1582588800,9.261,9.261,9.261,9.261,0
2020-02-26,1582675200,8.84,8.925,8.84,8.865,2130
2020-02-27,1582761600,8.925,8.925,8.925,8.925,100
2020-02-28,1582848000,8.84,9.093,8.84,8.898,2200
2020-03-02,1583107200,8.925,9.009,8.925,8.967,220
2020-03-03,1583193600,9.093,9.093,9.093,9.093,2000
2020-03-04,1583280000,9.093,9.261,9.093,9.124,4100
2020-03-05,1583366400,9.261,9.261,9.261,9.261,4510
2020-03-06,1583452800,9.261,9.261,9.261,9.261,0
2020-03-09,1583712000,9.261,9.261,9.261,9.261,0
2020-03-10,1583798400,9.261,9.261,9.261,9.261,0
2020-03-11,1583884800,8.756,8.756,8.419,8.694,14900
2020-03-12,1583971200,8.672,8.672,8.672,8.672,0
2020-03-13,1584057600,7.577,8.335,7.577,7.92,21400
2020-03-16,1584316800,7.998,8.167,7.998,8.064,1800
2020-03-17,1584403200,8.083,8.083,7.662,7.861,11600
2020-03-18,1584489600,8.083,8.251,8.083,8.132,7100
2020-03-19,1584576000,8.419,8.419,7.914,8.131,2416
2020-03-20,1584662400,7.83,8.335,7.83,8.027,4700
2020-03-23,1584921600,7.662,7.662,7.577,7.583,28140
2020-03-24,1585008000,6.82,7.577,6.735,7.164,5316
2020-03-25,1585094400,7.577,8.083,7.577,7.758,3730
2020-03-26,1585180800,8.167,8.167,8.167,8.167,1100
2020-03-27,1585267200,7.662,7.662,7.577,7.593,5400
2020-03-30,1585526400,7.577,7.577,7.577,7.577,16
