date,timestamp,open,high,low,close,volume
2020-01-02,1577923200,8.8,8.9,8.8,8.9,3300
2020-01-03,1578009600,9.0,9.0,8.5,8.7,9500
2020-01-06,1578268800,8.5,8.6,8.2,8.2,8100
2020-01-07,1578355200,8.9,8.9,8.6,8.6,26850
2020-01-08,1578441600,8.8,8.8,8.3,8.3,3800
2020-01-09,1578528000,8.8,8.8,8.4,8.4,37649
2020-01-10,1578614400,8.0,8.3,8.0,8.2,2600
2020-01-13,1578873600,8.9,8.9,8.2,8.2,2000
2020-01-14,1578960000,8.7,8.7,8.6,8.6,11220
2020-01-15,1579046400,8.7,8.7,8.7,8.7,111
2020-01-16,1579132800,8.2,8.2,7.9,8.1,20000
2020-01-17,1579219200,8.5,8.5,8.0,8.0,16419
2020-01-20,1579478400,8.0,8.0,7.7,8.0,11700
2020-01-21,1579564800,8.1,8.1,7.9,7.9,14710
2020-01-22,1579651200,8.0,8.0,8.0,8.0,16600
2020-01-30,1580342400,7.9,8.4,7.8,8.0,5700
2020-01-31,1580428800,8.1,8.1,7.0,7.0,18820
2020-02-03,1580688000,7.0,7.3,6.9,7.0,15900
2020-02-04,1580774400,7.0,7.2,7.0,7.0,39500
2020-02-05,1580860800,8.0,8.0,7.0,7.4,33400
2020-02-06,1580947200,7.4,7.8,7.4,7.8,7100
2020-02-07,1581033600,7.9,8.0,7.6,8.0,4900
2020-02-10,1581292800,8.0,8.0,8.0,8.0,6500
2020-02-11,1581379200,7.2,7.2,7.1,7.1,4000
2020-02-12,1581465600,7.1,7.1,7.1,7.1,0
2020-02-13,1581552000,7.9,8.0,7.8,8.0,3500
2020-02-14,1581638400,7.9,8.2,7.9,8.1,11615
2020-02-17,1581897600,9.2,9.2,8.4,8.5,3100
2020-02-18,1581984000,9.4,9.4,8.7,8.8,4900
2020-02-19,1582070400,9.4,9.4,9.4,9.4,1500
2020-02-20,1582156800,9.9,9.9,8.0,8.8,41900
2020-02-21,1582243200,9.1,9.1,8.3,8.5,16000
2020-02-24,1582502400,8.2,8.2,8.0,8.1,5000
2020-02-25,1582588800,8.4,8.8,8.1,8.443,2100
2020-02-26,1582675200,8.1,8.1,8.1,8.1,3500
2020-02-27,1582761600,8.2,8.4,8.1,8.196,9101
2020-02-28,1582848000,8.2,8.2,8.0,8.003,6601
2020-03-02,1583107200,7.8,8.2,7.7,8.029,7419
2020-03-03,1583193600,8.1,8.1,8.1,8.1,8100
2020-03-04,1583280000,8.0,8.3,8.0,8.286,2100
2020-03-05,1583366400,8.6,8.6,8.2,8.2,4000
2020-03-06,1583452800,8.3,8.3,8.3,8.3,0
2020-03-09,1583712000,8.0,8.5,7.7,8.0,14300
2020-03-10,1583798400,8.3,8.3,7.9,7.9,2400
2020-03-11,1583884800,8.3,8.3,7.9,7.9,3600
2020-03-12,1583971200,8.0,8.0,8.0,8.0,0
2020-03-13,1584057600,8.2,8.2,7.2,8.1,8500
2020-03-16,1584316800,8.1,8.1,8.1,8.1,2100
2020-03-17,1584403200,8.1,8.1,8.1,8.1,12
2020-03-18,1584489600,7.1,8.0,7.1,7.9,2202
2020-03-19,1584576000,7.7,8.0,7.0,7.9,3400
2020-03-20,1584662400,7.0,7.6,7.0,7.6,2100
2020-03-23,1584921600,6.6,7.1,6.3,6.3,1612
2020-03-24,1585008000,5.7,7.0,5.7,7.0,3600
2020-03-25,1585094400,7.5,7.5,7.0,7.5,11700
2020-03-26,1585180800,7.5,7.5,7.5,7.5,10
2020-03-27,1585267200,7.0,7.5,7.0,7.5,5230
2020-03-30,1585526400,7.0,7.0,7.0,7.0,34
2020-03-31,1585612800,6.5,7.4,6.5,7.4,1600
2020-04-01,1585699200,7.5,7.5,7.0,7.0,9900
2020-04-03,1585872000,7.5,7.5,7.0,7.0,1243
2020-04-06,1586131200,7.0,7.5,7.0,7.5,2332
2020-04-07,1586217600,7.4,7.4,7.0,7.4,4100
2020-04-08,1586304000,7.0,7.4,7.0,7.4,16134
2020-04-09,1586390400,7.4,7.4,7.2,7.2,18382
2020-04-10,1586476800,7.0,7.2,7.0,7.2,5500
2020-04-13,1586736000,7.0,7.0,7.0,7.0,15429
2020-04-14,1586822400,7.0,7.4,7.0,7.4,13500
2020-04-15,1586908800,7.4,8.1,7.4,8.1,49300
2020-04-16,1586995200,8.9,9.0,8.4,9.0,49600
2020-04-17,1587081600,9.2,9.2,8.9,8.9,15000
2020-04-20,1587340800,8.5,9.8,8.5,9.0,129700
2020-04-21,1587427200,9.0,9.0,8.3,8.5,7900
2020-04-22,1587513600,8.7,8.8,8.7,8.7,13000
2020-04-23,1587600000,8.7,8.9,8.7,8.9,39300
2020-04-24,1587686400,8.8,8.9,8.7,8.9,46516
2020-04-27,1587945600,8.8,9.3,8.8,8.9,129100
2020-04-28,1588032000,9.2,9.5,8.7,8.7,21100
2020-04-29,1588118400,9.2,9.8,9.1,9.1,144627
2020-05-04,1588550400,9.2,9.2,8.5,8.7,4100
2020-05-05,1588636800,9.2,9.2,8.6,9.0,3200
2020-05-06,1588723200,8.2,8.9,8.2,8.9,1800
2020-05-07,1588809600,8.5,9.2,8.5,9.1,58000
2020-05-08,1588896000,9.1,9.4,9.1,9.4,5500
2020-05-11,1589155200,9.3,9.3,9.2,9.2,1300
2020-05-12,1589241600,9.7,10.0,9.7,10.0,76900
2020-05-13,1589328000,10.0,10.1,9.9,10.0,8509
2020-05-14,1589414400,9.8,9.8,9.8,9.8,13500
2020-05-15,1589500800,9.7,9.8,9.7,9.8,13501
2020-05-18,1589760000,10.1,10.2,9.8,9.8,11800
2020-05-19,1589846400,10.9,10.9,10.9,10.9,1709
2020-05-20,1589932800,10.9,10.9,10.9,10.9,54
2020-05-21,1590019200,9.9,9.9,9.3,9.5,9917
2020-05-22,1590105600,10.3,10.3,9.9,9.9,200
2020-05-25,1590364800,10.1,10.1,10.1,10.1,0
2020-05-26,1590451200,9.8,9.9,9.8,9.8,72500
2020-05-27,1590537600,9.8,9.8,9.8,9.8,0
2020-05-28,1590624000,9.8,9.8,9.8,9.8,10
2020-05-29,1590710400,11.0,11.0,9.6,9.9,1407
2020-06-01,1590969600,10.4,10.4,10.4,10.4,100
2020-06-02,1591056000,10.4,10.4,10.4,10.4,1100
2020-06-03,1591142400,10.4,10.4,10.4,10.4,0
2020-06-04,1591228800,10.4,10.4,10.4,10.4,0
2020-06-05,1591315200,9.0,9.0,9.0,9.0,4500
2020-06-08,1591574400,10.3,10.3,10.3,10.3,110
2020-06-09,1591660800,10.8,10.8,9.1,9.1,25600
2020-06-10,1591747200,9.2,9.2,9.2,9.2,10
2020-06-11,1591833600,9.9,9.9,9.6,9.6,10939
2020-06-12,1591920000,9.8,9.8,9.8,9.8,87982
2020-06-15,1592179200,10.9,10.9,10.9,10.9,114
2020-06-16,1592265600,10.9,10.9,10.9,10.9,0
2020-06-17,1592352000,9.6,9.6,9.6,9.6,2000
2020-06-18,1592438400,9.6,9.6,9.6,9.6,0
2020-06-19,1592524800,10.3,10.3,10.3,10.3,100
2020-06-22,1592784000,10.3,10.3,10.3,10.3,0
2020-06-23,1592870400,9.3,10.5,9.3,10.5,400
2020-06-24,1592956800,9.1,9.1,8.9,8.9,4000
2020-06-25,1593043200,9.8,9.8,9.1,9.1,13300
2020-06-26,1593129600,9.8,9.8,9.8,9.8,170
2020-06-29,1593388800,9.8,9.8,9.8,9.8,0
2020-06-30,1593475200,9.8,9.8,9.7,9.7,6000
2020-07-01,1593561600,9.1,9.1,9.1,9.1,200
2020-07-02,1593648000,9.1,9.5,9.1,9.5,3800
2020-07-03,1593734400,9.5,9.9,9.5,9.9,1100
2020-07-06,1593993600,9.5,9.7,9.5,9.7,4100
2020-07-07,1594080000,9.7,9.8,9.7,9.8,10000
2020-07-08,1594166400,9.8,9.8,9.8,9.8,1800
2020-07-09,1594252800,9.8,9.8,9.8,9.8,10000
2020-07-10,1594339200,9.8,9.8,9.8,9.8,1100
2020-07-13,1594598400,9.8,9.8,9.8,9.8,1000
2020-07-14,1594684800,9.8,9.8,9.8,9.8,5000
2020-07-15,1594771200,9.8,9.8,9.8,9.8,0
2020-07-16,1594857600,9.8,9.8,9.8,9.8,0
2020-07-17,1594944000,9.8,9.8,9.8,9.8,0
2020-07-20,1595203200,8.8,9.8,8.8,9.8,5200
2020-07-21,1595289600,9.8,9.8,9.8,9.8,100
2020-07-22,1595376000,9.8,9.8,9.8,9.8,83900
2020-07-23,1595462400,9.8,10.0,9.8,9.8,39600
2020-07-24,1595548800,9.8,9.8,9.8,9.8,100
2020-07-27,1595808000,9.8,9.8,9.3,9.3,115010
2020-07-28,1595894400,10.0,10.0,10.0,10.0,100
2020-07-29,1595980800,9.8,9.8,9.8,9.8,500
2020-07-30,1596067200,9.8,9.8,9.8,9.8,82012
2020-07-31,1596153600,9.3,9.3,9.3,9.3,2400
2020-08-03,1596412800,9.3,9.3,9.3,9.3,0
2020-08-04,1596499200,9.9,9.9,9.9,9.9,102
2020-08-05,1596585600,9.8,9.8,9.8,9.8,5000
2020-08-06,1596672000,9.4,9.8,9.3,9.8,10600
2020-08-07,1596758400,9.3,9.3,9.3,9.3,10
2020-08-10,1597017600,9.6,9.7,9.3,9.7,6000
2020-08-11,1597104000,9.8,9.8,9.8,9.8,9200
2020-08-12,1597190400,9.8,9.8,9.8,9.8,0
2020-08-13,1597276800,9.8,9.8,9.8,9.8,8900
2020-08-14,1597363200,9.8,9.8,9.8,9.8,0
2020-08-17,1597622400,9.8,9.8,9.8,9.8,3000
2020-08-18,1597708800,9.8,9.8,9.8,9.8,1200
2020-08-19,1597795200,9.8,9.8,9.8,9.8,7800
2020-08-20,1597881600,9.8,9.8,9.8,9.8,2
2020-08-21,1597968000,9.8,9.8,9.8,9.8,500
2020-08-24,1598227200,9.8,9.8,9.8,9.8,0
2020-08-25,1598313600,9.8,9.8,9.8,9.8,300
2020-08-26,1598400000,9.8,9.8,9.8,9.8,1400
2020-08-27,1598486400,9.8,9.8,9.8,9.8,1
2020-08-28,1598572800,9.8,9.8,9.8,9.8,0
2020-08-31,1598832000,9.8,9.8,9.8,9.8,0
2020-09-01,1598918400,9.8,9.8,9.8,9.8,0
2020-09-03,1599091200,9.8,9.8,9.8,9.8,0
2020-09-04,1599177600,9.1,9.8,9.0,9.8,29500
2020-09-07,1599436800,9.0,9.0,9.0,9.0,100
2020-09-08,1599523200,9.0,9.3,9.0,9.3,13400
2020-09-09,1599609600,9.8,9.8,9.8,9.8,27440
2020-09-10,1599696000,9.5,9.8,9.5,9.8,10700
2020-09-11,1599782400,9.8,9.8,9.8,9.8,17000
2020-09-14,1600041600,11.0,11.0,10.6,10.6,2600
2020-09-15,1600128000,10.6,10.6,10.6,10.6,0
2020-09-16,1600214400,10.6,10.6,10.6,10.6,0
2020-09-17,1600300800,12.0,12.0,12.0,12.0,100
2020-09-18,1600387200,12.0,12.0,12.0,12.0,0
2020-09-21,1600646400,12.8,12.8,12.0,12.0,200
2020-09-22,1600732800,12.4,12.4,12.4,12.4,0
2020-09-23,1600819200,14.0,14.0,10.6,12.0,1141
2020-09-24,1600905600,11.0,11.0,11.0,11.0,0
2020-09-25,1600992000,12.0,12.0,12.0,12.0,100
2020-09-28,1601251200,12.4,12.4,12.4,12.4,159
2020-09-29,1601337600,12.9,12.9,12.9,12.9,100
2020-09-30,1601424000,12.9,12.9,12.9,12.9,0
2020-10-01,1601510400,12.2,12.5,11.5,11.5,20100
2020-10-02,1601596800,10.6,10.6,10.6,10.6,10500
2020-10-05,1601856000,10.6,10.6,10.6,10.6,40
2020-10-06,1601942400,12.0,12.0,12.0,12.0,100
2020-10-07,1602028800,10.4,10.4,10.4,10.4,1000
2020-10-08,1602115200,10.0,10.6,9.5,10.6,1200
2020-10-09,1602201600,9.6,9.6,9.6,9.6,0
2020-10-12,1602460800,9.2,9.2,9.0,9.0,20000
2020-10-13,1602547200,10.3,10.3,10.0,10.0,10900
