date,timestamp,open,high,low,close,volume
2020-01-02,1577923200,12.516,12.516,12.516,12.516,0
2020-01-03,1578009600,12.516,12.516,12.516,12.516,0
2020-01-06,1578268800,12.934,12.934,12.934,12.934,100
2020-01-07,1578355200,12.433,12.433,12.433,12.433,100
2020-01-08,1578441600,10.68,10.68,10.68,10.68,200
2020-01-09,1578528000,11.682,11.682,11.682,11.682,1200
2020-01-10,1578614400,11.682,11.682,11.682,11.682,0
2020-01-13,1578873600,11.682,11.682,11.682,11.682,0
2020-01-14,1578960000,11.682,11.682,11.682,11.682,1300
2020-01-15,1579046400,13.184,13.184,13.184,13.184,100
2020-01-16,1579132800,13.184,13.184,13.184,13.184,0
2020-01-17,1579219200,13.184,13.184,13.184,13.184,100
2020-01-20,1579478400,13.184,13.184,13.184,13.184,0
2020-01-21,1579564800,13.184,13.184,13.184,13.184,0
2020-01-22,1579651200,13.184,13.184,13.184,13.184,0
2020-01-30,1580342400,13.184,13.184,13.184,13.184,0
2020-01-31,1580428800,13.184,13.184,13.184,13.184,0
2020-02-03,1580688000,13.184,13.184,13.184,13.184,0
2020-02-04,1580774400,13.184,13.184,13.184,13.184,0
2020-02-05,1580860800,13.184,13.184,13.184,13.184,0
2020-02-06,1580947200,13.184,13.184,13.184,13.184,0
2020-02-07,1581033600,13.184,13.184,13.184,13.184,0
2020-02-10,1581292800,13.184,13.184,13.184,13.184,0
2020-02-11,1581379200,13.184,13.184,13.184,13.184,0
2020-02-12,1581465600,13.184,13.184,13.184,13.184,0
2020-02-13,1581552000,13.267,13.267,12.516,12.892,200
2020-02-14,1581638400,12.934,12.934,12.934,12.934,0
2020-02-17,1581897600,12.683,12.683,12.683,12.683,200
2020-02-18,1581984000,13.184,13.184,12.349,12.906,600
2020-02-19,1582070400,12.934,12.934,12.934,12.934,0
2020-02-20,1582156800,13.29,13.29,13.29,13.29,100
2020-02-21,1582243200,14.271,14.271,14.271,14.271,100
2020-02-24,1582502400,14.271,14.271,14.271,14.271,0
2020-02-25,1582588800,14.271,14.271,14.271,14.271,1
2020-02-26,1582675200,14.271,14.271,14.271,14.271,0
2020-02-27,1582761600,14.271,14.271,14.271,14.271,0
2020-02-28,1582848000,14.271,14.271,14.271,14.271,10
2020-03-02,1583107200,14.271,14.271,14.271,14.271,32
2020-03-03,1583193600,14.271,14.271,14.271,14.271,3
2020-03-04,1583280000,14.271,14.271,14.271,14.271,0
2020-03-05,1583366400,14.271,14.271,14.271,14.271,0
2020-03-06,1583452800,12.131,12.131,12.131,12.131,1100
2020-03-09,1583712000,12.131,12.131,12.131,12.131,0
2020-03-10,1583798400,12.131,12.131,12.131,12.131,0
2020-03-11,1583884800,12.131,12.131,12.131,12.131,0
2020-03-12,1583971200,11.595,13.379,10.347,10.85,1100
2020-03-13,1584057600,10.882,10.882,10.882,10.882,0
2020-03-16,1584316800,10.882,10.882,10.882,10.882,0
2020-03-17,1584403200,9.276,12.398,9.276,10.837,200
2020-03-18,1584489600,12.398,12.398,12.398,12.398,100
2020-03-19,1584576000,13.379,13.379,13.379,13.379,100
2020-03-20,1584662400,13.379,13.379,13.379,13.379,0
2020-03-23,1584921600,13.825,13.825,13.825,13.825,100
2020-03-24,1585008000,13.825,13.825,13.825,13.825,0
2020-03-25,1585094400,13.825,13.825,13.825,13.825,0
2020-03-26,1585180800,14.093,14.093,14.093,14.093,100
2020-03-27,1585267200,12.131,12.131,12.131,12.131,200
2020-03-30,1585526400,10.347,10.347,10.347,10.347,1000
2020-03-31,1585612800,11.595,11.595,11.595,11.595,100
2020-04-01,1585699200,12.487,12.487,12.487,12.487,100
2020-04-03,1585872000,11.595,12.933,11.595,12.264,200
2020-04-06,1586131200,11.685,12.933,11.685,12.309,200
2020-04-07,1586217600,10.793,10.793,10.793,10.793,100
2020-04-08,1586304000,12.309,12.309,12.309,12.309,145
2020-04-09,1586390400,12.309,12.309,12.309,12.309,0
2020-04-10,1586476800,12.309,12.309,12.309,12.309,0
2020-04-13,1586736000,12.309,12.309,12.309,12.309,0
2020-04-14,1586822400,12.487,12.487,12.487,12.487,100
2020-04-15,1586908800,12.487,12.487,12.487,12.487,0
2020-04-16,1586995200,10.703,10.703,10.703,10.703,500
2020-04-17,1587081600,12.041,12.041,12.041,12.041,100
2020-04-20,1587340800,12.041,12.041,12.041,12.041,0
2020-04-21,1587427200,10.703,10.703,10.703,10.703,200
2020-04-22,1587513600,11.952,11.952,11.952,11.952,100
2020-04-23,1587600000,10.703,10.703,10.703,10.703,1100
2020-04-24,1587686400,9.365,9.365,9.365,9.365,100
2020-04-27,1587945600,10.703,10.703,10.703,10.703,100
2020-04-28,1588032000,9.365,9.365,9.365,9.365,100
2020-04-29,1588118400,9.365,9.365,9.365,9.365,0
2020-05-04,1588550400,10.703,10.703,10.703,10.703,100
2020-05-05,1588636800,10.703,10.703,10.703,10.703,0
2020-05-06,1588723200,11.595,11.595,11.595,11.595,100
2020-05-07,1588809600,10.703,10.703,10.703,10.703,3000
2020-05-08,1588896000,11.506,11.506,11.506,11.506,100
2020-05-11,1589155200,11.506,11.506,11.506,11.506,0
2020-05-12,1589241600,11.506,11.506,11.506,11.506,0
2020-05-13,1589328000,11.506,11.506,11.506,11.506,0
2020-05-14,1589414400,11.506,11.506,11.506,11.506,0
2020-05-15,1589500800,11.506,11.506,11.506,11.506,0
2020-05-18,1589760000,11.506,11.506,11.506,11.506,0
2020-05-19,1589846400,11.506,11.506,11.506,11.506,0
2020-05-20,1589932800,11.506,11.506,11.506,11.506,0
2020-05-21,1590019200,12.041,12.041,12.041,12.041,100
