date,timestamp,open,high,low,close,volume
2020-01-02,1577923200,15.264,15.305,15.099,15.305,1246310
2020-01-03,1578009600,15.305,15.346,15.099,15.305,1138760
2020-01-06,1578268800,15.264,15.305,15.182,15.305,1169180
2020-01-07,1578355200,15.346,15.387,15.223,15.387,1161080
2020-01-08,1578441600,15.305,15.305,15.099,15.305,1228120
2020-01-09,1578528000,15.305,15.387,15.182,15.387,1142480
2020-01-10,1578614400,15.387,15.428,15.223,15.387,1449550
2020-01-13,1578873600,15.387,15.428,15.264,15.387,1393950
2020-01-14,1578960000,15.346,15.387,15.223,15.346,1162070
2020-01-15,1579046400,15.305,15.387,15.264,15.387,1135920
2020-01-16,1579132800,15.387,15.387,15.264,15.305,1858230
2020-01-17,1579219200,15.223,15.223,15.14,15.223,1465060
2020-01-20,1579478400,15.223,15.223,15.058,15.223,1220390
2020-01-21,1579564800,15.14,15.223,15.14,15.182,1213840
2020-01-22,1579651200,15.182,15.305,15.058,15.305,1340690
2020-01-30,1580342400,15.305,15.305,15.14,15.305,1265830
2020-01-31,1580428800,15.346,15.346,15.182,15.264,1377900
2020-02-03,1580688000,15.223,15.223,14.811,14.811,1176470
2020-02-04,1580774400,14.811,14.894,14.606,14.647,1080060
2020-02-05,1580860800,14.606,14.647,14.235,14.606,1233740
2020-02-06,1580947200,14.482,14.811,14.482,14.811,1159630
2020-02-07,1581033600,14.688,14.811,14.564,14.811,1189610
2020-02-10,1581292800,14.729,14.811,14.482,14.811,1172120
2020-02-11,1581379200,14.811,15.223,14.564,15.223,1424250
2020-02-12,1581465600,15.881,16.251,15.716,16.251,1141920
2020-02-13,1581552000,17.28,17.362,17.115,17.362,2652950
2020-02-14,1581638400,17.362,17.774,17.28,17.445,2646120
2020-02-17,1581897600,17.239,17.527,16.951,17.486,2244210
2020-02-18,1581984000,17.486,17.856,17.28,17.815,2524060
2020-02-19,1582070400,17.815,18.267,17.65,18.103,2668960
2020-02-20,1582156800,18.432,18.514,17.938,18.103,2413050
2020-02-21,1582243200,18.103,18.432,17.938,18.103,2689720
2020-02-24,1582502400,18.103,18.103,17.691,17.979,2546690
2020-02-25,1582588800,17.691,18.267,17.691,18.021,2499440
2020-02-26,1582675200,18.021,18.103,17.938,17.938,2712300
2020-02-27,1582761600,17.774,18.679,17.774,18.185,3173970
2020-02-28,1582848000,17.897,18.062,17.691,17.815,2728040
2020-03-02,1583107200,17.815,17.856,17.403,17.609,2381980
2020-03-03,1583193600,17.527,17.733,16.416,17.362,2658250
2020-03-04,1583280000,17.362,17.362,16.704,17.198,2467610
2020-03-05,1583366400,17.198,17.239,16.786,17.157,2460490
2020-03-06,1583452800,17.157,17.157,16.539,16.539,2518130
2020-03-09,1583712000,15.47,16.375,15.47,15.922,2478570
2020-03-10,1583798400,15.223,15.881,15.223,15.758,2444540
2020-03-11,1583884800,15.387,15.84,14.811,15.058,2760890
2020-03-12,1583971200,14.523,14.729,14.03,14.03,2157000
2020-03-13,1584057600,13.083,13.865,13.083,13.083,2893260
2020-03-16,1584316800,12.178,12.672,12.178,12.178,2391460
2020-03-17,1584403200,11.602,12.548,11.602,12.425,2744430
2020-03-18,1584489600,12.425,12.466,12.219,12.425,2494440
2020-03-19,1584576000,12.343,12.343,11.931,12.302,2218220
2020-03-20,1584662400,12.302,12.302,11.602,12.096,4503760
2020-03-23,1584921600,11.684,11.726,11.273,11.273,1379360
2020-03-24,1585008000,11.273,11.273,10.491,10.491,1990370
2020-03-25,1585094400,9.792,10.368,9.792,9.792,2499150
