date,timestamp,open,high,low,close,volume
2020-01-02,1577923200,28.83,29.085,28.703,28.89,60900
2020-01-03,1578009600,28.83,28.958,28.512,28.821,111562
2020-01-06,1578268800,28.639,28.639,28.13,28.308,41270
2020-01-07,1578355200,28.13,28.194,27.939,28.093,38100
2020-01-08,1578441600,28.003,28.003,26.666,27.149,73670
2020-01-09,1578528000,27.367,27.812,27.367,27.531,48110
2020-01-10,1578614400,27.367,28.448,27.367,28.301,129900
2020-01-13,1578873600,28.448,28.703,28.385,28.579,71143
2020-01-14,1578960000,28.639,28.703,28.385,28.573,163940
2020-01-15,1579046400,28.448,28.576,28.385,28.458,25130
2020-01-16,1579132800,28.321,28.576,27.367,27.978,30711
2020-01-17,1579219200,27.876,28.003,27.685,27.859,49310
2020-01-20,1579478400,26.985,28.003,26.985,27.928,38428
2020-01-21,1579564800,28.003,28.321,27.939,27.998,87600
2020-01-22,1579651200,28.003,28.767,28.003,28.59,39490
2020-01-30,1580342400,28.512,28.958,28.003,28.695,311865
2020-01-31,1580428800,28.703,28.767,27.748,28.189,127802
2020-02-03,1580688000,28.003,28.003,26.094,27.392,142610
2020-02-04,1580774400,27.112,28.003,27.112,27.79,241410
2020-02-05,1580860800,28.067,28.512,28.003,28.365,106650
2020-02-06,1580947200,28.385,28.385,28.003,28.073,197600
2020-02-07,1581033600,28.003,28.321,27.876,28.024,56680
2020-02-10,1581292800,28.003,28.067,28.003,28.007,196519
2020-02-11,1581379200,28.003,28.13,28.003,28.039,82831
2020-02-12,1581465600,28.067,28.067,27.876,27.997,99005
2020-02-13,1581552000,28.003,28.321,27.748,27.819,211950
2020-02-14,1581638400,27.939,27.939,27.621,27.704,29500
2020-02-17,1581897600,28.003,28.003,27.367,27.567,84400
2020-02-18,1581984000,27.557,27.557,27.367,27.373,63320
2020-02-19,1582070400,27.112,27.876,27.112,27.307,49548
2020-02-20,1582156800,27.303,27.367,26.857,27.142,58360
2020-02-21,1582243200,27.303,27.367,27.048,27.12,171770
2020-02-24,1582502400,26.921,26.985,25.839,26.234,165970
2020-02-25,1582588800,26.03,26.73,25.457,26.025,100994
2020-02-26,1582675200,26.03,26.475,25.775,26.035,66510
2020-02-27,1582761600,25.775,26.094,25.712,25.886,43380
2020-02-28,1582848000,25.775,25.775,25.394,25.476,120825
2020-03-02,1583107200,25.521,25.584,25.139,25.304,100308
2020-03-03,1583193600,25.457,25.712,25.457,25.608,132811
2020-03-04,1583280000,25.584,25.584,24.821,25.212,95450
2020-03-05,1583366400,25.33,25.457,25.266,25.315,159260
2020-03-06,1583452800,25.075,25.266,25.012,25.131,48200
2020-03-09,1583712000,24.821,24.821,22.148,22.733,300170
2020-03-10,1583798400,21.957,22.72,21.766,22.293,1117150
2020-03-11,1583884800,22.275,22.911,20.366,21.649,767160
2020-03-12,1583971200,20.366,20.366,19.411,19.766,604020
2020-03-13,1584057600,19.729,19.729,18.138,19.187,272351
2020-03-16,1584316800,19.156,19.984,19.093,19.62,127830
2020-03-17,1584403200,19.666,19.856,19.093,19.578,221480
2020-03-18,1584489600,19.729,19.729,19.475,19.624,198280
2020-03-19,1584576000,19.538,19.602,19.093,19.323,114050
2020-03-20,1584662400,19.347,19.602,19.22,19.379,221600
2020-03-23,1584921600,19.156,19.156,18.138,18.335,375361
2020-03-24,1585008000,18.265,19.411,18.138,18.884,689506
2020-03-25,1585094400,19.22,20.111,19.22,19.791,583000
2020-03-26,1585180800,20.111,20.111,19.666,19.855,480670
2020-03-27,1585267200,19.411,19.92,18.965,19.546,247100
2020-03-30,1585526400,18.584,18.902,17.947,18.2,271630
2020-03-31,1585612800,18.329,18.456,17.502,17.94,194570
2020-04-01,1585699200,18.456,18.711,18.393,18.541,129000
2020-04-03,1585872000,18.647,18.647,18.074,18.295,275900
2020-04-06,1586131200,18.393,18.711,18.202,18.482,547960
2020-04-07,1586217600,18.647,20.238,18.647,19.444,1153450
2020-04-08,1586304000,19.729,21.32,19.729,20.686,325260
2020-04-09,1586390400,21.32,23.039,21.002,22.38,638437
2020-04-10,1586476800,22.275,22.402,20.875,21.363,544093
2020-04-13,1586736000,21.257,22.53,20.938,21.864,293359
2020-04-14,1586822400,22.339,22.911,21.575,21.866,257842
2020-04-15,1586908800,22.148,22.911,21.893,22.541,392295
2020-04-16,1586995200,22.466,22.466,21.639,21.971,276050
2020-04-17,1587081600,21.893,22.911,21.702,22.383,206897
2020-04-20,1587340800,22.402,22.72,22.211,22.447,343100
