date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,4.69,4.7,4.58,4.6,15576400
2021-01-05,1609804800,4.52,4.6,4.48,4.49,18797400
2021-01-06,1609891200,4.5,4.53,4.38,4.39,22116400
2021-01-07,1609977600,4.38,4.55,4.38,4.43,13101500
2021-01-08,1610064000,4.48,4.55,4.43,4.44,12386000
2021-01-11,1610323200,4.51,4.75,4.47,4.75,31098200
2021-01-12,1610409600,4.99,5.05,4.83,5.02,21627800
2021-01-13,1610496000,5.02,5.23,4.91,4.91,26281100
2021-01-14,1610582400,4.91,5.01,4.78,4.93,20222600
2021-01-15,1610668800,5.0,5.18,4.95,5.18,24099200
2021-01-18,1610928000,5.5,5.54,5.45,5.54,22645300
2021-01-19,1611014400,5.7,5.7,5.16,5.28,36892700
2021-01-20,1611100800,5.4,5.4,4.92,5.13,30895700
2021-01-21,1611187200,5.29,5.48,5.17,5.48,22267300
2021-01-22,1611273600,5.6,5.86,5.56,5.86,57389700
2021-01-25,1611532800,5.95,6.27,5.91,6.27,33384800
2021-01-26,1611619200,6.3,6.7,6.0,6.7,34691700
2021-01-27,1611705600,6.69,7.16,6.4,7.15,45589500
2021-01-28,1611792000,6.65,7.0,6.65,6.65,28417700
2021-01-29,1611878400,6.19,6.4,6.19,6.19,55629400
2021-02-01,1612137600,6.1,6.57,5.76,5.76,29993600
2021-02-02,1612224000,5.76,6.16,5.4,6.16,26862300
2021-02-03,1612310400,6.39,6.45,6.2,6.2,18653300
2021-02-04,1612396800,6.16,6.45,6.03,6.1,10679400
2021-02-05,1612483200,6.13,6.52,6.04,6.52,29833600
2021-02-08,1612742400,6.65,6.84,6.08,6.1,29496000
2021-02-09,1612828800,6.1,6.39,6.03,6.39,10867800
2021-02-17,1613520000,6.4,6.74,6.3,6.7,18891700
2021-02-18,1613606400,6.65,6.71,6.29,6.3,30338300
2021-02-19,1613692800,6.25,6.4,6.08,6.08,13325300
2021-02-22,1613952000,6.15,6.35,6.14,6.32,13097000
2021-02-23,1614038400,6.35,6.44,6.1,6.15,18229200
2021-02-24,1614124800,6.25,6.27,6.05,6.05,12131300
2021-02-25,1614211200,6.09,6.18,6.05,6.1,8511900
2021-02-26,1614297600,6.0,6.35,6.0,6.29,14510300
2021-03-01,1614556800,6.3,6.5,6.22,6.5,17363600
2021-03-02,1614643200,6.5,6.52,6.1,6.1,15788200
2021-03-03,1614729600,6.21,6.52,6.15,6.52,21569500
2021-03-04,1614816000,6.63,6.8,6.41,6.55,23654300
2021-03-05,1614902400,6.49,6.56,6.19,6.3,15709800
2021-03-08,1615161600,6.48,6.5,6.31,6.35,8243100
2021-03-09,1615248000,6.36,6.68,6.35,6.5,14575800
2021-03-10,1615334400,6.5,6.65,6.45,6.59,14028300
2021-03-11,1615420800,6.45,6.68,6.35,6.62,27336400
2021-03-12,1615507200,6.9,6.98,6.75,6.9,22284800
