date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,30.441,31.364,30.257,30.534,4226500
2021-01-05,1609804800,30.534,31.779,30.211,31.179,4851900
2021-01-06,1609891200,31.548,31.548,30.534,30.81,3641300
2021-01-07,1609977600,31.087,31.825,29.98,31.364,5753700
2021-01-08,1610064000,31.733,32.102,30.903,31.272,4587500
2021-01-11,1610323200,31.641,31.687,30.995,31.456,4088600
2021-01-12,1610409600,31.825,33.532,31.733,33.532,7879300
2021-01-13,1610496000,34.131,34.408,32.794,33.117,5334400
2021-01-14,1610582400,33.117,33.209,32.471,32.978,3097100
2021-01-15,1610668800,33.024,33.624,32.748,32.978,3847900
2021-01-18,1610928000,32.978,32.978,32.194,32.194,3669100
2021-01-19,1611014400,32.102,32.102,29.98,29.98,5956600
2021-01-20,1611100800,29.611,30.441,27.905,28.827,5114900
2021-01-21,1611187200,29.15,30.441,28.689,30.165,2930000
2021-01-22,1611273600,30.165,30.441,29.427,29.611,2511900
2021-01-25,1611532800,29.519,31.364,29.104,29.98,4009100
2021-01-26,1611619200,29.98,30.395,28.873,29.703,2603300
2021-01-27,1611705600,29.427,30.165,28.135,28.55,2641400
2021-01-28,1611792000,26.567,27.305,26.567,26.567,2662300
2021-01-29,1611878400,24.722,27.489,24.722,27.489,4405300
2021-02-01,1612137600,26.752,27.397,25.598,25.598,4364400
2021-02-02,1612224000,24.907,25.645,23.846,25.552,3078300
2021-02-03,1612310400,26.014,26.982,25.506,26.798,3536000
2021-02-04,1612396800,26.752,28.089,26.29,28.043,4194600
2021-02-05,1612483200,27.812,28.689,27.628,28.596,2379300
2021-02-08,1612742400,28.596,28.596,26.613,27.259,2714400
2021-02-09,1612828800,27.259,28.274,27.12,28.227,2053700
2021-02-17,1613520000,29.15,30.165,28.274,30.165,3496400
2021-02-18,1613606400,30.441,31.179,29.703,30.534,3318800
2021-02-19,1613692800,29.98,31.179,29.934,30.903,3302700
2021-02-22,1613952000,30.903,31.364,30.026,30.81,2069300
2021-02-23,1614038400,30.626,30.81,29.98,30.441,1858900
2021-02-24,1614124800,30.488,30.81,29.98,30.119,2287600
2021-02-25,1614211200,30.441,30.857,29.888,30.441,2041000
2021-02-26,1614297600,29.888,31.318,29.888,30.903,2507700
2021-03-01,1614556800,31.364,31.825,31.179,31.687,3084500
2021-03-02,1614643200,31.825,31.825,31.087,31.364,1940500
2021-03-03,1614729600,31.502,31.502,30.903,30.995,2364900
2021-03-04,1614816000,30.995,31.456,29.334,29.796,2564700
2021-03-05,1614902400,29.611,30.165,28.596,30.165,2472100
2021-03-08,1615161600,30.58,30.626,29.381,29.657,2298300
2021-03-09,1615248000,29.427,29.473,28.689,29.242,2346400
2021-03-10,1615334400,29.242,29.703,28.781,29.611,1148200
2021-03-11,1615420800,29.611,30.165,29.519,29.703,1781000
2021-03-12,1615507200,29.888,29.888,29.334,29.519,1763400
2021-03-15,1615766400,29.519,30.072,29.334,29.473,1528800
2021-03-16,1615852800,29.519,30.349,29.334,30.257,2630500
2021-03-17,1615939200,30.257,30.857,30.257,30.764,2915000
2021-03-18,1616025600,30.995,31.087,30.441,30.626,1467400
2021-03-19,1616112000,30.441,30.626,30.119,30.395,1836100
2021-03-22,1616371200,31.179,32.194,31.087,31.917,5846400
2021-03-23,1616457600,31.917,32.01,30.81,31.548,2503700
2021-03-24,1616544000,30.81,31.364,30.072,30.626,1845300
2021-03-25,1616630400,30.626,30.81,29.888,30.441,2056300
2021-03-26,1616716800,29.98,30.257,28.873,29.98,2443000
2021-03-29,1616976000,30.349,30.441,30.072,30.441,998000
2021-03-30,1617062400,30.441,31.641,30.257,31.226,4080500
2021-03-31,1617148800,31.226,31.825,31.087,31.226,2916600
2021-04-01,1617235200,31.226,32.056,30.995,31.964,3630100
2021-04-02,1617321600,32.563,32.563,31.733,32.102,2308700
2021-04-05,1617580800,32.102,32.194,31.41,31.779,2362000
2021-04-06,1617667200,31.364,31.779,31.318,31.733,2608200
2021-04-07,1617753600,31.548,33.393,31.548,33.071,5418300
2021-04-08,1617840000,33.163,33.209,32.379,32.563,2073800
2021-04-09,1617926400,32.286,33.578,32.102,32.932,2762900
2021-04-12,1618185600,33.024,33.117,32.517,32.932,2607300
2021-04-13,1618272000,33.117,33.209,32.102,32.194,2997600
2021-04-14,1618358400,31.548,32.102,31.456,31.917,1693600
2021-04-15,1618444800,31.917,33.209,30.995,31.595,2739000
2021-04-16,1618531200,31.456,31.964,30.165,30.903,2765600
2021-04-19,1618790400,30.718,31.272,30.441,31.179,1425700
2021-04-20,1618876800,31.179,31.548,30.441,30.718,1863500
2021-04-22,1619049600,30.441,30.903,29.519,29.519,2481300
2021-04-23,1619136000,29.519,31.041,29.242,30.903,2337100
2021-04-26,1619395200,31.364,31.364,30.349,30.441,1204100
2021-04-27,1619481600,30.257,31.179,30.165,30.764,1499100
2021-04-28,1619568000,30.672,31.133,30.672,31.087,1865500
2021-04-29,1619654400,31.087,31.548,31.087,31.548,2485800
2021-05-04,1620086400,30.81,31.318,30.718,31.272,1503600
2021-05-05,1620172800,31.364,32.84,31.272,32.379,3516500
2021-05-06,1620259200,32.425,32.471,31.779,31.964,1994100
2021-05-07,1620345600,31.964,32.194,31.364,31.456,1644700
2021-05-10,1620604800,31.364,32.886,31.087,32.886,4539900
2021-05-11,1620691200,33.209,34.823,32.932,33.762,6475800
2021-05-12,1620777600,33.44,34.731,33.44,34.731,3040300
2021-05-13,1620864000,34.362,34.593,33.578,33.578,3220800
2021-05-14,1620950400,34.131,34.131,32.932,32.932,3508400
2021-05-17,1621209600,33.163,34.685,33.024,34.593,4562300
2021-05-18,1621296000,34.593,35.469,34.408,34.869,3736200
2021-05-19,1621382400,34.685,35.054,34.362,34.962,1897800
2021-05-20,1621468800,35.054,35.93,35.054,35.792,3613100
2021-05-21,1621555200,35.792,36.622,34.593,35.008,3738300
2021-05-24,1621814400,35.054,35.976,34.593,35.653,2736600
2021-05-25,1621900800,35.746,36.438,35.653,35.93,2834700
2021-05-26,1621987200,35.515,35.792,35.054,35.1,2582600
2021-05-27,1622073600,35.054,35.331,33.901,34.039,3619200
2021-05-28,1622160000,35.054,35.054,33.947,34.777,2601100
2021-05-31,1622419200,34.869,34.962,33.947,34.177,2129400
2021-06-01,1622505600,34.224,35.054,34.224,34.593,1790800
2021-06-02,1622592000,34.593,35.976,34.5,35.93,3894100
2021-06-03,1622678400,36.391,37.637,36.253,37.176,3324200
2021-06-04,1622764800,36.991,37.176,36.161,37.129,3406200
2021-06-07,1623024000,37.775,37.775,35.054,36.899,3750600
2021-06-08,1623110400,36.484,37.36,35.515,35.607,2818100
2021-06-09,1623196800,35.607,36.438,35.054,35.976,1977900
2021-06-10,1623283200,35.792,37.36,35.607,37.083,3021400
2021-06-11,1623369600,37.36,38.605,37.36,38.098,3080900
2021-06-14,1623628800,39.113,40.128,38.283,38.882,3614600
2021-06-15,1623715200,38.882,39.482,38.283,38.882,2227500
2021-06-16,1623801600,39.205,40.035,38.882,38.928,3034400
2021-06-17,1623888000,38.283,40.912,38.283,40.589,4641000
2021-06-18,1623974400,40.589,40.865,40.266,40.497,2057200
2021-06-21,1624233600,39.851,40.589,39.666,39.712,2336900
2021-06-22,1624320000,39.943,40.865,39.759,40.174,3038700
2021-06-23,1624406400,40.589,40.589,38.882,39.528,2561000
2021-06-24,1624492800,39.62,39.851,39.113,39.113,1677200
2021-06-25,1624579200,39.113,39.62,39.021,39.343,1430100
2021-06-28,1624838400,39.851,40.589,39.205,40.589,2170800
2021-06-29,1624924800,40.589,40.589,39.574,39.666,1337800
2021-06-30,1625011200,39.666,40.128,39.574,39.666,1475200
2021-07-01,1625097600,40.128,41.327,39.482,41.234,5087700
2021-07-02,1625184000,41.511,41.511,41.05,41.096,1950700
2021-07-05,1625443200,41.511,41.972,40.635,41.05,3670300
2021-07-06,1625529600,41.603,41.603,38.19,38.19,2992500
2021-07-07,1625616000,38.559,38.744,36.438,38.652,3613500
2021-07-08,1625702400,38.744,39.528,38.283,38.605,2557500
2021-07-09,1625788800,38.19,38.652,36.438,36.899,3335500
2021-07-12,1626048000,36.714,36.807,34.593,35.792,4660500
2021-07-13,1626134400,35.976,36.807,35.838,36.622,1667800
2021-07-14,1626220800,36.899,37.36,35.7,36.161,2195000
2021-07-15,1626307200,35.607,37.36,35.607,37.268,1346500
2021-07-16,1626393600,37.821,38.19,37.452,38.006,1746600
2021-07-19,1626652800,36.945,39.851,36.53,38.467,4987200
2021-07-20,1626739200,38.652,39.205,37.545,39.113,2374900
2021-07-21,1626825600,39.297,39.851,39.021,39.759,2536300
