date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,6.181,6.181,6.181,6.181,0
2021-01-05,1609804800,7.037,7.037,7.037,7.037,100
2021-01-06,1609891200,8.083,8.083,8.083,8.083,100
2021-01-07,1609977600,9.224,9.224,9.224,9.224,10000
2021-01-08,1610064000,10.555,10.555,10.555,10.555,1000
2021-01-11,1610323200,12.077,12.077,12.077,12.077,100
2021-01-12,1610409600,12.077,12.077,12.077,12.077,500
2021-01-13,1610496000,12.077,12.077,12.077,12.077,0
2021-01-14,1610582400,12.077,12.077,12.077,12.077,0
2021-01-15,1610668800,11.316,11.316,11.316,11.316,2000
2021-01-18,1610928000,10.555,10.555,10.555,10.555,1000
2021-01-19,1611014400,10.555,10.555,10.555,10.555,0
2021-01-20,1611100800,10.555,10.555,10.555,10.555,0
2021-01-21,1611187200,10.555,10.555,10.555,10.555,0
2021-01-22,1611273600,9.604,9.604,9.509,9.52,18500
2021-01-25,1611532800,9.509,9.509,9.509,9.509,0
2021-01-26,1611619200,9.985,9.985,9.985,9.985,100
2021-01-27,1611705600,9.604,9.604,9.604,9.604,2000
2021-01-28,1611792000,9.509,9.509,9.509,9.509,59700
2021-01-29,1611878400,9.509,9.509,9.509,9.509,0
2021-02-01,1612137600,9.509,10.841,9.509,10.289,500
2021-02-02,1612224000,9.034,11.602,9.034,10.318,200
2021-02-03,1612310400,10.651,11.792,10.651,11.221,200
2021-02-04,1612396800,11.221,11.221,11.221,11.221,700
2021-02-05,1612483200,11.221,11.221,11.221,11.221,0
2021-02-08,1612742400,11.221,11.221,11.221,11.221,0
2021-02-09,1612828800,9.7,9.7,9.7,9.7,1400
2021-02-17,1613520000,9.509,9.604,9.509,9.599,1700
2021-02-18,1613606400,10.841,11.031,8.178,10.246,400
2021-02-19,1613692800,10.27,10.27,10.27,10.27,0
2021-02-22,1613952000,10.27,10.27,10.27,10.27,0
2021-02-23,1614038400,10.27,10.27,10.27,10.27,0
2021-02-24,1614124800,11.792,11.792,11.792,11.792,100
2021-02-25,1614211200,11.792,11.792,11.792,11.792,0
2021-02-26,1614297600,11.792,11.792,11.792,11.792,0
2021-03-01,1614556800,11.792,11.792,11.792,11.792,0
2021-03-02,1614643200,11.792,11.792,11.792,11.792,6
2021-03-03,1614729600,11.792,11.792,11.792,11.792,0
2021-03-04,1614816000,11.792,11.792,11.792,11.792,0
2021-03-05,1614902400,11.792,11.792,11.792,11.792,0
2021-03-08,1615161600,13.408,13.408,13.408,13.408,100
2021-03-09,1615248000,13.408,13.408,13.408,13.408,0
2021-03-10,1615334400,13.408,13.408,13.408,13.408,0
2021-03-11,1615420800,11.411,11.411,11.411,11.411,100
2021-03-12,1615507200,13.123,13.123,13.123,13.123,100
2021-03-15,1615766400,12.838,12.838,12.838,12.838,100
2021-03-16,1615852800,14.264,14.264,14.264,14.264,100
2021-03-17,1615939200,14.264,14.264,14.264,14.264,0
2021-03-18,1616025600,12.172,12.172,12.172,12.172,1000
2021-03-19,1616112000,12.172,12.172,12.172,12.172,100
2021-03-22,1616371200,13.884,13.884,13.884,13.884,100
2021-03-23,1616457600,11.887,11.887,11.887,11.887,300
2021-03-24,1616544000,11.887,11.887,11.887,11.887,0
2021-03-25,1616630400,13.504,13.504,11.411,11.76,600
2021-03-26,1616716800,11.792,11.792,11.792,11.792,0
2021-03-29,1616976000,10.08,10.08,10.08,10.08,100
2021-03-30,1617062400,10.08,10.175,10.08,10.092,800
2021-03-31,1617148800,11.506,11.506,9.224,9.431,2200
2021-04-01,1617235200,10.746,10.746,9.414,9.457,3100
2021-04-02,1617321600,10.746,10.746,9.224,9.274,3100
2021-04-05,1617580800,9.985,9.985,9.985,9.985,1000
2021-04-06,1617667200,10.46,10.46,10.46,10.46,100
2021-04-07,1617753600,11.411,11.411,11.316,11.364,1800
2021-04-08,1617840000,10.936,12.362,9.985,10.593,66100
2021-04-09,1617926400,11.887,11.887,9.985,10.011,30100
2021-04-12,1618185600,11.411,11.411,11.411,11.411,100
2021-04-13,1618272000,12.362,12.362,12.362,12.362,100
2021-04-14,1618358400,12.362,12.362,12.362,12.362,100
2021-04-15,1618444800,12.362,12.362,12.362,12.362,0
2021-04-16,1618531200,14.074,14.074,13.313,13.383,1100
2021-04-19,1618790400,13.408,13.408,13.408,13.408,100
2021-04-20,1618876800,13.408,13.408,12.743,13.242,12900
2021-04-22,1619049600,12.838,12.838,12.838,12.838,400
2021-04-23,1619136000,14.169,14.169,14.169,14.169,100
2021-04-26,1619395200,14.169,14.169,14.169,14.169,0
2021-04-27,1619481600,14.169,14.169,14.169,14.169,0
2021-04-28,1619568000,14.169,14.169,14.169,14.169,0
2021-04-29,1619654400,14.169,14.169,14.169,14.169,0
2021-05-04,1620086400,14.169,14.169,14.169,14.169,0
2021-05-05,1620172800,12.077,12.077,12.077,12.077,100
2021-05-06,1620259200,12.077,12.077,12.077,12.077,0
2021-05-07,1620345600,10.27,10.27,10.27,10.27,100
2021-05-10,1620604800,10.27,10.27,10.27,10.27,0
2021-05-11,1620691200,11.792,11.792,11.792,11.792,100
2021-05-12,1620777600,11.792,11.792,11.792,11.792,0
2021-05-13,1620864000,11.792,11.792,11.792,11.792,3000
2021-05-14,1620950400,11.792,11.792,11.792,11.792,0
2021-05-17,1621209600,11.792,11.792,11.792,11.792,1000
2021-05-18,1621296000,12.362,12.362,12.362,12.362,200
2021-05-19,1621382400,12.838,12.838,12.838,12.838,200
2021-05-20,1621468800,12.362,12.362,12.362,12.362,100
2021-05-21,1621555200,12.838,12.838,12.838,12.838,1000
2021-05-24,1621814400,12.838,12.838,12.838,12.838,0
2021-05-25,1621900800,13.789,13.789,13.789,13.789,100
2021-05-26,1621987200,12.362,12.362,12.362,12.362,500
2021-05-27,1622073600,12.362,12.362,12.362,12.362,2300
2021-05-28,1622160000,12.362,12.362,12.362,12.362,0
2021-05-31,1622419200,12.362,12.362,12.362,12.362,0
2021-06-01,1622505600,12.362,12.362,12.362,12.362,0
2021-06-02,1622592000,13.408,13.408,13.408,13.408,100
2021-06-03,1622678400,13.408,13.408,13.408,13.408,0
2021-06-04,1622764800,13.408,13.408,13.408,13.408,0
2021-06-07,1623024000,11.982,11.982,11.982,11.982,100
2021-06-08,1623110400,11.982,11.982,11.697,11.873,15600
2021-06-09,1623196800,11.887,11.887,11.887,11.887,0
2021-06-10,1623283200,11.887,11.887,11.887,11.887,0
2021-06-11,1623369600,11.697,11.697,11.697,11.697,2500
2021-06-14,1623628800,11.887,11.887,11.887,11.887,2000
2021-06-15,1623715200,11.887,11.887,11.887,11.887,0
2021-06-16,1623801600,11.887,11.887,11.887,11.887,0
2021-06-17,1623888000,11.887,11.887,11.887,11.887,0
2021-06-18,1623974400,11.887,11.887,11.887,11.887,0
2021-06-21,1624233600,11.887,11.887,11.887,11.887,0
2021-06-22,1624320000,11.887,11.887,11.887,11.887,0
2021-06-23,1624406400,11.887,11.887,11.887,11.887,0
2021-06-24,1624492800,11.887,11.887,11.887,11.887,0
2021-06-25,1624579200,11.887,11.887,11.887,11.887,3000
2021-06-28,1624838400,11.887,11.887,11.887,11.887,0
2021-06-29,1624924800,11.887,11.887,11.887,11.887,100
2021-06-30,1625011200,11.887,11.887,11.887,11.887,1700
2021-07-01,1625097600,11.887,11.887,11.887,11.887,0
2021-07-02,1625184000,11.887,11.887,11.887,11.887,0
2021-07-05,1625443200,11.887,11.887,11.887,11.887,0
2021-07-06,1625529600,10.73,10.73,10.73,10.73,0
2021-07-07,1625616000,10.73,10.73,10.73,10.73,3000
2021-07-08,1625702400,10.73,10.73,10.73,10.73,0
2021-07-09,1625788800,10.73,10.73,10.73,10.73,0
2021-07-12,1626048000,10.73,10.73,10.73,10.73,0
2021-07-13,1626134400,10.73,10.73,10.73,10.73,0
2021-07-14,1626220800,10.73,10.73,10.73,10.73,0
2021-07-15,1626307200,10.73,10.73,10.73,10.73,0
2021-07-16,1626393600,10.73,10.73,10.73,10.73,1200
2021-07-19,1626652800,10.73,10.73,10.73,10.73,0
2021-07-20,1626739200,10.73,10.73,10.73,10.73,0
2021-07-21,1626825600,10.73,10.73,10.73,10.73,0
2021-07-22,1626912000,10.73,10.73,10.73,10.73,100
2021-07-23,1626998400,10.73,10.73,10.73,10.73,0
2021-07-26,1627257600,10.73,10.73,10.73,10.73,0
2021-07-27,1627344000,10.73,10.73,10.73,10.73,0
2021-07-28,1627430400,10.73,10.73,10.73,10.73,0
2021-07-29,1627516800,10.73,10.73,10.73,10.73,0
2021-07-30,1627603200,10.73,10.73,10.73,10.73,0
2021-08-02,1627862400,10.73,10.73,10.73,10.73,0
2021-08-03,1627948800,10.73,10.73,10.73,10.73,0
2021-08-04,1628035200,10.73,10.73,10.73,10.73,0
2021-08-05,1628121600,10.73,10.73,10.73,10.73,0
2021-08-06,1628208000,10.73,10.73,10.73,10.73,0
2021-08-09,1628467200,10.73,10.73,10.73,10.73,0
2021-08-10,1628553600,10.73,10.73,10.73,10.73,0
2021-08-11,1628640000,10.73,10.73,10.73,10.73,0
2021-08-12,1628726400,10.73,10.73,10.73,10.73,0
2021-08-13,1628812800,10.73,10.73,10.73,10.73,0
2021-08-16,1629072000,12.018,12.018,12.018,12.018,100
2021-08-17,1629158400,12.018,12.018,12.018,12.018,0
2021-08-18,1629244800,12.018,12.018,12.018,12.018,0
2021-08-19,1629331200,12.018,12.018,12.018,12.018,0
2021-08-20,1629417600,12.018,12.018,12.018,12.018,0
2021-08-23,1629676800,11.159,11.159,11.159,11.159,1000
2021-08-24,1629763200,11.159,11.159,11.159,11.159,0
2021-08-25,1629849600,11.159,11.159,11.159,11.159,10
2021-08-26,1629936000,11.159,11.159,11.159,11.159,0
2021-08-27,1630022400,11.159,11.159,11.159,11.159,0
2021-08-30,1630281600,11.159,11.159,11.159,11.159,0
2021-08-31,1630368000,12.018,12.018,12.018,12.018,100
2021-09-01,1630454400,12.018,12.018,12.018,12.018,1
2021-09-06,1630886400,12.018,12.018,12.018,12.018,0
2021-09-07,1630972800,12.018,12.018,12.018,12.018,0
2021-09-08,1631059200,12.018,12.018,12.018,12.018,0
2021-09-09,1631145600,12.018,12.018,12.018,12.018,0
2021-09-10,1631232000,12.018,12.018,12.018,12.018,0
2021-09-13,1631491200,12.018,12.018,12.018,12.018,0
2021-09-14,1631577600,12.018,12.018,12.018,12.018,0
2021-09-15,1631664000,12.018,12.447,12.018,12.029,4000
2021-09-16,1631750400,12.447,12.447,12.447,12.447,100
2021-09-17,1631836800,12.447,13.391,12.447,13.268,16200
2021-09-20,1632096000,11.417,11.417,11.417,11.417,100
2021-09-21,1632182400,10.73,10.73,10.301,10.344,1000
2021-09-22,1632268800,10.387,10.387,10.387,10.387,0
2021-09-23,1632355200,10.387,10.387,10.387,10.387,0
2021-09-24,1632441600,11.932,11.932,11.932,11.932,100
2021-09-27,1632700800,11.932,11.932,11.932,11.932,102
2021-09-28,1632787200,11.932,11.932,11.932,11.932,0
2021-09-29,1632873600,11.932,11.932,11.932,11.932,0
2021-09-30,1632960000,11.932,11.932,11.932,11.932,0
2021-10-01,1633046400,11.932,11.932,11.932,11.932,2
2021-10-04,1633305600,11.932,11.932,11.932,11.932,0
2021-10-05,1633392000,11.932,11.932,11.932,11.932,0
2021-10-06,1633478400,13.713,13.713,13.713,13.713,200
2021-10-07,1633564800,13.713,13.713,13.713,13.713,100
2021-10-08,1633651200,13.713,14.515,11.665,12.823,600
2021-10-11,1633910400,12.823,12.823,12.823,12.823,0
2021-10-12,1633996800,12.823,12.823,12.823,12.823,0
2021-10-13,1634083200,12.823,12.823,12.823,12.823,0
2021-10-14,1634169600,13.357,13.357,13.357,13.357,200
2021-10-15,1634256000,13.357,13.802,13.357,13.597,3000
2021-10-18,1634515200,11.665,15.138,11.665,14.681,3100
2021-10-19,1634601600,15.583,16.029,13.535,14.778,2700
2021-10-20,1634688000,14.782,14.782,14.782,14.782,0
2021-10-21,1634774400,12.645,12.734,12.645,12.729,4309
2021-10-22,1634860800,12.823,14.604,12.823,13.936,800
2021-10-25,1635120000,13.98,14.248,13.98,14.114,400
2021-10-26,1635206400,14.158,16.029,14.158,15.718,9100
2021-10-27,1635292800,16.474,18.077,16.474,17.899,69000
