date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,15.092,15.092,14.958,15.092,1100
2021-01-05,1609804800,15.092,15.427,15.092,15.159,4100
2021-01-06,1609891200,14.421,15.36,14.119,15.36,13700
2021-01-07,1609977600,14.287,16.433,14.287,16.433,20600
2021-01-08,1610064000,16.769,17.104,16.433,17.104,6300
2021-01-11,1610323200,17.104,17.104,16.098,16.098,12000
2021-01-12,1610409600,16.769,16.769,14.991,15.025,21400
2021-01-13,1610496000,13.985,14.488,13.985,13.985,13600
2021-01-14,1610582400,13.013,13.013,13.013,13.013,5600
2021-01-15,1610668800,13.013,13.013,12.107,12.107,51200
2021-01-18,1610928000,12.107,12.107,11.269,11.336,89600
2021-01-19,1611014400,12.095,12.095,12.095,12.095,49200
2021-01-20,1611100800,12.095,12.905,11.333,12.666,61400
2021-01-21,1611187200,13.238,13.238,12.095,12.714,40700
2021-01-22,1611273600,12.0,12.714,11.857,12.238,60300
2021-01-25,1611532800,12.238,12.238,11.905,12.19,3900
2021-01-26,1611619200,11.714,12.095,11.381,12.095,29800
2021-01-27,1611705600,11.333,11.714,11.333,11.619,8000
2021-01-28,1611792000,10.809,11.428,10.809,11.238,27200
2021-01-29,1611878400,10.571,10.952,10.476,10.476,18600
2021-02-01,1612137600,10.476,10.666,9.857,10.666,2400
2021-02-02,1612224000,10.047,10.666,9.952,10.476,13100
2021-02-03,1612310400,10.0,10.476,9.904,10.476,5600
2021-02-04,1612396800,9.904,10.476,9.904,10.285,2800
2021-02-05,1612483200,10.095,11.0,10.0,11.0,7500
2021-02-08,1612742400,11.714,11.714,10.476,11.333,5800
2021-02-09,1612828800,10.571,11.714,10.571,11.714,13200
2021-02-17,1613520000,11.524,11.952,10.952,11.905,2500
2021-02-18,1613606400,11.809,11.905,11.143,11.905,4100
2021-02-19,1613692800,11.238,11.524,11.143,11.524,6600
2021-02-22,1613952000,11.333,11.333,10.762,10.762,13700
2021-02-23,1614038400,10.571,11.238,10.476,10.476,39100
2021-02-24,1614124800,10.476,10.762,10.19,10.476,15500
2021-02-25,1614211200,10.476,10.857,10.19,10.476,8000
2021-02-26,1614297600,9.809,10.476,9.809,10.143,6300
2021-03-01,1614556800,10.143,10.809,10.0,10.095,38600
2021-03-02,1614643200,10.095,10.428,10.095,10.095,39500
2021-03-03,1614729600,10.095,10.19,10.0,10.143,38800
2021-03-04,1614816000,10.143,10.19,10.0,10.143,10500
2021-03-05,1614902400,10.143,10.19,10.0,10.143,18700
2021-03-08,1615161600,10.143,10.238,10.0,10.143,78300
2021-03-09,1615248000,10.095,10.143,9.904,10.143,50300
2021-03-10,1615334400,10.143,10.19,10.0,10.143,100800
2021-03-11,1615420800,10.19,10.809,10.19,10.809,102500
2021-03-12,1615507200,11.524,11.524,11.524,11.524,114400
2021-03-15,1615766400,12.285,12.285,12.285,12.285,88300
2021-03-16,1615852800,13.143,13.143,13.143,13.143,113800
2021-03-17,1615939200,14.047,14.047,14.047,14.047,65600
2021-03-18,1616025600,15.0,15.0,13.095,13.809,232200
2021-03-19,1616112000,12.952,13.428,12.857,13.238,73900
2021-03-22,1616371200,12.571,13.238,12.333,12.762,27800
2021-03-23,1616457600,12.381,12.666,11.905,12.0,49100
2021-03-24,1616544000,12.381,12.809,11.905,12.809,53100
2021-03-25,1616630400,13.428,13.428,12.762,12.857,25200
2021-03-26,1616716800,12.047,12.666,12.0,12.095,8600
2021-03-29,1616976000,12.381,12.809,12.095,12.666,9400
2021-03-30,1617062400,12.666,12.666,12.0,12.476,28800
2021-03-31,1617148800,11.809,12.381,11.809,11.809,22400
2021-04-01,1617235200,11.809,12.095,11.524,11.714,31200
2021-04-02,1617321600,12.476,12.476,11.714,12.0,10700
2021-04-05,1617580800,12.19,12.666,12.0,12.666,43000
2021-04-06,1617667200,12.666,12.666,11.809,12.285,32500
2021-04-07,1617753600,12.285,12.476,11.714,12.476,11300
2021-04-08,1617840000,12.0,12.571,12.0,12.571,23600
2021-04-09,1617926400,12.571,12.571,12.19,12.285,28900
2021-04-12,1618185600,12.285,12.476,12.095,12.285,22100
2021-04-13,1618272000,12.238,12.333,12.19,12.285,15300
2021-04-14,1618358400,11.857,12.285,11.809,12.285,9600
2021-04-15,1618444800,12.666,12.666,11.857,12.095,8600
2021-04-16,1618531200,11.619,12.0,11.619,11.857,36200
2021-04-19,1618790400,11.857,11.857,11.857,11.857,20900
2021-04-20,1618876800,11.857,11.905,11.714,11.905,11800
2021-04-22,1619049600,11.809,11.809,11.619,11.619,14500
2021-04-23,1619136000,11.428,11.619,10.952,11.619,9000
2021-04-26,1619395200,11.619,11.619,11.428,11.428,22000
2021-04-27,1619481600,11.428,11.905,11.428,11.476,7600
2021-04-28,1619568000,11.905,11.905,11.524,11.809,9400
2021-04-29,1619654400,11.714,11.714,11.714,11.714,2000
2021-05-04,1620086400,11.476,11.476,11.381,11.381,7600
2021-05-05,1620172800,11.381,11.428,11.381,11.428,700
2021-05-06,1620259200,11.333,11.428,11.333,11.428,14200
2021-05-07,1620345600,10.952,11.047,10.762,10.952,15200
2021-05-10,1620604800,11.333,11.333,11.143,11.143,500
2021-05-11,1620691200,10.476,11.333,10.476,11.333,1400
