date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,12.142,12.142,12.142,12.142,0
2021-01-05,1609804800,12.142,12.142,12.142,12.142,100
2021-01-06,1609891200,12.142,12.142,12.142,12.142,0
2021-01-07,1609977600,12.142,12.142,12.142,12.142,0
2021-01-08,1610064000,11.412,11.412,10.408,10.91,200
2021-01-11,1610323200,10.956,10.956,10.956,10.956,0
2021-01-12,1610409600,10.956,10.956,10.956,10.956,0
2021-01-13,1610496000,9.312,9.495,9.312,9.381,2000
2021-01-14,1610582400,9.403,9.403,9.403,9.403,500
2021-01-15,1610668800,9.403,9.403,8.673,8.956,5000
2021-01-18,1610928000,8.947,8.947,8.947,8.947,0
2021-01-19,1611014400,8.947,8.947,8.947,8.947,0
2021-01-20,1611100800,8.947,8.947,8.947,8.947,0
2021-01-21,1611187200,8.947,8.947,8.947,8.947,0
2021-01-22,1611273600,8.947,8.947,8.947,8.947,0
2021-01-25,1611532800,8.947,8.947,8.947,8.947,0
2021-01-26,1611619200,8.947,8.947,8.947,8.947,0
2021-01-27,1611705600,9.13,9.13,9.13,9.13,8900
2021-01-28,1611792000,9.13,9.13,9.13,9.13,0
2021-01-29,1611878400,9.13,9.13,9.13,9.13,100
2021-02-01,1612137600,9.13,9.13,9.13,9.13,0
2021-02-02,1612224000,9.13,9.13,9.13,9.13,0
2021-02-03,1612310400,9.13,9.13,9.13,9.13,0
2021-02-04,1612396800,9.13,9.13,9.13,9.13,0
2021-02-05,1612483200,9.13,9.13,9.13,9.13,0
2021-02-08,1612742400,9.13,9.13,9.13,9.13,0
2021-02-09,1612828800,9.13,9.13,9.13,9.13,0
2021-02-17,1613520000,9.13,10.499,9.13,9.262,5800
2021-02-18,1613606400,10.499,10.499,10.499,10.499,100
2021-02-19,1613692800,10.499,11.777,10.499,10.797,5300
2021-02-22,1613952000,11.412,11.412,11.412,11.412,5800
2021-02-23,1614038400,12.325,13.055,12.325,12.95,11300
2021-02-24,1614124800,14.334,14.881,14.334,14.88,33000
2021-02-25,1614211200,17.073,17.073,17.073,17.073,13500
2021-02-26,1614297600,19.629,19.629,18.26,19.118,9300
2021-03-01,1614556800,18.26,18.26,16.342,16.806,11500
2021-03-02,1614643200,16.434,19.264,14.608,14.902,7700
2021-03-03,1614729600,17.073,17.073,16.981,17.061,4500
2021-03-04,1614816000,18.26,19.173,18.26,18.354,6300
2021-03-05,1614902400,19.173,20.999,18.807,19.179,7500
2021-03-08,1615161600,18.899,20.542,18.351,19.748,13300
2021-03-09,1615248000,20.359,20.359,19.173,19.42,700
2021-03-10,1615334400,18.442,18.442,17.803,17.905,3400
2021-03-11,1615420800,17.62,17.62,17.347,17.575,800
2021-03-12,1615507200,17.073,17.073,16.981,17.042,300
2021-03-15,1615766400,16.799,16.799,16.434,16.443,3900
2021-03-16,1615852800,16.434,18.26,16.434,16.759,700
2021-03-17,1615939200,18.26,18.26,18.26,18.26,100
2021-03-18,1616025600,18.168,18.168,16.799,16.951,3600
2021-03-19,1616112000,17.164,17.347,16.981,17.063,8400
2021-03-22,1616371200,18.26,19.629,18.26,18.878,5200
2021-03-23,1616457600,18.899,18.899,18.899,18.899,0
2021-03-24,1616544000,18.26,18.716,17.347,18.001,7600
2021-03-25,1616630400,17.986,17.986,17.986,17.986,0
2021-03-26,1616716800,17.986,17.986,17.986,17.986,0
2021-03-29,1616976000,15.521,17.347,15.521,15.886,500
2021-03-30,1617062400,16.89,16.89,16.89,16.89,900
2021-03-31,1617148800,16.525,16.525,16.434,16.436,3200
2021-04-01,1617235200,16.434,18.26,16.434,16.839,10900
2021-04-02,1617321600,17.803,17.803,17.803,17.803,100
2021-04-05,1617580800,17.347,18.26,17.347,17.534,6600
2021-04-06,1617667200,20.086,20.086,19.629,19.867,3800
2021-04-07,1617753600,19.994,22.825,17.073,18.242,8400
2021-04-08,1617840000,20.907,20.999,16.434,17.414,12500
2021-04-09,1617926400,19.903,19.903,16.525,17.435,3300
2021-04-12,1618185600,19.355,19.355,16.525,17.502,1000
2021-04-13,1618272000,20.086,20.086,16.707,18.97,3200
2021-04-14,1618358400,21.82,21.82,18.716,19.026,1000
