date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,6.909,7.181,6.818,7.0,1398340
2021-01-05,1609804800,7.0,7.0,6.727,6.818,2655552
2021-01-06,1609891200,6.818,7.454,6.818,7.09,3178928
2021-01-07,1609977600,7.09,7.09,6.909,7.0,1136700
2021-01-08,1610064000,7.0,7.272,6.818,7.09,2398771
2021-01-11,1610323200,7.09,7.181,6.909,7.181,1549933
2021-01-12,1610409600,7.181,7.181,6.818,7.0,2876941
2021-01-13,1610496000,7.0,7.636,7.0,7.636,8238196
2021-01-14,1610582400,7.909,8.272,7.818,8.181,2999478
2021-01-15,1610668800,8.181,8.181,7.909,8.09,1813291
2021-01-18,1610928000,8.09,8.181,7.727,7.909,3387918
2021-01-19,1611014400,7.909,8.0,7.181,7.181,4642135
2021-01-20,1611100800,6.545,7.09,6.545,6.909,3613150
2021-01-21,1611187200,7.0,7.363,6.909,7.363,1600745
2021-01-22,1611273600,7.363,7.454,7.09,7.181,2193743
2021-01-25,1611532800,7.181,7.818,7.09,7.818,3711204
2021-01-26,1611619200,8.09,8.363,7.181,7.545,2750215
2021-01-27,1611705600,7.545,7.545,6.909,7.0,1883844
2021-01-28,1611792000,7.0,7.0,6.363,6.363,2467401
2021-01-29,1611878400,5.727,6.727,5.727,6.545,2206030
2021-02-01,1612137600,6.545,6.545,5.909,5.909,1543147
2021-02-02,1612224000,5.727,6.181,5.727,5.909,1309732
2021-02-03,1612310400,6.09,6.454,5.909,6.454,1211335
2021-02-04,1612396800,6.454,6.454,6.181,6.272,621227
2021-02-05,1612483200,6.636,6.636,6.181,6.272,889744
2021-02-08,1612742400,6.272,6.727,6.181,6.454,1576221
2021-02-09,1612828800,6.363,6.727,6.272,6.727,1217913
2021-02-17,1613520000,6.636,6.909,6.636,6.909,1352406
2021-02-18,1613606400,6.909,7.181,6.636,7.181,2138445
2021-02-19,1613692800,7.181,7.363,6.727,6.818,2218530
2021-02-22,1613952000,6.909,7.09,6.636,6.636,2399836
2021-02-23,1614038400,6.636,7.272,6.545,7.272,3352108
2021-02-24,1614124800,7.454,8.0,7.363,7.636,5008744
2021-02-25,1614211200,7.636,7.727,7.363,7.454,1459723
2021-02-26,1614297600,7.454,8.0,7.09,7.818,3698511
2021-03-01,1614556800,8.09,8.545,7.818,8.181,2724508
2021-03-02,1614643200,8.272,8.545,8.181,8.272,1462674
2021-03-03,1614729600,8.363,8.363,8.0,8.0,2034146
2021-03-04,1614816000,8.0,8.09,7.545,8.0,2473202
2021-03-05,1614902400,7.818,8.636,7.727,8.454,2695647
2021-03-08,1615161600,8.454,8.727,8.363,8.454,2251398
2021-03-09,1615248000,8.454,8.545,8.0,8.272,1960919
2021-03-10,1615334400,8.181,8.454,8.0,8.363,2219420
2021-03-11,1615420800,8.363,8.545,8.272,8.545,1881324
2021-03-12,1615507200,8.727,8.727,8.454,8.545,2241852
2021-03-15,1615766400,8.454,8.545,8.363,8.363,1774403
2021-03-16,1615852800,8.272,8.454,8.0,8.181,2584510
2021-03-17,1615939200,7.2,7.443,7.12,7.2,1315451
2021-03-18,1616025600,7.281,7.362,7.12,7.12,1818598
