date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,3.9,3.9,3.7,3.7,1300
2021-01-05,1609804800,3.8,4.0,3.8,4.0,14500
2021-01-06,1609891200,3.8,4.0,3.7,4.0,2600
2021-01-07,1609977600,4.0,4.0,4.0,4.0,100
2021-01-08,1610064000,4.0,4.0,3.7,4.0,1900
2021-01-11,1610323200,3.8,3.8,3.8,3.8,1019
2021-01-12,1610409600,3.9,3.9,3.9,3.9,2400
2021-01-13,1610496000,3.9,4.2,3.9,4.2,29901
2021-01-14,1610582400,4.3,4.6,4.3,4.6,21000
2021-01-15,1610668800,5.0,5.0,4.6,4.6,13400
2021-01-18,1610928000,4.4,4.9,4.3,4.9,8800
2021-01-19,1611014400,5.1,5.1,4.5,4.5,1400
2021-01-20,1611100800,4.5,4.8,4.1,4.7,700
2021-01-21,1611187200,4.8,4.8,4.6,4.6,12300
2021-01-22,1611273600,4.6,4.6,4.6,4.6,100
2021-01-25,1611532800,4.6,4.6,4.6,4.6,0
2021-01-26,1611619200,4.2,4.9,4.2,4.2,6509
2021-01-27,1611705600,4.5,4.5,3.8,4.5,35740
2021-01-28,1611792000,4.1,4.1,4.1,4.1,8300
2021-01-29,1611878400,4.1,4.1,4.1,4.1,0
2021-02-01,1612137600,3.8,3.8,3.8,3.8,12400
2021-02-02,1612224000,3.8,3.8,3.5,3.5,22200
2021-02-03,1612310400,3.8,3.8,3.8,3.8,2800
2021-02-04,1612396800,4.0,4.0,4.0,4.0,500
2021-02-05,1612483200,4.0,4.0,3.6,3.8,6600
2021-02-08,1612742400,3.8,3.8,3.8,3.8,7009
2021-02-09,1612828800,3.8,3.8,3.8,3.8,0
2021-02-17,1613520000,3.8,3.8,3.8,3.8,2900
2021-02-18,1613606400,4.0,4.1,4.0,4.1,44100
2021-02-19,1613692800,4.1,4.1,4.1,4.1,4300
2021-02-22,1613952000,4.0,4.0,4.0,4.0,200
2021-02-23,1614038400,4.2,4.2,4.2,4.2,100
2021-02-24,1614124800,4.2,4.2,4.2,4.2,100
2021-02-25,1614211200,3.9,4.2,3.8,4.2,12100
2021-02-26,1614297600,4.0,4.0,4.0,4.0,3301
2021-03-01,1614556800,3.8,4.3,3.8,4.3,5000
2021-03-02,1614643200,4.0,4.1,4.0,4.1,7500
2021-03-03,1614729600,4.0,4.3,4.0,4.3,19400
2021-03-04,1614816000,4.0,4.2,3.9,4.2,98800
2021-03-05,1614902400,3.9,4.6,3.8,4.6,492900
2021-03-08,1615161600,4.6,4.8,4.6,4.6,21300
2021-03-09,1615248000,4.3,4.5,4.2,4.5,3700
2021-03-10,1615334400,4.1,4.3,4.1,4.2,84100
2021-03-11,1615420800,4.2,4.2,4.1,4.2,5200
2021-03-12,1615507200,4.2,4.2,4.1,4.2,3600
2021-03-15,1615766400,4.1,4.1,4.0,4.0,21300
2021-03-16,1615852800,4.1,4.1,4.0,4.0,7200
2021-03-17,1615939200,4.0,4.4,4.0,4.4,86900
2021-03-18,1616025600,4.5,4.8,4.4,4.8,61300
2021-03-19,1616112000,4.9,4.9,4.6,4.6,27240
2021-03-22,1616371200,4.6,4.8,4.3,4.7,27831
2021-03-23,1616457600,4.7,4.7,4.5,4.7,22400
2021-03-24,1616544000,4.8,4.8,4.4,4.5,17200
