date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,21.014,22.781,21.014,22.781,1472234
2022-01-05,1641340800,22.781,23.432,22.409,22.409,992709
2022-01-06,1641427200,22.409,22.409,21.665,21.665,1133683
2022-01-07,1641513600,21.572,22.316,21.2,21.851,1006615
2022-01-10,1641772800,21.665,22.316,21.572,21.758,1068936
2022-01-11,1641859200,21.386,22.316,19.619,21.107,919680
2022-01-12,1641945600,21.2,22.13,20.828,21.386,1115590
2022-01-13,1642032000,21.2,21.851,20.828,20.921,586815
2022-01-14,1642118400,20.549,21.2,20.084,20.456,422876
2022-01-17,1642377600,20.456,20.735,18.411,18.411,1185759
2022-01-18,1642464000,18.411,18.411,16.644,16.644,844849
2022-01-19,1642550400,16.365,17.667,15.993,17.016,412286
2022-01-20,1642636800,17.109,18.132,17.016,18.132,435850
2022-01-21,1642723200,18.318,18.876,18.318,18.411,393607
2022-01-24,1642982400,18.411,18.411,16.644,16.737,371256
2022-01-25,1643068800,16.83,17.202,15.807,16.365,700819
2022-01-26,1643155200,16.365,16.83,16.179,16.365,511485
2022-01-27,1643241600,16.272,16.551,16.272,16.458,153841
2022-01-28,1643328000,16.458,16.458,16.179,16.458,181559
2022-02-07,1644192000,16.458,17.667,16.458,17.481,499353
2022-02-08,1644278400,17.481,18.132,17.481,17.946,391670
2022-02-09,1644364800,17.946,19.155,17.946,19.062,474106
2022-02-10,1644451200,19.062,19.248,18.411,18.597,467146
2022-02-11,1644537600,18.597,18.597,18.225,18.411,308277
2022-02-14,1644796800,18.411,19.062,17.853,18.597,521980
2022-02-15,1644883200,18.597,18.783,18.318,18.597,203423
2022-02-16,1644969600,18.69,19.155,18.69,18.969,517367
2022-02-17,1645056000,19.248,19.248,18.783,18.876,406617
2022-02-18,1645142400,18.876,19.619,18.597,19.433,663539
2022-02-21,1645401600,19.433,20.27,19.062,19.898,669182
2022-02-22,1645488000,19.898,19.898,18.876,19.341,581092
2022-02-23,1645574400,19.341,19.526,19.155,19.433,481710
2022-02-24,1645660800,19.433,19.433,17.667,18.411,826092
2022-02-25,1645747200,18.411,19.248,18.411,18.876,365143
2022-02-28,1646006400,18.969,20.363,18.411,19.805,909991
2022-03-01,1646092800,19.805,20.642,19.805,20.177,1123299
2022-03-02,1646179200,20.177,20.363,19.619,19.712,501272
2022-03-03,1646265600,19.712,21.572,19.248,21.107,2003447
2022-03-04,1646352000,21.107,22.037,21.107,21.2,1002413
2022-03-07,1646611200,21.107,21.944,20.921,21.2,978548
2022-03-08,1646697600,21.2,21.2,20.27,20.27,1242759
2022-03-09,1646784000,19.805,20.456,19.155,19.898,931467
2022-03-10,1646870400,19.898,21.386,19.898,21.2,1227980
2022-03-11,1646956800,21.2,22.874,20.456,22.316,3870928
2022-03-14,1647216000,22.316,23.153,22.037,22.967,2611351
2022-03-15,1647302400,22.874,23.618,21.851,22.502,1654224
2022-03-16,1647388800,22.502,23.06,22.223,22.595,1429916
2022-03-17,1647475200,22.781,23.525,22.409,22.595,1458231
2022-03-18,1647561600,22.688,22.781,21.851,21.851,1423929
2022-03-21,1647820800,22.595,22.781,21.851,21.944,993123
2022-03-22,1647907200,22.037,22.688,21.944,22.13,1048693
2022-03-23,1647993600,22.223,22.595,22.037,22.223,1003858
2022-03-24,1648080000,22.223,23.525,21.944,23.432,2566972
2022-03-25,1648166400,23.711,23.711,22.967,23.06,969071
2022-03-28,1648425600,23.06,23.804,22.502,23.246,2008025
2022-03-29,1648512000,23.153,24.083,23.06,23.897,2324178
2022-03-30,1648598400,23.897,23.99,22.502,22.781,1589324
2022-03-31,1648684800,22.781,23.153,21.386,21.386,1281491
2022-04-01,1648771200,21.479,22.037,20.735,21.758,1345452
2022-04-04,1649030400,22.13,22.781,21.479,22.409,947932
2022-04-05,1649116800,22.409,22.688,22.316,22.595,552267
2022-04-06,1649203200,22.595,23.711,22.13,22.967,2136884
2022-04-07,1649289600,23.525,23.618,22.037,22.316,781323
2022-04-08,1649376000,22.409,23.246,21.944,22.595,797907
2022-04-12,1649721600,22.781,23.432,20.828,20.828,1181561
2022-04-13,1649808000,20.828,21.572,19.712,21.386,1091549
2022-04-14,1649894400,21.479,21.572,19.712,20.921,631080
2022-04-15,1649980800,20.921,21.2,19.712,20.456,1025077
2022-04-18,1650240000,20.456,20.549,18.411,18.411,1465118
2022-04-19,1650326400,18.411,18.876,16.644,16.644,715779
2022-04-20,1650412800,16.737,17.016,15.9,15.9,733100
2022-04-21,1650499200,15.9,16.644,14.691,15.528,829804
2022-04-22,1650585600,15.621,16.365,15.063,15.714,440793
2022-04-25,1650844800,15.807,16.179,14.226,14.226,785589
2022-04-26,1650931200,14.226,14.412,12.832,14.412,871319
2022-04-27,1651017600,14.598,15.342,14.226,15.156,344600
2022-04-28,1651104000,15.156,15.621,14.97,14.97,367400
2022-04-29,1651190400,14.97,15.435,14.505,15.249,750354
