date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,26.021,26.308,25.447,25.747,228610
2022-01-05,1641340800,25.83,26.786,25.351,26.179,329505
2022-01-06,1641427200,26.308,26.978,25.925,26.703,345600
2022-01-07,1641513600,27.073,27.552,26.595,26.931,310073
2022-01-10,1641772800,27.265,27.647,26.499,27.259,372705
2022-01-11,1641859200,26.404,26.978,26.212,26.611,243300
2022-01-12,1641945600,26.212,26.595,25.638,26.016,305300
2022-01-13,1642032000,27.743,27.743,25.83,26.372,341206
2022-01-14,1642118400,26.404,28.7,26.117,27.355,542800
2022-01-17,1642377600,27.934,29.465,27.934,28.655,779243
2022-01-18,1642464000,28.413,28.795,27.743,28.573,461600
2022-01-19,1642550400,28.03,28.221,27.265,27.892,385500
2022-01-20,1642636800,27.839,29.848,27.169,28.589,990915
2022-01-21,1642723200,29.561,29.656,28.7,29.052,569713
2022-01-24,1642982400,29.178,29.369,27.743,28.639,657100
2022-01-25,1643068800,27.36,27.743,25.351,26.828,331200
2022-01-26,1643155200,27.456,27.552,26.308,26.989,212300
2022-01-27,1643241600,26.786,27.36,26.117,26.828,206425
2022-01-28,1643328000,26.882,27.456,26.499,26.853,136302
2022-02-07,1644192000,27.169,27.934,27.169,27.535,146000
2022-02-08,1644278400,27.552,29.082,27.36,28.475,631802
2022-02-09,1644364800,28.7,30.613,28.7,29.888,546251
2022-02-10,1644451200,29.848,30.613,28.7,29.17,414015
2022-02-11,1644537600,29.274,29.274,28.221,28.687,343700
2022-02-14,1644796800,28.795,28.795,27.36,28.009,365401
2022-02-15,1644883200,27.456,27.839,26.978,27.446,225100
2022-02-16,1644969600,27.552,28.317,27.552,27.797,209040
2022-02-17,1645056000,28.221,28.317,27.743,28.027,98600
2022-02-18,1645142400,27.934,27.934,27.265,27.447,282500
2022-02-21,1645401600,27.36,27.456,26.882,27.183,198537
2022-02-22,1645488000,27.169,27.169,26.308,26.573,497440
2022-02-23,1645574400,26.404,27.36,26.308,26.895,217549
2022-02-24,1645660800,26.882,27.36,25.734,26.307,343232
2022-02-25,1645747200,26.691,26.882,26.308,26.554,161600
2022-02-28,1646006400,26.404,26.595,25.734,25.909,295901
2022-03-01,1646092800,25.83,25.925,25.16,25.504,288100
2022-03-02,1646179200,25.543,26.691,25.447,25.996,161802
2022-03-03,1646265600,26.021,26.691,25.83,26.389,205800
2022-03-04,1646352000,26.691,26.786,26.117,26.484,201000
2022-03-07,1646611200,26.499,26.499,25.925,26.071,250303
2022-03-08,1646697600,26.021,26.117,25.638,25.83,174300
2022-03-09,1646784000,25.447,25.925,25.351,25.592,158351
2022-03-10,1646870400,25.734,26.021,25.638,25.801,183950
2022-03-11,1646956800,25.734,25.83,25.543,25.662,184302
2022-03-14,1647216000,25.734,25.734,25.16,25.374,195401
2022-03-15,1647302400,24.969,25.543,24.969,25.273,59100
2022-03-16,1647388800,25.256,25.734,25.064,25.56,92702
2022-03-17,1647475200,25.638,27.36,25.638,26.828,601040
2022-03-18,1647561600,27.073,27.265,26.786,26.973,230620
2022-03-21,1647820800,27.265,27.456,26.786,27.061,229700
2022-03-22,1647907200,27.265,27.265,26.404,26.721,226800
2022-03-23,1647993600,26.978,28.604,26.882,27.89,1659519
2022-03-24,1648080000,28.317,30.135,28.317,29.165,1538209
2022-03-25,1648166400,29.561,29.943,28.891,29.251,792497
2022-03-28,1648425600,28.7,29.082,28.03,28.571,861859
2022-03-29,1648512000,28.7,29.561,28.413,29.28,769670
2022-03-30,1648598400,29.274,32.048,28.987,30.476,1244063
2022-03-31,1648684800,30.613,30.9,29.561,30.173,341905
2022-04-01,1648771200,30.039,30.039,29.274,29.737,411514
2022-04-04,1649030400,30.039,32.048,29.656,31.002,1465633
2022-04-05,1649116800,31.283,31.57,30.517,30.856,581724
2022-04-06,1649203200,30.709,30.709,29.561,30.063,724626
2022-04-07,1649289600,29.656,30.23,28.508,29.228,708500
2022-04-08,1649376000,28.7,29.369,26.786,28.094,770400
2022-04-12,1649721600,27.169,27.839,25.543,26.744,539650
2022-04-13,1649808000,26.308,27.169,25.83,26.653,296020
2022-04-14,1649894400,26.978,28.126,26.499,27.115,436911
2022-04-15,1649980800,27.073,27.36,26.021,26.828,471506
2022-04-18,1650240000,26.021,26.404,25.064,25.61,441856
2022-04-19,1650326400,25.638,26.308,25.064,25.764,599100
2022-04-20,1650412800,25.734,25.83,25.16,25.437,514280
2022-04-21,1650499200,25.351,25.351,21.812,24.008,573760
2022-04-22,1650585600,24.108,24.682,22.194,23.519,479500
2022-04-25,1650844800,22.96,23.725,20.09,21.73,493501
2022-04-26,1650931200,20.855,22.386,19.611,21.191,228700
2022-04-27,1651017600,22.003,22.96,21.716,22.312,103019
2022-04-28,1651104000,22.673,24.299,22.673,23.874,588400
2022-04-29,1651190400,24.395,24.682,23.725,24.273,193600
2022-05-04,1651622400,24.299,24.682,23.821,24.261,87720
2022-05-05,1651708800,24.682,24.873,23.629,24.206,131200
2022-05-06,1651795200,23.438,23.821,23.342,23.495,263400
2022-05-09,1652054400,23.534,23.534,21.716,22.497,252100
2022-05-10,1652140800,20.951,23.821,20.377,22.974,206000
2022-05-11,1652227200,23.055,23.725,22.96,23.188,16300
2022-05-12,1652313600,22.481,22.864,21.046,21.896,55700
2022-05-13,1652400000,22.003,22.003,18.942,20.039,163420
2022-05-16,1652659200,20.568,21.046,19.133,20.471,128300
