date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,20.865,21.763,20.865,21.66,176600
2022-01-05,1641340800,22.316,22.35,21.729,22.074,389000
2022-01-06,1641427200,22.074,22.074,21.694,21.694,145100
2022-01-07,1641513600,21.694,22.04,21.556,21.798,162400
2022-01-10,1641772800,21.832,21.867,20.83,20.83,219200
2022-01-11,1641859200,20.589,20.865,20.312,20.347,127800
2022-01-12,1641945600,20.347,21.072,20.278,20.969,149400
2022-01-13,1642032000,21.418,21.418,20.589,20.727,132300
2022-01-14,1642118400,19.552,20.934,19.552,20.658,141700
2022-01-17,1642377600,20.658,21.072,20.312,20.45,121600
2022-01-18,1642464000,20.45,20.45,20.105,20.243,153600
2022-01-19,1642550400,20.658,20.658,20.105,20.243,72500
2022-01-20,1642636800,20.209,21.141,20.209,21.003,84100
2022-01-21,1642723200,21.003,21.072,20.796,20.865,59200
2022-01-24,1642982400,20.865,21.003,20.347,20.727,87900
2022-01-25,1643068800,20.381,20.934,20.174,20.796,95000
2022-01-26,1643155200,20.727,20.796,20.485,20.52,58100
2022-01-27,1643241600,20.52,20.727,20.45,20.727,39800
2022-01-28,1643328000,21.141,21.141,20.036,20.45,82500
2022-02-07,1644192000,21.072,21.798,20.727,21.66,99900
2022-02-08,1644278400,21.763,21.936,21.418,21.694,113600
2022-02-09,1644364800,21.694,22.109,21.59,21.832,157100
2022-02-10,1644451200,21.97,22.109,21.694,21.97,181200
2022-02-11,1644537600,21.97,22.04,21.66,21.763,66400
2022-02-14,1644796800,22.005,23.283,22.005,23.283,456700
2022-02-15,1644883200,23.836,24.458,23.145,23.145,396300
2022-02-16,1644969600,22.869,22.938,22.523,22.73,134800
2022-02-17,1645056000,22.489,23.387,22.489,22.8,210800
2022-02-18,1645142400,22.972,23.283,22.661,23.041,229900
2022-02-21,1645401600,23.18,23.801,23.18,23.49,202500
2022-02-22,1645488000,23.663,24.389,23.56,24.25,486700
2022-02-23,1645574400,24.527,25.287,23.974,24.941,493500
2022-02-24,1645660800,25.045,26.081,24.872,25.218,713400
2022-02-25,1645747200,25.045,25.045,24.354,24.596,284600
2022-02-28,1646006400,24.596,25.563,24.285,24.665,342700
2022-03-01,1646092800,25.08,25.287,24.32,24.665,313400
2022-03-02,1646179200,25.425,25.77,24.769,24.769,299900
2022-03-03,1646265600,25.287,26.496,24.769,26.496,888500
2022-03-04,1646352000,27.67,27.67,26.289,26.323,271400
2022-03-07,1646611200,28.154,28.154,27.29,28.154,660000
2022-03-08,1646697600,27.394,28.741,26.6,27.29,528600
2022-03-09,1646784000,27.567,28.741,25.563,27.636,624700
2022-03-10,1646870400,26.323,27.29,26.323,26.945,245800
2022-03-11,1646956800,26.807,26.841,25.08,25.356,633500
2022-03-14,1647216000,25.356,25.356,24.009,24.009,488200
2022-03-15,1647302400,23.076,24.423,23.076,24.389,237700
2022-03-16,1647388800,24.32,24.596,23.732,24.285,183100
2022-03-17,1647475200,24.527,24.527,24.043,24.181,101700
2022-03-18,1647561600,24.561,25.149,24.561,24.63,101100
2022-03-21,1647820800,24.7,24.769,24.25,24.734,123400
2022-03-22,1647907200,24.872,25.321,24.769,25.08,146700
2022-03-23,1647993600,24.872,25.425,24.527,24.872,181700
2022-03-24,1648080000,25.321,25.39,24.803,24.907,115500
2022-03-25,1648166400,24.907,25.252,24.907,25.149,111000
2022-03-28,1648425600,25.08,26.6,25.01,26.323,294100
2022-03-29,1648512000,26.323,26.945,25.978,26.565,248300
2022-03-30,1648598400,26.392,26.496,25.563,25.84,163300
2022-03-31,1648684800,25.563,26.081,25.356,25.563,112600
2022-04-01,1648771200,25.563,25.909,25.149,25.77,131100
2022-04-04,1649030400,26.012,26.012,25.46,25.805,127600
2022-04-05,1649116800,25.943,27.601,25.943,27.601,626100
2022-04-06,1649203200,28.327,29.225,27.981,29.121,608900
2022-04-07,1649289600,29.398,29.57,27.636,28.81,270400
2022-04-08,1649376000,28.81,28.81,27.429,27.463,513000
2022-04-12,1649721600,26.98,28.12,25.909,25.909,257200
2022-04-13,1649808000,26.669,27.705,26.254,27.705,313600
2022-04-14,1649894400,28.741,29.64,28.361,29.64,369900
2022-04-15,1649980800,30.192,31.643,29.709,29.709,661800
2022-04-18,1650240000,30.33,31.781,29.916,31.712,669700
2022-04-19,1650326400,33.923,33.923,31.09,31.367,386900
2022-04-20,1650412800,31.436,32.749,30.469,30.676,446000
2022-04-21,1650499200,29.916,30.4,28.534,28.534,713200
2022-04-22,1650585600,28.05,28.741,26.565,26.565,843200
2022-04-25,1650844800,26.392,26.392,24.734,24.734,471400
2022-04-26,1650931200,23.214,26.461,23.007,26.461,525200
2022-04-27,1651017600,27.187,27.187,25.909,26.496,238600
2022-04-28,1651104000,26.6,26.945,26.185,26.565,116200
2022-04-29,1651190400,26.254,27.981,25.563,27.532,321100
2022-05-04,1651622400,28.43,28.949,27.636,28.05,414100
2022-05-05,1651708800,29.018,29.501,28.016,28.949,473000
2022-05-06,1651795200,28.396,28.88,27.636,27.636,423600
2022-05-09,1652054400,27.152,27.74,25.701,25.701,646000
2022-05-10,1652140800,24.009,26.876,23.974,26.254,358100
2022-05-11,1652227200,26.254,26.634,25.563,26.047,157500
2022-05-12,1652313600,25.943,25.978,24.25,24.25,279100
2022-05-13,1652400000,23.56,24.043,22.558,22.558,526800
2022-05-16,1652659200,24.112,24.112,21.418,21.418,278400
2022-05-17,1652745600,21.418,22.903,20.727,22.8,208700
2022-05-18,1652832000,23.629,23.629,22.316,22.8,187500
2022-05-19,1652918400,22.109,23.145,21.418,23.11,122200
2022-05-20,1653004800,22.73,23.629,22.73,22.8,147900
2022-05-23,1653264000,23.145,23.525,22.8,23.076,186500
2022-05-24,1653350400,23.076,23.456,22.834,23.421,166200
2022-05-25,1653436800,23.421,25.045,23.421,25.045,217300
2022-05-26,1653523200,25.46,25.46,24.803,24.872,211500
2022-05-27,1653609600,24.907,25.425,24.872,25.218,147800
2022-05-30,1653868800,25.287,26.254,25.218,25.701,194000
2022-05-31,1653955200,25.529,27.498,25.494,27.152,484900
2022-06-01,1654041600,27.152,28.189,27.152,27.394,408700
2022-06-02,1654128000,27.394,28.189,27.394,27.981,411200
2022-06-03,1654214400,27.981,29.709,26.945,29.709,552000
2022-06-06,1654473600,30.814,30.814,29.018,29.363,429900
2022-06-07,1654560000,29.363,30.4,28.672,30.4,461000
2022-06-08,1654646400,30.952,31.367,29.709,30.952,470500
2022-06-09,1654732800,30.503,30.918,29.398,29.847,320100
2022-06-10,1654819200,29.709,30.641,27.774,27.774,593100
2022-06-13,1655078400,26.254,28.12,26.254,26.945,611000
2022-06-14,1655164800,26.461,28.534,26.461,28.327,278900
