date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,8.35,8.35,8.2,8.35,121300
2022-01-05,1641340800,8.35,8.93,8.35,8.93,354200
2022-01-06,1641427200,9.4,9.55,9.3,9.55,234200
2022-01-07,1641513600,10.0,10.15,9.55,10.15,347300
2022-01-10,1641772800,10.15,10.85,10.15,10.85,294600
2022-01-11,1641859200,10.85,10.85,10.1,10.1,106300
2022-01-12,1641945600,9.4,9.4,9.4,9.4,36900
2022-01-13,1642032000,8.75,8.75,8.75,8.75,38600
2022-01-14,1642118400,8.14,9.0,8.14,8.14,260300
2022-01-17,1642377600,7.6,8.5,7.58,7.58,69500
2022-01-18,1642464000,7.48,7.48,7.05,7.05,73400
2022-01-19,1642550400,6.56,7.0,6.56,6.56,26500
2022-01-20,1642636800,6.11,7.01,6.11,7.01,109400
2022-01-21,1642723200,7.5,7.5,7.5,7.5,34300
2022-01-24,1642982400,7.5,7.5,6.98,6.98,47800
2022-01-25,1643068800,6.5,6.94,6.5,6.5,81600
2022-01-26,1643155200,6.8,6.9,6.5,6.5,62000
2022-01-27,1643241600,6.5,6.8,6.05,6.05,185600
2022-01-28,1643328000,6.16,6.3,5.63,5.66,113500
2022-02-07,1644192000,6.05,6.05,6.03,6.05,21800
2022-02-08,1644278400,6.47,6.47,6.47,6.47,41300
2022-02-09,1644364800,6.92,6.92,6.87,6.92,63000
2022-02-10,1644451200,7.35,7.4,7.35,7.4,93000
2022-02-11,1644537600,7.9,7.91,7.8,7.91,111200
2022-02-14,1644796800,8.45,8.45,7.91,8.25,153400
2022-02-15,1644883200,7.68,8.25,7.68,7.68,112100
2022-02-16,1644969600,7.68,8.0,7.5,7.6,46600
2022-02-17,1645056000,7.95,7.95,7.07,7.43,62200
2022-02-18,1645142400,7.3,7.78,7.3,7.72,58000
2022-02-21,1645401600,8.0,8.0,7.6,7.75,64600
2022-02-22,1645488000,7.74,7.74,7.3,7.65,44600
2022-02-23,1645574400,7.65,7.66,7.54,7.63,43400
