date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,15.249,15.526,15.156,15.341,8001600
2022-01-05,1641340800,15.526,15.526,15.018,15.064,12299700
2022-01-06,1641427200,15.11,15.942,14.972,15.387,14360400
2022-01-07,1641513600,15.618,16.081,15.434,15.48,10941700
2022-01-10,1641772800,15.48,15.942,14.972,14.972,14582700
2022-01-11,1641859200,14.787,14.972,13.955,13.955,16814300
2022-01-12,1641945600,13.77,13.863,12.985,13.031,16032000
2022-01-13,1642032000,13.031,13.4,12.199,12.199,10858300
2022-01-14,1642118400,11.829,12.846,11.644,12.8,7903700
2022-01-17,1642377600,12.938,13.169,11.922,11.922,7322600
2022-01-18,1642464000,11.922,12.153,11.506,11.691,5707200
2022-01-19,1642550400,11.737,11.968,11.691,11.829,3709300
2022-01-20,1642636800,11.875,12.615,11.875,12.615,4479400
2022-01-21,1642723200,12.846,12.985,12.522,12.569,4042100
2022-01-24,1642982400,12.245,12.569,11.691,11.691,5450000
2022-01-25,1643068800,11.552,12.014,11.46,11.968,3695600
2022-01-26,1643155200,12.107,12.107,11.598,11.598,3318100
2022-01-27,1643241600,11.737,11.875,11.598,11.737,2413200
2022-01-28,1643328000,11.875,12.107,11.783,12.014,2187200
2022-02-07,1644192000,12.245,12.615,12.199,12.522,2260200
2022-02-08,1644278400,12.615,12.661,12.43,12.476,3671100
2022-02-09,1644364800,12.476,12.938,12.384,12.707,3314900
2022-02-10,1644451200,12.8,12.8,12.476,12.522,2657100
2022-02-11,1644537600,12.522,12.661,12.476,12.569,1869000
2022-02-14,1644796800,12.476,12.476,12.014,12.014,4128400
2022-02-15,1644883200,12.014,12.291,12.014,12.245,3048500
2022-02-16,1644969600,12.291,12.707,12.291,12.661,3889200
2022-02-17,1645056000,12.753,12.753,12.569,12.661,3274900
2022-02-18,1645142400,12.476,12.892,12.338,12.707,4301100
2022-02-21,1645401600,12.753,13.308,12.753,13.077,5164200
2022-02-22,1645488000,12.8,12.938,12.476,12.569,5175700
2022-02-23,1645574400,12.753,13.031,12.661,12.661,2746000
2022-02-24,1645660800,12.661,12.753,11.829,12.199,7770100
2022-02-25,1645747200,12.661,12.661,12.384,12.476,2317900
2022-02-28,1646006400,12.522,13.308,12.522,13.308,10161300
2022-03-01,1646092800,13.631,13.863,13.077,13.216,11531100
2022-03-02,1646179200,13.077,13.308,12.846,13.077,5770400
2022-03-03,1646265600,13.123,13.4,13.031,13.308,6464100
2022-03-04,1646352000,13.308,13.678,13.216,13.262,5553000
2022-03-07,1646611200,13.216,13.585,12.985,13.4,5671700
2022-03-08,1646697600,13.308,13.354,12.938,12.938,6016700
2022-03-09,1646784000,12.985,13.123,12.384,12.569,6074300
2022-03-10,1646870400,12.846,13.077,12.753,12.846,3161900
2022-03-11,1646956800,12.753,12.892,12.476,12.569,3909400
2022-03-14,1647216000,12.43,12.522,12.014,12.107,4628700
2022-03-15,1647302400,12.199,12.43,12.199,12.43,2993500
2022-03-16,1647388800,12.615,12.615,12.43,12.476,1884000
2022-03-17,1647475200,12.569,12.707,12.476,12.569,2722700
2022-03-18,1647561600,12.615,12.8,12.569,12.569,3058100
2022-03-21,1647820800,12.661,12.753,12.569,12.753,3062500
2022-03-22,1647907200,12.846,13.123,12.8,12.8,4197900
2022-03-23,1647993600,12.892,12.938,12.661,12.661,3606800
2022-03-24,1648080000,12.661,12.8,12.569,12.661,2821000
2022-03-25,1648166400,12.661,13.216,12.661,12.938,6275800
2022-03-28,1648425600,12.661,12.846,12.43,12.615,5247800
2022-03-29,1648512000,12.753,12.892,12.707,12.8,2532000
2022-03-30,1648598400,12.661,12.8,12.199,12.245,6238800
2022-03-31,1648684800,12.384,12.476,12.014,12.107,3330300
2022-04-01,1648771200,12.107,12.384,12.014,12.384,4011400
2022-04-04,1649030400,12.522,12.615,12.43,12.476,2733200
2022-04-05,1649116800,12.476,12.753,12.43,12.661,4540800
2022-04-06,1649203200,12.569,12.753,12.384,12.384,4014100
2022-04-07,1649289600,12.569,12.661,12.384,12.43,3564600
2022-04-08,1649376000,12.569,12.8,12.43,12.43,6149000
2022-04-12,1649721600,12.615,12.707,12.107,12.107,5001600
2022-04-13,1649808000,12.338,12.384,11.829,12.245,2633200
2022-04-14,1649894400,12.245,12.338,12.014,12.014,2286300
2022-04-15,1649980800,12.06,12.06,11.552,11.737,4302100
2022-04-18,1650240000,11.691,11.737,10.951,10.951,5436100
2022-04-19,1650326400,10.951,11.321,10.212,10.212,5236900
2022-04-20,1650412800,9.842,10.166,9.519,9.519,6381200
2022-04-21,1650499200,8.853,9.149,8.853,8.853,6278000
2022-04-22,1650585600,8.456,9.473,8.456,9.149,3476700
2022-04-25,1650844800,9.55,9.6,8.5,8.5,2004700
2022-04-26,1650931200,8.5,9.0,8.2,9.0,2245300
2022-04-27,1651017600,9.0,9.6,8.9,9.6,2192600
2022-04-28,1651104000,9.7,10.1,9.52,9.93,1746000
2022-04-29,1651190400,9.9,10.6,9.85,10.6,2993700
2022-05-04,1651622400,10.4,10.85,10.35,10.5,2018000
2022-05-05,1651708800,10.6,10.7,9.9,9.9,1840400
2022-05-06,1651795200,9.7,9.9,9.5,9.5,1293600
2022-05-09,1652054400,9.25,9.5,8.84,8.84,2336100
2022-05-10,1652140800,8.84,9.3,8.32,9.3,1594400
2022-05-11,1652227200,9.3,9.54,9.1,9.48,1036100
2022-05-12,1652313600,9.28,9.44,8.82,8.82,1807600
2022-05-13,1652400000,8.82,8.92,8.21,8.21,2614800
2022-05-16,1652659200,8.4,8.75,8.31,8.42,1569400
2022-05-17,1652745600,8.42,9.0,8.35,9.0,2449400
2022-05-18,1652832000,9.1,9.4,8.99,9.01,1870500
2022-05-19,1652918400,8.9,9.05,8.6,8.82,1875500
2022-05-20,1653004800,8.8,8.99,8.8,8.87,1887000
2022-05-23,1653264000,8.89,9.1,8.5,8.89,1659200
2022-05-24,1653350400,8.75,8.98,8.5,8.81,1576400
2022-05-25,1653436800,8.87,9.42,8.78,9.42,4774500
2022-05-26,1653523200,9.45,9.96,9.45,9.82,3411600
2022-05-27,1653609600,9.83,9.95,9.78,9.82,1967000
2022-05-30,1653868800,9.82,9.97,9.6,9.85,2550200
2022-05-31,1653955200,9.85,9.85,9.6,9.6,2183200
2022-06-01,1654041600,9.51,9.85,9.2,9.2,1569400
2022-06-02,1654128000,9.21,9.4,8.9,9.0,1620700
2022-06-03,1654214400,8.98,9.06,8.83,8.9,1475000
2022-06-06,1654473600,8.9,9.0,8.75,8.77,1226600
2022-06-07,1654560000,8.8,8.8,8.35,8.5,1583900
2022-06-08,1654646400,8.6,8.94,8.6,8.87,1460500
2022-06-09,1654732800,8.9,8.99,8.8,8.98,1336700
2022-06-10,1654819200,8.85,8.9,8.6,8.6,1755300
2022-06-13,1655078400,8.2,8.43,8.0,8.0,3087200
2022-06-14,1655164800,7.55,7.93,7.44,7.44,2960400
2022-06-15,1655251200,7.45,7.6,6.92,6.92,3017300
2022-06-16,1655337600,7.02,7.29,6.5,6.5,1915300
2022-06-17,1655424000,6.05,6.2,6.05,6.06,3676300
2022-06-20,1655683200,6.06,6.17,5.64,5.64,3104500
2022-06-21,1655769600,5.41,5.81,5.31,5.64,2088200
2022-06-22,1655856000,5.72,6.03,5.71,6.03,1753600
2022-06-23,1655942400,6.13,6.2,5.91,6.12,840100
2022-06-24,1656028800,6.19,6.3,6.12,6.2,1325100
2022-06-27,1656288000,6.25,6.39,6.12,6.3,1216700
2022-06-28,1656374400,6.43,6.74,6.35,6.74,1462600
2022-06-29,1656460800,6.9,7.2,6.78,6.88,2587700
2022-06-30,1656547200,6.99,6.99,6.4,6.4,1623200
2022-07-01,1656633600,6.3,6.45,6.05,6.4,1484900
2022-07-04,1656892800,6.58,6.65,6.45,6.52,1063300
2022-07-05,1656979200,6.6,6.6,6.35,6.44,905600
2022-07-06,1657065600,6.36,6.4,6.2,6.23,843700
2022-07-07,1657152000,6.23,6.29,6.19,6.23,665200
2022-07-08,1657238400,6.3,6.53,6.3,6.39,1004100
2022-07-11,1657497600,6.4,6.73,6.34,6.72,2184100
2022-07-12,1657584000,6.89,7.19,6.88,7.19,3561900
2022-07-13,1657670400,7.2,7.25,6.99,7.04,1906800
2022-07-14,1657756800,6.9,7.02,6.8,7.0,1097100
2022-07-15,1657843200,7.0,7.15,6.9,6.98,1358700
2022-07-18,1658102400,7.02,7.19,7.02,7.08,1736700
2022-07-19,1658188800,7.15,7.15,6.97,7.05,1355800
2022-07-20,1658275200,7.1,7.29,7.1,7.2,2118500
2022-07-21,1658361600,7.23,7.23,7.07,7.12,1204200
