date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,13.478,13.606,13.435,13.478,358600
2022-01-05,1641340800,13.521,14.036,13.478,13.649,896400
2022-01-06,1641427200,14.164,14.594,13.993,14.594,1481800
2022-01-07,1641513600,15.323,15.323,14.594,14.594,1070000
2022-01-10,1641772800,14.594,15.581,14.164,14.894,2554600
2022-01-11,1641859200,14.937,14.937,14.121,14.293,775400
2022-01-12,1641945600,14.036,14.293,13.306,13.649,756100
2022-01-13,1642032000,13.563,13.692,12.705,13.22,886500
2022-01-14,1642118400,12.877,13.22,12.619,13.091,324600
2022-01-17,1642377600,12.877,13.306,12.19,12.19,985200
2022-01-18,1642464000,11.589,11.761,11.374,11.374,663700
2022-01-19,1642550400,10.645,11.374,10.602,10.602,705700
2022-01-20,1642636800,10.72,11.336,10.72,11.336,379100
2022-01-21,1642723200,12.095,12.095,12.048,12.095,194300
2022-01-24,1642982400,12.76,12.76,11.336,11.526,392300
2022-01-25,1643068800,11.526,11.763,11.099,11.763,146500
2022-01-26,1643155200,11.763,11.953,11.431,11.479,113600
2022-01-27,1643241600,11.763,11.763,11.289,11.526,148000
2022-01-28,1643328000,11.669,11.669,11.289,11.526,157800
2022-02-07,1644192000,11.858,12.143,11.574,12.048,178000
2022-02-08,1644278400,12.095,12.854,12.095,12.854,695600
2022-02-09,1644364800,13.092,13.092,12.712,12.76,168700
2022-02-10,1644451200,12.617,12.807,12.427,12.76,218200
2022-02-11,1644537600,12.333,12.807,12.143,12.807,450900
2022-02-14,1644796800,12.427,12.807,12.19,12.427,302700
2022-02-15,1644883200,12.333,12.522,12.19,12.475,317500
2022-02-16,1644969600,12.427,12.522,12.238,12.522,600600
2022-02-17,1645056000,12.333,12.76,12.285,12.665,726000
2022-02-18,1645142400,12.522,12.807,12.333,12.76,590400
2022-02-21,1645401600,12.76,13.376,12.665,13.044,822000
2022-02-22,1645488000,12.997,12.997,12.38,12.712,326500
2022-02-23,1645574400,12.665,13.092,12.665,12.807,689300
2022-02-24,1645660800,12.807,12.807,11.953,12.285,606100
2022-02-25,1645747200,12.285,12.522,12.095,12.143,1003200
2022-02-28,1646006400,12.285,12.427,11.953,12.238,1811500
2022-03-01,1646092800,12.285,12.333,12.095,12.333,764200
2022-03-02,1646179200,12.333,12.427,12.143,12.38,720700
2022-03-03,1646265600,12.333,13.186,12.238,13.139,1377500
2022-03-04,1646352000,13.186,13.234,12.902,13.139,801300
2022-03-07,1646611200,12.807,13.092,12.665,12.997,765900
2022-03-08,1646697600,12.427,12.949,12.333,12.617,825200
2022-03-09,1646784000,12.617,12.712,12.143,12.712,848000
2022-03-10,1646870400,12.712,12.854,12.522,12.665,368700
2022-03-11,1646956800,12.665,12.76,12.427,12.665,545400
2022-03-14,1647216000,12.617,12.76,12.427,12.665,790700
2022-03-15,1647302400,12.617,12.712,12.285,12.617,698700
2022-03-16,1647388800,12.522,12.76,12.427,12.617,773200
2022-03-17,1647475200,12.665,13.471,12.57,13.471,2919300
2022-03-18,1647561600,13.566,13.566,12.997,13.281,1415500
2022-03-21,1647820800,13.234,13.566,12.997,13.566,1373200
2022-03-22,1647907200,13.376,13.661,13.139,13.471,1901300
2022-03-23,1647993600,13.424,13.471,13.281,13.471,776800
2022-03-24,1648080000,13.471,13.518,13.186,13.186,1249400
2022-03-25,1648166400,13.092,13.471,13.044,13.376,1510500
2022-03-28,1648425600,13.186,13.376,12.617,12.997,1107400
2022-03-29,1648512000,12.997,13.186,12.902,13.092,1191900
2022-03-30,1648598400,12.854,13.092,12.19,12.522,1820300
2022-03-31,1648684800,12.38,12.57,11.716,12.238,1177200
2022-04-01,1648771200,11.953,12.143,11.669,12.143,814200
2022-04-04,1649030400,12.238,12.475,12.143,12.333,562300
2022-04-05,1649116800,12.333,12.333,12.001,12.095,520200
2022-04-06,1649203200,12.048,12.048,11.811,12.048,520100
2022-04-07,1649289600,11.906,12.001,11.716,11.763,388600
