date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,21.307,24.208,21.307,22.356,1400
2022-01-05,1641340800,20.944,24.027,20.944,21.059,11400
2022-01-06,1641427200,21.76,21.76,21.76,21.76,1200
2022-01-07,1641513600,21.76,23.03,21.76,22.184,302
2022-01-10,1641772800,22.123,22.123,19.584,21.91,2005
2022-01-11,1641859200,22.123,22.214,21.942,22.113,2750
2022-01-12,1641945600,22.123,22.123,22.123,22.123,0
2022-01-13,1642032000,22.032,22.032,22.032,22.032,105
2022-01-14,1642118400,20.763,20.763,20.763,20.763,200
2022-01-17,1642377600,20.763,22.123,20.763,21.354,2300
2022-01-18,1642464000,21.398,21.398,21.398,21.398,3100
2022-01-19,1642550400,18.224,18.224,18.224,18.224,100
2022-01-20,1642636800,20.854,20.854,20.854,20.854,900
2022-01-21,1642723200,21.942,21.942,21.942,21.942,500
2022-01-24,1642982400,21.942,21.942,21.942,21.942,0
2022-01-25,1643068800,19.312,19.312,19.131,19.161,600
2022-01-26,1643155200,19.131,21.67,19.131,19.736,1200
2022-01-27,1643241600,21.851,21.851,21.307,21.333,2115
2022-01-28,1643328000,21.307,21.307,21.307,21.307,0
2022-02-07,1644192000,21.216,21.216,19.312,20.723,900
2022-02-08,1644278400,18.496,19.856,18.496,19.176,200
2022-02-09,1644364800,19.584,19.584,19.494,19.523,300
2022-02-10,1644451200,18.315,19.04,18.315,18.859,400
2022-02-11,1644537600,18.859,18.859,18.859,18.859,0
2022-02-14,1644796800,18.224,18.224,18.224,18.224,300
2022-02-15,1644883200,20.491,20.491,20.491,20.491,100
2022-02-16,1644969600,20.491,20.491,20.491,20.491,0
2022-02-17,1645056000,21.126,21.126,21.126,21.126,100
2022-02-18,1645142400,20.944,20.944,20.944,20.944,100
2022-02-21,1645401600,20.944,20.944,20.944,20.944,0
2022-02-22,1645488000,20.944,20.944,20.944,20.944,0
2022-02-23,1645574400,20.944,20.944,20.944,20.944,0
2022-02-24,1645660800,20.944,20.944,20.944,20.944,0
2022-02-25,1645747200,17.861,20.672,17.861,19.267,200
2022-02-28,1646006400,19.312,19.312,19.312,19.312,1
2022-03-01,1646092800,19.312,19.312,19.312,19.312,0
2022-03-02,1646179200,20.763,20.763,20.763,20.763,100
2022-03-03,1646265600,17.68,20.672,17.68,19.584,300
2022-03-04,1646352000,19.584,19.584,19.584,19.584,0
2022-03-07,1646611200,19.584,19.584,19.584,19.584,0
2022-03-08,1646697600,18.315,18.859,18.315,18.84,2900
2022-03-09,1646784000,20.128,20.128,20.128,20.128,100
2022-03-10,1646870400,20.128,20.128,20.128,20.128,0
2022-03-11,1646956800,19.947,19.947,19.131,19.335,400
2022-03-14,1647216000,17.408,19.403,17.408,18.25,6001
2022-03-15,1647302400,18.224,18.224,18.224,18.224,0
2022-03-16,1647388800,18.224,18.224,18.224,18.224,0
2022-03-17,1647475200,18.224,18.224,18.224,18.224,200
2022-03-18,1647561600,18.587,18.587,18.315,18.526,900
2022-03-21,1647820800,19.947,19.947,19.947,19.947,100
2022-03-22,1647907200,18.134,18.134,18.134,18.134,1800
2022-03-23,1647993600,18.134,18.134,18.134,18.134,0
2022-03-24,1648080000,18.134,18.134,18.134,18.134,0
2022-03-25,1648166400,18.134,18.134,18.134,18.134,0
2022-03-28,1648425600,18.134,19.766,18.134,19.606,2100
2022-03-29,1648512000,19.584,19.675,19.584,19.647,2613
2022-03-30,1648598400,20.128,20.128,19.675,19.733,1100
2022-03-31,1648684800,19.675,19.675,19.675,19.675,1100
2022-04-01,1648771200,19.675,19.675,19.675,19.675,0
2022-04-04,1649030400,19.675,19.675,19.675,19.675,0
2022-04-05,1649116800,19.675,19.675,19.675,19.675,100
2022-04-06,1649203200,19.675,19.675,19.675,19.675,200
2022-04-07,1649289600,18.134,18.134,18.134,18.134,100
2022-04-08,1649376000,18.134,18.134,18.134,18.134,0
2022-04-12,1649721600,18.134,18.134,18.134,18.134,0
2022-04-13,1649808000,18.134,18.134,18.134,18.134,0
2022-04-14,1649894400,18.859,18.859,18.587,18.75,500
2022-04-15,1649980800,18.768,18.768,18.768,18.768,0
2022-04-18,1650240000,18.768,18.768,18.768,18.768,0
2022-04-19,1650326400,18.768,18.768,18.768,18.768,0
2022-04-20,1650412800,18.768,18.768,18.768,18.768,0
2022-04-21,1650499200,18.768,18.768,18.768,18.768,0
2022-04-22,1650585600,18.768,18.768,18.768,18.768,2200
2022-04-25,1650844800,18.768,18.768,18.768,18.768,0
2022-04-26,1650931200,18.768,18.768,18.768,18.768,100
2022-04-27,1651017600,18.768,18.768,18.768,18.768,200
2022-04-28,1651104000,18.768,18.768,18.768,18.768,0
2022-04-29,1651190400,18.768,18.768,18.768,18.768,0
2022-05-04,1651622400,18.768,18.768,18.768,18.768,0
2022-05-05,1651708800,18.768,18.768,18.768,18.768,0
2022-05-06,1651795200,18.768,18.768,18.768,18.768,0
2022-05-09,1652054400,16.139,18.496,16.139,17.317,200
2022-05-10,1652140800,17.408,18.406,17.136,18.027,600
2022-05-11,1652227200,18.043,18.043,18.043,18.043,0
2022-05-12,1652313600,18.043,18.043,18.043,18.043,0
2022-05-13,1652400000,17.227,17.861,17.227,17.333,600
2022-05-16,1652659200,18.134,18.134,18.134,18.134,100
2022-05-17,1652745600,18.134,18.134,18.134,18.134,0
2022-05-18,1652832000,18.134,18.134,18.134,18.134,0
2022-05-19,1652918400,18.315,18.406,18.315,18.36,600
2022-05-20,1653004800,18.406,18.406,18.406,18.406,0
2022-05-23,1653264000,18.406,18.406,18.406,18.406,0
2022-05-24,1653350400,18.406,18.406,18.406,18.406,0
2022-05-25,1653436800,18.406,18.406,18.406,18.406,0
2022-05-26,1653523200,18.406,18.406,18.406,18.406,0
2022-05-27,1653609600,19.856,19.856,19.856,19.856,100
2022-05-30,1653868800,19.856,19.856,19.856,19.856,0
2022-05-31,1653955200,19.856,19.856,19.856,19.856,0
2022-06-01,1654041600,19.856,19.856,19.856,19.856,0
2022-06-02,1654128000,19.856,19.856,19.856,19.856,0
2022-06-03,1654214400,19.856,19.856,19.856,19.856,0
2022-06-06,1654473600,19.856,19.856,19.856,19.856,0
2022-06-07,1654560000,19.856,19.856,19.856,19.856,0
2022-06-08,1654646400,19.856,19.856,19.856,19.856,0
2022-06-09,1654732800,19.856,19.856,19.856,19.856,0
2022-06-10,1654819200,19.856,19.856,19.856,19.856,0
2022-06-13,1655078400,17.408,17.408,17.408,17.408,100
2022-06-14,1655164800,17.408,17.408,17.408,17.408,0
2022-06-15,1655251200,17.408,17.408,17.408,17.408,0
2022-06-16,1655337600,17.408,17.408,17.408,17.408,0
2022-06-17,1655424000,17.408,17.408,17.408,17.408,0
2022-06-20,1655683200,17.408,17.408,17.408,17.408,0
2022-06-21,1655769600,17.408,17.408,17.408,17.408,0
2022-06-22,1655856000,17.408,17.408,17.408,17.408,0
2022-06-23,1655942400,18.134,18.134,18.134,18.134,100
2022-06-24,1656028800,18.134,18.134,18.134,18.134,0
2022-06-27,1656288000,18.134,18.134,18.134,18.134,0
2022-06-28,1656374400,15.504,17.227,15.413,16.713,8100
2022-06-29,1656460800,16.32,19.04,16.32,17.694,6000
2022-06-30,1656547200,19.04,19.04,15.051,17.378,300
2022-07-01,1656633600,19.04,19.04,19.04,19.04,100
2022-07-04,1656892800,19.04,19.04,19.04,19.04,0
2022-07-05,1656979200,19.04,19.04,19.04,19.04,0
2022-07-06,1657065600,19.04,19.04,19.04,19.04,0
2022-07-07,1657152000,19.403,19.403,19.403,19.403,100
2022-07-08,1657238400,17.408,19.04,17.408,17.816,400
2022-07-11,1657497600,19.766,19.766,19.766,19.766,100
2022-07-12,1657584000,19.766,19.766,19.766,19.766,0
2022-07-13,1657670400,19.766,19.766,19.766,19.766,0
2022-07-14,1657756800,19.766,19.766,19.766,19.766,0
2022-07-15,1657843200,19.766,19.766,19.766,19.766,0
2022-07-18,1658102400,19.766,19.766,19.766,19.766,0
2022-07-19,1658188800,16.864,18.134,16.864,17.71,300
2022-07-20,1658275200,17.68,17.68,17.68,17.68,0
2022-07-21,1658361600,19.947,19.947,19.947,19.947,100
2022-07-22,1658448000,16.955,17.499,16.955,17.295,1600
2022-07-25,1658707200,17.317,17.317,17.317,17.317,0
2022-07-26,1658793600,17.317,17.317,17.317,17.317,0
2022-07-27,1658880000,17.136,17.317,17.136,17.284,800
2022-07-28,1658966400,15.232,17.227,15.232,16.894,600
2022-07-29,1659052800,17.68,17.68,17.227,17.378,300
2022-08-01,1659312000,17.408,17.408,17.408,17.408,0
2022-08-02,1659398400,14.869,17.408,14.869,17.019,700
2022-08-03,1659484800,17.499,17.499,17.499,17.499,100
2022-08-04,1659571200,17.227,17.408,17.227,17.232,3200
2022-08-05,1659657600,17.227,17.227,17.227,17.227,4300
2022-08-08,1659916800,17.227,17.227,17.227,17.227,0
2022-08-09,1660003200,17.317,17.408,17.227,17.329,1600
2022-08-10,1660089600,17.317,17.317,17.227,17.249,1200
2022-08-11,1660176000,17.227,17.408,17.227,17.288,1500
2022-08-12,1660262400,17.317,17.317,17.317,17.317,0
2022-08-15,1660521600,17.317,17.317,17.317,17.317,1600
2022-08-16,1660608000,17.317,17.317,17.317,17.317,0
2022-08-17,1660694400,18.134,18.134,18.134,18.134,2700
2022-08-18,1660780800,18.134,18.134,18.134,18.134,0
2022-08-19,1660867200,18.134,18.134,18.134,18.134,0
2022-08-22,1661126400,18.134,18.134,18.134,18.134,0
2022-08-23,1661212800,17.317,17.408,17.317,17.372,500
2022-08-24,1661299200,17.408,17.408,17.408,17.408,507
2022-08-25,1661385600,17.317,17.408,17.317,17.39,500
2022-08-26,1661472000,17.408,17.408,17.408,17.408,0
2022-08-29,1661731200,17.408,17.408,17.408,17.408,0
2022-08-30,1661817600,17.408,17.408,17.408,17.408,0
2022-08-31,1661904000,17.408,17.408,17.408,17.408,0
2022-09-05,1662336000,17.408,17.408,17.408,17.408,0
2022-09-06,1662422400,17.408,17.408,16.411,17.242,600
2022-09-07,1662508800,17.499,17.499,17.499,17.499,100
2022-09-08,1662595200,17.499,17.499,17.499,17.499,0
2022-09-09,1662681600,17.499,17.499,17.499,17.499,0
2022-09-12,1662940800,17.499,17.499,17.499,17.499,1
2022-09-13,1663027200,17.499,17.499,17.499,17.499,0
2022-09-14,1663113600,17.499,17.499,17.499,17.499,0
2022-09-15,1663200000,17.227,17.317,17.227,17.257,1500
2022-09-16,1663286400,17.227,17.227,17.227,17.227,0
2022-09-19,1663545600,17.227,17.227,17.227,17.227,0
2022-09-20,1663632000,17.227,17.227,17.227,17.227,0
2022-09-21,1663718400,17.227,17.227,17.227,17.227,0
2022-09-22,1663804800,17.227,17.227,17.227,17.227,2
2022-09-23,1663891200,17.227,17.227,17.227,17.227,0
2022-09-26,1664150400,17.227,17.227,17.227,17.227,0
2022-09-27,1664236800,17.227,17.227,17.227,17.227,25
2022-09-28,1664323200,17.227,17.227,17.227,17.227,0
2022-09-29,1664409600,17.227,17.227,17.227,17.227,0
2022-09-30,1664496000,17.227,17.227,17.227,17.227,0
2022-10-03,1664755200,17.227,17.227,17.227,17.227,0
2022-10-04,1664841600,17.227,17.227,17.227,17.227,0
2022-10-05,1664928000,14.688,15.232,14.688,15.123,1000
2022-10-06,1665014400,15.232,17.408,15.232,15.275,5100
2022-10-07,1665100800,13.6,13.6,13.6,13.6,100
2022-10-10,1665360000,13.6,15.413,11.787,14.746,7200
2022-10-11,1665446400,16.32,16.955,12.784,15.5,3800
2022-10-12,1665532800,13.237,16.048,13.237,14.362,500
2022-10-13,1665619200,16.048,16.411,12.693,15.567,1300
2022-10-14,1665705600,17.861,17.861,13.691,16.373,9200
2022-10-17,1665964800,18.859,18.859,18.859,18.859,500
2022-10-18,1666051200,18.859,18.859,18.859,18.859,0
2022-10-19,1666137600,18.859,18.859,18.859,18.859,0
2022-10-20,1666224000,18.406,18.587,18.134,18.24,9200
2022-10-21,1666310400,18.224,18.224,18.134,18.22,2200
2022-10-24,1666569600,16.864,18.496,16.32,16.813,4301
2022-10-25,1666656000,16.773,18.043,16.773,16.821,2700
2022-10-26,1666742400,16.32,18.224,16.32,17.272,600
2022-10-27,1666828800,17.952,17.952,17.952,17.952,100
2022-10-28,1666915200,19.856,19.856,19.856,19.856,100
2022-10-31,1667174400,19.856,19.856,19.856,19.856,0
2022-11-01,1667260800,19.856,19.856,19.856,19.856,0
2022-11-02,1667347200,19.856,19.856,19.856,19.856,0
2022-11-03,1667433600,19.856,19.856,19.856,19.856,0
2022-11-04,1667520000,19.856,19.856,19.856,19.856,0
2022-11-07,1667779200,19.856,19.856,19.856,19.856,0
2022-11-08,1667865600,19.856,19.856,19.856,19.856,0
2022-11-09,1667952000,19.856,19.856,19.856,19.856,0
2022-11-10,1668038400,19.856,19.856,19.856,19.856,0
2022-11-11,1668124800,19.856,19.856,19.856,19.856,0
2022-11-14,1668384000,19.856,19.856,19.856,19.856,0
2022-11-15,1668470400,17.227,17.227,17.227,17.227,2000
2022-11-16,1668556800,17.227,17.227,17.227,17.227,0
2022-11-17,1668643200,17.227,17.227,17.227,17.227,0
2022-11-18,1668729600,17.227,17.227,17.227,17.227,0
2022-11-21,1668988800,17.227,17.227,17.227,17.227,0
2022-11-22,1669075200,14.779,14.869,14.688,14.77,7800
2022-11-23,1669161600,14.779,14.779,14.779,14.779,1
2022-11-24,1669248000,14.779,14.779,14.779,14.779,0
2022-11-25,1669334400,14.507,14.507,14.507,14.507,800
2022-11-28,1669593600,14.96,14.96,14.96,14.96,3001
2022-11-29,1669680000,12.965,15.232,12.965,14.817,1292
2022-11-30,1669766400,14.96,15.232,14.96,15.061,1901
2022-12-01,1669852800,14.507,14.688,14.507,14.606,1100
2022-12-02,1669939200,16.32,16.32,16.32,16.32,100
2022-12-05,1670198400,18.496,18.496,18.496,18.496,100
2022-12-06,1670284800,15.867,16.32,15.776,15.865,4300
2022-12-07,1670371200,18.224,18.224,14.507,14.773,3100
2022-12-08,1670457600,14.779,14.779,14.779,14.779,0
2022-12-09,1670544000,14.96,14.96,14.96,14.96,500
2022-12-12,1670803200,14.96,16.139,14.96,16.054,1521
2022-12-13,1670889600,16.048,16.048,16.048,16.048,0
2022-12-14,1670976000,18.134,18.134,18.134,18.134,100
2022-12-15,1671062400,16.048,16.773,15.504,16.156,3111
2022-12-16,1671148800,13.872,13.872,13.872,13.872,100
2022-12-19,1671408000,15.413,15.504,14.507,15.004,4900
2022-12-20,1671494400,13.6,16.139,13.6,15.691,3602
2022-12-21,1671580800,14.869,16.048,14.869,15.908,1100
2022-12-22,1671667200,15.867,17.952,15.776,16.695,1600
2022-12-23,1671753600,16.773,17.227,16.592,16.901,6100
2022-12-26,1672012800,16.864,16.864,16.864,16.864,200
2022-12-27,1672099200,17.952,17.952,17.952,17.952,100
2022-12-28,1672185600,16.32,16.32,15.413,15.64,800
2022-12-29,1672272000,15.685,15.685,15.685,15.685,0
2022-12-30,1672358400,17.861,17.861,17.861,17.861,108
