date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,77.0,78.5,73.0,75.256,16248
2022-01-05,1641340800,75.5,75.5,74.4,74.892,7910
2022-01-06,1641427200,74.8,74.8,74.4,74.56,11910
2022-01-07,1641513600,74.6,75.0,73.5,74.269,6138
2022-01-10,1641772800,74.0,74.0,71.5,72.149,17100
2022-01-11,1641859200,72.0,72.0,70.0,70.681,17700
2022-01-12,1641945600,70.7,70.7,70.0,70.068,9300
2022-01-13,1642032000,70.1,70.1,70.0,70.036,10012
2022-01-14,1642118400,70.0,70.4,69.9,69.969,27602
2022-01-17,1642377600,70.0,70.2,69.6,69.938,4802
2022-01-18,1642464000,70.0,76.5,70.0,75.661,18702
2022-01-19,1642550400,72.0,75.9,72.0,74.971,701
2022-01-20,1642636800,76.0,77.0,76.0,76.488,11700
2022-01-21,1642723200,76.5,77.0,76.5,76.978,15601
2022-01-24,1642982400,77.0,77.0,77.0,77.0,9
2022-01-25,1643068800,75.2,75.9,71.1,72.46,3500
2022-01-26,1643155200,75.5,75.5,73.8,74.245,2900
2022-01-27,1643241600,74.2,77.6,74.2,76.978,17300
2022-01-28,1643328000,77.0,77.0,77.0,77.0,9700
2022-02-07,1644192000,76.0,76.9,76.0,76.579,1400
2022-02-08,1644278400,76.9,77.5,76.9,77.401,9621
2022-02-09,1644364800,77.4,77.4,77.4,77.4,2420
2022-02-10,1644451200,75.6,77.4,75.3,76.755,2310
2022-02-11,1644537600,75.5,75.8,75.5,75.65,410
2022-02-14,1644796800,75.4,75.4,75.4,75.4,100
2022-02-15,1644883200,75.4,75.4,75.4,75.4,0
2022-02-16,1644969600,75.4,75.4,75.4,75.4,4
2022-02-17,1645056000,75.4,75.4,72.0,73.69,1003
2022-02-18,1645142400,75.5,75.5,71.1,73.033,1500
2022-02-21,1645401600,73.0,81.0,73.0,79.031,25100
2022-02-22,1645488000,78.4,78.5,78.4,78.443,701
2022-02-23,1645574400,73.1,78.0,73.1,76.625,1200
2022-02-24,1645660800,76.6,82.0,76.6,80.543,21404
2022-02-25,1645747200,80.0,80.0,79.4,79.7,460
2022-02-28,1646006400,77.0,80.1,77.0,79.729,20510
2022-03-01,1646092800,79.5,79.5,77.5,78.673,1101
2022-03-02,1646179200,78.5,78.5,78.5,78.5,100
2022-03-03,1646265600,74.1,78.4,74.1,77.277,2275
2022-03-04,1646352000,77.3,77.3,77.3,77.3,1152
2022-03-07,1646611200,74.1,77.3,74.1,74.794,1863
2022-03-08,1646697600,77.2,77.2,77.0,77.1,244
2022-03-09,1646784000,76.9,77.1,76.0,76.105,1962
2022-03-10,1646870400,76.1,77.0,76.0,76.112,5110
2022-03-11,1646956800,76.1,76.1,76.1,76.1,23
2022-03-14,1647216000,74.5,78.0,74.5,75.857,765
2022-03-15,1647302400,74.5,77.8,74.5,74.867,900
2022-03-16,1647388800,75.0,76.0,75.0,75.632,12500
2022-03-17,1647475200,80.4,80.4,77.1,77.764,2200
2022-03-18,1647561600,74.8,77.5,74.8,76.15,200
2022-03-21,1647820800,80.0,80.0,76.2,77.0,700
2022-03-22,1647907200,75.1,75.8,75.1,75.23,2001
2022-03-23,1647993600,75.2,78.0,75.0,75.244,2510
2022-03-24,1648080000,75.2,76.0,74.8,75.425,1615
2022-03-25,1648166400,75.4,75.4,75.4,75.4,505
2022-03-28,1648425600,75.4,75.4,75.4,75.4,3
2022-03-29,1648512000,75.4,75.5,74.1,75.256,902
2022-03-30,1648598400,75.3,75.3,75.3,75.3,0
2022-03-31,1648684800,75.3,75.3,75.3,75.3,301
2022-04-01,1648771200,75.3,75.4,74.2,75.11,2191
2022-04-04,1649030400,75.0,75.0,75.0,75.0,1200
2022-04-05,1649116800,75.0,75.5,75.0,75.118,1700
2022-04-06,1649203200,75.0,75.0,75.0,75.0,605
2022-04-07,1649289600,75.5,75.5,75.5,75.5,1200
2022-04-08,1649376000,75.5,75.5,75.5,75.5,1
2022-04-12,1649721600,75.5,75.5,75.5,75.5,0
2022-04-13,1649808000,75.7,77.0,74.3,76.749,25516
2022-04-14,1649894400,76.0,76.0,75.0,75.333,1500
2022-04-15,1649980800,74.0,74.0,74.0,74.0,602
2022-04-18,1650240000,72.1,74.0,72.0,72.583,6940
2022-04-19,1650326400,73.0,74.0,72.6,73.69,2960
2022-04-20,1650412800,73.7,73.7,73.7,73.7,0
2022-04-21,1650499200,70.0,73.5,70.0,70.083,4201
2022-04-22,1650585600,70.1,75.2,70.1,70.9,700
2022-04-25,1650844800,73.9,73.9,70.0,71.925,400
2022-04-26,1650931200,62.2,73.8,62.2,66.286,1400
2022-04-27,1651017600,73.7,73.7,73.7,73.7,100
2022-04-28,1651104000,73.7,73.7,73.7,73.7,0
2022-04-29,1651190400,74.0,74.0,74.0,74.0,111
2022-05-04,1651622400,74.0,74.0,74.0,74.0,0
2022-05-05,1651708800,74.7,74.7,74.7,74.7,100
2022-05-06,1651795200,72.0,72.0,72.0,72.0,104
2022-05-09,1652054400,70.0,70.0,67.0,69.31,7100
2022-05-10,1652140800,69.3,69.3,69.3,69.3,100
2022-05-11,1652227200,69.3,69.3,69.3,69.3,0
2022-05-12,1652313600,71.0,71.0,71.0,71.0,100
2022-05-13,1652400000,71.0,71.0,71.0,71.0,0
2022-05-16,1652659200,66.5,70.0,66.0,66.95,1000
2022-05-17,1652745600,66.0,72.0,66.0,67.143,700
2022-05-18,1652832000,71.9,71.9,71.9,71.9,116
2022-05-19,1652918400,71.9,71.9,71.9,71.9,7
2022-05-20,1653004800,71.9,71.9,71.9,71.9,0
2022-05-23,1653264000,71.9,71.9,71.9,71.9,1
2022-05-24,1653350400,66.0,71.8,66.0,66.341,1700
2022-05-25,1653436800,66.3,66.3,66.3,66.3,12
2022-05-26,1653523200,66.3,66.3,66.3,66.3,0
2022-05-27,1653609600,67.1,70.0,67.1,67.9,725
2022-05-30,1653868800,67.9,69.0,67.9,68.175,400
2022-05-31,1653955200,68.0,75.0,68.0,69.05,1804
2022-06-01,1654041600,69.2,69.4,69.2,69.338,800
2022-06-02,1654128000,69.3,69.3,69.3,69.3,0
2022-06-03,1654214400,69.2,69.2,69.2,69.2,1007
2022-06-06,1654473600,69.2,69.2,69.2,69.2,10
2022-06-07,1654560000,69.0,72.4,66.0,67.85,2400
2022-06-08,1654646400,67.2,68.0,67.2,67.55,413
2022-06-09,1654732800,67.6,69.9,67.6,68.275,800
2022-06-10,1654819200,68.3,68.3,68.3,68.3,1
2022-06-13,1655078400,65.1,67.0,65.1,66.05,200
2022-06-14,1655164800,65.0,66.1,65.0,66.046,7246
2022-06-15,1655251200,65.0,66.0,65.0,65.924,1700
2022-06-16,1655337600,65.5,65.5,64.2,65.0,415
2022-06-17,1655424000,65.0,65.7,64.5,65.047,3200
2022-06-20,1655683200,65.0,65.8,65.0,65.267,304
2022-06-21,1655769600,65.0,65.3,65.0,65.038,800
2022-06-22,1655856000,66.5,66.5,65.0,65.55,1600
2022-06-23,1655942400,65.6,65.6,65.0,65.129,1414
2022-06-24,1656028800,66.0,66.0,65.5,65.75,200
2022-06-27,1656288000,63.0,64.5,63.0,64.5,2209
2022-06-28,1656374400,64.5,64.5,64.5,64.5,17
2022-06-29,1656460800,64.8,65.0,63.5,64.681,3728
2022-06-30,1656547200,63.5,64.9,63.5,64.2,200
2022-07-01,1656633600,64.2,64.2,64.2,64.2,0
2022-07-04,1656892800,64.2,64.2,63.0,63.681,2600
2022-07-05,1656979200,64.0,64.0,62.5,63.1,500
2022-07-06,1657065600,63.1,63.1,63.1,63.1,0
2022-07-07,1657152000,63.0,63.0,62.5,62.821,1402
2022-07-08,1657238400,64.0,64.0,63.0,63.111,1800
2022-07-11,1657497600,64.5,69.4,64.5,65.971,9000
2022-07-12,1657584000,66.2,66.2,66.2,66.2,127
2022-07-13,1657670400,63.5,64.5,63.5,63.731,1652
2022-07-14,1657756800,64.0,64.0,64.0,64.0,100
2022-07-15,1657843200,61.5,63.9,61.0,62.35,2400
2022-07-18,1658102400,65.0,65.0,64.0,64.345,2958
2022-07-19,1658188800,62.0,62.5,62.0,62.087,3800
2022-07-20,1658275200,62.1,62.1,62.0,62.009,5403
2022-07-21,1658361600,62.0,62.1,61.5,61.652,4800
2022-07-22,1658448000,61.7,61.9,61.6,61.694,1800
2022-07-25,1658707200,62.0,62.5,61.9,62.16,8020
2022-07-26,1658793600,62.2,62.2,62.2,62.2,2800
2022-07-27,1658880000,62.2,62.2,62.2,62.2,0
2022-07-28,1658966400,61.6,62.1,61.6,61.917,4700
2022-07-29,1659052800,61.9,61.9,61.9,61.9,0
2022-08-01,1659312000,61.0,61.0,59.7,60.461,8400
2022-08-02,1659398400,60.5,60.5,60.0,60.228,9600
2022-08-03,1659484800,60.1,60.3,60.1,60.275,800
2022-08-04,1659571200,60.3,60.3,60.0,60.069,3200
2022-08-05,1659657600,60.0,60.0,59.0,59.688,2501
2022-08-08,1659916800,60.0,61.0,60.0,60.853,1501
2022-08-09,1660003200,56.6,58.7,52.6,58.022,3630
2022-08-10,1660089600,58.5,58.5,58.0,58.365,2000
2022-08-11,1660176000,58.4,58.4,58.4,58.4,0
2022-08-12,1660262400,58.5,58.5,58.5,58.5,102
2022-08-15,1660521600,58.5,60.0,58.0,58.83,2701
2022-08-16,1660608000,58.8,59.8,58.0,59.253,7700
2022-08-17,1660694400,59.3,59.3,59.3,59.3,0
2022-08-18,1660780800,60.0,60.8,59.9,60.281,5300
