date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,5.7,5.7,5.7,5.7,0
2022-01-05,1641340800,5.7,5.7,5.7,5.7,0
2022-01-06,1641427200,5.7,5.7,5.7,5.7,0
2022-01-07,1641513600,5.7,6.5,5.7,6.206,1229899
2022-01-10,1641772800,6.2,6.2,6.2,6.2,0
2022-01-11,1641859200,6.2,6.2,6.2,6.2,0
2022-01-12,1641945600,6.2,6.2,6.2,6.2,0
2022-01-13,1642032000,6.2,6.2,6.2,6.2,0
2022-01-14,1642118400,7.1,7.1,5.3,5.906,481601
2022-01-17,1642377600,5.9,5.9,5.9,5.9,0
2022-01-18,1642464000,5.9,5.9,5.9,5.9,0
2022-01-19,1642550400,5.9,5.9,5.9,5.9,0
2022-01-20,1642636800,5.9,5.9,5.9,5.9,0
2022-01-21,1642723200,5.9,5.9,5.1,5.131,313555
2022-01-24,1642982400,5.1,5.1,5.1,5.1,0
2022-01-25,1643068800,5.1,5.1,5.1,5.1,0
2022-01-26,1643155200,5.1,5.1,5.1,5.1,0
2022-01-27,1643241600,5.1,5.1,5.1,5.1,0
2022-01-28,1643328000,5.0,5.0,4.4,4.478,173500
2022-02-07,1644192000,4.5,4.5,4.5,4.5,0
2022-02-08,1644278400,4.5,4.5,4.5,4.5,0
2022-02-09,1644364800,4.5,4.5,4.5,4.5,0
2022-02-10,1644451200,4.5,4.5,4.5,4.5,0
2022-02-11,1644537600,4.9,5.1,4.7,4.958,207114
2022-02-14,1644796800,5.0,5.0,5.0,5.0,0
2022-02-15,1644883200,5.0,5.0,5.0,5.0,0
2022-02-16,1644969600,5.0,5.0,5.0,5.0,0
2022-02-17,1645056000,5.0,5.0,5.0,5.0,0
2022-02-18,1645142400,5.3,5.5,4.9,5.159,168849
2022-02-21,1645401600,5.2,5.2,5.2,5.2,0
2022-02-22,1645488000,5.2,5.2,5.2,5.2,0
2022-02-23,1645574400,5.2,5.2,5.2,5.2,0
2022-02-24,1645660800,5.2,5.2,5.2,5.2,0
2022-02-25,1645747200,5.3,5.7,5.2,5.51,397188
2022-02-28,1646006400,5.5,5.5,5.5,5.5,0
2022-03-01,1646092800,5.5,5.5,5.5,5.5,0
2022-03-02,1646179200,5.5,5.5,5.5,5.5,0
2022-03-03,1646265600,5.5,5.5,5.5,5.5,0
2022-03-04,1646352000,6.0,6.2,5.5,5.737,301423
2022-03-07,1646611200,5.7,5.7,5.7,5.7,0
2022-03-08,1646697600,5.7,5.7,5.7,5.7,0
2022-03-09,1646784000,5.7,5.7,5.7,5.7,0
2022-03-10,1646870400,5.7,5.7,5.7,5.7,0
2022-03-11,1646956800,5.8,5.8,5.1,5.246,206500
2022-03-14,1647216000,5.2,5.2,5.2,5.2,0
2022-03-15,1647302400,5.2,5.2,5.2,5.2,0
2022-03-16,1647388800,5.2,5.2,5.2,5.2,0
2022-03-17,1647475200,5.2,5.2,5.2,5.2,0
2022-03-18,1647561600,5.3,5.6,5.0,5.146,196771
2022-03-21,1647820800,5.1,5.1,5.1,5.1,0
2022-03-22,1647907200,5.1,5.1,5.1,5.1,0
2022-03-23,1647993600,5.1,5.1,5.1,5.1,0
2022-03-24,1648080000,5.1,5.1,5.1,5.1,0
2022-03-25,1648166400,5.1,5.3,5.0,5.183,293364
2022-03-28,1648425600,5.2,5.2,5.2,5.2,0
2022-03-29,1648512000,5.2,5.2,5.2,5.2,0
2022-03-30,1648598400,5.2,5.2,5.2,5.2,0
2022-03-31,1648684800,5.2,5.2,5.2,5.2,0
2022-04-01,1648771200,4.9,5.9,4.8,5.52,589987
2022-04-04,1649030400,5.5,5.5,5.5,5.5,0
2022-04-05,1649116800,5.5,5.5,5.5,5.5,0
