date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,16.25,17.2,16.25,17.15,600
2022-01-05,1641340800,16.45,16.45,16.45,16.45,100
2022-01-06,1641427200,16.45,16.45,16.45,16.45,0
2022-01-07,1641513600,16.45,16.45,16.45,16.45,300
2022-01-10,1641772800,16.85,16.9,16.85,16.85,2100
2022-01-11,1641859200,17.05,17.5,17.05,17.5,3200
2022-01-12,1641945600,16.7,16.7,16.55,16.55,200
2022-01-13,1642032000,16.55,16.55,15.5,15.5,3000
2022-01-14,1642118400,15.55,16.55,15.0,16.55,6100
2022-01-17,1642377600,17.55,17.55,17.5,17.5,1400
2022-01-18,1642464000,16.3,16.3,16.3,16.3,1200
2022-01-19,1642550400,16.9,16.9,16.9,16.9,100
2022-01-20,1642636800,15.75,16.55,15.75,16.4,3300
2022-01-21,1642723200,16.5,17.5,16.0,17.0,600
2022-01-24,1642982400,16.9,16.9,16.1,16.1,200
2022-01-25,1643068800,16.65,16.7,16.65,16.7,500
2022-01-26,1643155200,16.8,16.8,15.7,15.7,700
2022-01-27,1643241600,15.2,16.7,15.2,16.7,4700
2022-01-28,1643328000,16.0,17.85,15.55,15.6,3500
2022-02-07,1644192000,15.7,16.65,15.55,16.0,8700
2022-02-08,1644278400,15.95,17.05,15.95,16.95,1600
2022-02-09,1644364800,15.8,16.75,15.8,16.6,3800
2022-02-10,1644451200,16.5,16.5,16.5,16.5,300
2022-02-11,1644537600,16.4,16.45,15.35,16.45,7200
2022-02-14,1644796800,15.4,16.4,15.4,16.4,2100
2022-02-15,1644883200,15.85,16.35,15.4,16.35,500
2022-02-16,1644969600,15.95,16.0,15.95,15.95,300
2022-02-17,1645056000,15.95,15.95,15.95,15.95,0
2022-02-18,1645142400,15.4,15.85,15.4,15.85,700
2022-02-21,1645401600,16.2,16.25,15.9,15.9,1500
2022-02-22,1645488000,15.85,15.85,15.65,15.65,1000
2022-02-23,1645574400,16.4,16.4,15.2,16.3,1200
2022-02-24,1645660800,15.55,16.15,15.55,16.15,1700
2022-02-25,1645747200,15.35,16.0,15.3,16.0,800
2022-02-28,1646006400,15.85,15.9,15.3,15.85,3200
2022-03-01,1646092800,15.3,15.95,15.3,15.9,3300
2022-03-02,1646179200,17.0,17.0,15.55,16.0,2100
2022-03-03,1646265600,15.6,16.35,15.6,16.25,300
2022-03-04,1646352000,15.9,16.2,15.6,16.1,3700
2022-03-07,1646611200,15.95,15.95,15.95,15.95,2100
2022-03-08,1646697600,16.0,16.0,15.45,15.95,2300
2022-03-09,1646784000,15.75,15.75,15.35,15.35,700
2022-03-10,1646870400,15.9,15.9,15.4,15.9,1500
2022-03-11,1646956800,15.35,16.15,15.35,15.5,2900
2022-03-14,1647216000,15.4,15.95,15.35,15.4,1300
2022-03-15,1647302400,15.8,15.85,15.2,15.85,300
2022-03-16,1647388800,15.8,15.85,15.8,15.8,12300
2022-03-17,1647475200,16.25,16.25,14.7,15.8,5700
2022-03-18,1647561600,15.8,15.9,15.8,15.9,300
2022-03-21,1647820800,15.85,15.85,15.8,15.8,2800
2022-03-22,1647907200,15.85,16.9,15.3,16.9,33100
2022-03-23,1647993600,18.05,18.05,18.05,18.05,4800
2022-03-24,1648080000,19.3,19.3,19.3,19.3,6900
2022-03-25,1648166400,20.6,20.65,20.55,20.65,25300
2022-03-28,1648425600,22.05,22.05,22.05,22.05,22700
2022-03-29,1648512000,23.55,23.55,22.1,22.95,15900
2022-03-30,1648598400,21.35,21.35,21.35,21.35,1600
2022-03-31,1648684800,19.9,19.9,19.9,19.9,5400
2022-04-01,1648771200,18.6,21.25,18.55,21.2,18500
2022-04-04,1649030400,19.75,19.75,19.75,19.75,2400
2022-04-05,1649116800,18.5,21.0,18.5,20.4,4000
2022-04-06,1649203200,19.0,19.0,19.0,19.0,1300
2022-04-07,1649289600,17.8,20.0,17.7,17.7,6200
2022-04-08,1649376000,16.5,18.8,16.5,18.8,11000
2022-04-12,1649721600,18.8,20.0,17.5,19.8,1900
2022-04-13,1649808000,19.8,19.8,19.8,19.8,300
2022-04-14,1649894400,18.45,18.45,18.45,18.45,700
2022-04-15,1649980800,17.2,18.8,17.2,18.35,4600
2022-04-18,1650240000,17.1,18.25,17.1,17.1,4100
2022-04-19,1650326400,15.95,18.25,15.95,15.95,5500
2022-04-20,1650412800,16.95,17.0,14.85,14.85,14700
2022-04-21,1650499200,13.95,15.85,13.85,15.45,4900
2022-04-22,1650585600,15.9,15.9,14.4,15.3,4100
2022-04-25,1650844800,16.15,16.15,14.25,15.65,7200
2022-04-26,1650931200,14.6,15.4,14.6,15.25,5600
2022-04-27,1651017600,14.3,14.75,14.25,14.75,1900
2022-04-28,1651104000,13.9,14.65,13.9,14.45,3600
2022-04-29,1651190400,13.7,15.45,13.7,15.4,4100
2022-05-04,1651622400,14.4,15.8,14.4,15.5,2200
