date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,55.996,57.507,55.713,57.413,17000
2022-01-05,1641340800,57.98,57.98,55.996,57.035,3600
2022-01-06,1641427200,56.846,57.791,55.996,56.091,3100
2022-01-07,1641513600,56.091,56.091,55.808,55.902,5100
2022-01-10,1641772800,55.902,56.563,54.297,56.563,18500
2022-01-11,1641859200,55.713,56.185,55.524,56.091,2300
2022-01-12,1641945600,56.374,56.941,54.769,56.658,18300
2022-01-13,1642032000,53.352,56.28,53.352,55.241,5400
2022-01-14,1642118400,55.713,55.713,54.108,55.241,9400
2022-01-17,1642377600,54.769,55.713,54.297,54.297,4200
2022-01-18,1642464000,54.202,55.524,53.636,54.58,1100
2022-01-19,1642550400,55.335,55.335,54.297,55.147,2000
2022-01-20,1642636800,55.241,55.241,53.825,53.825,4200
2022-01-21,1642723200,54.769,54.769,53.825,54.391,3100
2022-01-24,1642982400,54.674,54.674,52.88,54.297,900
2022-01-25,1643068800,50.992,54.013,50.992,53.73,2200
2022-01-26,1643155200,54.486,54.769,54.486,54.769,300
2022-01-27,1643241600,54.674,54.674,54.674,54.674,1400
2022-01-28,1643328000,54.58,58.452,53.069,56.658,17100
2022-02-07,1644192000,57.507,57.507,53.541,56.469,600
2022-02-08,1644278400,55.902,55.902,55.241,55.619,800
2022-02-09,1644364800,55.524,56.374,53.825,56.28,19800
2022-02-10,1644451200,53.919,55.713,53.825,55.241,800
2022-02-11,1644537600,54.769,55.43,54.769,55.241,600
2022-02-14,1644796800,54.958,54.958,54.108,54.863,400
2022-02-15,1644883200,53.919,55.241,53.919,55.052,1800
2022-02-16,1644969600,55.052,55.052,53.825,55.052,7500
2022-02-17,1645056000,54.297,54.958,54.297,54.863,900
2022-02-18,1645142400,54.863,54.863,54.863,54.863,100
2022-02-21,1645401600,54.769,55.241,54.769,55.241,5000
2022-02-22,1645488000,55.241,55.241,54.108,54.863,1700
2022-02-23,1645574400,54.769,55.052,54.013,54.863,2300
2022-02-24,1645660800,53.919,55.524,53.825,55.147,7100
2022-02-25,1645747200,54.202,54.863,54.013,54.863,4200
2022-02-28,1646006400,55.619,55.619,54.202,54.769,3800
2022-03-01,1646092800,55.524,55.524,54.108,54.202,2300
2022-03-02,1646179200,55.241,56.091,53.825,54.863,1900
2022-03-03,1646265600,54.013,54.958,54.013,54.202,4900
2022-03-04,1646352000,54.202,54.674,54.202,54.297,400
2022-03-07,1646611200,54.391,54.391,53.636,54.202,1300
2022-03-08,1646697600,54.769,54.769,54.58,54.58,1100
2022-03-09,1646784000,54.58,55.052,54.013,54.674,3400
2022-03-10,1646870400,54.108,55.335,54.108,55.052,1400
2022-03-11,1646956800,55.241,55.524,54.391,55.147,4200
2022-03-14,1647216000,54.769,54.769,54.486,54.674,1500
2022-03-15,1647302400,56.469,56.469,54.391,54.769,1600
2022-03-16,1647388800,54.202,54.958,54.202,54.674,2500
2022-03-17,1647475200,54.391,55.052,54.391,55.052,1600
2022-03-18,1647561600,54.769,54.863,54.769,54.863,300
2022-03-21,1647820800,54.769,55.052,54.486,55.052,3600
2022-03-22,1647907200,55.052,55.052,54.958,54.958,400
2022-03-23,1647993600,54.391,54.958,54.391,54.958,800
2022-03-24,1648080000,54.958,54.958,54.769,54.863,8700
2022-03-25,1648166400,55.147,55.147,54.958,54.958,3700
2022-03-28,1648425600,54.958,55.713,54.863,55.713,12200
2022-03-29,1648512000,55.147,55.619,54.769,55.619,11500
2022-03-30,1648598400,54.863,56.185,54.863,55.713,12300
2022-03-31,1648684800,55.052,55.902,55.052,55.902,5300
2022-04-01,1648771200,55.902,55.902,55.241,55.808,600
2022-04-04,1649030400,55.241,55.335,55.147,55.147,4900
2022-04-05,1649116800,55.713,56.091,54.958,54.958,5200
2022-04-06,1649203200,54.863,54.863,54.769,54.769,3400
2022-04-07,1649289600,54.674,54.769,54.674,54.769,1600
2022-04-08,1649376000,54.769,54.769,54.769,54.769,0
2022-04-12,1649721600,54.769,54.769,53.825,54.674,3800
2022-04-13,1649808000,54.769,54.769,53.825,54.297,3400
2022-04-14,1649894400,54.297,54.297,54.297,54.297,5500
2022-04-15,1649980800,50.614,54.674,50.614,54.391,1000
2022-04-18,1650240000,54.58,54.58,52.691,53.73,4400
2022-04-19,1650326400,52.125,54.391,52.03,54.391,2200
2022-04-20,1650412800,53.73,53.73,52.125,53.636,1000
2022-04-21,1650499200,50.614,53.352,50.614,53.069,2600
2022-04-22,1650585600,50.708,52.975,50.52,50.52,7300
2022-04-25,1650844800,50.52,52.88,47.215,47.403,12100
2022-04-26,1650931200,46.27,49.953,45.326,49.953,9500
2022-04-27,1651017600,46.648,49.953,46.648,49.953,11300
2022-04-28,1651104000,52.03,52.03,52.03,52.03,100
2022-04-29,1651190400,50.047,51.842,50.047,51.842,300
2022-05-04,1651622400,51.842,51.842,51.842,51.842,0
2022-05-05,1651708800,49.386,54.674,48.348,54.674,1300
2022-05-06,1651795200,50.897,53.825,50.897,53.825,1600
2022-05-09,1652054400,51.086,51.086,50.236,50.52,400
2022-05-10,1652140800,49.859,51.842,49.859,51.842,1200
2022-05-11,1652227200,51.747,51.747,48.348,51.464,600
2022-05-12,1652313600,48.159,51.369,48.159,51.369,1100
2022-05-13,1652400000,47.781,50.047,47.781,49.953,700
2022-05-16,1652659200,49.953,49.953,49.953,49.953,0
2022-05-17,1652745600,49.103,50.992,47.309,50.992,2900
2022-05-18,1652832000,48.159,50.992,47.876,48.159,700
2022-05-19,1652918400,50.992,50.992,50.897,50.897,200
2022-05-20,1653004800,50.897,50.897,48.631,50.803,3800
2022-05-23,1653264000,50.708,50.708,50.708,50.708,100
2022-05-24,1653350400,49.103,49.103,49.103,49.103,700
2022-05-25,1653436800,50.897,50.897,50.047,50.047,2500
2022-05-26,1653523200,50.047,50.897,47.592,50.897,1600
2022-05-27,1653609600,50.897,50.897,50.897,50.897,100
2022-05-30,1653868800,51.0,52.9,50.9,52.9,500
2022-05-31,1653955200,51.0,52.4,51.0,52.4,300
2022-06-01,1654041600,51.0,51.0,51.0,51.0,800
2022-06-02,1654128000,50.7,50.7,50.7,50.7,300
2022-06-03,1654214400,50.0,50.5,50.0,50.5,200
2022-06-06,1654473600,47.5,50.4,47.5,50.2,900
2022-06-07,1654560000,50.0,51.0,50.0,51.0,800
2022-06-08,1654646400,50.9,50.9,50.0,50.9,2100
2022-06-09,1654732800,49.2,50.6,49.2,50.6,200
2022-06-10,1654819200,48.0,50.4,48.0,50.4,2100
2022-06-13,1655078400,50.4,50.4,50.4,50.4,300
2022-06-14,1655164800,50.3,50.3,46.9,46.9,6400
2022-06-15,1655251200,47.0,49.9,46.2,49.0,10500
