date,timestamp,open,high,low,close,volume
2022-01-04,1641254400,23.484,23.568,22.726,23.147,73434
2022-01-05,1641340800,22.726,24.326,22.558,23.147,269100
2022-01-06,1641427200,23.147,23.4,22.726,22.726,145200
2022-01-07,1641513600,23.147,23.147,22.221,22.811,145004
2022-01-10,1641772800,22.726,22.726,21.043,21.295,284100
2022-01-11,1641859200,21.548,21.548,19.191,19.191,589449
2022-01-12,1641945600,18.518,20.201,17.423,20.201,285016
2022-01-13,1642032000,20.201,20.201,18.265,19.359,101690
2022-01-14,1642118400,19.444,19.444,18.097,19.275,64891
2022-01-17,1642377600,19.275,19.275,17.423,17.592,207250
2022-01-18,1642464000,17.676,17.676,15.908,16.834,170100
2022-01-19,1642550400,16.834,16.834,15.151,15.908,275538
2022-01-20,1642636800,15.908,17.255,15.067,17.087,102564
2022-01-21,1642723200,16.834,17.255,16.75,17.003,123801
2022-01-24,1642982400,16.834,16.834,15.824,15.824,91402
2022-01-25,1643068800,15.824,15.908,15.151,15.908,96200
2022-01-26,1643155200,15.908,16.161,15.908,16.161,38901
2022-01-27,1643241600,15.992,16.329,15.74,15.992,48400
2022-01-28,1643328000,16.077,17.592,15.992,17.339,112900
2022-02-07,1644192000,17.423,19.023,17.423,19.023,178827
2022-02-08,1644278400,20.201,20.875,20.033,20.875,303524
2022-02-09,1644364800,21.548,22.811,20.706,21.043,252508
2022-02-10,1644451200,21.043,21.043,20.201,20.959,79311
2022-02-11,1644537600,20.622,21.969,20.538,20.959,232173
2022-02-14,1644796800,21.043,21.464,20.538,20.875,208950
2022-02-15,1644883200,20.622,21.043,20.538,21.043,65223
2022-02-16,1644969600,20.79,21.885,20.79,21.127,161520
2022-02-17,1645056000,21.211,21.464,21.043,21.464,102717
2022-02-18,1645142400,21.38,22.726,21.295,22.053,202812
2022-02-21,1645401600,22.053,22.642,22.053,22.39,130895
2022-02-22,1645488000,21.969,22.558,21.632,22.39,133537
2022-02-23,1645574400,22.053,22.642,22.053,22.474,69695
2022-02-24,1645660800,22.979,23.063,21.885,22.474,166803
2022-02-25,1645747200,22.474,22.979,22.305,22.811,192804
2022-02-28,1646006400,23.063,23.989,22.979,23.736,200437
2022-03-01,1646092800,23.736,23.736,22.979,23.4,121800
2022-03-02,1646179200,22.811,23.4,22.811,23.316,72200
2022-03-03,1646265600,23.316,23.316,21.464,22.642,168701
2022-03-04,1646352000,22.053,22.726,22.053,22.558,105500
2022-03-07,1646611200,22.474,22.895,22.053,22.558,90608
2022-03-08,1646697600,22.558,22.558,21.885,22.221,132800
2022-03-09,1646784000,22.053,22.053,21.38,21.38,86800
2022-03-10,1646870400,21.885,21.885,21.38,21.885,61270
2022-03-11,1646956800,21.969,22.305,21.548,21.885,49200
2022-03-14,1647216000,21.716,21.716,20.959,21.127,112200
2022-03-15,1647302400,21.127,21.885,21.127,21.716,78117
2022-03-16,1647388800,21.8,22.053,21.211,21.885,61700
2022-03-17,1647475200,21.885,22.474,21.8,21.885,104644
2022-03-18,1647561600,21.885,21.885,21.464,21.464,61204
2022-03-21,1647820800,21.464,21.885,21.464,21.716,74900
2022-03-22,1647907200,21.885,22.305,21.464,21.716,92435
2022-03-23,1647993600,21.716,21.716,21.38,21.548,50201
2022-03-24,1648080000,21.716,21.885,21.127,21.127,149810
2022-03-25,1648166400,21.043,21.885,21.043,21.548,191648
2022-03-28,1648425600,21.464,21.548,21.043,21.211,132200
2022-03-29,1648512000,21.38,21.38,21.211,21.295,66921
2022-03-30,1648598400,21.211,21.38,20.706,20.706,159602
2022-03-31,1648684800,20.706,20.79,19.864,20.117,87501
2022-04-01,1648771200,20.201,20.285,19.864,20.201,45300
2022-04-04,1649030400,20.538,21.043,20.538,20.622,38060
2022-04-05,1649116800,20.622,21.043,20.538,20.622,29300
2022-04-06,1649203200,20.622,20.622,19.864,20.201,112701
2022-04-07,1649289600,20.201,20.201,19.612,19.612,57609
2022-04-08,1649376000,19.78,19.78,18.518,18.686,90900
2022-04-12,1649721600,18.939,18.939,17.592,17.592,60610
2022-04-13,1649808000,17.592,18.013,17.508,18.013,17710
2022-04-14,1649894400,18.013,18.265,17.844,18.265,11715
2022-04-15,1649980800,18.097,18.265,17.592,17.592,30910
2022-04-18,1650240000,17.592,17.592,15.908,16.161,162356
2022-04-19,1650326400,16.077,16.245,15.067,15.067,80200
2022-04-20,1650412800,14.982,15.235,14.562,14.562,78700
2022-04-21,1650499200,14.477,14.477,13.299,13.467,75603
2022-04-22,1650585600,13.636,14.814,13.467,13.888,63100
2022-04-25,1650844800,13.888,14.141,12.962,12.962,31000
2022-04-26,1650931200,12.962,14.225,12.457,14.225,67600
2022-04-27,1651017600,14.225,14.898,13.972,14.898,17700
2022-04-28,1651104000,14.982,15.403,14.898,15.067,35400
2022-04-29,1651190400,14.814,15.319,14.73,15.319,34200
2022-05-04,1651622400,15.235,15.319,14.898,15.151,13900
2022-05-05,1651708800,15.151,15.403,15.151,15.151,9539
2022-05-06,1651795200,15.067,15.151,14.73,14.73,21800
2022-05-09,1652054400,14.562,14.562,13.299,13.299,40800
2022-05-10,1652140800,13.131,13.383,12.794,13.383,16220
2022-05-11,1652227200,13.131,13.636,13.131,13.383,19480
2022-05-12,1652313600,13.383,13.467,12.71,12.71,12600
2022-05-13,1652400000,12.794,12.962,11.7,12.457,23600
2022-05-16,1652659200,12.626,12.878,12.289,12.289,38758
2022-05-17,1652745600,12.289,13.046,12.289,13.046,17702
2022-05-18,1652832000,13.046,13.046,12.626,12.626,23900
2022-05-19,1652918400,12.626,12.962,12.289,12.878,4800
2022-05-20,1653004800,12.878,13.046,12.794,12.878,15100
2022-05-23,1653264000,12.878,12.878,12.626,12.626,2700
2022-05-24,1653350400,12.626,12.626,12.12,12.12,7900
2022-05-25,1653436800,12.289,12.794,12.12,12.626,13800
2022-05-26,1653523200,12.626,12.626,12.457,12.541,3000
2022-05-27,1653609600,12.541,12.794,12.457,12.71,20900
2022-05-30,1653868800,12.71,12.794,12.541,12.71,17300
2022-05-31,1653955200,12.71,12.794,12.541,12.71,12402
2022-06-01,1654041600,12.626,12.794,12.457,12.626,17125
2022-06-02,1654128000,12.878,12.878,12.373,12.373,22900
2022-06-03,1654214400,12.541,12.541,12.12,12.457,21900
2022-06-06,1654473600,12.289,12.541,12.289,12.289,10002
2022-06-07,1654560000,12.205,12.289,11.7,12.036,9900
2022-06-08,1654646400,12.205,12.289,11.784,12.289,19900
2022-06-09,1654732800,12.289,12.289,11.952,12.205,9900
2022-06-10,1654819200,12.036,12.12,11.784,12.036,16500
2022-06-13,1655078400,11.363,12.12,11.363,12.12,21781
2022-06-14,1655164800,11.784,11.952,11.363,11.952,28600
2022-06-15,1655251200,11.784,11.784,11.11,11.11,23100
2022-06-16,1655337600,11.11,11.363,11.11,11.363,12100
2022-06-17,1655424000,11.026,11.363,10.269,10.521,66300
2022-06-20,1655683200,10.269,10.521,9.679,9.764,18680
2022-06-21,1655769600,9.427,9.932,9.259,9.764,18501
2022-06-22,1655856000,10.016,10.1,9.679,10.1,23300
2022-06-23,1655942400,9.932,10.437,9.932,10.437,26600
2022-06-24,1656028800,10.185,10.521,10.016,10.521,7000
2022-06-27,1656288000,10.269,10.942,10.185,10.942,11700
2022-06-28,1656374400,10.942,11.531,10.858,11.363,13400
2022-06-29,1656460800,11.363,11.363,11.195,11.279,14112
2022-06-30,1656547200,11.531,11.615,11.11,11.11,30000
2022-07-01,1656633600,11.026,11.531,10.521,11.279,30300
2022-07-04,1656892800,11.279,11.531,11.195,11.531,13100
2022-07-05,1656979200,11.11,11.363,11.026,11.279,20100
2022-07-06,1657065600,11.279,11.279,11.11,11.11,2400
2022-07-07,1657152000,11.11,11.363,11.026,11.363,16000
