date,timestamp,open,high,low,close,volume
2023-01-03,1672704000,12.6,12.6,12.6,12.6,0
2023-01-04,1672790400,12.4,12.6,11.4,12.169,4500
2023-01-05,1672876800,12.2,12.2,12.2,12.2,0
2023-01-06,1672963200,12.2,12.2,12.2,12.2,0
2023-01-09,1673222400,12.1,12.7,12.1,12.315,2024
2023-01-10,1673308800,13.0,14.0,13.0,13.698,5001
2023-01-11,1673395200,12.1,12.1,11.9,11.931,2600
2023-01-12,1673481600,11.9,12.0,11.9,11.933,300
2023-01-13,1673568000,11.9,12.7,11.9,12.007,3021
2023-01-16,1673827200,12.0,12.0,12.0,12.0,0
2023-01-17,1673913600,12.4,12.4,12.4,12.4,100
2023-01-18,1674000000,12.7,12.7,12.7,12.7,100
2023-01-19,1674086400,12.7,12.7,12.7,12.7,50
2023-01-27,1674777600,11.1,12.8,11.1,11.365,3100
2023-01-30,1675036800,11.4,12.3,11.4,11.476,5125
2023-01-31,1675123200,12.4,12.4,11.5,12.359,4400
2023-02-01,1675209600,12.3,12.3,11.5,11.643,7200
2023-02-02,1675296000,12.3,12.3,12.0,12.167,300
2023-02-03,1675382400,11.9,12.4,11.4,12.118,3400
2023-02-06,1675641600,12.1,12.1,12.1,12.1,1
2023-02-07,1675728000,12.0,12.0,12.0,12.0,3090
2023-02-08,1675814400,12.0,12.0,12.0,12.0,0
2023-02-09,1675900800,11.0,12.0,11.0,11.991,11000
2023-02-10,1675987200,11.1,11.9,11.0,11.399,16500
2023-02-13,1676246400,11.6,11.7,10.7,11.184,29500
2023-02-14,1676332800,10.7,11.6,10.6,10.863,4101
2023-02-15,1676419200,10.7,11.0,9.5,10.517,12983
2023-02-16,1676505600,10.0,10.8,10.0,10.627,41400
2023-02-17,1676592000,10.2,10.8,10.1,10.367,57800
2023-02-20,1676851200,10.2,10.7,10.1,10.456,49668
2023-02-21,1676937600,10.5,11.0,10.5,10.684,29800
2023-02-22,1677024000,10.9,11.0,10.9,10.957,8720
2023-02-23,1677110400,10.9,11.1,10.9,10.961,3601
2023-02-24,1677196800,10.8,11.5,10.2,10.58,59100
2023-02-27,1677456000,10.6,11.4,10.6,10.693,4336
2023-02-28,1677542400,11.3,11.4,11.3,11.362,1301
2023-03-01,1677628800,10.2,11.4,10.2,10.546,4100
2023-03-02,1677715200,11.2,11.3,11.2,11.294,3400
2023-03-03,1677801600,11.1,11.1,10.6,10.871,3801
2023-03-06,1678060800,10.6,11.2,10.6,11.119,3700
2023-03-07,1678147200,11.1,11.1,11.1,11.1,0
2023-03-08,1678233600,11.1,11.1,11.1,11.1,3
2023-03-09,1678320000,11.1,11.1,11.1,11.1,0
2023-03-10,1678406400,11.1,11.9,11.1,11.316,5000
2023-03-13,1678665600,11.2,11.8,10.2,10.451,13300
2023-03-14,1678752000,10.5,10.9,10.5,10.671,700
2023-03-15,1678838400,10.5,11.7,10.2,10.597,10760
2023-03-16,1678924800,10.4,11.0,10.4,10.544,30400
2023-03-17,1679011200,10.8,11.8,10.4,10.718,21401
2023-03-20,1679270400,10.7,11.6,10.4,10.737,6200
2023-03-21,1679356800,10.7,11.0,10.4,10.75,54857
2023-03-22,1679443200,10.6,11.7,10.4,10.782,18500
2023-03-23,1679529600,10.9,11.3,10.4,10.846,20200
2023-03-24,1679616000,11.7,11.7,11.7,11.7,1100
2023-03-27,1679875200,11.7,11.7,11.7,11.7,58
2023-03-28,1679961600,11.3,11.7,11.3,11.306,7101
2023-03-29,1680048000,11.5,11.5,11.5,11.5,10000
2023-03-30,1680134400,11.9,11.9,11.9,11.9,513
2023-03-31,1680220800,11.9,11.9,11.9,11.9,0
2023-04-03,1680480000,10.6,12.0,10.6,10.87,57130
2023-04-04,1680566400,11.5,11.7,11.0,11.455,19103
2023-04-05,1680652800,11.9,13.0,11.1,12.317,4100
