date,timestamp,open,high,low,close,volume
2023-01-03,1672704000,22.66,22.66,22.66,22.66,100
2023-01-04,1672790400,25.995,25.995,25.995,25.995,100
2023-01-05,1672876800,25.738,25.738,25.738,25.738,100
2023-01-06,1672963200,25.738,25.738,25.738,25.738,0
2023-01-09,1673222400,25.653,25.653,25.653,25.653,300
2023-01-10,1673308800,25.653,25.653,25.653,25.653,0
2023-01-11,1673395200,25.653,25.653,25.653,25.653,0
2023-01-12,1673481600,21.805,21.805,21.805,21.805,5000
2023-01-13,1673568000,19.239,19.239,18.641,18.842,8300
2023-01-16,1673827200,21.377,21.377,21.377,21.377,18600
2023-01-17,1673913600,19.667,19.667,19.667,19.667,100
2023-01-18,1674000000,19.923,19.923,19.752,19.76,3500
2023-01-19,1674086400,21.377,21.377,21.377,21.377,200
2023-01-27,1674777600,24.541,24.541,24.541,24.541,100
2023-01-30,1675036800,24.541,24.541,24.541,24.541,0
2023-01-31,1675123200,21.377,21.377,21.377,21.377,500
2023-02-01,1675209600,18.897,18.897,18.812,18.833,400
2023-02-02,1675296000,20.949,20.949,20.949,20.949,501
2023-02-03,1675382400,21.377,21.377,21.377,21.377,18300
2023-02-06,1675641600,23.942,23.942,23.942,23.942,158
2023-02-07,1675728000,23.942,23.942,23.942,23.942,0
2023-02-08,1675814400,23.942,23.942,23.942,23.942,0
2023-02-09,1675900800,21.377,21.377,21.377,21.377,30000
2023-02-10,1675987200,21.377,21.377,21.377,21.377,0
2023-02-13,1676246400,21.377,21.377,21.377,21.377,0
2023-02-14,1676332800,22.232,22.232,22.232,22.232,100
2023-02-15,1676419200,22.232,22.232,22.232,22.232,0
2023-02-16,1676505600,21.377,21.377,21.377,21.377,48933
2023-02-17,1676592000,21.377,21.377,21.377,21.377,3868
2023-02-20,1676851200,21.377,21.377,21.377,21.377,1755
2023-02-21,1676937600,21.377,21.377,21.377,21.377,100
2023-02-22,1677024000,21.377,21.377,21.377,21.377,1225
2023-02-23,1677110400,21.377,21.377,21.377,21.377,0
2023-02-24,1677196800,21.377,21.377,21.377,21.377,200
2023-02-27,1677456000,21.377,21.377,21.377,21.377,2335
2023-02-28,1677542400,21.377,21.377,21.377,21.377,57
2023-03-01,1677628800,21.377,21.377,21.377,21.377,300
2023-03-02,1677715200,24.541,24.541,23.942,24.042,600
2023-03-03,1677801600,24.028,24.028,24.028,24.028,4
2023-03-06,1678060800,24.028,24.028,24.028,24.028,0
2023-03-07,1678147200,24.028,24.028,24.028,24.028,0
2023-03-08,1678233600,24.028,24.028,24.028,24.028,0
2023-03-09,1678320000,24.028,24.028,24.028,24.028,500
2023-03-10,1678406400,24.028,24.028,24.028,24.028,0
2023-03-13,1678665600,21.377,21.377,21.377,21.377,1384
2023-03-14,1678752000,21.377,21.377,21.377,21.377,1936
2023-03-15,1678838400,21.377,21.377,21.377,21.377,900
2023-03-16,1678924800,21.377,21.377,21.377,21.377,58
2023-03-17,1679011200,21.377,21.377,21.377,21.377,110
2023-03-20,1679270400,21.377,21.377,21.377,21.377,101
2023-03-21,1679356800,21.377,21.377,21.377,21.377,0
2023-03-22,1679443200,21.377,21.377,21.377,21.377,100
2023-03-23,1679529600,21.377,21.377,21.377,21.377,0
2023-03-24,1679616000,21.377,21.377,21.377,21.377,0
2023-03-27,1679875200,22.66,23.942,22.66,23.515,900
2023-03-28,1679961600,23.515,23.515,23.515,23.515,0
2023-03-29,1680048000,23.515,23.515,23.515,23.515,0
2023-03-30,1680134400,23.515,23.515,23.515,23.515,0
2023-03-31,1680220800,23.515,23.515,23.515,23.515,0
2023-04-03,1680480000,23.515,23.515,23.515,23.515,100
2023-04-04,1680566400,23.515,23.515,23.515,23.515,0
2023-04-05,1680652800,23.515,23.515,23.515,23.515,0
2023-04-06,1680739200,23.515,23.515,23.515,23.515,100
2023-04-07,1680825600,23.515,23.515,23.515,23.515,0
2023-04-10,1681084800,21.377,21.377,21.377,21.377,4900
2023-04-11,1681171200,21.377,21.377,21.377,21.377,12
2023-04-12,1681257600,21.377,21.377,21.377,21.377,0
2023-04-13,1681344000,21.377,21.377,21.377,21.377,0
2023-04-14,1681430400,21.377,21.377,21.377,21.377,2
2023-04-17,1681689600,22.147,22.147,21.377,21.385,10000
2023-04-18,1681776000,21.377,21.377,21.377,21.377,5610
2023-04-19,1681862400,21.463,21.463,21.377,21.404,15205
2023-04-20,1681948800,21.377,21.377,21.377,21.377,904
2023-04-21,1682035200,21.377,21.377,21.377,21.377,18
2023-04-24,1682294400,21.548,24.37,21.548,23.841,1609
2023-04-25,1682380800,23.857,23.857,23.857,23.857,0
2023-04-26,1682467200,23.857,23.857,23.857,23.857,2000
2023-04-27,1682553600,21.634,21.634,21.634,21.634,300
2023-04-28,1682640000,19.752,21.634,19.752,21.544,2100
2023-05-04,1683158400,21.805,21.805,21.805,21.805,10000
2023-05-05,1683244800,22.232,22.232,22.232,22.232,222
2023-05-08,1683504000,22.232,25.567,22.232,23.158,1800
