date,timestamp,open,high,low,close,volume
2023-01-03,1672704000,24.698,27.288,24.698,25.909,8900
2023-01-04,1672790400,24.79,24.975,24.235,24.82,7100
2023-01-05,1672876800,24.05,25.808,23.403,23.966,7500
2023-01-06,1672963200,23.958,24.235,23.958,24.021,4700
2023-01-09,1673222400,23.588,24.975,23.403,24.23,19800
2023-01-10,1673308800,27.843,27.843,24.328,24.684,1300
2023-01-11,1673395200,23.68,24.605,23.68,24.196,23000
2023-01-12,1673481600,24.79,24.79,24.79,24.79,100
2023-01-13,1673568000,24.698,24.79,24.698,24.776,7400
2023-01-16,1673827200,24.79,24.79,24.79,24.79,0
2023-01-17,1673913600,24.05,24.79,23.588,24.148,18600
2023-01-18,1674000000,24.05,24.513,23.865,24.19,20100
2023-01-19,1674086400,24.513,24.513,23.588,23.886,18000
2023-01-27,1674777600,24.05,24.79,24.05,24.568,17200
2023-01-30,1675036800,20.998,24.79,20.998,24.614,17100
2023-01-31,1675123200,24.605,24.79,24.605,24.695,28200
2023-02-01,1675209600,24.698,24.79,24.605,24.708,20700
2023-02-02,1675296000,24.698,24.79,24.605,24.758,13900
2023-02-03,1675382400,24.79,24.79,23.773,24.285,18600
2023-02-06,1675641600,24.328,24.328,24.328,24.328,1400
2023-02-07,1675728000,24.513,24.513,23.68,23.8,1400
2023-02-08,1675814400,23.865,23.865,23.865,23.865,4200
2023-02-09,1675900800,23.865,24.328,23.865,24.155,1600
2023-02-10,1675987200,24.143,24.143,24.143,24.143,300
2023-02-13,1676246400,24.143,24.143,24.143,24.143,0
2023-02-14,1676332800,24.143,24.143,24.143,24.143,0
2023-02-15,1676419200,24.143,24.143,24.143,24.143,0
2023-02-16,1676505600,24.05,24.05,23.31,23.927,600
2023-02-17,1676592000,23.403,23.495,23.31,23.403,3300
2023-02-20,1676851200,22.755,24.05,22.755,23.39,3600
2023-02-21,1676937600,23.125,23.403,22.94,23.068,800
2023-02-22,1677024000,22.015,23.865,22.015,22.866,2000
2023-02-23,1677110400,22.848,22.848,22.663,22.74,600
2023-02-24,1677196800,24.05,24.05,24.05,24.05,100
2023-02-27,1677456000,23.495,23.773,22.2,22.44,6600
2023-02-28,1677542400,23.68,23.68,23.125,23.517,8700
2023-03-01,1677628800,20.535,23.68,20.535,23.571,12600
2023-03-02,1677715200,23.125,23.495,23.125,23.154,1300
2023-03-03,1677801600,23.125,23.125,23.125,23.125,0
2023-03-06,1678060800,21.923,23.125,21.923,23.087,3400
2023-03-07,1678147200,23.958,24.05,23.125,23.592,12600
2023-03-08,1678233600,23.773,23.773,23.403,23.65,300
2023-03-09,1678320000,24.05,24.05,24.05,24.05,100
2023-03-10,1678406400,23.218,23.218,22.848,22.873,9200
2023-03-13,1678665600,22.848,22.848,22.848,22.848,0
2023-03-14,1678752000,23.865,24.05,22.385,23.819,1200
2023-03-15,1678838400,22.663,22.663,22.2,22.416,1500
2023-03-16,1678924800,23.958,23.958,23.958,23.958,10000
2023-03-17,1679011200,22.108,23.125,22.108,23.038,1700
2023-03-20,1679270400,23.033,23.033,23.033,23.033,10
2023-03-21,1679356800,23.865,23.958,23.125,23.868,3300
2023-03-22,1679443200,23.495,23.495,22.848,22.93,36900
2023-03-23,1679529600,23.68,24.05,22.385,23.862,79100
2023-03-24,1679616000,24.05,24.05,24.05,24.05,23100
2023-03-27,1679875200,23.125,24.05,23.125,23.735,9101
2023-03-28,1679961600,23.773,23.773,23.773,23.773,0
2023-03-29,1680048000,23.774,23.774,23.774,23.774,115
2023-03-30,1680134400,22.17,24.434,22.17,23.122,12020
2023-03-31,1680220800,23.113,25.189,23.113,24.674,53600
2023-04-03,1680480000,24.717,24.717,24.623,24.702,30500
2023-04-04,1680566400,24.717,24.717,24.717,24.717,500
2023-04-05,1680652800,23.774,25.0,23.774,24.277,17720
2023-04-06,1680739200,23.868,24.717,23.774,23.889,9109
2023-04-07,1680825600,24.717,24.717,24.529,24.706,17200
2023-04-10,1681084800,24.717,24.717,24.717,24.717,0
2023-04-11,1681171200,24.623,25.0,24.623,24.957,15324
2023-04-12,1681257600,25.0,25.189,25.0,25.136,7206
2023-04-13,1681344000,23.68,23.868,23.68,23.771,6000
