date,timestamp,open,high,low,close,volume
2023-01-03,1672704000,3.636,3.908,3.636,3.908,792451
2023-01-04,1672790400,3.908,3.999,3.726,3.726,536300
2023-01-05,1672876800,3.726,3.908,3.726,3.817,667897
2023-01-06,1672963200,3.817,3.908,3.726,3.726,346300
2023-01-09,1673222400,3.817,3.908,3.726,3.817,831900
2023-01-10,1673308800,3.908,3.908,3.726,3.817,795020
2023-01-11,1673395200,3.908,4.09,3.817,3.908,958927
2023-01-12,1673481600,3.999,3.999,3.817,3.817,270490
2023-01-13,1673568000,3.908,3.999,3.726,3.817,416434
2023-01-16,1673827200,3.908,3.908,3.636,3.726,760620
2023-01-17,1673913600,3.726,3.817,3.636,3.726,619650
2023-01-18,1674000000,3.817,3.908,3.726,3.817,538611
2023-01-19,1674086400,3.817,3.908,3.817,3.817,639562
2023-01-27,1674777600,3.908,3.999,3.817,3.908,650804
2023-01-30,1675036800,3.908,4.272,3.908,4.272,2089610
2023-01-31,1675123200,4.454,4.454,4.09,4.363,1493211
2023-02-01,1675209600,4.363,4.454,4.09,4.181,1830360
2023-02-02,1675296000,4.09,4.181,3.908,3.999,1605097
2023-02-03,1675382400,3.999,4.181,3.908,4.09,770031
2023-02-06,1675641600,4.09,4.181,3.999,4.09,629213
2023-02-07,1675728000,4.09,4.181,3.908,3.908,808773
2023-02-08,1675814400,3.908,3.999,3.817,3.999,527769
2023-02-09,1675900800,3.999,3.999,3.817,3.908,392642
2023-02-10,1675987200,3.908,4.09,3.817,3.908,768909
2023-02-13,1676246400,3.908,3.908,3.726,3.726,656852
2023-02-14,1676332800,3.726,3.817,3.636,3.817,403625
2023-02-15,1676419200,3.817,3.908,3.726,3.817,677312
2023-02-16,1676505600,3.817,4.09,3.817,3.908,1078608
2023-02-17,1676592000,3.908,4.181,3.908,3.999,1220151
2023-02-20,1676851200,3.999,4.181,3.999,4.09,1031660
2023-02-21,1676937600,4.09,4.272,3.908,4.09,1014719
2023-02-22,1677024000,3.999,4.09,3.817,3.817,1079706
2023-02-23,1677110400,3.817,3.999,3.726,3.908,491885
2023-02-24,1677196800,3.908,3.999,3.817,3.817,504909
2023-02-27,1677456000,3.817,3.817,3.636,3.726,642200
2023-02-28,1677542400,3.817,3.817,3.636,3.726,381450
2023-03-01,1677628800,3.726,3.817,3.726,3.817,597400
2023-03-02,1677715200,3.817,3.817,3.726,3.726,115278
2023-03-03,1677801600,3.726,3.817,3.636,3.726,505914
2023-03-06,1678060800,3.726,3.908,3.726,3.726,673217
2023-03-07,1678147200,3.726,3.817,3.636,3.726,361775
2023-03-08,1678233600,3.726,3.817,3.636,3.726,224415
2023-03-09,1678320000,3.726,3.817,3.726,3.817,242428
2023-03-10,1678406400,3.817,3.817,3.726,3.726,587145
