date,timestamp,open,high,low,close,volume
2023-01-03,1672704000,67.5,67.6,67.0,67.0,186300
2023-01-04,1672790400,67.0,67.0,66.5,66.9,223900
2023-01-05,1672876800,67.5,67.5,66.4,66.9,133200
2023-01-06,1672963200,66.9,67.3,66.7,67.2,204700
2023-01-09,1673222400,67.2,67.3,66.5,67.0,151000
2023-01-10,1673308800,67.0,67.0,66.4,66.5,209700
2023-01-11,1673395200,66.5,66.7,66.3,66.6,170300
2023-01-12,1673481600,66.6,66.6,65.6,65.9,181700
2023-01-13,1673568000,65.9,66.2,65.2,65.2,145700
2023-01-16,1673827200,65.2,67.5,65.1,67.3,162500
2023-01-17,1673913600,67.3,67.5,66.7,66.9,186400
2023-01-18,1674000000,66.9,66.9,65.9,66.1,163800
2023-01-19,1674086400,66.1,66.3,65.4,65.6,117200
2023-01-27,1674777600,65.7,66.0,65.4,65.9,166100
2023-01-30,1675036800,65.7,66.4,65.3,65.9,173120
2023-01-31,1675123200,65.7,65.8,65.0,65.4,166900
2023-02-01,1675209600,65.5,66.0,65.2,65.6,173800
2023-02-02,1675296000,65.8,66.0,65.3,65.6,159100
2023-02-03,1675382400,65.7,66.2,65.4,66.0,177100
2023-02-06,1675641600,65.9,66.3,65.4,65.7,145600
2023-02-07,1675728000,65.7,66.2,65.0,65.3,130900
2023-02-08,1675814400,65.5,66.0,65.2,65.8,181200
2023-02-09,1675900800,65.7,65.8,65.2,65.5,148900
2023-02-10,1675987200,65.5,66.0,65.3,65.8,153700
2023-02-13,1676246400,65.9,66.5,65.2,65.5,148710
2023-02-14,1676332800,65.7,65.7,64.5,65.0,128800
2023-02-15,1676419200,64.9,65.4,64.3,65.3,175700
2023-02-16,1676505600,65.2,66.0,65.0,65.4,148600
2023-02-17,1676592000,65.5,65.7,65.1,65.3,126900
2023-02-20,1676851200,65.5,66.4,65.3,66.3,171600
2023-02-21,1676937600,66.5,66.5,65.6,65.9,126810
2023-02-22,1677024000,66.1,66.4,66.0,66.3,156100
2023-02-23,1677110400,66.5,66.7,65.8,66.2,152000
2023-02-24,1677196800,66.5,67.0,66.2,66.3,138602
2023-02-27,1677456000,66.2,66.3,65.5,65.7,152508
2023-02-28,1677542400,65.7,65.9,65.5,65.7,139800
2023-03-01,1677628800,65.5,65.8,64.9,65.6,118101
2023-03-02,1677715200,65.9,66.3,65.4,66.3,147000
2023-03-03,1677801600,66.0,66.9,66.0,66.7,159400
2023-03-06,1678060800,66.5,67.2,66.5,67.2,178300
2023-03-07,1678147200,67.5,67.7,67.0,67.2,108800
2023-03-08,1678233600,67.5,67.7,66.7,66.7,172500
2023-03-09,1678320000,67.0,67.4,66.6,66.9,148559
2023-03-10,1678406400,66.5,66.7,66.0,66.0,144100
2023-03-13,1678665600,66.3,66.5,65.5,65.7,149900
2023-03-14,1678752000,65.5,65.8,65.1,65.6,147259
2023-03-15,1678838400,65.0,65.9,65.0,65.7,123500
2023-03-16,1678924800,65.3,66.0,65.3,65.6,149600
2023-03-17,1679011200,66.0,67.5,65.9,67.1,205747
2023-03-20,1679270400,67.6,67.8,67.1,67.2,160902
2023-03-21,1679356800,67.4,68.3,67.2,68.1,189000
2023-03-22,1679443200,68.0,68.9,67.8,68.6,141600
2023-03-23,1679529600,68.5,68.8,68.2,68.5,149447
2023-03-24,1679616000,68.6,70.0,68.6,69.7,151500
2023-03-27,1679875200,69.5,69.5,68.6,68.9,152401
2023-03-28,1679961600,69.0,70.2,69.0,69.7,173900
2023-03-29,1680048000,69.9,70.1,69.1,69.5,145600
2023-03-30,1680134400,69.7,70.5,69.3,69.8,145900
2023-03-31,1680220800,70.1,70.6,69.0,69.6,165401
2023-04-03,1680480000,69.8,70.5,65.0,65.0,200500
2023-04-04,1680566400,65.1,65.8,64.8,65.0,144102
2023-04-05,1680652800,65.4,65.7,64.7,64.8,121111
2023-04-06,1680739200,65.0,65.5,64.2,64.7,117200
2023-04-07,1680825600,64.8,65.3,64.8,64.8,117100
2023-04-10,1681084800,65.0,65.0,64.3,64.4,141500
2023-04-11,1681171200,64.3,64.5,63.0,64.0,124400
2023-04-12,1681257600,64.0,65.5,64.0,64.6,146200
2023-04-13,1681344000,65.0,65.5,64.5,64.6,131600
2023-04-14,1681430400,64.5,65.2,64.5,64.8,126500
2023-04-17,1681689600,65.0,65.0,64.0,64.1,103200
2023-04-18,1681776000,64.5,64.5,63.7,64.3,109700
2023-04-19,1681862400,64.5,64.6,64.0,64.5,139000
2023-04-20,1681948800,64.7,65.0,64.3,64.7,154000
2023-04-21,1682035200,65.0,65.0,64.4,64.8,131200
2023-04-24,1682294400,64.8,66.0,64.8,65.7,122600
2023-04-25,1682380800,66.0,66.2,65.5,66.0,133700
2023-04-26,1682467200,66.2,67.1,65.4,66.4,111443
2023-04-27,1682553600,66.7,66.8,65.4,65.6,117700
2023-04-28,1682640000,65.5,65.7,64.8,65.7,112900
2023-05-04,1683158400,66.0,66.3,64.7,65.3,110507
2023-05-05,1683244800,65.1,65.3,64.5,64.6,109709
2023-05-08,1683504000,65.0,65.4,64.4,65.0,112900
2023-05-09,1683590400,65.2,65.7,64.7,65.2,109102
2023-05-10,1683676800,65.5,65.5,64.7,65.4,109700
2023-05-11,1683763200,65.6,66.0,65.0,65.6,116700
2023-05-12,1683849600,66.0,66.0,65.2,65.7,111900
2023-05-15,1684108800,65.7,65.8,64.7,64.7,79300
2023-05-16,1684195200,65.0,65.4,65.0,65.1,111000
2023-05-17,1684281600,65.3,65.3,64.6,65.0,116100
2023-05-18,1684368000,64.9,65.4,64.2,65.1,114100
2023-05-19,1684454400,64.9,65.2,64.4,64.8,109901
2023-05-22,1684713600,65.0,65.1,64.2,65.0,112500
2023-05-23,1684800000,64.8,65.1,64.5,64.9,115960
2023-05-24,1684886400,64.5,64.9,64.2,64.8,108000
2023-05-25,1684972800,64.5,64.9,64.3,64.6,109940
2023-05-26,1685059200,64.9,65.1,64.1,64.2,119700
