date,timestamp,open,high,low,close,volume
2023-01-03,1672704000,13.501,16.353,13.501,16.353,1223
2023-01-04,1672790400,16.068,16.639,14.737,15.688,2100
2023-01-05,1672876800,14.166,14.166,14.166,14.166,200
2023-01-06,1672963200,12.835,14.071,12.835,14.071,475
2023-01-09,1673222400,12.74,13.691,12.74,12.74,300
2023-01-10,1673308800,13.976,13.976,11.504,13.216,10625
2023-01-11,1673395200,14.071,14.071,11.98,13.216,600
2023-01-12,1673481600,14.071,14.071,11.98,12.74,1400
2023-01-13,1673568000,11.599,11.599,11.504,11.599,3600
2023-01-16,1673827200,11.885,12.55,11.885,12.55,300
2023-01-17,1673913600,11.504,12.36,11.504,12.265,2600
2023-01-18,1674000000,12.17,12.36,12.17,12.265,2500
2023-01-19,1674086400,12.55,12.55,12.55,12.55,2700
2023-01-27,1674777600,12.455,13.216,12.455,13.216,406
2023-01-30,1675036800,11.98,13.025,11.98,12.93,3411
2023-01-31,1675123200,11.789,13.881,11.694,13.881,2852
2023-02-01,1675209600,13.881,13.881,13.881,13.881,0
2023-02-02,1675296000,13.881,13.881,13.881,13.881,0
2023-02-03,1675382400,13.881,13.881,13.881,13.881,0
2023-02-06,1675641600,13.881,13.881,13.881,13.881,0
2023-02-07,1675728000,13.881,13.881,13.881,13.881,0
2023-02-08,1675814400,13.881,13.881,13.881,13.881,0
2023-02-09,1675900800,12.55,12.645,12.55,12.55,2200
2023-02-10,1675987200,12.55,13.025,12.55,13.025,302
2023-02-13,1676246400,13.025,13.025,13.025,13.025,0
2023-02-14,1676332800,11.885,12.93,11.789,12.93,1101
2023-02-15,1676419200,11.789,12.645,11.789,12.645,200
2023-02-16,1676505600,12.835,13.596,12.74,12.74,401
2023-02-17,1676592000,12.74,12.74,12.74,12.74,50
2023-02-20,1676851200,11.885,12.55,11.885,12.075,300
2023-02-21,1676937600,12.645,12.645,11.029,12.36,3527
2023-02-22,1677024000,12.265,12.645,12.265,12.645,1700
2023-02-23,1677110400,12.645,12.645,12.645,12.645,0
2023-02-24,1677196800,11.789,12.455,11.789,12.455,1000
2023-02-27,1677456000,12.36,12.93,12.36,12.36,2100
2023-02-28,1677542400,12.93,12.93,12.74,12.74,301
2023-03-01,1677628800,11.789,12.93,11.789,12.93,300
2023-03-02,1677715200,12.93,12.93,12.93,12.93,0
2023-03-03,1677801600,12.55,12.55,12.55,12.55,1300
2023-03-06,1678060800,12.74,12.74,12.74,12.74,406
2023-03-07,1678147200,12.93,12.93,12.93,12.93,100
2023-03-08,1678233600,12.93,12.93,12.93,12.93,0
2023-03-09,1678320000,12.93,12.93,12.93,12.93,4
2023-03-10,1678406400,12.93,12.93,12.93,12.93,6
2023-03-13,1678665600,12.93,12.93,12.93,12.93,0
2023-03-14,1678752000,12.93,12.93,12.93,12.93,0
2023-03-15,1678838400,12.93,12.93,12.93,12.93,0
2023-03-16,1678924800,11.885,13.216,11.885,13.216,500
2023-03-17,1679011200,13.216,13.216,13.216,13.216,0
2023-03-20,1679270400,13.216,13.216,13.216,13.216,18
2023-03-21,1679356800,13.216,13.216,13.216,13.216,1
2023-03-22,1679443200,13.216,13.216,13.216,13.216,0
2023-03-23,1679529600,11.98,12.93,11.98,12.93,200
2023-03-24,1679616000,13.311,13.311,13.311,13.311,600
2023-03-27,1679875200,13.311,13.311,13.311,13.311,39
2023-03-28,1679961600,13.311,13.311,13.311,13.311,0
2023-03-29,1680048000,13.311,13.691,13.311,13.691,300
2023-03-30,1680134400,13.691,13.691,13.691,13.691,0
2023-03-31,1680220800,13.311,13.311,13.311,13.311,100
2023-04-03,1680480000,13.311,13.311,13.311,13.311,0
2023-04-04,1680566400,11.98,13.501,11.98,12.075,1300
2023-04-05,1680652800,13.121,13.121,13.121,13.121,100
2023-04-06,1680739200,13.311,13.311,13.311,13.311,100
2023-04-07,1680825600,13.311,14.071,13.311,14.071,300
2023-04-10,1681084800,14.071,14.071,14.071,14.071,10
2023-04-11,1681171200,14.071,14.071,14.071,14.071,0
2023-04-12,1681257600,12.74,12.74,12.74,12.74,100
2023-04-13,1681344000,12.74,13.786,11.599,13.691,1161
2023-04-14,1681430400,12.36,14.642,12.36,14.166,2700
2023-04-17,1681689600,14.642,14.642,14.642,14.642,100
2023-04-18,1681776000,14.642,15.973,13.216,13.786,1190
2023-04-19,1681862400,12.55,14.262,12.55,12.645,700
2023-04-20,1681948800,13.786,13.786,13.786,13.786,100
2023-04-21,1682035200,12.645,13.691,12.645,13.691,4900
2023-04-24,1682294400,14.642,14.642,12.455,13.311,307
2023-04-25,1682380800,13.786,13.786,13.786,13.786,111
2023-04-26,1682467200,13.786,13.786,13.786,13.786,0
2023-04-27,1682553600,13.786,13.786,13.786,13.786,0
2023-04-28,1682640000,13.786,13.786,13.786,13.786,0
2023-05-04,1683158400,13.786,13.786,13.786,13.786,0
2023-05-05,1683244800,13.786,13.786,13.786,13.786,1
2023-05-08,1683504000,12.55,13.311,12.55,13.311,200
2023-05-09,1683590400,13.311,13.311,12.075,12.075,1000
2023-05-10,1683676800,13.025,13.025,13.025,13.025,120
2023-05-11,1683763200,13.025,13.025,13.025,13.025,0
2023-05-12,1683849600,12.93,13.216,12.93,13.216,200
2023-05-15,1684108800,12.075,12.93,12.075,12.93,200
2023-05-16,1684195200,13.216,13.216,11.694,11.694,5000
2023-05-17,1684281600,12.74,12.74,10.648,12.55,16279
2023-05-18,1684368000,11.314,11.314,11.314,11.314,100
2023-05-19,1684454400,11.789,11.789,10.363,11.409,2541
2023-05-22,1684713600,11.409,11.885,11.409,11.789,5246
2023-05-23,1684800000,12.17,12.17,11.409,11.409,4100
2023-05-24,1684886400,11.409,11.98,11.409,11.885,600
2023-05-25,1684972800,11.885,11.885,11.885,11.885,46
2023-05-26,1685059200,11.885,11.885,11.885,11.885,0
2023-05-29,1685318400,11.885,11.98,11.694,11.694,1503
2023-05-30,1685404800,11.694,11.694,11.219,11.219,300
2023-05-31,1685491200,11.599,11.599,11.599,11.599,151
2023-06-01,1685577600,12.4,12.4,12.4,12.4,100
2023-06-02,1685664000,12.4,12.4,12.3,12.3,303
2023-06-05,1685923200,12.4,12.4,12.4,12.4,101
2023-06-06,1686009600,12.7,12.7,12.7,12.7,111
2023-06-07,1686096000,11.5,12.5,11.5,12.5,603
2023-06-08,1686182400,12.5,12.5,12.5,12.5,0
2023-06-09,1686268800,12.5,12.5,12.5,12.5,0
2023-06-12,1686528000,12.3,12.3,12.3,12.3,100
2023-06-13,1686614400,12.9,12.9,12.9,12.9,101
2023-06-14,1686700800,12.8,12.8,12.7,12.7,200
2023-06-15,1686787200,12.7,12.7,12.7,12.7,3
2023-06-16,1686873600,12.7,12.7,12.7,12.7,0
2023-06-19,1687132800,12.7,12.7,12.7,12.7,0
2023-06-20,1687219200,12.7,12.7,12.7,12.7,1
2023-06-21,1687305600,13.1,13.1,13.1,13.1,1739
2023-06-22,1687392000,13.1,13.1,13.1,13.1,0
2023-06-23,1687478400,13.1,13.1,13.1,13.1,0
2023-06-26,1687737600,12.0,12.0,12.0,12.0,400
2023-06-27,1687824000,12.0,12.0,12.0,12.0,3
2023-06-28,1687910400,12.4,12.4,11.4,11.9,2162
2023-06-29,1687996800,11.9,11.9,11.9,11.9,0
