date,timestamp,open,high,low,close,volume
2023-01-03,1672704000,7.2,7.5,7.2,7.423,33400
2023-01-04,1672790400,7.8,7.8,7.5,7.548,27500
2023-01-05,1672876800,7.5,7.8,7.5,7.635,32300
2023-01-06,1672963200,7.7,7.8,7.5,7.605,19800
2023-01-09,1673222400,7.6,7.6,7.4,7.496,9300
2023-01-10,1673308800,7.5,7.5,7.3,7.35,23000
2023-01-11,1673395200,7.4,7.5,7.3,7.424,45700
2023-01-12,1673481600,7.5,7.5,7.4,7.48,10900
2023-01-13,1673568000,7.5,7.6,7.4,7.497,26900
2023-01-16,1673827200,7.8,7.8,7.4,7.431,40800
2023-01-17,1673913600,7.4,7.6,7.4,7.459,40500
2023-01-18,1674000000,7.5,7.7,7.4,7.593,17700
2023-01-19,1674086400,7.7,7.8,7.4,7.62,54600
2023-01-27,1674777600,7.8,7.9,7.7,7.821,63700
2023-01-30,1675036800,7.8,8.4,7.8,7.997,168600
2023-01-31,1675123200,8.0,8.2,7.9,8.016,50410
2023-02-01,1675209600,8.2,8.5,7.6,8.003,105600
2023-02-02,1675296000,8.0,8.0,7.7,7.828,61600
2023-02-03,1675382400,7.9,7.9,7.6,7.737,20400
2023-02-06,1675641600,7.7,8.0,7.6,7.721,64200
2023-02-07,1675728000,7.9,7.9,7.4,7.603,89701
2023-02-08,1675814400,7.7,7.7,7.6,7.677,23800
2023-02-09,1675900800,7.8,7.8,7.7,7.749,75400
2023-02-10,1675987200,7.6,7.7,7.5,7.583,17799
2023-02-13,1676246400,7.5,7.6,7.4,7.47,28802
2023-02-14,1676332800,7.8,7.8,7.4,7.494,42700
2023-02-15,1676419200,7.5,7.5,7.4,7.479,30200
2023-02-16,1676505600,7.5,7.7,7.5,7.631,76000
2023-02-17,1676592000,7.9,7.9,7.7,7.8,41000
2023-02-20,1676851200,7.9,7.9,7.6,7.762,16200
2023-02-21,1676937600,7.8,7.8,7.7,7.716,42300
2023-02-22,1677024000,7.6,7.6,7.5,7.546,80800
2023-02-23,1677110400,7.4,7.5,7.4,7.43,26900
2023-02-24,1677196800,7.4,7.5,7.3,7.393,21000
2023-02-27,1677456000,7.4,7.4,7.2,7.341,16400
