date,timestamp,open,high,low,close,volume
2006-12-25,1167004800,3.517,3.517,3.517,3.517,500
2006-12-26,1167091200,9.672,9.672,9.672,9.672,0
2006-12-27,1167177600,4.187,4.187,4.187,4.187,1000
2006-12-28,1167264000,4.355,4.355,4.129,4.187,1300
2006-12-29,1167350400,10.803,10.803,10.803,10.803,0
2007-01-02,1167696000,10.803,10.803,10.803,10.803,0
2007-01-03,1167782400,10.803,10.803,10.803,10.803,0
2007-01-04,1167868800,10.803,10.803,10.803,10.803,0
2007-01-05,1167955200,10.803,10.803,10.803,10.803,0
2007-01-08,1168214400,10.803,10.803,10.803,10.803,0
2007-01-09,1168300800,10.803,10.803,10.803,10.803,0
2007-01-10,1168387200,10.803,10.803,10.803,10.803,0
2007-01-11,1168473600,10.803,10.803,10.803,10.803,0
2007-01-12,1168560000,10.803,10.803,10.803,10.803,0
2007-01-15,1168819200,4.355,4.355,4.355,4.355,2000
2007-01-16,1168905600,10.744,10.744,10.744,10.744,0
2007-01-17,1168992000,10.744,10.744,10.744,10.744,0
2007-01-18,1169078400,4.187,4.187,4.187,4.187,1000
2007-01-19,1169164800,10.636,10.636,10.636,10.636,0
2007-01-22,1169424000,4.355,4.355,4.355,4.355,2700
2007-01-23,1169510400,4.522,4.631,4.522,4.522,1300
2007-01-24,1169596800,4.69,4.69,4.69,4.69,100
2007-01-25,1169683200,11.28,11.28,11.28,11.28,0
2007-01-26,1169769600,5.109,5.109,5.109,5.109,500
2007-01-29,1170028800,5.109,5.109,5.109,5.109,400
2007-01-30,1170115200,11.824,11.824,11.824,11.824,0
2007-01-31,1170201600,11.824,11.824,11.824,11.824,0
2007-02-01,1170288000,11.824,11.824,11.824,11.824,0
2007-02-02,1170374400,11.824,11.824,11.824,11.824,0
2007-02-05,1170633600,11.824,11.824,11.824,11.824,0
2007-02-06,1170720000,11.824,11.824,11.824,11.824,0
2007-02-07,1170806400,5.109,5.109,5.109,5.109,1000
2007-02-08,1170892800,5.109,5.109,5.109,5.109,2500
2007-02-09,1170979200,5.435,5.527,5.435,5.527,2900
2007-02-12,1171238400,12.251,12.251,12.251,12.251,0
2007-02-13,1171324800,12.251,12.251,12.251,12.251,0
2007-02-14,1171411200,5.853,6.364,5.853,6.364,200
2007-02-15,1171497600,6.867,6.867,6.867,6.867,1200
2007-02-26,1172448000,7.956,7.956,7.956,7.956,1600
2007-02-27,1172534400,9.128,9.128,9.128,9.128,600
2007-02-28,1172620800,10.384,10.384,10.384,10.384,200
2007-03-01,1172707200,11.808,11.808,11.808,11.808,300
2007-03-02,1172793600,13.316,13.316,13.316,13.316,500
2007-03-05,1173052800,14.99,14.99,14.99,14.99,400
2007-03-06,1173139200,16.916,16.916,16.916,16.916,100
2007-03-07,1173225600,18.926,18.926,18.926,18.926,5600
2007-03-08,1173312000,21.187,21.187,21.187,21.187,1200
2007-03-09,1173398400,23.7,23.7,23.7,23.7,2100
2007-03-12,1173657600,25.542,26.27,25.542,25.542,1700
2007-03-13,1173744000,25.868,27.367,24.629,25.542,2200
2007-03-14,1173830400,25.039,25.039,25.039,25.039,100
2007-03-15,1173916800,22.226,22.51,22.192,22.192,1600
2007-03-16,1174003200,19.68,19.68,19.68,19.68,1600
2007-03-19,1174262400,22.025,22.025,22.025,22.025,300
2007-03-20,1174348800,24.035,24.47,24.035,24.035,1600
2007-03-21,1174435200,24.704,25.793,24.704,24.704,300
2007-03-22,1174521600,22.61,22.61,22.61,22.61,200
2007-03-23,1174608000,35.089,35.089,35.089,35.089,0
2007-03-26,1174867200,19.931,19.931,19.931,19.931,300
2007-03-27,1174953600,31.579,31.579,31.579,31.579,0
2007-03-28,1175040000,17.67,17.67,17.67,17.67,400
2007-03-29,1175126400,19.763,19.763,19.763,19.763,500
2007-03-30,1175212800,20.517,20.869,20.517,20.517,1000
2007-04-02,1175472000,21.355,21.355,21.355,21.355,1000
2007-04-03,1175558400,33.421,33.421,33.421,33.421,0
2007-04-04,1175644800,33.421,33.421,33.421,33.421,0
2007-04-05,1175731200,33.421,33.421,33.421,33.421,0
2007-04-06,1175817600,33.421,33.421,33.421,33.421,0
2007-04-09,1176076800,33.421,33.421,33.421,33.421,0
2007-04-10,1176163200,33.421,33.421,33.421,33.421,0
2007-04-11,1176249600,33.421,33.421,33.421,33.421,0
2007-04-12,1176336000,33.421,33.421,33.421,33.421,0
2007-04-13,1176422400,33.421,33.421,33.421,33.421,0
2007-04-16,1176681600,33.421,33.421,33.421,33.421,0
2007-04-17,1176768000,33.421,33.421,33.421,33.421,0
2007-04-18,1176854400,20.308,23.808,19.479,23.448,1000
2007-04-19,1176940800,31.353,31.353,31.353,31.353,0
2007-04-20,1177027200,31.353,31.353,31.353,31.353,0
2007-04-23,1177286400,31.353,31.353,31.353,31.353,0
2007-04-24,1177372800,31.353,31.353,31.353,31.353,0
2007-04-25,1177459200,31.353,31.353,31.353,31.353,0
2007-05-02,1178064000,31.353,31.353,31.353,31.353,0
2007-05-03,1178150400,31.353,31.353,31.353,31.353,0
2007-05-04,1178236800,31.353,31.353,31.353,31.353,0
2007-05-07,1178496000,31.353,31.353,31.353,31.353,0
2007-05-08,1178582400,31.353,31.353,31.353,31.353,0
2007-05-09,1178668800,21.187,21.187,21.187,21.187,100
2007-05-10,1178755200,33.137,33.137,33.137,33.137,0
2007-05-11,1178841600,33.137,33.137,33.137,33.137,0
2007-05-14,1179100800,33.137,33.137,33.137,33.137,0
2007-05-15,1179187200,33.137,33.137,33.137,33.137,0
2007-05-16,1179273600,33.137,33.137,33.137,33.137,0
2007-05-17,1179360000,33.137,33.137,33.137,33.137,0
2007-05-18,1179446400,18.675,18.675,18.675,18.675,600
2007-05-21,1179705600,16.413,16.413,16.413,16.413,300
2007-05-22,1179792000,15.199,16.422,14.73,15.911,600
2007-05-23,1179878400,14.655,14.655,14.655,14.655,200
2007-05-24,1179964800,24.503,24.503,24.503,24.503,0
2007-05-25,1180051200,12.981,12.981,12.981,12.981,500
2007-05-28,1180310400,12.687,13.014,12.009,12.981,4400
2007-05-29,1180396800,12.235,12.302,12.143,12.143,600
2007-05-30,1180483200,10.887,10.92,10.887,10.887,1000
2007-05-31,1180569600,10.887,10.887,10.887,10.887,400
2007-06-01,1180656000,11.306,11.306,11.306,11.306,1400
2007-06-04,1180915200,11.306,11.306,11.306,11.306,1000
2007-06-05,1181001600,10.887,10.887,10.887,10.887,500
2007-06-06,1181088000,19.495,19.495,19.495,19.495,0
2007-06-07,1181174400,19.495,19.495,19.495,19.495,0
2007-06-08,1181260800,19.495,19.495,19.495,19.495,0
2007-06-11,1181520000,19.495,19.495,19.495,19.495,0
2007-06-12,1181606400,19.495,19.495,19.495,19.495,0
2007-06-13,1181692800,19.495,19.495,19.495,19.495,0
2007-06-14,1181779200,10.468,10.468,10.468,10.468,500
2007-06-15,1181865600,18.934,18.934,18.934,18.934,0
2007-06-18,1182124800,18.934,18.934,18.934,18.934,0
2007-06-19,1182211200,18.934,18.934,18.934,18.934,0
2007-06-20,1182297600,18.934,18.934,18.934,18.934,0
2007-06-21,1182384000,18.934,18.934,18.934,18.934,0
2007-06-22,1182470400,18.934,18.934,18.934,18.934,0
2007-06-25,1182729600,9.044,9.044,9.044,9.044,600
2007-06-26,1182816000,17.041,17.041,17.041,17.041,0
2007-06-27,1182902400,9.631,9.631,9.631,9.631,100
2007-06-28,1182988800,17.82,17.82,17.82,17.82,0
2007-06-29,1183075200,17.82,17.82,17.82,17.82,0
2007-07-02,1183334400,17.82,17.82,17.82,17.82,0
2007-07-03,1183420800,8.291,8.291,8.291,8.291,200
2007-07-04,1183507200,16.036,16.036,16.036,16.036,0
2007-07-05,1183593600,16.036,16.036,16.036,16.036,0
2007-07-06,1183680000,8.374,8.374,8.374,8.374,1200
2007-07-09,1183939200,16.154,16.154,16.154,16.154,0
2007-07-10,1184025600,16.154,16.154,16.154,16.154,0
2007-07-11,1184112000,16.154,16.154,16.154,16.154,0
